latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.4835,4.5933,304.4,1.2,1.1,2006-01-01,2143,Terra,MODIS,60,6.2,274.8,14.4,N,2
52.4851,4.5926,302,1.1,1,2006-01-02,0147,Aqua,MODIS,42,6.2,274.6,9.8,N,2
52.4819,4.5982,301.6,1.3,1.1,2006-01-21,0217,Aqua,MODIS,42,6.2,277.2,12.5,N,2
52.4848,4.5943,300.7,1,1,2006-01-29,1055,Terra,MODIS,0,6.2,275.6,8.5,D,2
52.4903,4.6185,301.6,1,1,2006-01-29,1055,Terra,MODIS,41,6.2,275.6,8,D,2
51.4561,3.6931,312.6,1,1,2006-01-29,1056,Terra,MODIS,0,6.2,274.9,16.1,D,0
52.4934,4.6106,302.4,1.1,1,2006-01-29,1240,Aqua,MODIS,49,6.2,277.8,9.4,D,2
52.492,4.6149,302.2,1.1,1,2006-03-04,1044,Terra,MODIS,48,6.2,273.7,8.7,D,2
52.4824,4.5938,303.3,1.1,1,2006-03-07,0147,Aqua,MODIS,55,6.2,274.5,11,N,2
52.2665,4.807,301.5,1.3,1.1,2006-03-07,1114,Terra,MODIS,47,6.2,276,11,D,0
52.4815,4.5912,300.1,1,1,2006-03-13,1222,Aqua,MODIS,0,6.2,279.3,6.8,D,2
52.485,4.5904,301.3,1.1,1,2006-03-15,2137,Terra,MODIS,39,6.2,271.5,10.8,N,0
51.3714,4.2751,322.9,1.2,1.1,2006-03-16,0142,Aqua,MODIS,100,6.2,271.5,32.5,N,0
51.5224,4.4193,308.8,1,1,2006-03-18,1056,Terra,MODIS,68,6.2,281.7,10.8,D,0
52.4907,4.604,305.8,1,1,2006-03-20,1228,Aqua,MODIS,0,6.2,284.3,7.2,D,0
52.4898,4.6105,301,1.3,1.1,2006-03-23,1114,Terra,MODIS,0,6.2,285.1,7.6,D,2
51.9073,4.1294,301,1.3,1.1,2006-03-23,1115,Terra,MODIS,41,6.2,283.3,7.4,D,0
51.981,4.1861,301.8,1.3,1.1,2006-03-23,1115,Terra,MODIS,43,6.2,280.4,7.5,D,0
51.9039,4.147,302.2,1.3,1.1,2006-03-23,1115,Terra,MODIS,48,6.2,283.2,8.1,D,0
52.4849,4.5947,301.4,1.5,1.2,2006-03-23,1259,Aqua,MODIS,0,6.2,287.1,9.1,D,2
52.1312,5.8434,301.5,1.7,1.3,2006-03-23,1259,Aqua,MODIS,47,6.2,284.2,13.2,D,0
