latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.5209,166.028,313,3.6,1.8,2006-01-01,0202,Aqua,MODIS,36,6.2,298.3,31.6,D,0
-21.5245,165.9899,324.9,3.6,1.8,2006-01-01,0202,Aqua,MODIS,78,6.2,300.2,104.6,D,0
-21.5154,165.9954,324.4,3.6,1.8,2006-01-01,0202,Aqua,MODIS,73,6.2,299.8,100.7,D,0
-20.7871,165.2377,306.7,1.2,1.1,2006-01-01,1129,Terra,MODIS,36,6.2,286.1,9.9,N,0
-22.2071,166.447,363.7,1,1,2006-01-02,0244,Aqua,MODIS,100,6.2,314.2,94.7,D,3
-21.0615,164.9271,328,1,1,2006-01-02,0245,Aqua,MODIS,74,6.2,311.8,8.6,D,0
-21.7112,166.3837,331.1,1,1,2006-01-02,0245,Aqua,MODIS,70,6.2,306.1,22.1,D,0
-21.6471,166.2018,324.9,1,1,2006-01-02,0245,Aqua,MODIS,65,6.2,308.2,12.3,D,0
-21.6486,166.1922,325.5,1,1,2006-01-02,0245,Aqua,MODIS,79,6.2,307.6,12.2,D,0
-21.5315,166.0432,324.3,1,1,2006-01-02,0245,Aqua,MODIS,25,6.2,306.2,9.2,D,0
-21.5149,166.0295,324.8,1,1,2006-01-02,0245,Aqua,MODIS,41,6.2,305.9,9.5,D,0
-21.0705,164.9285,334.3,1,1,2006-01-02,0245,Aqua,MODIS,86,6.2,310.9,16.3,D,0
-21.3405,165.4119,321.7,1,1,2006-01-02,0245,Aqua,MODIS,69,6.2,308.6,8.9,D,0
-21.0629,164.9252,356.7,1.2,1.1,2006-01-04,0233,Aqua,MODIS,98,6.2,307.4,85.6,D,0
-21.0614,164.9369,343.6,1.2,1.1,2006-01-04,0233,Aqua,MODIS,92,6.2,306.1,48.6,D,0
-21.3299,165.4374,306.8,1.1,1,2006-01-06,1147,Terra,MODIS,49,6.2,292.5,7.3,N,0
-21.3378,165.421,322.9,1.6,1.3,2006-01-07,0303,Aqua,MODIS,39,6.2,303.8,20.1,D,0
-21.056,164.9237,331.4,1.5,1.2,2006-01-07,0303,Aqua,MODIS,79,6.2,304.1,31.5,D,0
-21.0557,164.9293,329.4,1.5,1.2,2006-01-07,0303,Aqua,MODIS,63,6.2,304.1,26.8,D,0
-21.3381,165.4315,329.9,1.7,1.3,2006-01-07,0303,Aqua,MODIS,83,6.2,304.4,36.4,D,0
-21.0616,164.9111,331.6,3.3,1.7,2006-01-08,0208,Aqua,MODIS,84,6.2,301.3,131.5,D,0
-21.1476,164.9389,311.8,1.1,1,2006-01-09,0251,Aqua,MODIS,18,6.2,291.4,6.8,D,0
-21.6125,165.6385,347.9,1,1,2006-01-11,0239,Aqua,MODIS,94,6.2,307.3,46.4,D,0
-21.526,165.9929,322.7,1,1,2006-01-11,0239,Aqua,MODIS,70,6.2,304.4,10.2,D,0
-21.5247,166.0026,371.6,1,1,2006-01-11,0239,Aqua,MODIS,100,6.2,311.7,111.4,D,0
-21.5233,166.0124,338.9,1,1,2006-01-11,0239,Aqua,MODIS,89,6.2,310.7,29.5,D,0
-21.5337,166.004,343.1,1,1,2006-01-11,0239,Aqua,MODIS,92,6.2,308.1,37.1,D,0
-21.5323,166.0137,348.1,1,1,2006-01-11,0239,Aqua,MODIS,94,6.2,309.9,46.3,D,0
-21.6268,166.2523,333,1,1,2006-01-11,0239,Aqua,MODIS,80,6.2,304.2,25.4,D,0
-21.6138,165.6288,328.4,1,1,2006-01-11,0239,Aqua,MODIS,72,6.2,307.8,14.1,D,0
-21.5036,165.932,330.8,3.8,1.8,2006-01-12,0321,Aqua,MODIS,63,6.2,296.9,163.1,D,0
-21.4978,165.9191,324.1,3.8,1.8,2006-01-12,0321,Aqua,MODIS,58,6.2,297.7,108.5,D,0
-22.6365,167.4754,321.9,1,1,2006-02-15,1405,Aqua,MODIS,100,6.2,293.3,19,N,0
-22.647,167.4836,312.1,1,1,2006-02-15,1405,Aqua,MODIS,78,6.2,293.4,10.3,N,0
-22.6485,167.4934,305.5,1,1,2006-02-15,1405,Aqua,MODIS,32,6.2,293.5,5.5,N,0
-22.638,167.4852,317.7,1,1,2006-02-15,1405,Aqua,MODIS,94,6.2,293.4,14.9,N,0
-21.0315,165.3904,312.8,1,1,2006-03-07,0245,Aqua,MODIS,37,6.2,299.2,5.4,D,0
-22.2513,166.4508,315.1,1.8,1.3,2006-03-19,2332,Terra,MODIS,0,6.2,297.6,17.3,D,0
-22.2261,166.8479,314.3,1.1,1,2006-04-01,2301,Terra,MODIS,61,6.2,291.4,9.1,D,0
-21.3594,165.8032,311.2,1,1,2006-04-15,2314,Terra,MODIS,32,6.2,298.5,5.4,D,0
-21.3223,165.5602,308.1,1.1,1,2006-05-10,2307,Terra,MODIS,62,6.2,291.5,6.5,D,0
-22.1625,166.362,311.5,1,1,2006-05-17,2314,Terra,MODIS,39,6.2,285.9,11.4,D,0
-21.4521,165.5351,312.5,1,1,2006-06-27,0247,Aqua,MODIS,55,6.2,294.4,10.4,D,0
-21.5355,165.8393,300.1,1,1,2006-06-27,2308,Terra,MODIS,22,6.2,288.8,3.2,D,0
-20.9184,165.2747,310.8,1.2,1.1,2006-06-29,0235,Aqua,MODIS,25,6.2,292,12.1,D,0
-21.1864,165.1091,320.2,1,1,2006-07-13,0247,Aqua,MODIS,72,6.2,292.9,17.1,D,0
-21.1128,165.3529,317.4,1.1,1,2006-07-20,0253,Aqua,MODIS,68,6.2,294.1,15.1,D,0
-21.1032,165.352,333.7,1.1,1,2006-07-20,0253,Aqua,MODIS,86,6.2,296.7,36.2,D,0
-20.4786,164.692,310.3,1.1,1,2006-07-20,0254,Aqua,MODIS,31,6.2,292.1,9.3,D,0
-20.7849,165.1425,314.5,1,1,2006-07-20,2314,Terra,MODIS,75,6.2,293.5,11.3,D,0
-20.6853,164.8849,324.2,1,1,2006-07-22,0241,Aqua,MODIS,77,6.2,294.4,22.4,D,0
-21.1002,164.9377,305.5,1.3,1.1,2006-07-22,2302,Terra,MODIS,31,6.2,294.9,5.9,D,0
-21.293,165.5592,326.2,1.4,1.2,2006-07-24,0229,Aqua,MODIS,69,6.2,295.3,34.2,D,0
-19.734,163.6738,319.9,1,1,2006-08-14,0248,Aqua,MODIS,54,6.2,298.3,13.5,D,0
-21.2112,165.4235,317,1.6,1.2,2006-08-16,2255,Terra,MODIS,67,6.2,292.8,27.3,D,0
-21.2137,165.4379,315.1,1.6,1.2,2006-08-16,2255,Terra,MODIS,63,6.2,293.7,24.1,D,0
-21.447,165.4779,320.8,1,1,2006-08-21,2314,Terra,MODIS,80,6.2,295.2,16.5,D,0
-22.0521,166.8806,307,1.1,1,2006-08-21,2314,Terra,MODIS,48,6.2,296.8,4.6,D,0
-20.4575,164.6337,312.8,1.5,1.2,2006-08-25,0230,Aqua,MODIS,55,6.2,292.4,15.8,D,0
-20.4574,164.6531,312,1.5,1.2,2006-08-25,0230,Aqua,MODIS,49,6.2,295.9,16.6,D,0
-20.4589,164.6402,325.5,1.5,1.2,2006-08-25,0230,Aqua,MODIS,74,6.2,294.5,40.8,D,0
-20.456,164.6467,323.9,1.5,1.2,2006-08-25,0230,Aqua,MODIS,77,6.2,296.3,35.2,D,0
-20.9504,165.3981,350.3,1,1,2006-08-28,2320,Terra,MODIS,72,6.2,296.3,63.4,D,0
-20.949,165.3882,338.1,1,1,2006-08-28,2320,Terra,MODIS,90,6.2,293,39.7,D,0
-20.9113,165.2525,306.2,1,1,2006-08-28,2320,Terra,MODIS,0,6.2,288.8,6,D,0
-20.9527,165.3591,316.4,1.1,1.1,2006-09-06,0254,Aqua,MODIS,66,6.2,296.8,12.6,D,0
-20.951,165.3697,320.1,1.1,1.1,2006-09-06,0254,Aqua,MODIS,72,6.2,298.5,16.3,D,0
-21.1669,164.8555,314.6,1.1,1,2006-09-06,0254,Aqua,MODIS,58,6.2,300.6,6.8,D,0
-21.8287,165.8393,317.7,1,1,2006-09-06,2314,Terra,MODIS,65,6.2,300,9.3,D,0
-21.838,165.8417,312.6,1,1,2006-09-06,2314,Terra,MODIS,51,6.2,300.9,5.4,D,0
-21.564,165.9802,306.9,1,1,2006-09-06,2314,Terra,MODIS,47,6.2,296,4.5,D,0
-21.6292,166.2126,313.2,1,1,2006-09-08,0242,Aqua,MODIS,42,6.2,300.4,5.8,D,0
-22.1395,166.3733,315.8,1,1,2006-09-08,0242,Aqua,MODIS,61,6.2,297,7.9,D,0
-22.1382,166.383,328,1,1,2006-09-08,0242,Aqua,MODIS,81,6.2,296.4,20.8,D,0
-21.6279,166.2222,317.2,1,1,2006-09-08,0242,Aqua,MODIS,67,6.2,301.6,9.9,D,0
-21.5506,166.0481,311,1.8,1.3,2006-09-20,0306,Aqua,MODIS,45,6.2,297,14.4,D,0
-21.4823,165.4319,315.5,1,1,2006-09-21,1136,Terra,MODIS,88,6.2,289.3,16.3,N,0
-20.8051,165.1339,325.6,1.1,1,2006-09-22,0254,Aqua,MODIS,77,6.2,301,21.9,D,0
-21.4855,165.4362,327.8,1.1,1,2006-09-22,0254,Aqua,MODIS,81,6.2,303,22.9,D,0
-21.4872,165.4256,315.9,1.1,1,2006-09-22,0254,Aqua,MODIS,62,6.2,304.7,8.7,D,0
-21.0337,164.9874,329,1.4,1.2,2006-09-27,2332,Terra,MODIS,82,6.2,300.6,35.1,D,0
-21.2289,165.0294,318.8,1,1,2006-10-01,0248,Aqua,MODIS,68,6.2,304,8.9,D,0
-20.6758,164.9103,324.5,1,1,2006-10-01,0248,Aqua,MODIS,78,6.2,295.5,18.1,D,0
-21.0423,165.3012,312.8,1,1,2006-10-01,0248,Aqua,MODIS,56,6.2,297,7.4,D,0
-20.4204,164.4258,337.9,1.1,1,2006-10-06,2325,Terra,MODIS,88,6.2,304.5,34.4,D,0
-20.5583,164.5063,312.9,1.1,1,2006-10-06,2325,Terra,MODIS,51,6.2,297.6,8,D,0
