latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-42.7507,172.9186,309.7,1,1,2006-01-01,2229,Terra,MODIS,62,6.2,297,5.2,D,0
-43.4762,172.7042,324.9,1,1,2006-01-02,0238,Aqua,MODIS,60,6.2,306.4,14.8,D,0
-44.084,170.793,320,1.6,1.3,2006-01-06,0214,Aqua,MODIS,77,6.2,294.4,31.1,D,0
-44.0803,170.7971,325.9,1.6,1.3,2006-01-06,0214,Aqua,MODIS,81,6.2,294.1,41.3,D,0
-44.0822,170.8135,315.5,1.6,1.3,2006-01-06,0214,Aqua,MODIS,68,6.2,297.4,21.3,D,0
-35.3233,173.5162,309.5,1,1,2006-01-08,2233,Terra,MODIS,56,6.2,298.5,5.5,D,0
-38.1682,175.7393,306,1,1,2006-01-10,2222,Terra,MODIS,22,6.2,292,3.3,D,0
-43.8231,171.5143,307.9,1.3,1.1,2006-01-12,2211,Terra,MODIS,60,6.2,282.5,8.1,D,0
-38.0121,176.5636,309.4,1,1,2006-01-15,0209,Aqua,MODIS,0,6.2,295.2,6.7,D,0
-38.7862,176.3471,307.8,1,1,2006-01-15,0209,Aqua,MODIS,33,6.2,294.8,4.7,D,0
-34.6968,172.967,311,1,1,2006-01-15,2239,Terra,MODIS,30,6.2,298.9,6.4,D,0
-37.0087,174.8678,313.2,1.3,1.1,2006-01-15,2240,Terra,MODIS,44,6.2,297.7,7.9,D,0
-39.3303,174.5466,300.3,1.3,1.1,2006-01-15,2240,Terra,MODIS,22,6.2,283.1,7.2,D,0
-38.5641,176.5009,301.3,1.6,1.3,2006-01-15,2240,Terra,MODIS,20,6.2,287.3,6.7,D,0
-43.8242,171.5022,316.4,1.1,1.1,2006-01-15,2242,Terra,MODIS,63,6.2,304.1,9.9,D,0
-43.8697,171.2867,371.5,1.1,1,2006-01-15,2242,Terra,MODIS,100,6.2,299.2,136.7,D,0
-43.8714,171.3004,310.1,1.1,1,2006-01-15,2242,Terra,MODIS,67,6.2,295.1,7.9,D,0
-38.2117,176.7957,302.2,1.2,1.1,2006-01-17,2228,Terra,MODIS,22,6.2,288.4,3.4,D,0
-35.3441,173.6508,306.1,1,1,2006-01-19,1112,Terra,MODIS,67,6.2,283.2,10.4,N,0
-40.3968,175.7843,307.3,1,1,2006-01-19,2216,Terra,MODIS,54,6.2,290.1,6.5,D,0
-43.6529,171.7143,365.5,1.1,1.1,2006-01-19,2217,Terra,MODIS,100,6.2,295.4,119.2,D,0
-41.6924,171.9578,301.8,2,1.4,2006-01-21,1058,Terra,MODIS,45,6.2,277.3,23.3,N,0
-41.7002,171.9319,300.9,1.1,1.1,2006-01-22,1141,Terra,MODIS,35,6.2,281.3,8.7,N,0
-42.7483,172.9168,314.6,1.4,1.2,2006-01-22,2247,Terra,MODIS,71,6.2,299.8,12.8,D,0
-46.0397,168.7801,354.5,1,1,2006-01-23,0256,Aqua,MODIS,97,6.2,301.8,70.1,D,0
-43.8633,171.844,316.9,3.2,1.7,2006-01-26,0149,Aqua,MODIS,64,6.2,294.4,54.7,D,0
-43.8478,171.843,315.7,3.2,1.7,2006-01-26,0149,Aqua,MODIS,49,6.2,294.5,49,D,0
-43.6626,171.7262,314.3,1,1,2006-01-26,2223,Terra,MODIS,19,6.2,302.9,4.8,D,0
-43.6605,171.7134,315.3,1,1,2006-01-26,2223,Terra,MODIS,45,6.2,302.2,5.6,D,0
-42.2372,172.2314,316.2,1,1,2006-01-27,0233,Aqua,MODIS,58,6.2,303.9,8.3,D,0
-42.7781,172.248,319.5,1,1,2006-01-27,0233,Aqua,MODIS,47,6.2,305.5,7.1,D,0
-46.0032,168.7974,307.2,1.1,1,2006-01-27,1159,Terra,MODIS,71,6.2,283.8,12.4,N,0
-42.4186,171.4531,318.8,2.5,1.5,2006-01-28,0316,Aqua,MODIS,71,6.2,299.3,50.3,D,0
