latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.9656,-87.2094,315.7,1,1,2006-01-02,1622,Terra,MODIS,59,6.2,301.5,7.5,D,0
12.2153,-85.9462,333.1,1.4,1.2,2006-01-02,1923,Aqua,MODIS,86,6.2,296.5,39.2,D,0
12.372,-86.0684,320.6,1.4,1.2,2006-01-02,1923,Aqua,MODIS,71,6.2,300.1,14.2,D,0
12.217,-85.9338,323.6,1.4,1.2,2006-01-02,1923,Aqua,MODIS,68,6.2,297.2,21.1,D,0
12.2239,-85.9416,322.7,1.4,1.2,2006-01-02,1923,Aqua,MODIS,76,6.2,296.2,18.2,D,0
12.6191,-87.2142,318.8,1.2,1.1,2006-01-02,1923,Aqua,MODIS,65,6.2,300,10.7,D,0
11.5465,-85.8797,312.1,1,1,2006-01-04,1910,Aqua,MODIS,33,6.2,288.6,6.8,D,0
12.3519,-86.1009,322.5,1,1,2006-01-04,1911,Aqua,MODIS,68,6.2,301.3,11.4,D,0
12.3506,-86.11,319.9,1,1,2006-01-04,1911,Aqua,MODIS,47,6.2,300.8,9,D,0
12.8168,-86.1362,314.7,1,1,2006-01-04,1911,Aqua,MODIS,66,6.2,297.1,7,D,0
12.6725,-87.2343,318.9,2.4,1.5,2006-01-06,1557,Terra,MODIS,72,6.2,300,30.3,D,0
12.2114,-86.0427,323.4,1.2,1.1,2006-01-06,1858,Aqua,MODIS,77,6.2,308.1,11.5,D,0
12.0747,-86.1357,321.7,1.2,1.1,2006-01-06,1858,Aqua,MODIS,75,6.2,303.9,11.8,D,0
12.2761,-86.0257,351.5,1.2,1.1,2006-01-06,1858,Aqua,MODIS,96,6.2,308,67.9,D,0
12.2373,-85.9376,331.5,1.2,1.1,2006-01-06,1858,Aqua,MODIS,84,6.2,304.3,25.8,D,0
12.2744,-86.0364,367.9,1.2,1.1,2006-01-06,1858,Aqua,MODIS,100,6.2,310.2,124.3,D,0
12.0764,-86.1247,321.2,1.2,1.1,2006-01-06,1858,Aqua,MODIS,74,6.2,303.8,11.2,D,0
13.7037,-84.1188,310.3,1,1,2006-01-06,1859,Aqua,MODIS,56,6.2,297.5,4.6,D,0
13.7411,-83.7318,322.6,1,1,2006-01-06,1859,Aqua,MODIS,78,6.2,299.8,14.3,D,0
12.3766,-86.9323,314,1.5,1.2,2006-01-07,1640,Terra,MODIS,64,6.2,296.5,10.7,D,0
12.6373,-86.9692,317.4,1.5,1.2,2006-01-07,1640,Terra,MODIS,52,6.2,298.6,15.4,D,0
12.5641,-86.3859,314.1,1.6,1.3,2006-01-07,1640,Terra,MODIS,60,6.2,297.4,11.1,D,0
12.3745,-86.9192,315.4,1.5,1.2,2006-01-07,1640,Terra,MODIS,67,6.2,296.8,13.3,D,0
12.9022,-86.0099,308.6,1.8,1.3,2006-01-08,1846,Aqua,MODIS,24,6.2,291.1,10,D,0
12.5606,-86.813,316.5,2.2,1.4,2006-01-08,1846,Aqua,MODIS,54,6.2,297.9,22.1,D,0
12.9445,-86.9534,354,2.2,1.4,2006-01-08,1846,Aqua,MODIS,97,6.2,298.9,194.7,D,0
12.9411,-86.973,327.2,2.2,1.4,2006-01-08,1846,Aqua,MODIS,80,6.2,297.9,52.6,D,0
12.726,-87.1838,320.1,1,1,2006-01-09,1628,Terra,MODIS,34,6.2,302.4,9,D,0
12.6551,-87.2149,319.6,1.4,1.2,2006-01-10,0744,Aqua,MODIS,99,6.2,290.9,30.5,N,0
11.5264,-85.8307,315.9,1,1,2006-01-11,1616,Terra,MODIS,50,6.2,299.6,7.4,D,0
12.4618,-87.0331,329,1.1,1.1,2006-01-11,1616,Terra,MODIS,81,6.2,301.6,21.6,D,0
12.4632,-87.0433,321,1.1,1.1,2006-01-11,1616,Terra,MODIS,71,6.2,300.3,11.2,D,0
12.2455,-85.9317,329,1.1,1.1,2006-01-11,1917,Aqua,MODIS,82,6.2,300.7,22.5,D,0
12.2441,-85.9419,333.9,1.1,1.1,2006-01-11,1917,Aqua,MODIS,86,6.2,301.1,30,D,0
11.9622,-85.232,318.7,1,1,2006-01-13,1904,Aqua,MODIS,71,6.2,302.5,7.8,D,0
12.3103,-86.0016,322.3,1,1,2006-01-13,1904,Aqua,MODIS,74,6.2,306.8,7.7,D,0
12.2846,-85.9881,326.4,1,1,2006-01-13,1904,Aqua,MODIS,79,6.2,305.4,12.8,D,0
12.1531,-85.8794,316.1,1,1,2006-01-13,1904,Aqua,MODIS,54,6.2,300.7,6.5,D,0
12.5667,-86.3837,320.2,1,1,2006-01-13,1905,Aqua,MODIS,33,6.2,302.3,8,D,0
12.7859,-86.1497,314.2,1,1,2006-01-13,1905,Aqua,MODIS,38,6.2,298.2,5.1,D,0
12.6034,-87.1285,316.9,1.9,1.3,2006-01-14,1646,Terra,MODIS,55,6.2,302.1,10.8,D,0
12.264,-85.9706,313.1,2.5,1.5,2006-01-15,1551,Terra,MODIS,49,6.2,294.8,15.5,D,0
12.9693,-86.9227,320.7,1.6,1.3,2006-01-15,1852,Aqua,MODIS,75,6.2,302.9,14.8,D,0
12.6373,-87.2719,340.6,1.8,1.3,2006-01-15,1852,Aqua,MODIS,90,6.2,296.9,86.9,D,0
12.2719,-86.0542,326,1.5,1.2,2006-01-15,1852,Aqua,MODIS,79,6.2,302.4,21.9,D,0
12.2786,-86.0489,330.5,1.5,1.2,2006-01-15,1852,Aqua,MODIS,83,6.2,300.1,31.6,D,0
12.6333,-87.2779,342.1,1.8,1.3,2006-01-15,1852,Aqua,MODIS,91,6.2,298.1,92.9,D,0
14.8027,-83.5056,323.7,1,1,2006-01-15,1853,Aqua,MODIS,80,6.2,297.7,17.7,D,0
14.8013,-83.5151,330.9,1,1,2006-01-15,1853,Aqua,MODIS,86,6.2,298.1,26.5,D,0
12.279,-85.4941,310.4,1.5,1.2,2006-01-16,1634,Terra,MODIS,49,6.2,297.6,8.1,D,0
12.4904,-87.0786,318.9,1.2,1.1,2006-01-16,1634,Terra,MODIS,58,6.2,303.3,9.1,D,0
11.8056,-85.9932,328.2,1.4,1.2,2006-01-16,1634,Terra,MODIS,83,6.2,298,34.5,D,0
11.8878,-85.9825,313.1,2.3,1.5,2006-01-16,1935,Aqua,MODIS,15,6.2,296.9,17.5,D,0
12.958,-86.9458,333.7,2,1.4,2006-01-16,1935,Aqua,MODIS,86,6.2,305.9,58,D,0
12.523,-87.0839,322.8,1,1,2006-01-18,1621,Terra,MODIS,52,6.2,303,11.7,D,0
11.9568,-86.4918,314.6,1,1,2006-01-18,1622,Terra,MODIS,46,6.2,301.9,4.7,D,0
12.2963,-86.6137,324.5,1.2,1.1,2006-01-18,1923,Aqua,MODIS,74,6.2,305.1,13.1,D,0
12.2801,-86.0266,326.4,1.4,1.2,2006-01-18,1923,Aqua,MODIS,74,6.2,304.9,16.4,D,0
12.2785,-86.0389,363.8,1.4,1.2,2006-01-18,1923,Aqua,MODIS,100,6.2,307.2,130.3,D,0
12.2769,-86.0512,324.7,1.4,1.2,2006-01-18,1923,Aqua,MODIS,68,6.2,303.3,14.7,D,0
11.554,-85.89,323.8,1.4,1.2,2006-01-18,1923,Aqua,MODIS,78,6.2,301.5,17.4,D,0
12.142,-86.5456,327.1,1.3,1.1,2006-01-18,1923,Aqua,MODIS,78,6.2,303.1,19.5,D,0
12.1435,-86.5341,337.7,1.3,1.1,2006-01-18,1923,Aqua,MODIS,87,6.2,303.8,40.2,D,0
12.2948,-86.6251,332.3,1.2,1.1,2006-01-18,1923,Aqua,MODIS,83,6.2,305.8,26.1,D,0
12.2476,-85.9021,320.8,1.4,1.2,2006-01-18,1923,Aqua,MODIS,71,6.2,301.7,12.8,D,0
12.7705,-87.1806,313.7,2.4,1.5,2006-01-21,1652,Terra,MODIS,26,6.2,296.4,16,D,0
12.9479,-87.1203,317,2.4,1.5,2006-01-21,1652,Terra,MODIS,36,6.2,295.9,23.3,D,0
12.947,-87.1361,317.5,2.4,1.5,2006-01-21,1652,Terra,MODIS,63,6.2,296.1,27.8,D,0
12.626,-86.7106,331.4,1.3,1.1,2006-01-22,1858,Aqua,MODIS,84,6.2,303.1,27.4,D,0
12.4014,-86.7023,322.9,1.3,1.1,2006-01-22,1858,Aqua,MODIS,74,6.2,301.4,14.8,D,0
12.6733,-87.2647,323.5,1.4,1.2,2006-01-23,1640,Terra,MODIS,72,6.2,303.4,15.2,D,0
12.6713,-87.252,323.9,1.4,1.2,2006-01-23,1640,Terra,MODIS,76,6.2,303.2,16.4,D,0
12.704,-87.1489,321.3,1.4,1.2,2006-01-23,1640,Terra,MODIS,71,6.2,302.7,13.5,D,0
12.7019,-87.1361,324.5,1.4,1.2,2006-01-23,1640,Terra,MODIS,77,6.2,302.3,17.9,D,0
12.882,-87.548,327.3,1.3,1.1,2006-01-23,1640,Terra,MODIS,53,6.2,307.2,17.4,D,0
