latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.7931,13.5057,329.2,2.1,1.4,2006-01-01,1205,Aqua,MODIS,0,6.2,309.5,60.4,D,0
13.7922,13.5108,332.3,2.1,1.4,2006-01-01,1205,Aqua,MODIS,0,6.2,310.8,73.8,D,0
13.7622,13.53,325.6,1,1,2006-01-02,0946,Terra,MODIS,60,6.2,294,19.4,D,0
13.8333,13.304,332,1.5,1.2,2006-01-02,1248,Aqua,MODIS,65,6.2,312.4,31.5,D,0
13.8241,13.3195,342.2,1.5,1.2,2006-01-02,1248,Aqua,MODIS,0,6.2,311.4,58.7,D,0
13.6199,7.3692,318.4,1.9,1.3,2006-01-03,1029,Terra,MODIS,46,6.2,306.4,12.6,D,0
13.208,3.0098,325.5,1.1,1,2006-01-05,1017,Terra,MODIS,76,6.2,300.3,16.5,D,0
14.2152,2.4926,318.7,1.9,1.3,2006-01-07,1004,Terra,MODIS,59,6.2,301.9,16.2,D,0
12.262,2.138,323.1,1.8,1.3,2006-01-07,1005,Terra,MODIS,70,6.2,304.2,23.5,D,0
12.2578,2.1273,332.1,1.9,1.3,2006-01-07,1005,Terra,MODIS,82,6.2,303.5,48.1,D,0
12.2501,2.1364,320.6,1.8,1.3,2006-01-07,1005,Terra,MODIS,59,6.2,303.3,16.7,D,0
12.0886,2.2604,328.9,1.2,1.1,2006-01-07,1306,Aqua,MODIS,65,6.2,312.5,10.4,D,0
12.1022,2.2707,300.7,1.1,1.1,2006-01-08,0121,Aqua,MODIS,33,6.2,287.9,5.3,N,0
12.7546,2.1482,321.8,1.1,1.1,2006-01-10,1035,Terra,MODIS,59,6.2,307.6,8.3,D,0
12.764,2.1496,344.5,1.1,1.1,2006-01-10,1035,Terra,MODIS,90,6.2,310.2,45.6,D,0
12.3854,2.2115,332.1,1.1,1.1,2006-01-10,1035,Terra,MODIS,81,6.2,307.6,23.3,D,0
12.3759,2.2099,321.8,1.1,1.1,2006-01-10,1035,Terra,MODIS,60,6.2,306.3,9.5,D,0
14.0375,13.2549,300.3,1,1,2006-01-10,2126,Terra,MODIS,23,6.2,286.6,5.1,N,0
13.3668,3.5175,319,1,1,2006-01-12,1023,Terra,MODIS,52,6.2,305.3,5.7,D,0
12.3587,2.3526,321.1,1,1,2006-01-12,1023,Terra,MODIS,56,6.2,306.3,7.7,D,0
12.36,2.3433,320.4,1,1,2006-01-12,1023,Terra,MODIS,55,6.2,307.4,6.5,D,0
12.8685,2.7091,328.3,1,1,2006-01-12,1023,Terra,MODIS,75,6.2,305,16.3,D,0
12.7246,1.6808,321.4,2.1,1.4,2006-01-15,1054,Terra,MODIS,68,6.2,304.4,27.6,D,0
13.8533,13.2933,339.4,1.3,1.1,2006-01-15,1217,Aqua,MODIS,74,6.2,309.6,43.2,D,0
12.6906,1.6537,321.5,3.8,1.8,2006-01-15,1355,Aqua,MODIS,46,6.2,298.8,62.4,D,0
12.6965,1.6483,325.4,3.8,1.8,2006-01-15,1355,Aqua,MODIS,65,6.2,299.2,92.4,D,0
13.7621,5.2439,323.3,1.5,1.2,2006-01-16,0958,Terra,MODIS,68,6.2,305.9,18.2,D,0
13.7662,5.2365,323.4,1.5,1.2,2006-01-16,0958,Terra,MODIS,68,6.2,306.1,17.7,D,0
13.7639,5.23,335.4,1.5,1.2,2006-01-16,0958,Terra,MODIS,84,6.2,306,46.1,D,0
13.7835,13.3163,331.2,1.4,1.2,2006-01-16,0958,Terra,MODIS,81,6.2,303.9,33.5,D,0
13.7855,13.3038,319.5,1.4,1.2,2006-01-16,0958,Terra,MODIS,52,6.2,303,11.7,D,0
13.7895,13.3238,320.3,1.4,1.2,2006-01-16,0958,Terra,MODIS,0,6.2,304.6,13.2,D,0
13.7916,13.3113,338.2,1.4,1.2,2006-01-16,0958,Terra,MODIS,75,6.2,305.2,49.1,D,0
14.0033,13.2433,324.6,1,1,2006-01-18,0945,Terra,MODIS,0,6.2,308.5,12.2,D,0
13.3486,11.7534,322.5,4.1,1.9,2006-01-19,1028,Terra,MODIS,64,6.2,304.6,84.9,D,0
13.3418,11.79,322.5,4.1,1.9,2006-01-19,1028,Terra,MODIS,64,6.2,304.5,83,D,0
13.6469,3.409,320.4,1.1,1,2006-01-19,1029,Terra,MODIS,54,6.2,304.4,7.6,D,0
13.6864,3.3359,333.4,1.1,1,2006-01-19,1029,Terra,MODIS,81,6.2,305.7,23.3,D,0
13.697,3.3277,326.8,1.1,1,2006-01-19,1029,Terra,MODIS,72,6.2,305.5,14.2,D,0
13.6955,3.3373,330.5,1.1,1,2006-01-19,1029,Terra,MODIS,78,6.2,305.7,19.1,D,0
13.6879,3.3262,337.5,1.1,1,2006-01-19,1029,Terra,MODIS,85,6.2,305.8,29.8,D,0
14.0476,13.3136,323.1,1.2,1.1,2006-01-20,0933,Terra,MODIS,0,6.2,307.9,12.2,D,0
13.8197,13.3191,328.4,1,1,2006-01-20,1235,Aqua,MODIS,53,6.2,316.6,9.3,D,0
13.8066,13.2918,356,1,1,2006-01-20,1235,Aqua,MODIS,97,6.2,318.2,61.7,D,0
13.8053,13.2822,338.6,1,1,2006-01-20,1235,Aqua,MODIS,81,6.2,315.1,24.4,D,0
13.1089,3.3866,346,1,1,2006-01-28,1023,Terra,MODIS,69,6.2,304.3,41.7,D,0
13.1183,3.3733,355.3,1.3,1.1,2006-01-28,1325,Aqua,MODIS,97,6.2,309,87.5,D,0
13.1096,3.387,342.5,1.3,1.2,2006-01-28,1325,Aqua,MODIS,90,6.2,311.2,46.3,D,0
