latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.0921,5.7212,312.6,1,1,2006-04-01,1107,Terra,MODIS,0,6.2,282,13.9,D,0
59.7381,9.8488,309.2,1,1,2006-04-20,1147,Aqua,MODIS,61,6.2,280.2,11.1,D,0
58.4654,6.2991,300.5,1.3,1.1,2006-04-22,1125,Terra,MODIS,0,6.2,283.2,8.5,D,0
59.1828,10.2455,323.7,1.2,1.1,2006-04-22,1135,Aqua,MODIS,83,6.2,286.6,29.4,D,0
59.1791,10.226,303.1,1.2,1.1,2006-04-22,1135,Aqua,MODIS,53,6.2,284.8,8.4,D,0
63.33,10.3464,329.9,1.1,1.1,2006-04-30,1035,Terra,MODIS,86,6.2,286.4,34.6,D,0
63.3252,10.3376,305.8,2,1.4,2006-04-30,1048,Aqua,MODIS,62,6.2,285.5,21.3,D,0
63.3262,10.3328,304.5,2,1.4,2006-04-30,1048,Aqua,MODIS,59,6.2,285.5,20.1,D,0
59.4934,11.3768,304.1,1.4,1.2,2006-05-04,1011,Terra,MODIS,58,6.2,290.4,7.7,D,0
59.4956,11.3528,306.7,1.4,1.2,2006-05-04,1011,Terra,MODIS,64,6.2,289.5,10.1,D,0
60.4312,10.5041,305.4,1,1,2006-05-05,1054,Terra,MODIS,58,6.2,293.5,5.3,D,0
59.6634,11.4044,305.4,1.1,1,2006-05-05,1054,Terra,MODIS,61,6.2,293,6,D,0
60.7962,11.1719,328.2,1,1,2006-05-05,1054,Terra,MODIS,86,6.2,295.5,25.5,D,0
62.1224,5.2601,303.1,2.4,1.5,2006-05-05,1106,Aqua,MODIS,0,6.2,290.7,17.5,D,0
60.7025,11.1495,308.8,2.3,1.5,2006-05-05,1243,Aqua,MODIS,46,6.2,294.6,21.2,D,0
62.1296,5.2472,321.6,1.5,1.2,2006-05-05,1244,Aqua,MODIS,70,6.2,293.4,30.2,D,0
62.1456,5.2624,305.3,1.4,1.2,2006-05-05,2032,Terra,MODIS,64,6.2,281.4,14.9,N,0
62.1619,5.2074,376.3,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,289.7,143,N,0
62.1592,5.2262,425.2,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,313.4,449.1,N,0
62.1566,5.245,325.3,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,284.9,25.5,N,0
62.1479,5.2394,358.6,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,288.1,86.7,N,0
62.1452,5.2582,309.9,1,1,2006-05-06,0210,Aqua,MODIS,79,6.2,281.9,12,N,0
60.3668,5.0262,388.6,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,292.8,193.9,N,0
60.3642,5.0437,377.6,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,294,145.4,N,0
60.3581,5.021,358.6,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,287.9,84.4,N,0
60.3555,5.0385,385.2,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,294.1,177.7,N,0
60.3529,5.056,332.3,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,286.3,33.9,N,0
60.3442,5.0508,350.2,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,287,65.1,N,0
60.3416,5.0683,328.2,1,1,2006-05-06,0210,Aqua,MODIS,100,6.2,285.1,29.1,N,0
60.3536,5.0287,324.5,4.8,2,2006-05-06,0348,Aqua,MODIS,94,6.2,283,0,N,0
60.8042,10.7861,311.1,1.9,1.4,2006-05-06,0958,Terra,MODIS,62,6.2,290.5,24.1,D,0
62.1564,5.2402,320.4,1.2,1.1,2006-05-06,1136,Terra,MODIS,32,6.2,295.8,17.9,D,0
60.8027,10.7607,310,2,1.4,2006-05-06,1136,Terra,MODIS,0,6.2,288.9,22.1,D,0
62.1566,5.2348,324,1.2,1.1,2006-05-06,1136,Terra,MODIS,40,6.2,296.8,23.1,D,0
60.3322,5.0447,314.4,1.4,1.2,2006-05-06,1137,Terra,MODIS,0,6.2,295.5,15.1,D,0
58.5294,6.9495,316.4,1.8,1.3,2006-05-06,1137,Terra,MODIS,67,6.2,290.2,34.7,D,0
60.3658,5.0467,329.1,1.4,1.2,2006-05-06,1137,Terra,MODIS,0,6.2,296.4,37.9,D,0
60.3514,5.0077,331,1.3,1.2,2006-05-06,1137,Terra,MODIS,0,6.2,294.7,40.1,D,0
60.3371,5.0217,339.5,1.4,1.2,2006-05-06,1137,Terra,MODIS,0,6.2,296,61.3,D,0
60.2246,11.3872,305.3,1,1,2006-05-06,1148,Aqua,MODIS,47,6.2,291.9,5,D,0
58.5268,6.9464,320.2,1.2,1.1,2006-05-06,1148,Aqua,MODIS,70,6.2,292.3,24.6,D,0
60.7941,10.7744,313.8,1,1,2006-05-06,1148,Aqua,MODIS,0,6.2,293.4,9.8,D,0
60.3607,5.0378,326.1,1.3,1.1,2006-05-06,1148,Aqua,MODIS,44,6.2,297.3,26.9,D,0
60.3346,5.017,344.9,1.3,1.1,2006-05-06,1148,Aqua,MODIS,0,6.2,296.8,65.9,D,0
62.1578,5.2205,311.9,1.1,1.1,2006-05-06,1149,Aqua,MODIS,0,6.2,296.1,10.5,D,0
60.3442,4.9903,365.2,1,1,2006-05-06,2115,Terra,MODIS,100,6.2,289,105.1,N,0
60.3379,5.0129,317.1,1,1,2006-05-06,2115,Terra,MODIS,94,6.2,284.2,18.1,N,0
60.3355,4.9953,348,1,1,2006-05-06,2115,Terra,MODIS,100,6.2,286.2,62.1,N,3
60.3467,5.0079,392.6,1,1,2006-05-06,2115,Terra,MODIS,100,6.2,292.9,217,N,0
62.1563,5.2368,304.5,1,1,2006-05-06,2115,Terra,MODIS,60,6.2,279,9.5,N,0
60.3534,5.008,313.1,1.7,1.3,2006-05-07,0253,Aqua,MODIS,86,6.2,283.3,32.4,N,0
62.1557,5.2276,316.3,1.3,1.1,2006-05-07,1041,Terra,MODIS,48,6.2,296.9,17.2,D,0
62.1659,5.2316,325.4,1.3,1.1,2006-05-07,1041,Terra,MODIS,55,6.2,295.3,28.5,D,0
62.1533,5.2532,318.9,1.3,1.1,2006-05-07,1041,Terra,MODIS,58,6.2,294.9,19.8,D,0
59.5361,11.5777,304.2,1,1,2006-05-07,1042,Terra,MODIS,55,6.2,294,4.2,D,0
58.7542,8.1241,304.5,1,1,2006-05-07,1042,Terra,MODIS,59,6.2,292,5.4,D,0
58.5303,6.0907,303,1.1,1.1,2006-05-07,1042,Terra,MODIS,53,6.2,292.4,3.2,D,0
66.3079,14.1671,317.1,1.2,1.1,2006-05-07,1054,Aqua,MODIS,58,6.2,296.9,17.2,D,0
62.1599,5.2464,316,2.6,1.6,2006-05-07,1219,Terra,MODIS,0,6.2,293.6,48.1,D,0
62.1528,5.2396,315.7,2.6,1.6,2006-05-07,1219,Terra,MODIS,0,6.2,295.4,47.3,D,0
58.5465,6.4485,318.2,1.1,1.1,2006-05-07,1230,Aqua,MODIS,78,6.2,293.2,17.3,D,0
58.5487,6.4687,321.9,1.2,1.1,2006-05-07,1230,Aqua,MODIS,77,6.2,294,21.5,D,0
62.1621,5.2087,327.9,1.2,1.1,2006-05-07,1231,Aqua,MODIS,52,6.2,296.5,27.3,D,0
62.1534,5.2436,326.4,1.2,1.1,2006-05-07,1231,Aqua,MODIS,28,6.2,297.3,24.4,D,0
62.1548,5.2357,324.1,1.2,1.1,2006-05-07,1231,Aqua,MODIS,58,6.2,297.5,23.9,D,0
60.347,10.5781,310.6,1.7,1.3,2006-05-07,1231,Aqua,MODIS,53,6.2,297.3,15.9,D,0
60.3504,10.5821,310.3,1.7,1.3,2006-05-07,1231,Aqua,MODIS,34,6.2,296.8,14.6,D,0
60.8081,11.6368,305.8,2.4,1.5,2006-05-08,0946,Terra,MODIS,50,6.2,290.7,17.5,D,0
60.679,12.1306,302.5,2.3,1.5,2006-05-08,0946,Terra,MODIS,53,6.2,292.5,10.2,D,0
60.8162,11.6438,310.7,2.4,1.5,2006-05-08,0946,Terra,MODIS,66,6.2,292.8,30.2,D,0
60.8033,11.2842,306.7,2.4,1.5,2006-05-08,0946,Terra,MODIS,40,6.2,293,15.2,D,0
59.5783,10.1859,303.8,2.6,1.6,2006-05-08,0947,Terra,MODIS,25,6.2,292.9,15.7,D,0
66.3111,14.1624,305.9,1.3,1.1,2006-05-08,1123,Terra,MODIS,47,6.2,294.8,9.3,D,0
60.561,11.9892,305.2,1.8,1.3,2006-05-08,1124,Terra,MODIS,45,6.2,294.7,9.8,D,0
60.7537,11.135,339.5,1.6,1.3,2006-05-08,1124,Terra,MODIS,86,6.2,299.3,78.2,D,0
60.8341,11.2198,309.2,1.6,1.3,2006-05-08,1124,Terra,MODIS,61,6.2,296.3,11.5,D,0
60.8435,11.3371,308.2,1.6,1.3,2006-05-08,1124,Terra,MODIS,60,6.2,296.4,10,D,0
59.6447,5.5964,310,1.2,1.1,2006-05-08,1125,Terra,MODIS,65,6.2,294.4,9.5,D,0
59.6542,5.602,335,1.2,1.1,2006-05-08,1125,Terra,MODIS,89,6.2,295,43.8,D,0
