latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.721,35.4582,306.5,1,1,2006-02-15,0827,Terra,MODIS,48,6.2,292.8,5.1,D,0
31.455,35.168,301.8,1.1,1,2006-05-04,1940,Terra,MODIS,44,6.2,287.4,6.8,N,0
31.7942,35.205,301.5,1.9,1.3,2006-05-15,1922,Terra,MODIS,26,6.2,286.3,13.5,N,0
32.3026,35.0122,307.9,1.1,1.1,2006-05-25,1959,Terra,MODIS,73,6.2,292,9.5,N,0
32.3152,35.0194,309.1,3.3,1.7,2006-05-26,0014,Aqua,MODIS,64,6.2,289.6,55.4,N,0
32.3128,35.0224,310.8,3.3,1.7,2006-05-26,0014,Aqua,MODIS,72,6.2,289.9,62.3,N,0
32.2719,35.5547,304.3,3.5,1.8,2006-06-11,1904,Terra,MODIS,60,6.2,292.7,32.6,N,0
32.2725,35.5581,303.2,1.2,1.1,2006-06-11,2319,Aqua,MODIS,27,6.2,292.7,7,N,0
32.2822,35.5596,305.7,1.2,1.1,2006-06-11,2319,Aqua,MODIS,59,6.2,290.8,9.4,N,0
31.6584,35.0803,336.3,1,1,2006-06-22,1057,Aqua,MODIS,76,6.2,313.4,20,D,0
31.6674,35.0786,329.8,1,1,2006-06-22,1057,Aqua,MODIS,56,6.2,313.1,11.3,D,0
31.9797,34.9817,333.1,1.2,1.1,2006-07-03,1039,Aqua,MODIS,71,6.2,313.3,16.9,D,0
32.2126,35.1968,329.3,1.2,1.1,2006-07-31,1104,Aqua,MODIS,42,6.2,312.8,12.4,D,0
32.2404,35.3209,333.9,1.2,1.1,2006-08-16,1105,Aqua,MODIS,66,6.2,316.3,15.2,D,0
31.9317,35.0251,326.4,1,1,2006-09-03,1052,Aqua,MODIS,33,6.2,309.7,8.1,D,0
31.9773,35.2936,340.8,1,1,2006-09-10,1059,Aqua,MODIS,83,6.2,316.7,26.4,D,0
32.1571,35.2487,327.2,1.2,1.1,2006-09-17,1105,Aqua,MODIS,36,6.2,308.3,11.9,D,0
32.2691,35.2489,329.5,1.2,1.1,2006-09-17,1105,Aqua,MODIS,59,6.2,307.4,16.6,D,0
32.3394,35.2475,327,1.2,1.1,2006-09-29,0815,Terra,MODIS,66,6.2,309.4,15.8,D,0
32.3741,35.5314,324.9,1,1,2006-10-04,0833,Terra,MODIS,68,6.2,310.4,7.2,D,0
31.8635,35.029,316.4,1,1,2006-11-22,1052,Aqua,MODIS,72,6.2,299.8,10.6,D,0
32.0161,35.5241,313.9,1.1,1,2006-12-15,1058,Aqua,MODIS,71,6.2,298.1,7.9,D,0
