latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.464,-80.9154,300,1.6,1.2,2006-01-08,0329,Terra,MODIS,10,6.2,289,6.4,N,0
8.0775,-80.8783,315.6,2,1.4,2006-01-10,1534,Terra,MODIS,65,6.2,298.2,19.3,D,0
8.2605,-80.645,318.5,1.5,1.2,2006-01-10,1833,Aqua,MODIS,69,6.2,301.5,13.3,D,0
8.4535,-81.8066,314.4,1,1,2006-01-13,1604,Terra,MODIS,64,6.2,300.6,7.8,D,0
9.1023,-78.9143,311.1,1.4,1.2,2006-01-13,1604,Terra,MODIS,36,6.2,296,7.6,D,0
9.0997,-78.9212,319.6,1.4,1.2,2006-01-13,1604,Terra,MODIS,75,6.2,296,18.3,D,0
8.3802,-81.263,313,1.1,1,2006-01-13,1604,Terra,MODIS,54,6.2,300.7,5.2,D,0
9.1042,-78.9266,312.1,1.4,1.2,2006-01-13,1604,Terra,MODIS,52,6.2,295.7,8.6,D,0
8.0927,-80.6553,314.9,1.1,1.1,2006-01-13,1604,Terra,MODIS,56,6.2,301.6,5.5,D,0
8.0942,-80.6654,331.7,1.1,1.1,2006-01-13,1604,Terra,MODIS,84,6.2,302.2,27.1,D,0
8.3194,-80.4449,320.1,1.4,1.2,2006-01-13,1903,Aqua,MODIS,68,6.2,300.4,15.3,D,0
7.9363,-80.5003,323.2,1.2,1.1,2006-01-17,1839,Aqua,MODIS,76,6.2,297.3,15,D,0
8.1298,-80.8114,312.2,2.3,1.5,2006-01-18,1622,Terra,MODIS,62,6.2,294.4,17.4,D,0
8.3519,-80.2126,320.9,1.9,1.3,2006-01-20,1909,Aqua,MODIS,70,6.2,298,28,D,0
8.1781,-80.5859,328.5,1,1,2006-01-22,1558,Terra,MODIS,81,6.2,296.9,19.2,D,0
8.5245,-80.1301,317.4,1,1,2006-01-22,1558,Terra,MODIS,72,6.2,298.8,9.6,D,0
8.3079,-80.4054,318.3,1,1,2006-01-22,1558,Terra,MODIS,0,6.2,299,10.3,D,0
8.339,-80.4288,329.2,1,1,2006-01-22,1558,Terra,MODIS,82,6.2,299,21.6,D,0
8.2152,-81.1421,317.5,1,1,2006-01-22,1558,Terra,MODIS,68,6.2,298.8,6.8,D,0
8.1795,-80.595,321.7,1,1,2006-01-22,1558,Terra,MODIS,74,6.2,298.7,11.5,D,0
8.3655,-80.517,320.2,1.1,1.1,2006-01-22,1857,Aqua,MODIS,68,6.2,302.4,8.9,D,0
8.4678,-81.367,303.6,1.7,1.3,2006-01-24,0329,Terra,MODIS,56,6.2,291,11.1,N,0
8.5401,-80.1234,316.1,1.1,1.1,2006-01-24,1546,Terra,MODIS,68,6.2,299.4,8.1,D,0
8.3111,-80.456,316.3,1.1,1.1,2006-01-24,1546,Terra,MODIS,59,6.2,299.2,6.8,D,0
8.3125,-80.4664,334.1,1.2,1.1,2006-01-24,1546,Terra,MODIS,86,6.2,300.3,31.2,D,0
8.5387,-80.1134,316.6,1.1,1.1,2006-01-24,1546,Terra,MODIS,68,6.2,299.7,8.3,D,0
9.2243,-79.6617,314.4,1,1,2006-01-24,1845,Aqua,MODIS,65,6.2,299.5,5.3,D,0
8.1523,-80.5823,323,1,1,2006-01-24,1845,Aqua,MODIS,73,6.2,304.9,10,D,0
8.3362,-80.5842,325.3,1,1,2006-01-24,1845,Aqua,MODIS,76,6.2,304.2,12.3,D,0
8.9547,-79.876,316.8,1,1,2006-01-24,1845,Aqua,MODIS,68,6.2,299.7,6.3,D,0
7.9705,-78.2839,311.9,1.1,1,2006-01-26,1832,Aqua,MODIS,51,6.2,291.8,6.8,D,0
8.1546,-80.5744,320.2,1.5,1.2,2006-01-26,1833,Aqua,MODIS,63,6.2,298.9,16,D,0
8.3786,-80.5966,321,1.1,1.1,2006-01-29,1604,Terra,MODIS,75,6.2,298.1,12.9,D,0
8.3733,-80.494,314.7,1.9,1.3,2006-01-30,0720,Aqua,MODIS,90,6.2,291,30.7,N,0
8.1636,-80.8655,325.4,1,1,2006-01-31,1851,Aqua,MODIS,0,6.2,288.5,16.3,D,0
8.1079,-80.8527,311.8,1.5,1.2,2006-02-02,1540,Terra,MODIS,58,6.2,282,12,D,0
8.1422,-80.645,315.3,4.3,1.9,2006-02-06,1515,Terra,MODIS,60,6.2,296.1,53.5,D,0
8.1443,-80.6392,314.5,4.3,1.9,2006-02-06,1515,Terra,MODIS,61,6.2,296.1,48,D,0
8.3827,-80.4911,332.7,1,1,2006-02-07,0341,Terra,MODIS,100,6.2,293.5,32.9,N,0
8.3814,-80.5004,312.5,1,1,2006-02-07,0341,Terra,MODIS,85,6.2,293.2,10.5,N,0
9.052,-79.414,318.9,1.1,1,2006-02-07,1558,Terra,MODIS,40,6.2,302,11.3,D,0
8.1146,-80.7784,323.1,1,1,2006-02-07,1558,Terra,MODIS,72,6.2,304.6,10.3,D,0
7.7204,-81.3572,323.3,1,1,2006-02-07,1857,Aqua,MODIS,70,6.2,301.7,13.8,D,0
7.7666,-80.6269,319.2,1.1,1,2006-02-07,1857,Aqua,MODIS,52,6.2,299.6,5.8,D,0
8.5843,-82.3409,328.4,1,1,2006-02-07,1857,Aqua,MODIS,81,6.2,307.8,15.1,D,0
8.6345,-82.2143,304.2,1.1,1.1,2006-02-08,0714,Aqua,MODIS,59,6.2,291.1,7.6,N,0
8.4274,-80.524,305.4,1.5,1.2,2006-02-09,0329,Terra,MODIS,64,6.2,293.8,9.5,N,0
8.4303,-80.53,309.1,1.5,1.2,2006-02-09,0329,Terra,MODIS,76,6.2,293.7,13,N,0
8.9497,-79.6867,317.5,1,1,2006-02-09,1845,Aqua,MODIS,55,6.2,301.3,4.9,D,0
9.1199,-79.2733,330.4,1,1,2006-02-09,1845,Aqua,MODIS,83,6.2,299.9,20,D,0
8.2875,-82.0675,316.4,1.2,1.1,2006-02-09,1845,Aqua,MODIS,63,6.2,302.1,6.9,D,0
9.0602,-79.5625,318.5,1,1,2006-02-09,1845,Aqua,MODIS,67,6.2,301.6,8,D,0
9.0861,-79.2535,319.9,1,1,2006-02-09,1845,Aqua,MODIS,71,6.2,298.1,8.1,D,0
8.4361,-80.4231,312.1,2.3,1.5,2006-02-10,0412,Terra,MODIS,84,6.2,292.8,36,N,0
8.43,-80.8783,325.2,1.6,1.2,2006-02-11,1833,Aqua,MODIS,77,6.2,298.3,30.2,D,0
7.8401,-81.3494,318.3,1.7,1.3,2006-02-11,1833,Aqua,MODIS,69,6.2,295.7,22.5,D,0
7.8399,-81.3403,321,1.7,1.3,2006-02-11,1833,Aqua,MODIS,72,6.2,295.7,29,D,0
8.4282,-80.8738,301.9,1.3,1.1,2006-02-12,0400,Terra,MODIS,45,6.2,291.4,5.8,N,0
8.1567,-80.6633,309.8,1.2,1.1,2006-02-12,0650,Aqua,MODIS,78,6.2,290.8,11.7,N,0
8.6853,-79.9095,326.9,1.1,1,2006-02-12,0650,Aqua,MODIS,100,6.2,291.7,28.1,N,0
8.3841,-82.4756,318.7,1.3,1.1,2006-02-12,1617,Terra,MODIS,68,6.2,300.2,11.6,D,0
9.1937,-78.9977,320.2,1.9,1.3,2006-02-13,1821,Aqua,MODIS,73,6.2,294.3,31.7,D,0
9.1963,-78.9818,315.4,1.9,1.3,2006-02-13,1821,Aqua,MODIS,63,6.2,292.9,21.5,D,0
9.024,-79.6028,322.8,1.3,1.1,2006-02-14,1604,Terra,MODIS,43,6.2,295.7,20.1,D,0
9.0228,-79.5979,320.9,1.3,1.1,2006-02-14,1604,Terra,MODIS,38,6.2,296.1,16.7,D,0
8.0521,-81.286,314.7,1.1,1,2006-02-14,1605,Terra,MODIS,58,6.2,296.5,6.1,D,0
7.8229,-81.465,326,1.2,1.1,2006-02-14,1903,Aqua,MODIS,74,6.2,297.4,21.6,D,0
7.307,-80.8403,315.1,1.3,1.1,2006-02-14,1903,Aqua,MODIS,49,6.2,301.7,9.4,D,0
8.2385,-80.5931,329.8,1.4,1.2,2006-02-14,1903,Aqua,MODIS,80,6.2,304.8,22.2,D,0
8.402,-80.2253,312.6,4.2,1.9,2006-02-15,1808,Aqua,MODIS,55,6.2,292.7,41.6,D,0
8.3057,-80.504,312.9,1.2,1.1,2006-02-16,0335,Terra,MODIS,86,6.2,294.4,13,N,0
8.3041,-80.5147,312.5,1.2,1.1,2006-02-16,0335,Terra,MODIS,85,6.2,294.4,12.7,N,0
8.472,-80.1592,316.3,1,1,2006-02-16,1552,Terra,MODIS,67,6.2,300.7,6.3,D,0
8.4733,-80.6107,330.8,1,1,2006-02-16,1552,Terra,MODIS,84,6.2,304.4,20,D,0
7.7697,-80.6499,318.9,1,1,2006-02-16,1552,Terra,MODIS,63,6.2,303,6.5,D,0
9.0831,-79.5412,330.1,1.1,1,2006-02-16,1851,Aqua,MODIS,82,6.2,303.1,19.3,D,0
8.2593,-80.5564,326.3,1,1,2006-02-16,1851,Aqua,MODIS,63,6.2,307.7,9.4,D,0
8.258,-80.5655,325.5,1,1,2006-02-16,1851,Aqua,MODIS,54,6.2,308.4,8.2,D,0
8.4234,-80.6331,322.6,1,1,2006-02-16,1851,Aqua,MODIS,65,6.2,308.8,6.9,D,0
8.2315,-81.9035,326.7,1,1,2006-02-16,1851,Aqua,MODIS,73,6.2,307.3,13,D,0
7.8052,-81.4104,335.4,1,1,2006-02-16,1851,Aqua,MODIS,83,6.2,305.7,27.8,D,0
