latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.9244,143.3085,346.9,2.5,1.5,2006-01-02,0428,Aqua,MODIS,94,6.2,289.6,183.4,D,0
-3.9309,143.3145,346.1,2.5,1.5,2006-01-02,0428,Aqua,MODIS,94,6.2,289.2,172.6,D,0
-3.9346,143.3326,331.3,2.5,1.5,2006-01-02,0428,Aqua,MODIS,64,6.2,283.7,84.3,D,0
-3.9444,143.3166,341.7,2.5,1.5,2006-01-02,0428,Aqua,MODIS,91,6.2,288.3,144.8,D,0
-6.1318,155.1943,306.6,1.1,1,2006-01-02,1514,Aqua,MODIS,47,6.2,281.5,9.1,N,1
-6.1332,155.2042,314.8,1.1,1,2006-01-02,1514,Aqua,MODIS,86,6.2,281.6,16,N,1
-6.0682,145.5409,311.6,1.9,1.4,2006-01-04,0415,Aqua,MODIS,66,6.2,291.4,19.1,D,0
-6.131,155.1936,307.8,1.1,1,2006-01-04,1502,Aqua,MODIS,72,6.2,284.4,9.5,N,1
-6.1324,155.2029,309.9,1.1,1,2006-01-04,1502,Aqua,MODIS,79,6.2,285,11.4,N,1
-6.4603,143.2206,326,1.9,1.3,2006-01-05,0029,Terra,MODIS,83,6.2,291.1,52.8,D,2
-6.1433,155.1933,334,1.1,1,2006-01-05,0320,Aqua,MODIS,81,6.2,295.8,29.6,D,1
-6.8116,143.7413,310,2,1.4,2006-01-06,0112,Terra,MODIS,69,6.2,286.5,20.4,D,0
-6.8145,143.7342,311.8,2,1.4,2006-01-06,0112,Terra,MODIS,72,6.2,287.5,23.8,D,0
-5.1706,142.3302,305.5,1.5,1.2,2006-01-06,0112,Terra,MODIS,62,6.2,283.8,8,D,0
-6.4613,143.2207,330.9,1,1,2006-01-06,0403,Aqua,MODIS,0,6.2,286,26.7,D,2
-6.5845,145.9657,332.4,1.2,1.1,2006-01-06,0403,Aqua,MODIS,86,6.2,296.5,36.1,D,0
-6.1306,155.1987,317.4,1.6,1.2,2006-01-06,1449,Aqua,MODIS,93,6.2,288.1,33.4,N,1
-6.374,155.3869,315,1.3,1.1,2006-01-07,0016,Terra,MODIS,28,6.2,300.1,10.3,D,0
-6.3775,155.4107,317.1,1.3,1.1,2006-01-07,0016,Terra,MODIS,49,6.2,300.9,13.5,D,0
-4.9381,151.6812,316.6,1,1,2006-01-07,0016,Terra,MODIS,66,6.2,298.7,8.2,D,0
-6.1574,145.3762,317.3,1.5,1.2,2006-01-08,0100,Terra,MODIS,76,6.2,294.6,20,D,0
-6.1529,145.3697,312.4,1.5,1.2,2006-01-08,0100,Terra,MODIS,59,6.2,294.4,11.6,D,0
-6.2428,146.246,314.1,1.7,1.3,2006-01-08,0100,Terra,MODIS,51,6.2,293.4,17,D,0
-6.2446,145.3434,309.1,1.5,1.2,2006-01-08,0100,Terra,MODIS,65,6.2,294.5,9.5,D,0
-6.5709,146.2266,314.2,1.8,1.3,2006-01-08,0100,Terra,MODIS,72,6.2,298.1,18.3,D,0
-6.8149,143.7288,309.1,1.2,1.1,2006-01-08,0100,Terra,MODIS,62,6.2,290.1,7.4,D,0
-6.1549,145.3833,311.4,1.5,1.2,2006-01-08,0100,Terra,MODIS,47,6.2,294.4,9.5,D,0
-7.3176,146.7204,322.9,1,1,2006-01-08,0350,Aqua,MODIS,78,6.2,299.2,14,D,0
-7.1354,146.2631,314.4,1,1,2006-01-08,0350,Aqua,MODIS,67,6.2,297.5,7.3,D,0
-5.3176,142.1994,325.4,1.4,1.2,2006-01-08,0351,Aqua,MODIS,83,6.2,298,29.3,D,0
-5.5028,145.9058,315.8,1,1,2006-01-08,0351,Aqua,MODIS,38,6.2,297.4,7.9,D,0
-6.2156,145.3552,313.9,1,1,2006-01-08,0351,Aqua,MODIS,55,6.2,293.7,7.4,D,0
-6.8477,146.3397,320.4,1,1,2006-01-08,0351,Aqua,MODIS,31,6.2,303.7,8.7,D,0
-6.2606,145.8185,315.6,1,1,2006-01-08,0351,Aqua,MODIS,69,6.2,294.4,9.3,D,0
-6.5908,145.6917,315.4,1,1,2006-01-08,0351,Aqua,MODIS,67,6.2,297.9,7.7,D,0
-6.7045,147.3303,318.3,1,1,2006-01-08,0351,Aqua,MODIS,38,6.2,303.8,8.4,D,0
-6.2814,145.2804,322.5,1,1,2006-01-08,0351,Aqua,MODIS,79,6.2,299.3,12.4,D,0
-5.5549,150.5057,310,1.6,1.2,2006-01-08,0351,Aqua,MODIS,43,6.2,290.3,10,D,0
-4.2384,152.2167,315.2,1.3,1.1,2006-01-09,0004,Terra,MODIS,0,6.2,296.1,10.9,D,0
-4.0022,143.1037,313.3,3.1,1.7,2006-01-09,0434,Aqua,MODIS,62,6.2,293.1,30,D,0
-4.0901,143.5146,325,3.4,1.7,2006-01-09,0434,Aqua,MODIS,79,6.2,293.2,95.7,D,0
-3.9994,143.1084,315.1,3.1,1.7,2006-01-09,0434,Aqua,MODIS,66,6.2,292.7,38.6,D,0
-3.9827,143.3092,318.2,3.2,1.7,2006-01-09,0434,Aqua,MODIS,71,6.2,292.4,52.2,D,0
-3.9718,143.3023,349.3,3.2,1.7,2006-01-09,0434,Aqua,MODIS,95,6.2,292.7,299.2,D,0
-3.9675,143.3067,342,3.2,1.7,2006-01-09,0434,Aqua,MODIS,91,6.2,291.9,218.9,D,0
-3.9487,143.4235,322.2,3.3,1.7,2006-01-09,0434,Aqua,MODIS,67,6.2,287.3,78.8,D,0
-6.1367,155.2001,310.9,1.2,1.1,2006-01-09,1222,Terra,MODIS,73,6.2,276.7,16,N,1
-6.1343,155.198,308.2,1.3,1.1,2006-01-09,1520,Aqua,MODIS,59,6.2,276.3,14.5,N,1
-6.2673,145.9203,300.8,1.1,1,2006-01-10,0047,Terra,MODIS,33,6.2,276.9,4,D,0
-6.4568,143.2175,327.8,1.7,1.3,2006-01-11,0421,Aqua,MODIS,85,6.2,292.5,48.5,D,2
-3.8328,143.0334,318.8,1.8,1.3,2006-01-11,0422,Aqua,MODIS,70,6.2,293.9,20.4,D,0
-3.8304,143.0492,320.3,1.8,1.3,2006-01-11,0422,Aqua,MODIS,72,6.2,293.3,24.5,D,0
-6.1363,155.1966,321.5,1,1,2006-01-11,1210,Terra,MODIS,100,6.2,284.4,21,N,1
-6.1364,155.2029,324,1,1,2006-01-11,1508,Aqua,MODIS,100,6.2,290.3,22.3,N,1
-6.1351,155.1939,320.9,1,1,2006-01-11,1508,Aqua,MODIS,100,6.2,289.4,19,N,1
-6.457,146.727,320.9,1,1,2006-01-12,0035,Terra,MODIS,77,6.2,293.2,12.9,D,0
-6.4583,146.7361,311.1,1,1,2006-01-12,0035,Terra,MODIS,34,6.2,292.8,4.9,D,0
-6.46,143.2201,326.4,1.5,1.2,2006-01-12,0035,Terra,MODIS,77,6.2,286.5,36.4,D,2
