latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.0723,-56.4075,321.6,1.2,1.1,2006-01-01,1410,Terra,MODIS,45,6.2,302.8,13.3,D,0
-24.0054,-55.9556,313.6,3.5,1.8,2006-01-01,1651,Aqua,MODIS,41,6.2,291.4,42.5,D,0
-26.3143,-57.6743,331.5,1,1,2006-01-02,1733,Aqua,MODIS,79,6.2,309.6,14.7,D,0
-26.1792,-56.5659,319.1,1,1,2006-01-02,1733,Aqua,MODIS,32,6.2,303,7.6,D,0
-26.4086,-54.7756,353.4,1.1,1,2006-01-02,1733,Aqua,MODIS,96,6.2,308.7,57.4,D,0
-26.5836,-56.113,322.6,1,1,2006-01-02,1733,Aqua,MODIS,65,6.2,303.8,10.3,D,0
-26.3022,-55.7022,324.8,1,1,2006-01-02,1733,Aqua,MODIS,43,6.2,303.9,11.7,D,0
-23.358,-56.6352,320.8,1,1,2006-01-02,1734,Aqua,MODIS,60,6.2,302.3,8.1,D,0
-23.2525,-57.306,325.3,1,1,2006-01-02,1734,Aqua,MODIS,75,6.2,307.7,11.5,D,0
-23.2338,-59.4068,326.7,1.1,1.1,2006-01-02,1734,Aqua,MODIS,61,6.2,301.9,16.4,D,0
-24.0181,-57.7224,326.5,1,1,2006-01-02,1734,Aqua,MODIS,56,6.2,309.6,10.4,D,0
-24.0291,-57.8021,327.1,1,1,2006-01-02,1734,Aqua,MODIS,64,6.2,306.5,12.2,D,0
-22.4184,-56.8795,318.4,1,1,2006-01-02,1734,Aqua,MODIS,43,6.2,299.1,5.5,D,0
-24.0277,-57.7922,331.2,1,1,2006-01-02,1734,Aqua,MODIS,69,6.2,308.3,16,D,0
-24.0263,-57.7822,330.4,1,1,2006-01-02,1734,Aqua,MODIS,62,6.2,308.8,14.9,D,0
-23.2352,-59.4178,328.8,1.1,1.1,2006-01-02,1734,Aqua,MODIS,73,6.2,305,18.8,D,0
-20.6944,-58.1942,320.3,1,1,2006-01-02,1735,Aqua,MODIS,57,6.2,302.4,10.7,D,0
-21.1392,-59.6458,321.6,1.1,1,2006-01-02,1735,Aqua,MODIS,28,6.2,302.7,11.3,D,0
-20.693,-58.1846,321.2,1,1,2006-01-02,1735,Aqua,MODIS,61,6.2,302.7,11.2,D,0
-23.1655,-59.6332,307.8,1.6,1.3,2006-01-03,0301,Terra,MODIS,72,6.2,293.6,12.9,N,0
-23.1684,-59.6492,310.9,1.6,1.3,2006-01-03,0301,Terra,MODIS,81,6.2,293.6,17.4,N,0
-25.542,-56.5129,317.2,1,1,2006-01-03,1358,Terra,MODIS,57,6.2,298.7,6.9,D,0
-26.3766,-57.7483,316.4,1,1,2006-01-03,1358,Terra,MODIS,66,6.2,288,8.6,D,0
-25.2348,-55.5312,317.8,1,1,2006-01-03,1358,Terra,MODIS,56,6.2,302.4,7.9,D,0
-26.1236,-57.8259,343.1,1,1,2006-01-03,1358,Terra,MODIS,92,6.2,302.1,38.3,D,0
-26.9712,-56.3057,312.6,1,1,2006-01-03,1358,Terra,MODIS,46,6.2,283.8,6,D,0
-26.1985,-55.5349,313.6,1,1,2006-01-03,1358,Terra,MODIS,48,6.2,297,6.7,D,0
-24.592,-55.2058,308.8,1.4,1.2,2006-01-04,0513,Aqua,MODIS,76,6.2,288.9,14.5,N,0
-26.1001,-56.3259,304.3,1.2,1.1,2006-01-04,0514,Aqua,MODIS,59,6.2,289.5,9.1,N,0
-24.7753,-58.472,317.1,2.8,1.6,2006-01-04,1440,Terra,MODIS,65,6.2,303.1,31,D,0
-24.0296,-57.7499,330.5,3.1,1.7,2006-01-04,1440,Terra,MODIS,84,6.2,303.2,117.2,D,0
-24.6743,-55.246,315.2,4.8,2,2006-01-04,1440,Terra,MODIS,48,6.2,300.4,52.9,D,0
-24.6766,-55.2414,315.4,4.8,2,2006-01-04,1440,Terra,MODIS,65,6.2,300.7,61.8,D,0
-24.0269,-57.7805,325.9,3.1,1.7,2006-01-04,1440,Terra,MODIS,80,6.2,302.8,86.4,D,0
-24.0093,-59.0821,317.1,2.5,1.5,2006-01-04,1440,Terra,MODIS,69,6.2,300.7,32,D,0
-24.7778,-58.444,325.5,2.8,1.6,2006-01-04,1440,Terra,MODIS,79,6.2,303.9,68.4,D,0
-25.7341,-56.7427,317.8,3.8,1.8,2006-01-04,1441,Terra,MODIS,58,6.2,305.6,43.3,D,0
-25.1228,-56.1944,349.6,4.1,1.9,2006-01-04,1441,Terra,MODIS,95,6.2,302.6,425,D,0
-25.7288,-56.7353,318.9,3.8,1.8,2006-01-04,1441,Terra,MODIS,69,6.2,305.4,53.9,D,0
-25.1255,-56.2017,343.7,4.1,1.9,2006-01-04,1441,Terra,MODIS,92,6.2,302.9,335.6,D,0
-27.1966,-57.6685,320.1,3.4,1.7,2006-01-04,1441,Terra,MODIS,50,6.2,302.3,47.8,D,0
-25.1285,-56.1607,325.2,4.2,1.9,2006-01-04,1441,Terra,MODIS,78,6.2,301.6,132,D,0
-25.126,-56.1532,315.2,4.2,1.9,2006-01-04,1441,Terra,MODIS,62,6.2,301.2,54.9,D,0
-26.156,-57.7459,318.2,3.3,1.7,2006-01-04,1441,Terra,MODIS,22,6.2,305,36.8,D,0
-24.9475,-57.1011,331.3,1.3,1.1,2006-01-04,1721,Aqua,MODIS,79,6.2,312.8,20.6,D,0
-26.3723,-56.3001,338.1,1.2,1.1,2006-01-04,1721,Aqua,MODIS,85,6.2,307.1,35.5,D,0
-26.3745,-56.3056,351.2,1.2,1.1,2006-01-04,1721,Aqua,MODIS,95,6.2,307.7,70.3,D,0
-26.7654,-56.4343,320.5,1.2,1.1,2006-01-04,1721,Aqua,MODIS,48,6.2,306.5,9.5,D,0
-26.373,-56.2935,322.2,1.2,1.1,2006-01-04,1721,Aqua,MODIS,49,6.2,306.8,10.2,D,0
-25.6503,-55.2611,326.6,1.1,1,2006-01-04,1721,Aqua,MODIS,63,6.2,310.6,12.1,D,0
-25.604,-57.3337,326.7,1.3,1.1,2006-01-04,1721,Aqua,MODIS,57,6.2,314.3,15.4,D,0
-25.4599,-56.7221,342.2,1.2,1.1,2006-01-04,1721,Aqua,MODIS,88,6.2,315.3,40.3,D,0
-25.908,-55.8357,330.8,1.1,1.1,2006-01-04,1721,Aqua,MODIS,77,6.2,310.6,16.1,D,0
-25.7844,-56.6367,327,1.2,1.1,2006-01-04,1721,Aqua,MODIS,62,6.2,309.2,14.2,D,0
-24.6814,-55.2686,326,1.1,1,2006-01-04,1721,Aqua,MODIS,54,6.2,309.8,12.4,D,0
-26.1372,-57.8256,326.7,1.5,1.2,2006-01-04,1721,Aqua,MODIS,66,6.2,308.8,15.4,D,0
-25.2828,-56.9377,328.7,1.3,1.1,2006-01-04,1721,Aqua,MODIS,74,6.2,312.2,16.9,D,0
-26.3082,-56.68,327.1,1.3,1.1,2006-01-04,1721,Aqua,MODIS,72,6.2,307.7,21,D,0
-26.2631,-57.7422,343.2,1.4,1.2,2006-01-04,1721,Aqua,MODIS,90,6.2,308.1,64.1,D,0
