latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.4916,-71.3551,307.8,1.3,1.1,2006-01-01,0619,Aqua,MODIS,73,6.2,278.2,14.7,N,0
-2.9271,-72.3167,304.9,2.4,1.5,2006-01-01,1543,Terra,MODIS,27,6.2,286.7,9,D,0
-3.6838,-74.737,315.9,1.6,1.2,2006-01-01,1543,Terra,MODIS,70,6.2,293.3,19.7,D,0
-4.1924,-77.3948,305.6,1.1,1.1,2006-01-01,1543,Terra,MODIS,20,6.2,291.3,2.8,D,0
-3.6818,-74.7512,310,1.6,1.2,2006-01-01,1543,Terra,MODIS,57,6.2,293.1,10.6,D,0
-6.423,-77.3639,309.6,1.2,1.1,2006-01-01,1544,Terra,MODIS,45,6.2,294.1,7.3,D,0
-6.4246,-77.3525,313.6,1.2,1.1,2006-01-01,1544,Terra,MODIS,69,6.2,292.8,11.2,D,0
-7.2114,-76.0937,310.3,1.1,1,2006-01-01,1834,Aqua,MODIS,46,6.2,289.1,6.4,D,0
-9.3015,-76.0012,315,1.1,1,2006-01-01,1834,Aqua,MODIS,30,6.2,297.9,9.2,D,0
-6.023,-73.6946,337.7,1,1,2006-01-01,1834,Aqua,MODIS,88,6.2,300,35.1,D,0
-6.6961,-77.326,305.3,1.2,1.1,2006-01-01,1834,Aqua,MODIS,49,6.2,279.8,6.2,D,0
-7.144,-76.0712,312.4,1.1,1,2006-01-01,1834,Aqua,MODIS,56,6.2,291.3,7.7,D,0
-7.0397,-76.2485,313.4,1.1,1,2006-01-01,1834,Aqua,MODIS,50,6.2,290,6.3,D,0
-4.7578,-73.5472,325.7,1.1,1,2006-01-01,1835,Aqua,MODIS,79,6.2,298.9,18.6,D,0
-5.77,-77.2731,339.6,1.2,1.1,2006-01-01,1835,Aqua,MODIS,91,6.2,299,45.7,D,0
-2.9935,-73.4329,314.6,1.1,1.1,2006-01-01,1835,Aqua,MODIS,0,6.2,295.9,8,D,0
-4.0377,-77.8118,310.9,1.2,1.1,2006-01-01,1835,Aqua,MODIS,60,6.2,295.6,6.7,D,0
-5.2514,-75.6291,314.8,1,1,2006-01-01,1835,Aqua,MODIS,60,6.2,295.8,7.2,D,0
-6.1806,-76.794,315.7,1.1,1,2006-01-01,1835,Aqua,MODIS,72,6.2,293.5,10.4,D,0
-4.041,-77.8164,313.8,1.2,1.1,2006-01-01,1835,Aqua,MODIS,67,6.2,295.9,9,D,0
-4.4075,-73.604,319.7,1.1,1,2006-01-01,1835,Aqua,MODIS,71,6.2,298.3,11.6,D,0
-6.1843,-75.9178,312.2,1,1,2006-01-01,1835,Aqua,MODIS,67,6.2,290.8,7.8,D,0
-3.9578,-73.6708,315.6,1.1,1,2006-01-01,1835,Aqua,MODIS,57,6.2,298.1,7.8,D,0
-3.9592,-73.6804,328,1.1,1,2006-01-01,1835,Aqua,MODIS,81,6.2,298.8,21.8,D,0
-3.8215,-73.6973,320,1.1,1,2006-01-01,1835,Aqua,MODIS,71,6.2,298.2,12.4,D,0
-3.5368,-80.4281,317.3,4,1.9,2006-01-02,1626,Terra,MODIS,42,6.2,293.6,44.8,D,0
-5.0781,-80.6725,333.3,1.8,1.3,2006-01-02,1918,Aqua,MODIS,82,6.2,305.3,29.6,D,0
-5.0772,-73.7938,304.9,1.7,1.3,2006-01-03,0307,Terra,MODIS,62,6.2,291.2,10.4,N,0
-5.0751,-73.7788,304,1.7,1.3,2006-01-03,0307,Terra,MODIS,58,6.2,291.3,9.2,N,0
-6.5521,-76.2603,300.3,2.5,1.5,2006-01-03,0604,Aqua,MODIS,25,6.2,287.3,14.1,N,0
-2.4043,-74.0527,312.1,1.1,1,2006-01-03,1530,Terra,MODIS,0,6.2,292.6,7.8,D,0
-6.3613,-76.5764,317.5,1,1,2006-01-03,1531,Terra,MODIS,72,6.2,296.3,7.9,D,0
-6.3908,-76.5624,314.9,1,1,2006-01-03,1531,Terra,MODIS,65,6.2,294.4,5.4,D,0
-5.5554,-76.711,310.9,1.7,1.3,2006-01-03,1822,Aqua,MODIS,62,6.2,290.6,12.7,D,0
-6.2166,-75.9343,311.3,1.5,1.2,2006-01-03,1822,Aqua,MODIS,65,6.2,293.6,10.1,D,0
-6.2685,-75.8324,333.9,1.5,1.2,2006-01-03,1822,Aqua,MODIS,87,6.2,295.7,50.5,D,0
-6.5737,-76.2898,318.4,1.6,1.2,2006-01-03,1822,Aqua,MODIS,24,6.2,294.3,16.5,D,0
-6.2667,-75.8194,317.4,1.5,1.2,2006-01-03,1822,Aqua,MODIS,74,6.2,295.1,17.2,D,0
-5.7991,-77.2339,315.7,1.8,1.3,2006-01-03,1822,Aqua,MODIS,58,6.2,283.5,23.7,D,0
-6.5757,-76.3044,331.4,1.6,1.2,2006-01-03,1822,Aqua,MODIS,81,6.2,296.5,44.3,D,0
-6.4141,-76.8771,333.2,1.8,1.3,2006-01-03,1822,Aqua,MODIS,85,6.2,290.6,66.5,D,0
-6.2188,-76.2906,312.6,1.6,1.2,2006-01-03,1822,Aqua,MODIS,67,6.2,290.7,12.5,D,0
-6.2168,-76.2765,325.2,1.6,1.2,2006-01-03,1822,Aqua,MODIS,81,6.2,291.7,35.6,D,0
-7.2709,-75.3583,317,1.4,1.2,2006-01-03,1822,Aqua,MODIS,55,6.2,294,16.2,D,0
-5.8448,-76.2374,320,1.6,1.2,2006-01-03,1822,Aqua,MODIS,76,6.2,293.7,23.8,D,0
-5.8429,-76.2236,318.2,1.5,1.2,2006-01-03,1822,Aqua,MODIS,74,6.2,293.2,20.6,D,0
-6.1778,-76.2387,312.9,1.6,1.2,2006-01-03,1822,Aqua,MODIS,68,6.2,290.9,13.2,D,0
-6.1286,-76.2237,309.8,1.6,1.2,2006-01-03,1822,Aqua,MODIS,62,6.2,290.3,8.5,D,0
-6.0974,-76.2424,309.7,1.6,1.2,2006-01-03,1822,Aqua,MODIS,61,6.2,291.4,7.7,D,0
-5.9957,-76.2472,312.6,1.6,1.2,2006-01-03,1822,Aqua,MODIS,54,6.2,293.7,11.3,D,0
-5.682,-77.1396,317.5,1.8,1.3,2006-01-03,1822,Aqua,MODIS,71,6.2,287.1,31,D,0
-5.7833,-77.1196,310.4,1.8,1.3,2006-01-03,1822,Aqua,MODIS,54,6.2,287.2,16.5,D,0
-6.7894,-76.1076,309.4,1.6,1.2,2006-01-03,1822,Aqua,MODIS,54,6.2,291.8,10.1,D,0
-6.41,-76.8695,322.8,1.8,1.3,2006-01-03,1822,Aqua,MODIS,53,6.2,288.2,35.5,D,0
-6.0332,-76.8569,330.9,1.7,1.3,2006-01-03,1822,Aqua,MODIS,85,6.2,284.4,60.8,D,0
-6.2203,-76.1281,311.7,1.5,1.2,2006-01-03,1822,Aqua,MODIS,52,6.2,292,12.2,D,0
-6.0352,-76.8716,322.7,1.7,1.3,2006-01-03,1822,Aqua,MODIS,78,6.2,288,38.9,D,0
-6.8194,-76.1629,314.1,1.6,1.2,2006-01-03,1822,Aqua,MODIS,58,6.2,294.2,13.5,D,0
-6.8174,-76.1479,330,1.6,1.2,2006-01-03,1822,Aqua,MODIS,84,6.2,293.4,45,D,0
