latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.2526,120.6001,315.7,1.1,1,2006-01-01,0227,Terra,MODIS,44,6.2,295.2,6.4,D,0
10.4247,123.3482,310.3,1.1,1,2006-01-01,0228,Terra,MODIS,0,6.2,291.3,4.6,D,0
9.5861,122.801,316.7,1.1,1,2006-01-01,0228,Terra,MODIS,70,6.2,297.1,9.3,D,0
10.6606,122.9696,319,1.4,1.2,2006-01-01,0528,Aqua,MODIS,69,6.2,294.6,12.8,D,0
18.4076,120.8238,313.5,1.3,1.1,2006-01-01,0530,Aqua,MODIS,43,6.2,299.5,8.9,D,0
15.3152,120.7108,300.6,1.4,1.2,2006-01-02,1401,Terra,MODIS,30,6.2,289.1,5.5,N,0
15.3316,120.609,315.2,1.7,1.3,2006-01-03,0214,Terra,MODIS,63,6.2,296.5,15,D,0
12.6177,121.1305,317.5,1.4,1.2,2006-01-03,0215,Terra,MODIS,57,6.2,293.2,15.5,D,0
7.79,125.0009,317.1,1,1,2006-01-03,0216,Terra,MODIS,77,6.2,287.5,12.8,D,0
7.862,124.8235,306.5,1.1,1,2006-01-03,0515,Aqua,MODIS,45,6.2,282.7,4.7,D,0
12.8522,121.0245,312.6,1,1,2006-01-03,0516,Aqua,MODIS,51,6.2,297,7.1,D,0
10.6242,123.0713,320.7,1,1,2006-01-03,0516,Aqua,MODIS,73,6.2,292.2,16,D,0
12.9662,120.9849,314.8,1,1,2006-01-03,0516,Aqua,MODIS,62,6.2,295.1,9.7,D,0
16.239,120.8102,319.1,1,1,2006-01-03,0517,Aqua,MODIS,75,6.2,297.2,11.1,D,0
15.8297,120.9711,318,1,1,2006-01-03,0517,Aqua,MODIS,71,6.2,298.3,9.1,D,0
14.3132,120.8051,316.6,1,1,2006-01-03,0517,Aqua,MODIS,53,6.2,299.7,8.2,D,0
16.2376,120.8009,314.9,1,1,2006-01-03,0517,Aqua,MODIS,65,6.2,297.5,7,D,0
14.4743,120.5859,312.8,1,1,2006-01-03,0517,Aqua,MODIS,54,6.2,297.3,5.8,D,0
14.8943,120.3155,312.2,1,1,2006-01-03,0517,Aqua,MODIS,55,6.2,298.2,6.3,D,0
15.0688,120.6178,310.3,1,1,2006-01-03,0517,Aqua,MODIS,32,6.2,291.6,4.5,D,0
16.2169,120.848,316.5,1,1,2006-01-03,0517,Aqua,MODIS,70,6.2,296.9,10.9,D,0
17.6939,120.81,312.7,1,1,2006-01-03,0518,Aqua,MODIS,60,6.2,298.5,4.8,D,0
17.7914,120.7887,311.1,1,1,2006-01-03,0518,Aqua,MODIS,53,6.2,296.6,5.4,D,0
