latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.6866,15.9814,312.3,1,1,2006-01-11,2040,Terra,MODIS,85,6.2,269.6,17.5,N,2
50.3368,19.2896,309.9,1.3,1.1,2006-01-28,1156,Aqua,MODIS,65,6.2,269,22.7,D,2
51.6856,15.9774,300,1.1,1,2006-02-24,0954,Terra,MODIS,17,6.2,274.2,9.3,D,2
52.7418,15.3495,320.4,1,1,2006-02-24,1139,Aqua,MODIS,80,6.2,275.5,23.8,D,0
50.3349,19.2865,312.6,1.2,1.1,2006-03-07,0936,Terra,MODIS,48,6.2,271.8,21.3,D,2
51.6896,15.9746,306.6,1.1,1.1,2006-03-21,1133,Aqua,MODIS,60,6.2,277.9,12.4,D,2
51.6877,15.9705,300.5,1.6,1.2,2006-03-22,1216,Aqua,MODIS,25,6.2,277.7,10.9,D,2
51.6766,15.9727,305.2,1.6,1.2,2006-03-22,1216,Aqua,MODIS,56,6.2,280.3,16.6,D,2
51.6873,15.9647,301.2,1.6,1.3,2006-03-23,0936,Terra,MODIS,37,6.2,280.7,14.4,D,2
51.6854,15.9885,313.2,1.6,1.3,2006-03-23,0936,Terra,MODIS,64,6.2,282.2,30.6,D,2
52.8374,15.6054,300.1,1.4,1.2,2006-03-23,1121,Aqua,MODIS,23,6.2,282,9.1,D,0
50.3381,19.3059,302.8,1.6,1.2,2006-03-24,1019,Terra,MODIS,29,6.2,277.6,14.2,D,0
52.356,14.5801,300.6,1,1,2006-03-24,1019,Terra,MODIS,39,6.2,278.1,6.6,D,0
50.3417,19.2792,302.4,1.5,1.2,2006-03-24,1019,Terra,MODIS,52,6.2,281.3,16,D,0
50.3373,19.2998,311,1.6,1.2,2006-03-24,1019,Terra,MODIS,71,6.2,279.2,26.3,D,2
50.3425,19.2852,310.5,1.5,1.2,2006-03-24,1019,Terra,MODIS,58,6.2,281.2,23.8,D,0
51.1802,16.1217,300.3,1.1,1.1,2006-03-27,0123,Aqua,MODIS,25,6.2,275.3,10.3,N,0
51.1354,22.1641,307,1.1,1.1,2006-03-28,0955,Terra,MODIS,61,6.2,278.1,12.6,D,0
50.658,23.3915,300.7,1.3,1.1,2006-03-28,0955,Terra,MODIS,28,6.2,283.6,7.4,D,0
50.6483,23.3869,309.6,1.3,1.1,2006-03-28,0955,Terra,MODIS,69,6.2,284.7,14.9,D,0
51.6833,15.9827,302.5,1.7,1.3,2006-03-29,2011,Terra,MODIS,49,6.2,276.2,20.6,N,2
50.4177,18.1409,301.3,1.1,1.1,2006-03-30,0943,Terra,MODIS,20,6.2,288,5.7,D,2
50.3309,19.2903,311.7,1.1,1,2006-03-30,1126,Aqua,MODIS,62,6.2,286.4,11.4,D,2
51.6906,15.9716,302.6,1,1,2006-04-01,2041,Terra,MODIS,50,6.2,279.8,8.8,N,2
51.7745,15.6292,316.7,1,1,2006-04-02,1013,Terra,MODIS,67,6.2,282.1,15.3,D,0
50.1657,23.1263,303,1.2,1.1,2006-04-03,0918,Terra,MODIS,54,6.2,291.6,5.5,D,0
50.4147,18.1451,306.5,1,1,2006-04-04,1145,Aqua,MODIS,53,6.2,291.4,6.4,D,2
53.703,18.8246,302.3,2,1.4,2006-04-05,1050,Aqua,MODIS,27,6.2,282.7,16.9,D,0
50.3377,19.2889,302.3,1,1,2006-04-06,0949,Terra,MODIS,34,6.2,284.2,7,D,0
50.338,19.2891,303.5,1.1,1,2006-04-07,0105,Aqua,MODIS,56,6.2,271.2,12.4,N,0
51.7152,15.8204,306.5,1.4,1.2,2006-04-07,1031,Terra,MODIS,64,6.2,283.4,13.3,D,0
50.5199,16.9058,303.8,1.7,1.3,2006-04-07,1215,Aqua,MODIS,57,6.2,290.3,8.4,D,0
50.654,17.6367,301,1.9,1.3,2006-04-07,1215,Aqua,MODIS,32,6.2,288.9,10,D,0
51.1777,15.0323,302.7,1.4,1.2,2006-04-07,1216,Aqua,MODIS,48,6.2,284.7,9.4,D,0
54.3747,21.6231,304,1.1,1,2006-04-08,0935,Terra,MODIS,58,6.2,285.1,7.6,D,0
54.2423,22.4602,300.2,1.1,1,2006-04-08,0935,Terra,MODIS,33,6.2,282.2,5.9,D,0
54.2443,22.4443,309.2,1.1,1,2006-04-08,0935,Terra,MODIS,68,6.2,282.7,11.6,D,0
51.2681,22.543,301.7,1,1,2006-04-08,0936,Terra,MODIS,49,6.2,283.3,5.3,D,0
