latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.2431,-8.5524,302.2,1,1,2006-01-03,1338,Aqua,MODIS,51,6.2,287.3,5.8,D,0
37.971,-8.724,309.3,1,1,2006-01-10,1344,Aqua,MODIS,68,6.2,286.6,10.8,D,0
37.9695,-8.7354,303,1,1,2006-01-10,1344,Aqua,MODIS,55,6.2,286.7,6.8,D,0
37.4597,-8.7894,317.5,1.6,1.2,2006-01-11,2216,Terra,MODIS,95,6.2,280.9,37.9,N,0
41.3391,-7.8589,303.6,1.5,1.2,2006-01-21,2253,Terra,MODIS,56,6.2,275,20.2,N,0
40.6384,-8.1858,311.5,1.3,1.1,2006-01-27,1111,Terra,MODIS,63,6.2,277.8,20.3,D,0
40.6367,-8.169,319.3,1.3,1.1,2006-01-27,1111,Terra,MODIS,79,6.2,277.8,30.4,D,0
40.6405,-8.1753,317,1.3,1.1,2006-01-27,1111,Terra,MODIS,49,6.2,278,26,D,0
41.929,-8.2512,332.7,1.2,1.1,2006-01-27,2217,Terra,MODIS,100,6.2,270.9,49.3,N,0
41.9298,-8.2574,307.4,1.2,1.1,2006-01-27,2217,Terra,MODIS,71,6.2,269.3,17.8,N,0
41.9322,-8.2445,302.3,1.2,1.1,2006-01-27,2217,Terra,MODIS,48,6.2,270.8,13.6,N,0
41.7751,-7.132,300.6,1.1,1,2006-01-30,1320,Aqua,MODIS,39,6.2,282.1,7.7,D,0
41.6931,-8.4565,303.7,1.8,1.3,2006-01-31,1403,Aqua,MODIS,57,6.2,287,15.5,D,0
41.6919,-8.4569,331.9,1,1,2006-02-01,1129,Terra,MODIS,88,6.2,285.6,33.4,D,0
41.8234,-8.6034,309.8,1,1,2006-02-01,1129,Terra,MODIS,69,6.2,283.6,12,D,0
41.8251,-8.6152,304.5,1,1,2006-02-01,1129,Terra,MODIS,59,6.2,284.2,8.6,D,0
41.6936,-8.4688,308.2,1,1,2006-02-01,1129,Terra,MODIS,67,6.2,282.7,10,D,0
40.0531,-8.2436,301.2,1,1,2006-02-01,1130,Terra,MODIS,39,6.2,285.8,5.9,D,0
40.0585,-8.2184,310.8,1,1,2006-02-01,1130,Terra,MODIS,71,6.2,283.4,12.3,D,0
40.0548,-8.2551,300.6,1,1,2006-02-01,1130,Terra,MODIS,39,6.2,284.1,6.1,D,0
38.1138,-7.6334,302.5,1,1,2006-02-01,2234,Terra,MODIS,49,6.2,273.9,9.3,N,0
41.9957,-8.3105,301,1,1,2006-02-04,1339,Aqua,MODIS,43,6.2,289.2,6,D,0
41.765,-7.8979,306.6,1,1,2006-02-04,1339,Aqua,MODIS,64,6.2,285.1,9.2,D,0
41.8636,-8.3251,301.2,1.7,1.3,2006-02-05,1105,Terra,MODIS,45,6.2,284.3,13.5,D,0
41.7093,-8.2306,306.1,1.2,1.1,2006-02-06,0221,Aqua,MODIS,67,6.2,273.1,14.5,N,0
41.863,-7.9708,314.8,1.3,1.1,2006-02-06,1148,Terra,MODIS,75,6.2,282.3,24.1,D,0
41.985,-8.2911,303,1.3,1.1,2006-02-06,1148,Terra,MODIS,54,6.2,281.5,10.8,D,0
42.0652,-8.1638,327.5,1.3,1.1,2006-02-06,1148,Terra,MODIS,85,6.2,284.3,39.2,D,0
42.0624,-8.1487,324.4,1.3,1.1,2006-02-06,1148,Terra,MODIS,83,6.2,284.4,33.7,D,0
42.0723,-8.1457,311.5,1.3,1.1,2006-02-06,1148,Terra,MODIS,58,6.2,283.9,17.1,D,0
38.2411,-8.7022,312.3,1.2,1.1,2006-02-06,1326,Aqua,MODIS,72,6.2,290.2,14.6,D,0
38.2508,-8.705,308,1.2,1.1,2006-02-06,1326,Aqua,MODIS,63,6.2,289.9,10.2,D,0
38.2386,-8.716,302.6,1.2,1.1,2006-02-06,1326,Aqua,MODIS,35,6.2,290.1,5.8,D,0
41.5168,-8.0408,300.7,1.1,1,2006-02-06,1327,Aqua,MODIS,41,6.2,286.7,5.6,D,0
41.8749,-7.8362,300.3,1,1,2006-02-06,1327,Aqua,MODIS,35,6.2,279.6,6.4,D,0
41.8769,-7.824,303.5,1,1,2006-02-06,1327,Aqua,MODIS,56,6.2,281,8.4,D,0
41.6789,-6.8927,304.6,1,1,2006-02-06,1327,Aqua,MODIS,59,6.2,284.4,8.5,D,0
41.8602,-7.9812,309.9,1.1,1,2006-02-06,1327,Aqua,MODIS,69,6.2,286,13,D,0
42.0625,-8.171,311.2,1.1,1,2006-02-06,1327,Aqua,MODIS,67,6.2,286.1,12,D,0
42.0646,-8.1583,348.2,1.1,1,2006-02-06,1327,Aqua,MODIS,95,6.2,289.3,64.8,D,0
41.9945,-8.2962,300.2,1.1,1,2006-02-06,1327,Aqua,MODIS,31,6.2,287.9,5.6,D,0
41.6698,-8.2484,367.6,1.5,1.2,2006-02-06,2254,Terra,MODIS,100,6.2,283.9,198.3,N,0
41.6714,-8.2317,428,1.5,1.2,2006-02-06,2254,Terra,MODIS,100,6.2,297.2,833.6,N,0
41.6671,-8.2418,387.6,1.5,1.2,2006-02-06,2254,Terra,MODIS,100,6.2,288.3,336.4,N,0
41.6688,-8.2249,384.3,1.5,1.2,2006-02-06,2254,Terra,MODIS,100,6.2,288.3,311,N,0
41.675,-8.2423,306.6,1.9,1.3,2006-02-07,0304,Aqua,MODIS,68,6.2,279.6,28.9,N,0
41.776,-8.0317,319.5,2.5,1.5,2006-02-07,1053,Terra,MODIS,79,6.2,285.6,67.7,D,0
41.7777,-8.0591,303.8,2.5,1.5,2006-02-07,1053,Terra,MODIS,24,6.2,283,23.7,D,0
41.7695,-8.0397,309.6,2.5,1.5,2006-02-07,1053,Terra,MODIS,69,6.2,285.3,38.4,D,0
41.7831,-8.0369,312.4,2.5,1.5,2006-02-07,1053,Terra,MODIS,72,6.2,284.6,47.6,D,0
42.0592,-8.1365,302.7,2.3,1.5,2006-02-07,1410,Aqua,MODIS,53,6.2,290.3,18.5,D,0
41.665,-8.2461,313.2,2.2,1.5,2006-02-07,1410,Aqua,MODIS,69,6.2,292.6,40.4,D,0
41.9474,-8.4624,305.1,2.2,1.4,2006-02-07,1410,Aqua,MODIS,61,6.2,290.6,21.6,D,0
41.9493,-8.436,308.9,2.2,1.4,2006-02-07,1410,Aqua,MODIS,68,6.2,290.5,29.3,D,0
41.6667,-8.2207,308.2,2.3,1.5,2006-02-07,1410,Aqua,MODIS,50,6.2,290.6,28.4,D,0
41.6555,-8.2378,308.7,2.2,1.5,2006-02-07,1410,Aqua,MODIS,39,6.2,291,26.4,D,0
41.8102,-8.036,308.5,2.3,1.5,2006-02-07,1410,Aqua,MODIS,67,6.2,287.4,30.6,D,0
42.0586,-8.1077,303.8,1,1,2006-02-08,1135,Terra,MODIS,57,6.2,285.6,7.5,D,0
41.9809,-8.2619,307.6,1,1,2006-02-08,1135,Terra,MODIS,66,6.2,287,9.4,D,0
41.5863,-8.0556,305.6,1,1,2006-02-08,1136,Terra,MODIS,62,6.2,285.3,8.1,D,0
41.5844,-8.0436,316.1,1,1,2006-02-08,1136,Terra,MODIS,76,6.2,286.7,16.2,D,0
41.7413,-8.5083,300.3,1,1,2006-02-08,1136,Terra,MODIS,34,6.2,289.1,5.5,D,0
40.1064,-8.1495,348.3,1.1,1,2006-02-08,1136,Terra,MODIS,95,6.2,287.3,65.4,D,0
40.1013,-8.1766,305.5,1.1,1,2006-02-08,1136,Terra,MODIS,62,6.2,282,9.4,D,0
41.7789,-8.0409,303.3,1,1,2006-02-08,1136,Terra,MODIS,55,6.2,284.8,6.8,D,0
41.777,-8.0286,305.9,1,1,2006-02-08,1136,Terra,MODIS,62,6.2,286.8,8.3,D,0
