latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.0128,-66.2752,325.4,1.3,1.1,2006-01-20,1733,Aqua,MODIS,79,6.2,302.5,23,D,0
18.0147,-66.2635,319.4,1.3,1.1,2006-01-20,1733,Aqua,MODIS,67,6.2,301.5,14,D,0
18.0294,-66.2834,303.3,1.5,1.2,2006-01-21,0300,Terra,MODIS,55,6.2,291.2,9,N,0
18.0657,-66.3093,311.6,1.1,1,2006-01-21,1512,Terra,MODIS,65,6.2,296.2,7.3,D,0
17.9801,-66.1709,314.8,1.1,1.1,2006-01-21,1512,Terra,MODIS,69,6.2,299.8,8.4,D,0
18.0883,-66.8515,312,1,1,2006-01-25,1752,Aqua,MODIS,43,6.2,297.7,5.4,D,0
18.0105,-66.3294,317.9,1.1,1,2006-01-27,1740,Aqua,MODIS,54,6.2,297.5,9.3,D,0
17.9576,-66.1302,316.3,1.4,1.2,2006-01-28,1518,Terra,MODIS,0,6.2,296.6,13.2,D,0
18.0208,-66.3243,318.5,1,1,2006-01-30,1506,Terra,MODIS,77,6.2,299,11,D,0
18.0194,-66.3149,313.2,1,1,2006-01-30,1506,Terra,MODIS,64,6.2,297.9,6.8,D,0
18.206,-66.8518,309.9,1.1,1.1,2006-02-12,1740,Aqua,MODIS,52,6.2,297.8,6.3,D,0
17.9675,-66.1616,333.5,1.2,1.1,2006-02-17,1454,Terra,MODIS,86,6.2,300.2,31.3,D,0
17.9675,-66.1748,320.2,1.3,1.1,2006-02-17,1758,Aqua,MODIS,52,6.2,302.3,11.5,D,0
17.969,-66.1632,331.4,1.3,1.1,2006-02-17,1758,Aqua,MODIS,84,6.2,300.8,29.3,D,0
18.4567,-67.0909,315.6,1,1,2006-02-19,1746,Aqua,MODIS,64,6.2,304.1,5.5,D,0
18.1581,-66.488,314.2,1,1,2006-02-19,1746,Aqua,MODIS,60,6.2,296.2,8.6,D,0
18.0258,-66.2755,323.9,1.7,1.3,2006-02-20,1525,Terra,MODIS,66,6.2,305.1,26,D,0
18.0236,-66.2698,325.3,1.7,1.3,2006-02-20,1525,Terra,MODIS,26,6.2,305.1,28.1,D,0
18.0285,-66.2914,328,1.7,1.3,2006-02-20,1525,Terra,MODIS,76,6.2,305,36.9,D,0
18.0545,-66.281,324.7,1.3,1.1,2006-02-21,1734,Aqua,MODIS,59,6.2,303.4,19.7,D,0
18.055,-66.2758,322,1.3,1.1,2006-02-21,1734,Aqua,MODIS,46,6.2,302.5,13.7,D,0
18.0784,-66.3092,317.7,1.1,1,2006-02-22,1512,Terra,MODIS,71,6.2,303.5,8.9,D,0
18.2629,-66.4092,309,1.1,1,2006-02-22,1512,Terra,MODIS,52,6.2,297.5,5.4,D,0
18.2645,-66.4191,308,1.1,1,2006-02-22,1512,Terra,MODIS,45,6.2,296.6,4.5,D,0
18.0043,-66.2432,320.1,1.1,1.1,2006-02-22,1512,Terra,MODIS,58,6.2,307.1,7.9,D,0
