latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.8788,51.5336,300.1,2.2,1.4,2006-01-01,1818,Terra,MODIS,14,6.2,285.7,19.7,N,2
25.2673,50.7985,309.6,2.6,1.5,2006-01-01,1818,Terra,MODIS,78,6.2,284.1,48.6,N,2
25.279,50.8165,311,1.2,1.1,2006-01-01,2236,Aqua,MODIS,81,6.2,275.7,18.3,N,2
25.2693,50.8146,310.2,1.2,1.1,2006-01-01,2236,Aqua,MODIS,79,6.2,276.9,17.5,N,2
25.2644,50.7946,319.1,1.6,1.2,2006-01-02,0933,Aqua,MODIS,61,6.2,294.2,24.3,D,2
25.2671,50.8097,328.8,1.6,1.2,2006-01-02,0933,Aqua,MODIS,71,6.2,297.8,43.4,D,2
25.2729,50.8035,313.2,1.2,1.1,2006-01-02,1900,Terra,MODIS,77,6.2,283.9,17.4,N,2
25.2937,50.8122,305.4,1.2,1.1,2006-01-02,1900,Terra,MODIS,64,6.2,284.1,11.6,N,2
25.2632,50.805,308.7,1.2,1.1,2006-01-02,1900,Terra,MODIS,75,6.2,283.5,14.3,N,2
24.9161,51.5541,326.2,1.3,1.1,2006-01-02,1900,Terra,MODIS,100,6.2,288.6,37.7,N,2
25.4944,50.7932,318.5,1.2,1.1,2006-01-02,1901,Terra,MODIS,97,6.2,284.8,24.7,N,0
25.276,50.8139,318.5,1,1,2006-01-03,2224,Aqua,MODIS,97,6.2,281.1,19.8,N,2
25.2727,50.8071,332.2,1,1,2006-01-04,1848,Terra,MODIS,100,6.2,286.4,34,N,2
25.2624,50.7989,300.5,1,1,2006-01-04,1848,Terra,MODIS,29,6.2,284.5,6,N,2
25.2638,50.8087,318.3,1,1,2006-01-04,1848,Terra,MODIS,97,6.2,284.8,18.7,N,2
24.9555,51.5504,314,1,1,2006-01-04,1848,Terra,MODIS,88,6.2,286.3,14.8,N,0
25.2751,50.8157,305.7,4.1,1.9,2006-01-04,2307,Aqua,MODIS,65,6.2,281.9,82.8,N,2
25.2763,50.8159,325.9,1.2,1.1,2006-01-05,2212,Aqua,MODIS,100,6.2,284.8,35.7,N,2
25.2665,50.8144,313.2,1.2,1.1,2006-01-05,2212,Aqua,MODIS,86,6.2,283.3,19.3,N,2
25.2778,50.804,309.8,1.2,1.1,2006-01-05,2212,Aqua,MODIS,78,6.2,284.1,16,N,2
25.268,50.8025,301.2,1.2,1.1,2006-01-05,2212,Aqua,MODIS,38,6.2,283.7,8.6,N,2
25.2628,50.8027,310.1,1.5,1.2,2006-01-06,0739,Terra,MODIS,27,6.2,293.5,8.6,D,2
25.2735,50.8051,326.7,1.5,1.2,2006-01-06,0739,Terra,MODIS,80,6.2,294.8,37,D,2
25.2581,50.7917,315,4.2,1.9,2006-01-06,0909,Aqua,MODIS,0,6.2,293.1,60.9,D,2
25.8849,51.5441,302,1.1,1.1,2006-01-06,1836,Terra,MODIS,46,6.2,287.3,8.3,N,2
25.2719,50.8156,310.4,1.3,1.1,2006-01-06,1836,Terra,MODIS,80,6.2,284.8,17.7,N,2
25.2698,50.8034,329.3,1.3,1.1,2006-01-06,1836,Terra,MODIS,100,6.2,286.1,43.3,N,2
25.2693,50.8235,324.5,2.5,1.5,2006-01-06,2255,Aqua,MODIS,100,6.2,282.1,97.3,N,2
25.2741,50.7994,308.3,2.5,1.5,2006-01-06,2255,Aqua,MODIS,74,6.2,282.6,43.4,N,2
25.2719,50.8057,300.9,3.2,1.7,2006-01-09,2147,Aqua,MODIS,36,6.2,283.8,39.2,N,2
25.273,50.8011,300.4,3.2,1.7,2006-01-09,2147,Aqua,MODIS,26,6.2,283.9,36.7,N,2
25.2638,50.8018,300.6,3.3,1.7,2006-01-10,1811,Terra,MODIS,30,6.2,284.6,33.5,N,2
25.272,50.813,328.2,1.1,1,2006-01-10,2230,Aqua,MODIS,100,6.2,285.6,31.9,N,2
