latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.2148,55.7391,360.4,1,1,2006-01-02,0638,Terra,MODIS,75,6.2,290.2,89.5,D,2
-21.2132,55.7282,357.7,1,1,2006-01-02,0638,Terra,MODIS,93,6.2,289.2,82.3,D,2
-21.2141,55.7284,336.3,1.2,1.1,2006-01-02,1848,Terra,MODIS,100,6.2,281.2,50,N,2
-21.2031,55.7375,364.1,1.2,1.1,2006-01-02,1848,Terra,MODIS,100,6.2,280.4,124.4,N,2
-21.2044,55.7274,386.4,1.2,1.1,2006-01-02,1848,Terra,MODIS,100,6.2,284.1,228.8,N,2
-21.2178,55.7246,309.5,1.2,1.1,2006-01-02,1848,Terra,MODIS,66,6.2,279.6,14.8,N,2
-21.2166,55.7342,320.3,1.2,1.1,2006-01-02,1848,Terra,MODIS,100,6.2,280,26,N,2
-21.2129,55.738,323.3,1.2,1.1,2006-01-02,1848,Terra,MODIS,100,6.2,280.5,29.1,N,2
-21.2042,55.7289,345.2,1.5,1.2,2006-01-02,2153,Aqua,MODIS,100,6.2,284.1,99.4,N,2
-21.2089,55.74,346.7,1.5,1.2,2006-01-02,2153,Aqua,MODIS,100,6.2,285,105.2,N,2
-21.2069,55.7221,307.6,1.5,1.2,2006-01-02,2153,Aqua,MODIS,55,6.2,282.1,19.4,N,2
-21.2108,55.7561,326.9,1.5,1.2,2006-01-02,2153,Aqua,MODIS,100,6.2,281.6,49.6,N,2
-21.2083,55.7621,322.6,1.5,1.2,2006-01-02,2153,Aqua,MODIS,100,6.2,281.3,41.5,N,2
-21.2064,55.7462,356.3,1.5,1.2,2006-01-02,2153,Aqua,MODIS,100,6.2,284.6,143,N,2
-21.2031,55.7453,339.1,1.1,1,2006-01-04,0625,Terra,MODIS,76,6.2,300.4,39.9,D,2
-21.2123,55.7431,379.1,1.1,1,2006-01-04,0625,Terra,MODIS,100,6.2,306.7,159.2,D,2
-21.2226,55.7039,327.8,4.6,2,2006-01-04,1046,Aqua,MODIS,76,6.2,295.8,194.2,D,1
-21.2205,55.709,333,4.6,2,2006-01-04,1046,Aqua,MODIS,80,6.2,294.6,255,D,1
