latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.4287,27.9625,300,1,1,2006-01-02,0010,Aqua,MODIS,9,6.2,271.5,9,N,0
45.4223,27.9626,301.1,1.1,1,2006-01-08,0900,Terra,MODIS,0,6.2,272.2,10.2,D,0
45.9288,25.2435,301.6,1,1,2006-01-11,1112,Aqua,MODIS,48,6.2,273.7,9.5,D,0
45.1265,21.7069,310.6,1.1,1,2006-01-14,1142,Aqua,MODIS,70,6.2,275,16.5,D,0
45.8373,25.1513,304.1,1.1,1.1,2006-01-16,1130,Aqua,MODIS,58,6.2,275,12.1,D,0
45.0934,26.8149,309,4.2,1.9,2006-01-26,1207,Aqua,MODIS,68,6.2,273.8,102.3,D,0
45.3636,26.8737,305.1,1,1,2006-01-27,1112,Aqua,MODIS,60,6.2,276.2,9.9,D,0
44.857,26.8385,309.8,2.8,1.6,2006-01-28,1154,Aqua,MODIS,69,6.2,278.7,55.2,D,0
44.8179,26.6736,311.3,1.1,1.1,2006-01-29,1059,Aqua,MODIS,71,6.2,279.7,16.2,D,0
44.7317,26.7685,313.5,1.1,1.1,2006-01-29,1059,Aqua,MODIS,74,6.2,276.1,19.7,D,0
45.0419,26.5456,325.4,3,1.6,2006-01-30,1001,Terra,MODIS,84,6.2,281.5,125.3,D,0
45.0278,26.5457,310.5,3,1.6,2006-01-30,1001,Terra,MODIS,70,6.2,281.3,56,D,0
45.0417,26.5528,317,3,1.6,2006-01-30,1001,Terra,MODIS,77,6.2,281.2,82.3,D,0
44.9978,29.4194,303.6,2.6,1.6,2006-01-30,1142,Aqua,MODIS,56,6.2,275,39.2,D,0
45.3063,26.5001,310.2,1.8,1.3,2006-01-30,1142,Aqua,MODIS,70,6.2,277.1,30.8,D,0
45.1141,26.6622,304.4,1.8,1.3,2006-01-30,1142,Aqua,MODIS,59,6.2,279.2,19.7,D,0
45.3082,26.5238,314.3,1.8,1.3,2006-01-30,1142,Aqua,MODIS,75,6.2,277.2,37.5,D,0
44.7945,26.4148,312.9,2,1.4,2006-02-01,0949,Terra,MODIS,73,6.2,279.4,38.2,D,0
44.7962,26.4211,301.3,2,1.4,2006-02-01,0949,Terra,MODIS,34,6.2,277.9,18,D,0
45.0821,26.9731,335.5,1.3,1.1,2006-02-01,1130,Aqua,MODIS,90,6.2,284.8,57.1,D,0
45.3353,26.8845,309.8,1.3,1.1,2006-02-01,1130,Aqua,MODIS,68,6.2,283.2,15.3,D,0
44.0381,24.2219,305.4,1,1,2006-02-01,1130,Aqua,MODIS,61,6.2,278,10.7,D,0
45.0485,26.4618,319,1.3,1.1,2006-02-01,1130,Aqua,MODIS,79,6.2,287.8,24.2,D,0
45.1646,26.797,301.4,1.3,1.1,2006-02-01,1130,Aqua,MODIS,47,6.2,282.5,8.8,D,0
45.1172,26.8407,311,1.3,1.1,2006-02-01,1130,Aqua,MODIS,71,6.2,283.7,17.3,D,0
45.0502,26.4778,335.2,1.3,1.1,2006-02-01,1130,Aqua,MODIS,89,6.2,286.7,52,D,0
45.0484,26.4724,330.8,1.3,1.1,2006-02-01,1130,Aqua,MODIS,87,6.2,288.1,42.6,D,0
44.1818,22.8344,306.4,1,1,2006-02-01,1130,Aqua,MODIS,63,6.2,279.1,10.1,D,0
45.0865,26.4469,303.1,1.3,1.1,2006-02-01,1130,Aqua,MODIS,55,6.2,284,9.4,D,0
45.0736,26.9919,318.8,1.3,1.1,2006-02-01,1130,Aqua,MODIS,79,6.2,281.7,28.7,D,0
45.0718,26.9751,329.2,1.3,1.1,2006-02-01,1130,Aqua,MODIS,86,6.2,283.6,45.4,D,0
45.0838,26.9899,350.8,1.3,1.1,2006-02-01,1130,Aqua,MODIS,96,6.2,282.5,99.6,D,0
45.0928,26.3158,300.1,1.2,1.1,2006-02-01,1130,Aqua,MODIS,25,6.2,280.3,8,D,0
45.0205,26.9704,306.5,1.3,1.1,2006-02-02,0854,Terra,MODIS,64,6.2,276.6,16.2,D,0
44.4527,28.1684,301.1,1.2,1.1,2006-02-02,0854,Terra,MODIS,44,6.2,276.4,10,D,0
45.2915,26.9871,306.2,2.1,1.4,2006-02-02,1035,Aqua,MODIS,63,6.2,284.2,24.2,D,0
45.2987,26.8429,310.4,2.2,1.4,2006-02-02,1035,Aqua,MODIS,70,6.2,280.8,36.9,D,0
44.5838,28.0554,300.9,1.1,1,2006-02-03,1117,Aqua,MODIS,43,6.2,278.9,8.7,D,0
45.1319,26.2904,311.7,1,1,2006-02-03,1118,Aqua,MODIS,72,6.2,280.3,14.7,D,0
45.1302,26.2777,318.5,1,1,2006-02-03,1118,Aqua,MODIS,79,6.2,281.5,20.3,D,0
44.3384,22.6804,313.8,1.1,1.1,2006-02-03,1118,Aqua,MODIS,74,6.2,276.1,18.9,D,0
45.5396,27.3769,311.7,1.1,1.1,2006-02-05,0925,Terra,MODIS,50,6.2,270.1,18.5,D,0
46.0323,20.914,313.2,1.2,1.1,2006-02-06,1149,Aqua,MODIS,73,6.2,275,20.3,D,0
45.6504,20.9486,321.1,1.2,1.1,2006-02-06,1149,Aqua,MODIS,81,6.2,275.3,29.2,D,0
45.6487,20.9336,322.4,1.2,1.1,2006-02-06,1149,Aqua,MODIS,82,6.2,276.2,30.8,D,0
45.0836,29.3327,357.6,1.1,1,2006-02-07,0912,Terra,MODIS,65,6.2,269.5,92.9,D,0
45.0814,29.3458,353.3,1.1,1,2006-02-07,0912,Terra,MODIS,92,6.2,271,81.2,D,0
45.3515,28.2895,300.9,1.1,1.1,2006-02-07,1053,Aqua,MODIS,32,6.2,276.3,7.9,D,0
44.4453,28.0309,300.4,1.2,1.1,2006-02-07,1053,Aqua,MODIS,36,6.2,274.8,9.7,D,0
45.3491,28.2755,303.8,1.1,1.1,2006-02-07,1053,Aqua,MODIS,57,6.2,277.4,10.2,D,0
45.1069,27.2485,301.5,1.2,1.1,2006-02-07,1053,Aqua,MODIS,48,6.2,272.2,11.5,D,0
45.1978,29.5119,314.6,1,1,2006-02-07,1053,Aqua,MODIS,71,6.2,270.4,19.6,D,0
45.1957,29.4988,322.5,1,1,2006-02-07,1053,Aqua,MODIS,82,6.2,271.1,27.4,D,0
45.1584,29.0387,323.4,1.1,1,2006-02-07,1053,Aqua,MODIS,82,6.2,272.9,28.3,D,0
45.1606,29.052,344.5,1.1,1,2006-02-07,1053,Aqua,MODIS,94,6.2,273.3,61.8,D,0
45.3549,28.2833,308.1,1.1,1.1,2006-02-07,1053,Aqua,MODIS,66,6.2,276.4,14.1,D,0
44.9662,29.5455,314.5,3.6,1.8,2006-02-08,0955,Terra,MODIS,58,6.2,273.3,103.1,D,0
44.8864,28.8377,308.6,2,1.4,2006-02-08,1136,Aqua,MODIS,0,6.2,273.6,33.9,D,0
45.2217,29.3827,303.4,2.2,1.4,2006-02-08,1136,Aqua,MODIS,49,6.2,273.5,29.8,D,0
44.2512,28.2438,300.9,1.8,1.3,2006-02-08,1136,Aqua,MODIS,42,6.2,276.1,15.9,D,0
44.9617,29.5482,332.2,2.2,1.4,2006-02-08,1136,Aqua,MODIS,88,6.2,274,110.6,D,0
45.268,29.4884,302.1,2.2,1.4,2006-02-08,1136,Aqua,MODIS,20,6.2,274.6,23.4,D,0
44.9636,29.576,310.3,2.2,1.4,2006-02-08,1136,Aqua,MODIS,51,6.2,273.1,39.8,D,0
44.9488,29.5498,307.2,2.2,1.4,2006-02-08,1136,Aqua,MODIS,46,6.2,273.7,33.9,D,0
44.876,29.0458,372.2,2,1.4,2006-02-08,1136,Aqua,MODIS,100,6.2,277.1,367,D,3
44.8996,29.5609,300.1,2.2,1.4,2006-02-08,1136,Aqua,MODIS,15,6.2,274,22.1,D,0
45.1578,29.013,308.2,2.1,1.4,2006-02-08,1136,Aqua,MODIS,50,6.2,275,35.2,D,0
45.0259,28.1813,301.9,1.1,1,2006-02-09,0900,Terra,MODIS,47,6.2,273.3,9.6,D,0
45.2952,28.0867,302.1,1.1,1,2006-02-09,0900,Terra,MODIS,44,6.2,273.9,9.6,D,0
45.1932,29.5322,328.5,1.1,1.1,2006-02-12,1112,Aqua,MODIS,54,6.2,267.7,37.3,D,0
44.5567,28.1711,308,2.2,1.4,2006-02-15,1142,Aqua,MODIS,54,6.2,276.1,31.9,D,0
