latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.0284,30.8569,305.2,1,1,2006-01-27,2026,Terra,MODIS,63,6.2,281.7,8.5,N,0
-2.0202,30.8452,303,1.1,1,2006-01-27,2321,Aqua,MODIS,53,6.2,283.6,7.5,N,0
-1.6508,30.7498,321.2,1,1,2006-01-30,1129,Aqua,MODIS,61,6.2,297.8,12.5,D,0
-2.1988,30.3042,306.9,4.3,1.9,2006-02-02,1949,Terra,MODIS,70,6.2,280.1,71.5,N,0
-1.0878,30.451,306.9,1.1,1,2006-02-05,2020,Terra,MODIS,70,6.2,290.4,8.5,N,0
-2.2568,30.3151,303.5,1.8,1.3,2006-02-07,2007,Terra,MODIS,31,6.2,273.6,17.6,N,0
-1.4466,30.1126,322.2,1.2,1.1,2006-02-10,0818,Terra,MODIS,65,6.2,303,12.2,D,0
-1.4451,30.1028,316.9,1.2,1.1,2006-02-10,0818,Terra,MODIS,36,6.2,301.8,5.8,D,0
-1.4422,30.1087,327.5,1.2,1.1,2006-02-10,0818,Terra,MODIS,77,6.2,302.9,18.7,D,0
-1.6218,30.8337,338,1.6,1.2,2006-02-10,1111,Aqua,MODIS,66,6.2,299.4,62,D,0
-1.7108,30.8112,324.8,2.1,1.4,2006-02-11,1154,Aqua,MODIS,25,6.2,302.9,32.5,D,0
-2.3371,30.8338,338.8,2.1,1.4,2006-02-11,1154,Aqua,MODIS,63,6.2,308.1,70.5,D,0
-2.2832,30.3266,337.5,1.9,1.4,2006-02-11,1154,Aqua,MODIS,83,6.2,300.2,72.9,D,0
-2.2858,30.3096,328.4,1.9,1.4,2006-02-11,1154,Aqua,MODIS,48,6.2,304.4,38.4,D,0
-2.2798,30.3206,343.1,1.9,1.4,2006-02-11,1154,Aqua,MODIS,89,6.2,301.5,97.8,D,0
-2.3876,30.5803,329.6,2,1.4,2006-02-11,1154,Aqua,MODIS,72,6.2,307.9,38.2,D,0
-1.6759,29.2381,309.3,3.7,1.8,2006-05-09,0907,Terra,MODIS,0,6.2,293,38.7,D,0
-1.4685,30.7384,309,3.8,1.8,2006-06-01,1208,Aqua,MODIS,47,6.2,291.7,33.8,D,0
-1.637,30.7118,318.1,2.9,1.6,2006-06-04,1100,Aqua,MODIS,65,6.2,295.7,53.1,D,0
-1.6334,30.7371,312.7,2.9,1.6,2006-06-04,1100,Aqua,MODIS,50,6.2,292.2,33.5,D,0
-1.631,30.7298,318.4,2.9,1.6,2006-06-04,1100,Aqua,MODIS,43,6.2,293,50.7,D,0
-1.6376,30.7299,323.9,1.1,1,2006-06-16,0831,Terra,MODIS,72,6.2,300.3,17.6,D,0
-2.3939,29.92,316.2,1,1,2006-06-16,0831,Terra,MODIS,68,6.2,302.3,7.3,D,0
-1.639,30.7392,315.9,1.1,1,2006-06-16,0831,Terra,MODIS,61,6.2,298.7,9.7,D,0
-1.5544,30.7742,311.9,3.8,1.8,2006-06-17,1208,Aqua,MODIS,53,6.2,292.1,44.1,D,0
-1.6127,30.7156,310.4,3.7,1.8,2006-06-17,1208,Aqua,MODIS,29,6.2,292.5,33,D,0
-1.6193,30.7215,315.1,3.7,1.8,2006-06-17,1208,Aqua,MODIS,70,6.2,293.3,58.9,D,0
-1.546,30.7657,310.2,3.8,1.8,2006-06-17,1208,Aqua,MODIS,30,6.2,291.2,30.7,D,0
-1.6169,30.7788,314.1,1.3,1.1,2006-06-25,1119,Aqua,MODIS,61,6.2,297.5,10.9,D,0
-1.6153,30.725,322.4,1.1,1,2006-06-30,1138,Aqua,MODIS,27,6.2,308,11.9,D,0
-1.6246,30.6885,332.5,3.9,1.8,2006-07-01,0748,Terra,MODIS,80,6.2,295.7,193.2,D,0
-1.6299,30.7221,340.3,3.8,1.8,2006-07-01,0748,Terra,MODIS,78,6.2,296.8,278.3,D,0
-1.6181,30.695,325.2,3.9,1.8,2006-07-01,0748,Terra,MODIS,74,6.2,295,131.9,D,0
-1.6232,30.7287,323.1,3.8,1.8,2006-07-01,0748,Terra,MODIS,72,6.2,295.3,119.3,D,0
-1.6345,30.6926,327.5,3.9,1.8,2006-07-01,0748,Terra,MODIS,70,6.2,295.4,139.4,D,0
-1.6495,30.7552,314.7,1.1,1,2006-07-02,0831,Terra,MODIS,38,6.2,297.4,8.3,D,0
-1.6508,30.7646,314.1,1.1,1,2006-07-02,0831,Terra,MODIS,35,6.2,296.5,7.8,D,0
-1.6586,30.7539,347.5,1.1,1,2006-07-02,0831,Terra,MODIS,89,6.2,300.6,55,D,0
-1.66,30.7633,331.6,1.1,1,2006-07-02,0831,Terra,MODIS,79,6.2,298.2,26.6,D,0
-1.6678,30.7526,319.8,1.1,1,2006-07-02,0831,Terra,MODIS,43,6.2,297.9,12.1,D,0
-1.6692,30.762,334.6,1.1,1,2006-07-02,0831,Terra,MODIS,75,6.2,296.6,31.6,D,0
-1.6627,30.7531,326.3,1.1,1,2006-07-02,1125,Aqua,MODIS,0,6.2,301.3,18.3,D,0
-1.6719,30.7544,347.1,1.1,1,2006-07-02,1125,Aqua,MODIS,0,6.2,300.1,52.2,D,0
-1.6545,30.7552,326.9,1.1,1,2006-07-02,1125,Aqua,MODIS,65,6.2,299.2,19.5,D,0
-1.6439,30.7633,324.3,1.1,1,2006-07-02,1125,Aqua,MODIS,73,6.2,296.8,18,D,0
-1.6453,30.7538,339.6,1.1,1,2006-07-02,1125,Aqua,MODIS,89,6.2,296.8,40.3,D,0
-1.6594,30.6865,334.5,1.6,1.3,2006-07-04,1113,Aqua,MODIS,65,6.2,304.3,48.4,D,0
-1.6472,30.7006,324.2,1.3,1.1,2006-07-04,2039,Terra,MODIS,100,6.2,287.9,33.4,N,0
-1.6456,30.7118,309.8,1.3,1.1,2006-07-04,2039,Terra,MODIS,78,6.2,287.2,15.7,N,0
-1.6223,30.683,328.7,3.7,1.8,2006-07-05,0901,Terra,MODIS,84,6.2,299.3,131.7,D,0
-1.6383,30.681,316.8,3.7,1.8,2006-07-05,0901,Terra,MODIS,59,6.2,298.5,51.7,D,0
-1.625,30.6543,313.7,3.6,1.8,2006-07-05,0901,Terra,MODIS,46,6.2,298.4,31.3,D,0
-1.6302,30.6892,331.8,3.7,1.8,2006-07-05,0901,Terra,MODIS,81,6.2,300.2,161.9,D,0
-1.6352,30.6737,330,2.1,1.4,2006-07-05,1156,Aqua,MODIS,62,6.2,303,45.7,D,0
-1.6364,30.6818,333.7,2.1,1.4,2006-07-05,1156,Aqua,MODIS,85,6.2,303.8,63.5,D,0
-1.6239,30.6796,335.6,2.1,1.4,2006-07-05,1156,Aqua,MODIS,83,6.2,302,71.8,D,0
-1.6324,30.6931,330,2.1,1.4,2006-07-05,1156,Aqua,MODIS,22,6.2,305.5,50.6,D,0
-1.5813,30.7677,326.2,2.8,1.6,2006-07-06,1101,Aqua,MODIS,77,6.2,288.6,89.3,D,0
-1.5784,30.7603,348.8,2.8,1.6,2006-07-06,1101,Aqua,MODIS,95,6.2,289.2,251.5,D,0
-2.2992,29.5943,310.9,1.1,1.1,2006-07-09,0837,Terra,MODIS,58,6.2,297.5,5.3,D,0
-2.2952,30.3731,316.9,1,1,2006-07-11,0825,Terra,MODIS,46,6.2,295.9,10.6,D,0
-1.4677,30.7371,324.7,1.6,1.3,2006-07-11,2045,Terra,MODIS,100,6.2,285.7,50.6,N,0
-1.4692,30.7289,318.4,1.6,1.3,2006-07-11,2045,Terra,MODIS,97,6.2,285.3,36.7,N,0
-1.4488,30.7332,304.9,3.8,1.8,2006-07-12,1950,Terra,MODIS,62,6.2,286.4,53.1,N,0
-1.4577,30.7283,300.4,3.8,1.8,2006-07-12,1950,Terra,MODIS,26,6.2,286.2,36.4,N,0
-1.4416,30.7256,328.6,3.8,1.8,2006-07-12,1950,Terra,MODIS,100,6.2,287.1,193,N,0
-1.4327,30.7308,319.4,3.8,1.8,2006-07-12,1950,Terra,MODIS,40,6.2,286.3,113.8,N,0
-1.4533,30.7005,308.2,3.8,1.8,2006-07-12,1950,Terra,MODIS,74,6.2,287.1,68.8,N,0
-1.4441,30.6929,342.9,1.3,1.1,2006-07-13,0812,Terra,MODIS,69,6.2,300.8,59.3,D,0
-1.4577,30.7149,325,1.3,1.1,2006-07-13,0812,Terra,MODIS,53,6.2,302.6,21.8,D,0
-1.4594,30.7264,332.3,1.3,1.1,2006-07-13,0812,Terra,MODIS,81,6.2,302.7,37.4,D,0
-1.456,30.7034,334.7,1.3,1.1,2006-07-13,0812,Terra,MODIS,86,6.2,301.7,40.6,D,0
-1.4459,30.7046,361.1,1.3,1.1,2006-07-13,0812,Terra,MODIS,100,6.2,302.7,121.3,D,0
-1.4337,30.6962,329.7,2.1,1.4,2006-07-13,1107,Aqua,MODIS,62,6.2,298,69,D,0
-1.4463,30.6983,333.3,2.1,1.4,2006-07-13,1107,Aqua,MODIS,57,6.2,301.3,78.7,D,0
-1.4689,30.7212,320.9,2.1,1.4,2006-07-13,1107,Aqua,MODIS,36,6.2,301.4,34.3,D,0
-2.3116,30.2848,338.2,1,1,2006-07-13,2033,Terra,MODIS,100,6.2,286.9,43.8,N,0
-1.4664,30.7192,303.9,1.1,1,2006-07-13,2033,Terra,MODIS,56,6.2,288,7.5,N,0
-1.4231,30.7067,311.3,1.1,1,2006-07-13,2033,Terra,MODIS,82,6.2,285.8,13.5,N,0
-1.4245,30.6972,324,1.1,1,2006-07-13,2033,Terra,MODIS,100,6.2,287.5,26,N,0
-1.4196,30.7053,302.1,1,1,2006-07-13,2329,Aqua,MODIS,47,6.2,283.5,7,N,0
-1.7748,30.7163,350.5,2.8,1.6,2006-07-14,0855,Terra,MODIS,96,6.2,300.1,247.2,D,0
-1.7712,30.6917,321.4,2.8,1.6,2006-07-14,0855,Terra,MODIS,77,6.2,301.1,46.7,D,0
-1.7781,30.7106,351.9,2.8,1.6,2006-07-14,0855,Terra,MODIS,91,6.2,300.6,259.3,D,0
-1.7794,30.6943,327.8,1.6,1.2,2006-07-14,1150,Aqua,MODIS,58,6.2,305.1,26.4,D,0
-1.7704,30.6783,331.6,1.6,1.2,2006-07-14,1150,Aqua,MODIS,81,6.2,306.4,33.7,D,0
-1.7549,30.7059,332.3,1.6,1.2,2006-07-14,1150,Aqua,MODIS,74,6.2,301.9,41.3,D,0
-1.757,30.6916,344.8,1.6,1.2,2006-07-14,1150,Aqua,MODIS,91,6.2,305,78.5,D,0
-1.7592,30.6771,335.7,1.6,1.2,2006-07-14,1150,Aqua,MODIS,85,6.2,304.1,46.6,D,0
-1.7459,30.6902,370.5,1.6,1.2,2006-07-14,1150,Aqua,MODIS,100,6.2,302.6,212.4,D,0
-1.7481,30.6756,361.6,1.6,1.2,2006-07-14,1150,Aqua,MODIS,100,6.2,304.7,156.9,D,0
-1.7447,30.6989,319.9,1.6,1.2,2006-07-14,1150,Aqua,MODIS,50,6.2,299.5,15.5,D,0
-1.7468,30.6847,373.7,1.6,1.2,2006-07-14,1150,Aqua,MODIS,100,6.2,305.4,237,D,0
-1.7488,30.6703,323,1.6,1.2,2006-07-14,1150,Aqua,MODIS,40,6.2,304.1,16.4,D,0
-1.764,30.7215,324.6,1.6,1.2,2006-07-14,1150,Aqua,MODIS,71,6.2,301.6,25,D,0
-1.7661,30.7072,353.6,1.6,1.2,2006-07-14,1150,Aqua,MODIS,96,6.2,305.5,119.7,D,0
-1.4127,30.6903,359.4,1.6,1.3,2006-07-14,1150,Aqua,MODIS,65,6.2,296.2,155.4,D,0
-1.4239,30.6919,362.1,1.6,1.3,2006-07-14,1150,Aqua,MODIS,71,6.2,301.4,171.6,D,0
-1.4599,30.6891,328.5,1.6,1.3,2006-07-14,1150,Aqua,MODIS,0,6.2,308.7,33.3,D,0
-1.478,30.7213,327.8,1.6,1.3,2006-07-14,1150,Aqua,MODIS,43,6.2,303.6,33.3,D,0
-1.7683,30.6927,355.3,1.6,1.2,2006-07-14,1150,Aqua,MODIS,97,6.2,307.2,122,D,0
-1.539,30.6709,312.1,2.2,1.4,2006-07-15,0800,Terra,MODIS,42,6.2,294.3,15.9,D,0
-1.5376,30.6651,313.7,2.2,1.4,2006-07-15,0800,Terra,MODIS,40,6.2,294.8,18.5,D,0
-1.6567,30.6687,320.8,2.2,1.4,2006-07-15,0800,Terra,MODIS,39,6.2,295.8,27.3,D,0
-1.658,30.6805,320.4,2.2,1.4,2006-07-15,0800,Terra,MODIS,55,6.2,295.4,27.4,D,0
-1.4804,30.7189,322.1,2.2,1.4,2006-07-15,0800,Terra,MODIS,41,6.2,298.1,40.1,D,0
-1.5471,30.646,320.8,3.8,1.8,2006-07-15,1055,Aqua,MODIS,71,6.2,301.1,73.1,D,0
-1.5566,30.6448,317.6,3.8,1.8,2006-07-15,1055,Aqua,MODIS,47,6.2,299.7,52.6,D,0
-1.7956,30.8287,304.3,1.1,1,2006-07-15,2021,Terra,MODIS,60,6.2,288.1,8.3,N,0
-1.5336,30.6798,302,1.1,1,2006-07-15,2021,Terra,MODIS,38,6.2,290.6,5.5,N,0
-1.5502,30.679,310.5,1.1,1,2006-07-15,2021,Terra,MODIS,80,6.2,291,11.1,N,0
-1.541,30.6771,320.6,1.1,1,2006-07-15,2021,Terra,MODIS,100,6.2,292.6,20,N,0
-1.486,30.7087,327.4,1.6,1.2,2006-07-16,0843,Terra,MODIS,49,6.2,303.3,28.8,D,0
-1.4971,30.7074,331.3,1.6,1.2,2006-07-16,0843,Terra,MODIS,56,6.2,299.7,39.3,D,0
-1.492,30.7028,328.7,1.1,1,2006-07-16,1138,Aqua,MODIS,43,6.2,299.1,15.9,D,0
-1.4999,30.7137,336.5,1.1,1,2006-07-16,1138,Aqua,MODIS,0,6.2,297.8,30.7,D,0
-1.4879,30.7314,345,1.1,1,2006-07-16,1138,Aqua,MODIS,70,6.2,296.1,49.5,D,0
-1.5012,30.7042,364.7,1.1,1,2006-07-16,1138,Aqua,MODIS,87,6.2,303.4,98.5,D,0
-1.34,30.5734,310.9,1.1,1,2006-07-18,1126,Aqua,MODIS,42,6.2,280.2,5,D,0
-2.3043,30.4264,335.3,2.6,1.6,2006-07-28,1203,Aqua,MODIS,83,6.2,293.6,120.9,D,0
-1.5505,30.7653,300.3,1.6,1.3,2006-08-02,2009,Terra,MODIS,18,6.2,285.1,11.5,N,0
-1.4227,30.7276,320.3,1.1,1,2006-08-16,2021,Terra,MODIS,100,6.2,280.3,21.7,N,0
-1.4214,30.7371,302.5,1.1,1,2006-08-16,2021,Terra,MODIS,38,6.2,280.6,7,N,0
-1.4319,30.729,305.9,1.1,1,2006-08-16,2021,Terra,MODIS,66,6.2,280.6,9.6,N,0
-1.4195,30.7342,323,1.3,1.1,2006-08-16,2318,Aqua,MODIS,100,6.2,286.3,33.5,N,0
-1.4144,30.7323,343.6,1.6,1.2,2006-08-17,0843,Terra,MODIS,92,6.2,296,83.9,D,0
-1.4254,30.7307,334.9,1.6,1.2,2006-08-17,0843,Terra,MODIS,86,6.2,296.5,56.4,D,0
-1.4088,30.7299,356.2,1.1,1,2006-08-17,1139,Aqua,MODIS,98,6.2,302,72.7,D,0
-1.5517,30.7533,355.6,1.1,1,2006-08-17,1139,Aqua,MODIS,97,6.2,300.1,74.6,D,0
-1.4261,30.7295,329.5,1.1,1,2006-08-17,1139,Aqua,MODIS,77,6.2,300.9,22.4,D,0
-1.4247,30.739,330.7,1.1,1,2006-08-17,1139,Aqua,MODIS,79,6.2,299.3,23.8,D,0
-1.4181,30.7313,347.1,1.1,1,2006-08-17,1139,Aqua,MODIS,70,6.2,302.4,52,D,0
-1.4194,30.7217,328.1,1.1,1,2006-08-17,1139,Aqua,MODIS,57,6.2,299.6,19,D,0
-1.365,30.6191,308.2,1.7,1.3,2006-08-18,2009,Terra,MODIS,74,6.2,286.9,20,N,0
-1.6324,30.7908,314.8,2.8,1.6,2006-08-23,1102,Aqua,MODIS,36,6.2,293.4,33.8,D,0
-2.2669,30.4277,334,1.2,1.1,2006-08-24,1145,Aqua,MODIS,76,6.2,304,29.2,D,0
-1.7682,30.8217,329.7,1.6,1.3,2006-09-02,0843,Terra,MODIS,82,6.2,294.3,47.6,D,0
-1.7687,30.8281,339.9,1.6,1.3,2006-09-02,0843,Terra,MODIS,89,6.2,294.7,76.7,D,0
-2.2228,30.3152,302.4,1.2,1.1,2006-09-06,2039,Terra,MODIS,49,6.2,282.9,9.3,N,0
-2.6367,28.8949,324.1,1,1,2006-09-09,1145,Aqua,MODIS,74,6.2,307.5,7.5,D,0
-2.4302,29.8046,349.6,1.1,1.1,2006-09-09,1145,Aqua,MODIS,94,6.2,301.5,57,D,0
-2.2301,30.4571,328.4,1.2,1.1,2006-09-09,1145,Aqua,MODIS,50,6.2,297.9,21.8,D,0
-2.2308,30.4628,326.5,1.2,1.1,2006-09-09,1145,Aqua,MODIS,54,6.2,291.9,21.4,D,0
-1.9035,30.8163,318.9,2.8,1.6,2006-09-10,0754,Terra,MODIS,57,6.2,294.5,50.7,D,0
-1.6356,30.7354,300,1.1,1,2006-09-15,2033,Terra,MODIS,10,6.2,287,5.4,N,0
-1.6343,30.7448,304.8,1.1,1,2006-09-15,2033,Terra,MODIS,62,6.2,287.5,8.5,N,0
-2.2328,30.2954,322.3,1.2,1.1,2006-09-25,1145,Aqua,MODIS,59,6.2,295.5,17.1,D,0
-1.5239,30.4077,323.2,1.7,1.3,2006-10-08,1114,Aqua,MODIS,64,6.2,296.9,13.4,D,0
-1.5218,30.4226,320.6,1.7,1.3,2006-10-08,1114,Aqua,MODIS,42,6.2,297.6,9.7,D,0
