latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.5078,-172.5591,312,3.5,1.8,2006-01-24,2227,Terra,MODIS,32,6.2,293,40.6,D,0
-13.487,-172.3033,312.4,2.8,1.6,2006-02-18,2221,Terra,MODIS,0,6.2,291.8,29.5,D,0
-13.4777,-172.3034,315.9,1.6,1.3,2006-02-20,2209,Terra,MODIS,0,6.2,292.7,17.6,D,0
-13.4864,-172.3022,310.6,2.1,1.4,2006-02-27,2215,Terra,MODIS,0,6.2,294,16.4,D,0
-13.5089,-172.5758,317.6,3.3,1.7,2006-03-01,0145,Aqua,MODIS,46,6.2,296.8,52.4,D,0
-13.4973,-172.5545,312.6,3.8,1.8,2006-03-13,0032,Aqua,MODIS,26,6.2,293.7,47.3,D,0
-13.4839,-172.3054,310.4,3.7,1.8,2006-03-29,0032,Aqua,MODIS,0,6.2,294.3,36.8,D,0
-13.5025,-172.5692,311.8,3.6,1.8,2006-03-29,2228,Terra,MODIS,21,6.2,295.3,36,D,0
-13.4779,-172.312,310.5,2.8,1.6,2006-04-05,0038,Aqua,MODIS,0,6.2,291.6,25.9,D,0
-13.5135,-172.5829,310.6,3.9,1.8,2006-04-14,0032,Aqua,MODIS,23,6.2,290.8,44.6,D,0
-13.5084,-172.5855,312.4,3,1.6,2006-04-21,0038,Aqua,MODIS,41,6.2,291.7,38.9,D,0
-13.485,-172.2977,316.2,1.3,1.1,2006-05-20,2203,Terra,MODIS,12,6.2,300.2,12.3,D,0
-13.4846,-172.3126,311.1,2.8,1.6,2006-06-24,0039,Aqua,MODIS,21,6.2,294.9,26.7,D,0
-13.4782,-172.3049,317.8,1.6,1.3,2006-08-31,2210,Terra,MODIS,0,6.2,299.4,20.8,D,0
-13.4823,-172.2984,315.7,2,1.4,2006-09-15,2127,Terra,MODIS,0,6.2,297.2,21.5,D,0
-13.4895,-172.2938,317,1.5,1.2,2006-09-22,2133,Terra,MODIS,24,6.2,299,13.7,D,0
-13.4898,-172.3042,320.3,2.1,1.4,2006-10-05,0047,Aqua,MODIS,17,6.2,297.9,33.9,D,0
-13.5061,-172.5824,312.4,3.5,1.8,2006-10-07,2228,Terra,MODIS,14,6.2,292.6,40.9,D,0
-13.5096,-172.5505,311.6,3.5,1.8,2006-10-07,2228,Terra,MODIS,23,6.2,292,39.4,D,0
-13.5034,-172.5713,311.7,4.6,2,2006-10-14,2234,Terra,MODIS,0,6.2,292.4,50.7,D,0
-13.5041,-172.5642,312,4.6,2,2006-10-14,2234,Terra,MODIS,37,6.2,292.4,54.9,D,0
-13.4814,-172.302,317.5,2,1.4,2006-10-17,2126,Terra,MODIS,0,6.2,297.6,22.7,D,0
-13.4831,-172.3091,315.4,2,1.4,2006-10-17,2126,Terra,MODIS,29,6.2,296.9,18.9,D,0
-13.485,-172.2977,316,2,1.4,2006-11-02,2126,Terra,MODIS,0,6.2,295.3,23.5,D,0
-13.5084,-172.569,313.4,3.6,1.8,2006-11-08,2228,Terra,MODIS,39,6.2,295,54.9,D,0
-13.5165,-172.5712,318,3.3,1.7,2006-11-28,0148,Aqua,MODIS,30,6.2,299.3,52.1,D,0
-13.4912,-172.3105,310.1,2.8,1.6,2006-12-01,0041,Aqua,MODIS,16,6.2,286.8,29.3,D,0
-13.4786,-172.3027,313,2.8,1.6,2006-12-03,2222,Terra,MODIS,0,6.2,293.1,29.2,D,0
-13.5001,-172.3037,311.2,3.4,1.7,2006-12-06,2114,Terra,MODIS,31,6.2,288.5,31.7,D,0
-13.4811,-172.3087,312.6,2.8,1.6,2006-12-17,0041,Aqua,MODIS,0,6.2,292.9,29.4,D,0
-13.4834,-172.3035,312,2.8,1.6,2006-12-17,0041,Aqua,MODIS,0,6.2,292.6,28.1,D,0
-13.4955,-172.3068,311,2.8,1.6,2006-12-17,0041,Aqua,MODIS,17,6.2,292.6,25.1,D,0
