latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.6305,-12.4795,302,2.1,1.4,2006-01-01,0253,Aqua,MODIS,46,6.2,286.8,17.6,N,0
12.805,-11.5935,344.3,4.1,1.9,2006-01-01,1042,Terra,MODIS,93,6.2,292.2,355.9,D,0
12.8091,-11.6316,317.8,4.2,1.9,2006-01-01,1042,Terra,MODIS,71,6.2,291.6,79.7,D,0
13.3034,-12.2079,310.8,4.7,2,2006-01-01,1042,Terra,MODIS,53,6.2,296.2,44.9,D,0
12.801,-11.6,329.8,4.1,1.9,2006-01-01,1042,Terra,MODIS,84,6.2,291.2,177.4,D,0
13.2009,-15.6684,310.9,4.5,1.9,2006-01-01,1220,Terra,MODIS,44,6.2,297.5,41.8,D,0
13.3357,-15.4982,314.2,4.6,2,2006-01-01,1220,Terra,MODIS,59,6.2,299.7,51.3,D,0
13.3411,-15.6286,315.6,4.5,1.9,2006-01-01,1220,Terra,MODIS,62,6.2,298.5,61.8,D,0
13.3399,-15.6355,315.4,4.5,1.9,2006-01-01,1220,Terra,MODIS,38,6.2,298.6,57.3,D,0
12.6502,-11.4626,320.3,2.3,1.5,2006-01-01,1343,Aqua,MODIS,60,6.2,302.9,26.9,D,0
12.6593,-11.868,319.3,2.5,1.5,2006-01-01,1343,Aqua,MODIS,61,6.2,304.8,19.8,D,0
12.9532,-12.1321,318.8,2.5,1.5,2006-01-01,1343,Aqua,MODIS,59,6.2,305.1,24.4,D,0
12.7688,-12.1337,321.4,2.6,1.5,2006-01-01,1343,Aqua,MODIS,35,6.2,302.9,33.5,D,0
12.8701,-13.1006,326.9,3,1.7,2006-01-01,1343,Aqua,MODIS,69,6.2,301.8,78.7,D,0
12.8988,-13.1963,328.2,3.1,1.7,2006-01-01,1343,Aqua,MODIS,78,6.2,302.6,97.6,D,0
12.8746,-13.0778,321.5,3,1.7,2006-01-01,1343,Aqua,MODIS,50,6.2,303.7,45.7,D,0
12.8696,-13.1049,327.2,3,1.7,2006-01-01,1343,Aqua,MODIS,76,6.2,301.4,82.8,D,0
12.4506,-12.1721,319.6,2.6,1.6,2006-01-01,1343,Aqua,MODIS,63,6.2,306.3,28.6,D,0
12.8769,-12.0402,316.9,2.5,1.5,2006-01-01,1343,Aqua,MODIS,54,6.2,302.2,22.8,D,0
12.8838,-12.0366,316.6,2.5,1.5,2006-01-01,1343,Aqua,MODIS,51,6.2,301.7,19.5,D,0
13.0582,-11.9015,318.4,2.4,1.5,2006-01-01,1343,Aqua,MODIS,58,6.2,301.7,25.7,D,0
13.0636,-11.8979,315.4,2.4,1.5,2006-01-01,1343,Aqua,MODIS,33,6.2,300.9,16,D,0
12.712,-14.4105,316.8,3.8,1.8,2006-01-01,1343,Aqua,MODIS,58,6.2,299,68.4,D,0
12.7054,-11.9223,319,2.5,1.5,2006-01-01,1343,Aqua,MODIS,60,6.2,305.1,20.8,D,0
12.8632,-12.2771,317.2,2.6,1.6,2006-01-01,1343,Aqua,MODIS,55,6.2,302.7,23.2,D,0
12.6732,-12.2304,324.2,2.6,1.6,2006-01-01,1343,Aqua,MODIS,72,6.2,304.6,50.6,D,0
12.7188,-14.4196,319.8,3.8,1.8,2006-01-01,1343,Aqua,MODIS,66,6.2,299.8,88.7,D,0
12.5031,-11.4733,326.3,2.3,1.5,2006-01-01,1343,Aqua,MODIS,75,6.2,304.7,49,D,0
12.6467,-11.4832,326.3,2.3,1.5,2006-01-01,1343,Aqua,MODIS,75,6.2,302.9,49.9,D,0
12.4599,-12.1544,320.7,2.6,1.6,2006-01-01,1343,Aqua,MODIS,62,6.2,306.9,28.5,D,0
12.7824,-12.1365,320.4,2.6,1.5,2006-01-01,1343,Aqua,MODIS,47,6.2,303.9,29.6,D,0
12.5057,-11.4669,326.3,2.3,1.5,2006-01-01,1343,Aqua,MODIS,75,6.2,304.1,48.2,D,0
12.7865,-12.1132,325.2,2.5,1.5,2006-01-01,1343,Aqua,MODIS,66,6.2,305.5,48.6,D,0
12.4976,-12.7035,316.7,2.9,1.6,2006-01-01,1343,Aqua,MODIS,44,6.2,303.7,19.6,D,0
12.5611,-11.8205,323.2,2.4,1.5,2006-01-01,1343,Aqua,MODIS,61,6.2,304.4,38.1,D,0
12.8895,-11.8139,317.9,2.4,1.5,2006-01-01,1343,Aqua,MODIS,41,6.2,304.1,16.2,D,0
13.1173,-13.4324,321.9,3.2,1.7,2006-01-01,1344,Aqua,MODIS,69,6.2,298.1,78,D,0
13.7563,-13.6255,329.4,3.2,1.7,2006-01-01,1344,Aqua,MODIS,76,6.2,301.3,99.8,D,0
13.7713,-13.6284,328.8,3.2,1.7,2006-01-01,1344,Aqua,MODIS,78,6.2,300.1,97.2,D,0
13.7545,-13.6322,327.1,3.2,1.7,2006-01-01,1344,Aqua,MODIS,76,6.2,300.4,83.4,D,0
13.3194,-12.2244,332.1,2.5,1.5,2006-01-01,1344,Aqua,MODIS,82,6.2,304.5,79,D,0
13.7695,-13.6351,333.2,3.2,1.7,2006-01-01,1344,Aqua,MODIS,83,6.2,300.7,126.7,D,0
13.3234,-12.2016,326.9,2.5,1.5,2006-01-01,1344,Aqua,MODIS,76,6.2,306.1,53.1,D,0
13.1884,-14.362,317,3.7,1.8,2006-01-01,1344,Aqua,MODIS,50,6.2,301.1,48.3,D,0
13.148,-13.1703,319.9,3,1.7,2006-01-01,1344,Aqua,MODIS,27,6.2,301.4,41.8,D,0
13.0158,-14.3475,316.2,3.8,1.8,2006-01-01,1344,Aqua,MODIS,55,6.2,300.6,49.4,D,0
12.9525,-14.6974,313.6,4,1.9,2006-01-01,1344,Aqua,MODIS,27,6.2,298.2,49.8,D,0
13.181,-14.3568,317,3.7,1.8,2006-01-01,1344,Aqua,MODIS,51,6.2,301.1,49,D,0
13.2742,-12.5588,323.2,2.7,1.6,2006-01-01,1344,Aqua,MODIS,70,6.2,303,44.6,D,0
13.2786,-12.5342,320.6,2.7,1.6,2006-01-01,1344,Aqua,MODIS,65,6.2,303.6,36,D,0
13.1566,-12.9495,338,2.9,1.6,2006-01-01,1344,Aqua,MODIS,87,6.2,303.3,150.7,D,0
13.5516,-13.4846,323.5,3.1,1.7,2006-01-01,1344,Aqua,MODIS,71,6.2,302.2,66.6,D,0
13.1281,-13.2883,318.9,3.1,1.7,2006-01-01,1344,Aqua,MODIS,62,6.2,299.7,54.3,D,0
13.1287,-13.2812,319.1,3.1,1.7,2006-01-01,1344,Aqua,MODIS,60,6.2,299.7,52.3,D,0
13.1439,-12.9543,315.7,2.9,1.6,2006-01-01,1344,Aqua,MODIS,32,6.2,301.4,27,D,0
13.6272,-13.7474,327.1,3.3,1.7,2006-01-01,1344,Aqua,MODIS,76,6.2,301.5,90.6,D,0
12.9575,-14.7019,316.2,4,1.9,2006-01-01,1344,Aqua,MODIS,56,6.2,298.5,66.3,D,0
13.007,-14.3496,314.6,3.8,1.8,2006-01-01,1344,Aqua,MODIS,42,6.2,300.3,39.4,D,0
12.9787,-14.1005,314.9,3.6,1.8,2006-01-01,1344,Aqua,MODIS,44,6.2,301.1,42.1,D,0
13.1432,-13.205,318.8,3,1.7,2006-01-01,1344,Aqua,MODIS,62,6.2,299.9,44.6,D,0
13.5484,-13.5094,325.3,3.2,1.7,2006-01-01,1344,Aqua,MODIS,74,6.2,302.1,70.6,D,0
13.1583,-12.9571,345.8,2.9,1.6,2006-01-01,1344,Aqua,MODIS,92,6.2,303.6,216,D,0
13.1872,-12.9625,316.5,2.9,1.6,2006-01-01,1344,Aqua,MODIS,42,6.2,301.8,28.7,D,0
13.6388,-13.7543,324.3,3.3,1.7,2006-01-01,1344,Aqua,MODIS,72,6.2,301.6,73.5,D,0
13.152,-12.9759,345.9,2.9,1.6,2006-01-01,1344,Aqua,MODIS,92,6.2,301.8,216.8,D,0
13.1432,-13.1978,324.6,3,1.7,2006-01-01,1344,Aqua,MODIS,65,6.2,300.2,69,D,0
13.3153,-12.2475,337.8,2.5,1.5,2006-01-01,1344,Aqua,MODIS,87,6.2,304.6,114.7,D,0
13.1482,-13.1775,323.2,3,1.7,2006-01-01,1344,Aqua,MODIS,71,6.2,301.4,64.9,D,0
13.5464,-13.5132,322.7,3.2,1.7,2006-01-01,1344,Aqua,MODIS,69,6.2,302.3,62,D,0
13.1399,-13.809,315.1,3.4,1.7,2006-01-01,1344,Aqua,MODIS,38,6.2,298.1,42.3,D,0
13.1535,-12.9833,333.1,2.9,1.6,2006-01-01,1344,Aqua,MODIS,83,6.2,300.4,116.3,D,0
13.311,-13.1194,319.9,1,1,2006-01-02,1125,Terra,MODIS,66,6.2,298.8,11.4,D,0
12.8443,-13.3303,326.8,1,1,2006-01-02,1125,Terra,MODIS,77,6.2,303.8,15.1,D,0
13.2381,-14.4265,333.1,1.1,1.1,2006-01-02,1125,Terra,MODIS,84,6.2,303.4,29.7,D,0
13.2367,-14.4163,324.8,1.1,1.1,2006-01-02,1125,Terra,MODIS,75,6.2,302.3,17.3,D,0
12.5296,-11.4562,318.9,1,1,2006-01-02,1125,Terra,MODIS,57,6.2,304.1,8.6,D,0
13.1888,-13.1026,317.6,1,1,2006-01-02,1125,Terra,MODIS,53,6.2,299.7,7.6,D,0
13.3123,-13.1287,324.6,1,1,2006-01-02,1125,Terra,MODIS,74,6.2,298.7,16.4,D,0
13.2946,-15.6745,319.4,1.3,1.1,2006-01-02,1125,Terra,MODIS,51,6.2,303.2,11.9,D,0
13.2972,-15.6807,317.5,1.3,1.1,2006-01-02,1125,Terra,MODIS,21,6.2,303.1,9.6,D,0
12.8838,-12.2809,319.1,1,1,2006-01-02,1125,Terra,MODIS,50,6.2,303.5,6.6,D,0
12.7456,-12.0941,320,1,1,2006-01-02,1125,Terra,MODIS,64,6.2,296.2,11.4,D,0
12.7443,-12.085,316.6,1,1,2006-01-02,1125,Terra,MODIS,44,6.2,297.6,8,D,0
12.4777,-11.6602,338,1,1,2006-01-02,1125,Terra,MODIS,87,6.2,305.3,30.9,D,0
13.3334,-12.2659,325.6,1,1,2006-01-02,1125,Terra,MODIS,67,6.2,307.9,11.4,D,0
13.6293,-13.2836,337.7,1,1,2006-01-02,1125,Terra,MODIS,87,6.2,307.3,31.3,D,0
13.1028,-13.0177,316.3,1,1,2006-01-02,1125,Terra,MODIS,49,6.2,299.1,6.8,D,0
12.7117,-12.6728,323.4,1,1,2006-01-02,1125,Terra,MODIS,72,6.2,306.5,9.8,D,0
12.8477,-11.6069,345.7,1,1,2006-01-02,1125,Terra,MODIS,92,6.2,299.4,46.3,D,0
12.6215,-12.3766,325.2,1,1,2006-01-02,1125,Terra,MODIS,74,6.2,303.9,13,D,0
13.2425,-11.9626,321.4,1,1,2006-01-02,1125,Terra,MODIS,63,6.2,304.3,8.5,D,0
13.2412,-11.9534,317.6,1,1,2006-01-02,1125,Terra,MODIS,38,6.2,305.6,4.6,D,0
14.3032,-12.3404,340.9,1,1,2006-01-02,1125,Terra,MODIS,89,6.2,305.6,35.5,D,0
13.1149,-14.4461,323.5,1.1,1.1,2006-01-02,1125,Terra,MODIS,74,6.2,303.8,16,D,0
13.3409,-12.2554,372.6,1,1,2006-01-02,1125,Terra,MODIS,100,6.2,310.1,112.3,D,0
13.2835,-12.6152,327.5,1,1,2006-01-02,1125,Terra,MODIS,77,6.2,297.5,16.9,D,0
12.7501,-13.3791,321.3,1,1,2006-01-02,1125,Terra,MODIS,70,6.2,299.9,10,D,0
13.1134,-14.4359,316.5,1.1,1.1,2006-01-02,1125,Terra,MODIS,61,6.2,302.5,8,D,0
12.8255,-11.5819,319.4,1,1,2006-01-02,1125,Terra,MODIS,36,6.2,300.2,7.8,D,0
12.9932,-14.1712,321.8,1.1,1,2006-01-02,1125,Terra,MODIS,39,6.2,302.6,12.8,D,0
12.9918,-14.1613,327.4,1.1,1,2006-01-02,1125,Terra,MODIS,68,6.2,301.9,18.6,D,0
12.9904,-14.1514,326.5,1.1,1,2006-01-02,1125,Terra,MODIS,50,6.2,301.2,16.7,D,0
12.9825,-14.1626,335.9,1.1,1,2006-01-02,1125,Terra,MODIS,86,6.2,301.7,31.2,D,0
12.9811,-14.1527,358.7,1.1,1,2006-01-02,1125,Terra,MODIS,99,6.2,305.4,83.3,D,0
13.1382,-11.8817,319.7,1,1,2006-01-02,1125,Terra,MODIS,59,6.2,305.5,8,D,0
12.4341,-12.4172,318.7,1,1,2006-01-02,1125,Terra,MODIS,65,6.2,305.2,7,D,0
13.2817,-12.5408,322.5,1,1,2006-01-02,1125,Terra,MODIS,70,6.2,303.9,9.7,D,0
13.0962,-13.4184,314.6,1,1,2006-01-02,1125,Terra,MODIS,43,6.2,299.9,6.9,D,0
13.3342,-12.2098,325.4,1,1,2006-01-02,1125,Terra,MODIS,74,6.2,306.6,10.6,D,0
13.3369,-12.2281,327.7,1,1,2006-01-02,1125,Terra,MODIS,63,6.2,305.3,12.9,D,0
12.9713,-13.3181,321.4,1,1,2006-01-02,1125,Terra,MODIS,44,6.2,300.3,10.4,D,0
12.8873,-13.1185,329,1,1,2006-01-02,1125,Terra,MODIS,77,6.2,299.2,19,D,0
12.8326,-13.5717,320.8,1,1,2006-01-02,1125,Terra,MODIS,69,6.2,302.1,11.8,D,0
12.8797,-13.1291,352.3,1,1,2006-01-02,1125,Terra,MODIS,96,6.2,299.5,60.6,D,0
12.8783,-13.1199,361.9,1,1,2006-01-02,1125,Terra,MODIS,100,6.2,303.4,84.5,D,0
12.8563,-13.0948,322.1,1,1,2006-01-02,1125,Terra,MODIS,70,6.2,302.7,10.1,D,0
13.3382,-12.2372,366.6,1,1,2006-01-02,1125,Terra,MODIS,100,6.2,310.5,93,D,0
12.9817,-13.3262,325.5,1,1,2006-01-02,1125,Terra,MODIS,60,6.2,300.4,14.4,D,0
14.4772,-14.7553,320.8,1.2,1.1,2006-01-02,1125,Terra,MODIS,53,6.2,306.9,9.3,D,0
14.4787,-14.7663,324.7,1.2,1.1,2006-01-02,1125,Terra,MODIS,72,6.2,308,14.7,D,0
12.8815,-12.0145,343.4,1,1,2006-01-02,1125,Terra,MODIS,91,6.2,303.3,39.5,D,0
12.9116,-14.4459,320.2,1.1,1.1,2006-01-02,1125,Terra,MODIS,71,6.2,300.3,12.8,D,0
