latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.4865,21.832,301.9,1.1,1,2006-01-30,1142,Aqua,MODIS,49,6.2,285.4,7,D,0
44.0803,22.1049,337.9,1,1,2006-02-03,0937,Terra,MODIS,91,6.2,275,46.7,D,0
46.0295,20.2093,319.9,1.6,1.2,2006-02-06,1008,Terra,MODIS,80,6.2,273.1,42.3,D,0
45.3511,20.3192,325,1.1,1.1,2006-02-06,1149,Aqua,MODIS,83,6.2,275,31,D,0
45.7577,19.6798,314.4,1.1,1,2006-02-06,1149,Aqua,MODIS,75,6.2,276.9,18.3,D,0
45.753,19.6865,314.3,1.1,1,2006-02-06,1149,Aqua,MODIS,75,6.2,276.3,17.1,D,0
45.5728,20.1884,306.6,1.1,1.1,2006-02-06,1149,Aqua,MODIS,64,6.2,273.6,12.5,D,0
45.5398,20.1529,308.4,1.1,1.1,2006-02-06,1149,Aqua,MODIS,63,6.2,274.5,14,D,0
45.7424,20.7836,304.4,1.2,1.1,2006-02-06,1149,Aqua,MODIS,59,6.2,275.1,11.6,D,0
45.5414,20.167,310,1.1,1.1,2006-02-06,1149,Aqua,MODIS,60,6.2,274.6,15.5,D,0
45.5349,20.1609,300.7,1.1,1.1,2006-02-06,1149,Aqua,MODIS,19,6.2,274.2,7.5,D,0
45.3605,20.3169,302.7,1.1,1.1,2006-02-06,1149,Aqua,MODIS,20,6.2,275,8.5,D,0
45.3494,20.3051,300.1,1.1,1.1,2006-02-06,1149,Aqua,MODIS,28,6.2,274.9,8.1,D,0
45.5712,20.1742,304.3,1.1,1.1,2006-02-06,1149,Aqua,MODIS,59,6.2,273.5,10.8,D,0
45.9319,20.2729,316.1,4.1,1.9,2006-02-07,1232,Aqua,MODIS,65,6.2,271.6,133.4,D,0
45.1875,19.7891,311.4,1,1,2006-02-19,0937,Terra,MODIS,71,6.2,287.8,12.1,D,0
44.0797,22.1106,306.5,1.2,1.1,2006-02-19,1118,Aqua,MODIS,64,6.2,283.5,11.9,D,0
44.0772,22.0965,317.2,1.2,1.1,2006-02-19,1118,Aqua,MODIS,77,6.2,284.5,22,D,0
44.5903,20.972,314.8,1.3,1.1,2006-02-19,1118,Aqua,MODIS,75,6.2,287.9,19,D,2
42.9821,21.6427,303.9,1.7,1.3,2006-02-20,1200,Aqua,MODIS,57,6.2,288.8,11.8,D,0
42.9835,21.65,307.4,1.7,1.3,2006-02-20,1200,Aqua,MODIS,65,6.2,288.8,15.6,D,0
43.5488,21.6424,301.3,1.7,1.3,2006-02-20,1201,Aqua,MODIS,46,6.2,286.4,9.1,D,0
45.0935,21.1571,300.7,1.7,1.3,2006-02-20,1201,Aqua,MODIS,40,6.2,285.6,11.2,D,0
43.4522,21.192,302.6,1.6,1.2,2006-02-20,1201,Aqua,MODIS,53,6.2,287.7,10,D,0
43.2674,21.6093,306.6,1.1,1,2006-02-21,0926,Terra,MODIS,64,6.2,287.1,9,D,0
43.5339,22.3006,306.8,1,1,2006-02-21,0926,Terra,MODIS,64,6.2,288.6,8.1,D,0
43.0648,21.6659,305.1,1.8,1.3,2006-02-21,1105,Aqua,MODIS,60,6.2,289.1,13.3,D,0
43.0756,21.681,308,1.8,1.3,2006-02-21,1105,Aqua,MODIS,47,6.2,287.7,16.8,D,0
43.0694,21.6876,309.8,1.8,1.3,2006-02-21,1105,Aqua,MODIS,69,6.2,288.2,20.6,D,0
44.5956,20.9822,316.6,1.1,1.1,2006-03-05,0950,Terra,MODIS,66,6.2,283.4,19.2,D,2
42.3012,21.7665,300.4,1,1,2006-03-05,1130,Aqua,MODIS,37,6.2,281.2,3.7,D,0
44.5468,22.5279,300.8,1.2,1.1,2006-03-19,1143,Aqua,MODIS,41,6.2,286.5,4.1,D,0
44.5088,22.4994,319.9,1.5,1.2,2006-03-20,0907,Terra,MODIS,80,6.2,287.6,32,D,0
44.5106,22.4804,305.9,1.5,1.2,2006-03-20,0907,Terra,MODIS,62,6.2,288.9,11.7,D,0
44.0803,22.1004,301.5,1.6,1.2,2006-03-20,0907,Terra,MODIS,42,6.2,289.7,7.3,D,0
45.2969,20.456,305.8,3.4,1.7,2006-03-20,1226,Aqua,MODIS,54,6.2,290.6,35.6,D,0
44.0791,22.1029,316.3,1.2,1.1,2006-03-20,2015,Terra,MODIS,93,6.2,274.7,24.8,N,0
44.5865,22.5906,302,1.3,1.1,2006-03-21,0950,Terra,MODIS,48,6.2,288.8,3.8,D,0
43.2136,22.0069,315.4,1,1,2006-03-21,1130,Aqua,MODIS,58,6.2,293.4,12,D,0
44.5767,22.6605,306.5,1,1,2006-03-21,1131,Aqua,MODIS,36,6.2,291.5,4.9,D,0
44.5372,21.7477,315.7,1,1,2006-03-21,1131,Aqua,MODIS,73,6.2,292.5,11.5,D,0
44.5802,22.6854,306.4,1,1,2006-03-21,1131,Aqua,MODIS,49,6.2,292.1,4.8,D,0
45.1036,20.903,312,1,1,2006-03-21,1131,Aqua,MODIS,67,6.2,292.6,9.1,D,0
44.4679,21.1913,307.9,2.7,1.6,2006-03-22,0855,Terra,MODIS,66,6.2,282.9,33.2,D,0
44.478,21.1862,308.7,2.7,1.6,2006-03-22,0855,Terra,MODIS,67,6.2,283.7,35.5,D,0
44.083,22.1116,302.2,2.3,1.5,2006-03-22,0855,Terra,MODIS,48,6.2,284.9,12.2,D,0
44.7324,21.5265,305.8,1.1,1,2006-03-25,0926,Terra,MODIS,62,6.2,283.4,8.5,D,0
44.6996,21.5604,305.9,1.1,1,2006-03-25,0926,Terra,MODIS,62,6.2,284.5,8.5,D,0
44.5862,21.4211,300,1.7,1.3,2006-03-25,1106,Aqua,MODIS,24,6.2,282.6,9.7,D,0
45.1143,19.8152,306.5,1.6,1.2,2006-03-26,1008,Terra,MODIS,62,6.2,291,9.5,D,0
45.9632,19.7099,302.7,1.5,1.2,2006-03-26,1008,Terra,MODIS,45,6.2,288,5.3,D,0
45.2791,19.8766,315.8,1.6,1.2,2006-03-26,1008,Terra,MODIS,66,6.2,292.8,23.4,D,0
45.275,19.896,309.6,1.6,1.2,2006-03-26,1008,Terra,MODIS,52,6.2,291.9,14.6,D,0
45.1769,19.5774,304,1.5,1.2,2006-03-26,1008,Terra,MODIS,56,6.2,292.5,6.7,D,0
45.3057,20.7672,309.8,1.8,1.3,2006-03-26,1008,Terra,MODIS,63,6.2,290.3,15.8,D,0
45.3103,20.7458,309.2,1.8,1.3,2006-03-26,1008,Terra,MODIS,55,6.2,291.1,14.7,D,0
45.3016,20.7711,302.8,1.8,1.3,2006-03-26,1008,Terra,MODIS,53,6.2,289.9,7,D,0
44.81,21.1325,307.1,1.9,1.3,2006-03-26,1008,Terra,MODIS,60,6.2,293.3,13.4,D,0
45.3063,20.7497,314.6,1.8,1.3,2006-03-26,1008,Terra,MODIS,75,6.2,290.9,25.2,D,0
45.8329,20.1741,306.5,1.6,1.2,2006-03-26,1008,Terra,MODIS,50,6.2,291.6,9.4,D,0
45.8288,20.1938,326.2,1.6,1.2,2006-03-26,1008,Terra,MODIS,84,6.2,292.7,43.6,D,0
45.8221,20.1696,306.4,1.6,1.2,2006-03-26,1008,Terra,MODIS,46,6.2,292.1,9,D,0
45.818,20.1892,328.4,1.6,1.2,2006-03-26,1008,Terra,MODIS,86,6.2,293.6,48.5,D,0
45.1144,19.8209,310.2,1.6,1.2,2006-03-26,1008,Terra,MODIS,66,6.2,290.9,13.9,D,0
44.7478,20.3757,312.2,1.7,1.3,2006-03-26,1008,Terra,MODIS,71,6.2,294.7,19.5,D,0
45.1757,19.571,305.6,1.5,1.2,2006-03-26,1008,Terra,MODIS,53,6.2,292.8,8.8,D,0
44.2561,21.0047,303.2,1.9,1.4,2006-03-26,1009,Terra,MODIS,51,6.2,290.9,9.1,D,0
44.8092,21.1397,313.2,1.2,1.1,2006-03-26,1149,Aqua,MODIS,67,6.2,295.5,10.2,D,0
45.8228,19.2517,305.6,1.1,1,2006-03-26,1149,Aqua,MODIS,58,6.2,284.9,6,D,0
44.5976,20.9742,309.5,1.2,1.1,2006-03-26,1149,Aqua,MODIS,55,6.2,295.6,6.2,D,2
44.6724,21.7412,310.5,1.2,1.1,2006-03-26,1149,Aqua,MODIS,43,6.2,292.2,11.3,D,0
44.6708,21.7259,306.5,1.2,1.1,2006-03-26,1149,Aqua,MODIS,0,6.2,293.6,7.8,D,0
45.1889,19.776,309.5,1.1,1,2006-03-26,1149,Aqua,MODIS,60,6.2,293.1,6.9,D,0
44.5149,19.1746,308.7,1,1,2006-03-26,1149,Aqua,MODIS,63,6.2,295.3,6,D,0
44.1402,21.2414,304.6,1.2,1.1,2006-03-26,1149,Aqua,MODIS,37,6.2,292.6,4.3,D,0
45.889,18.918,324.7,1,1,2006-03-26,1149,Aqua,MODIS,83,6.2,288.9,22.1,D,0
44.7475,20.3592,312.4,1.1,1.1,2006-03-26,1149,Aqua,MODIS,54,6.2,299,7.1,D,0
44.7491,20.3731,320.9,1.1,1.1,2006-03-26,1149,Aqua,MODIS,78,6.2,299.4,15.9,D,0
44.1275,21.2348,306.4,1.2,1.1,2006-03-26,1149,Aqua,MODIS,34,6.2,292.1,4.6,D,0
44.6739,22.4407,303.8,1.3,1.1,2006-03-26,1149,Aqua,MODIS,43,6.2,292.4,6,D,0
43.1205,21.7593,311.1,1.2,1.1,2006-03-26,1149,Aqua,MODIS,69,6.2,295,7.6,D,0
45.8873,18.9047,313,1,1,2006-03-26,1149,Aqua,MODIS,72,6.2,289.3,10.9,D,0
45.0605,20.8532,313.3,1.2,1.1,2006-03-26,1149,Aqua,MODIS,69,6.2,296.1,8.4,D,0
44.6083,20.3701,312,1.1,1,2006-03-26,1149,Aqua,MODIS,68,6.2,295,8.5,D,0
45.7504,18.9808,304.7,1,1,2006-03-26,1149,Aqua,MODIS,57,6.2,287.4,5.6,D,0
44.2124,22.5826,319.6,1.3,1.1,2006-03-26,1149,Aqua,MODIS,78,6.2,295.2,20.3,D,0
43.9849,21.1394,308.5,1.2,1.1,2006-03-26,1149,Aqua,MODIS,63,6.2,291.6,7.4,D,0
43.1019,22.9078,317.2,1.3,1.1,2006-03-26,1149,Aqua,MODIS,76,6.2,292,19.8,D,0
44.1386,21.227,304.5,1.2,1.1,2006-03-26,1149,Aqua,MODIS,37,6.2,292.3,4.5,D,0
