latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.6065,21.1837,305.8,1,1,2006-01-05,0040,Aqua,MODIS,66,6.2,271.9,12.4,N,2
48.608,21.1804,322.9,1.1,1.1,2006-01-07,0954,Terra,MODIS,82,6.2,275.5,30.7,D,2
48.6088,21.1847,316,1,1,2006-01-09,0942,Terra,MODIS,76,6.2,274,19,D,2
48.5836,21.1822,325.8,1,1,2006-01-09,1125,Aqua,MODIS,84,6.2,274.7,28.7,D,2
48.6072,21.1773,305.2,1.1,1,2006-01-11,0930,Terra,MODIS,61,6.2,274.1,12.2,D,2
48.6036,21.1835,301.3,1.2,1.1,2006-01-11,1113,Aqua,MODIS,46,6.2,277.8,11,D,2
48.5799,21.1692,302.4,1.6,1.3,2006-01-13,1100,Aqua,MODIS,24,6.2,275.7,16,D,0
48.5812,21.1759,311.8,1.6,1.3,2006-01-13,1100,Aqua,MODIS,72,6.2,275.9,31.4,D,0
48.5845,21.1904,304.2,1.6,1.3,2006-01-13,1100,Aqua,MODIS,36,6.2,275.1,18.1,D,2
48.6045,21.1836,311,1,1,2006-01-25,0942,Terra,MODIS,43,6.2,268.5,15.6,D,2
48.6092,21.1761,303.8,1.8,1.3,2006-01-28,1013,Terra,MODIS,50,6.2,270.1,24.8,D,2
48.604,21.1806,307.7,1.1,1.1,2006-01-30,1143,Aqua,MODIS,66,6.2,270.7,15.3,D,2
48.6048,21.1776,303.3,1.2,1.1,2006-02-28,1113,Aqua,MODIS,55,6.2,277.6,11.9,D,2
48.6008,21.1792,302.1,1.5,1.2,2006-03-01,1156,Aqua,MODIS,51,6.2,278.3,16.1,D,2
48.6058,21.1777,307.8,1.1,1.1,2006-03-12,0955,Terra,MODIS,66,6.2,278.7,13.7,D,2
48.6124,21.1965,301.5,1.1,1.1,2006-03-12,0955,Terra,MODIS,32,6.2,279.7,8.7,D,2
48.6054,21.1713,318.5,1,1,2006-03-12,1138,Aqua,MODIS,78,6.2,280.5,20.6,D,2
48.6072,21.1853,310.1,1,1,2006-03-12,1138,Aqua,MODIS,70,6.2,282.7,13.3,D,2
48.5782,21.1793,301.8,1,1,2006-03-12,1138,Aqua,MODIS,49,6.2,278.7,8.5,D,0
48.6093,21.1784,311.3,1,1,2006-03-14,0943,Terra,MODIS,71,6.2,276,14.1,D,2
48.601,21.1812,304.3,1,1,2006-03-14,1126,Aqua,MODIS,58,6.2,278.3,9.3,D,2
48.603,21.1748,310.4,1,1,2006-03-21,0949,Terra,MODIS,69,6.2,286.8,11.1,D,2
48.6007,21.1886,304.1,1,1,2006-03-21,0949,Terra,MODIS,45,6.2,286.8,6.7,D,2
48.6027,21.1734,302.4,1,1,2006-03-21,1132,Aqua,MODIS,49,6.2,283.9,5.7,D,2
48.6046,21.1867,302.1,1,1,2006-03-21,1132,Aqua,MODIS,46,6.2,285.3,5.4,D,2
48.6044,21.1733,304.2,1.4,1.2,2006-03-22,2004,Terra,MODIS,59,6.2,274.4,17.5,N,2
48.5854,21.1867,308.6,1,1,2006-03-23,0937,Terra,MODIS,67,6.2,272.4,13,D,2
48.6045,21.1788,300.1,1.1,1,2006-03-23,1119,Aqua,MODIS,30,6.2,273.3,7.8,D,2
48.6049,21.1825,301.3,2.1,1.4,2006-03-24,1020,Terra,MODIS,46,6.2,283.7,19.1,D,2
48.6065,21.173,302.9,1.8,1.3,2006-03-24,1202,Aqua,MODIS,54,6.2,288.2,14.7,D,2
48.1045,17.5251,301.2,1.2,1.1,2006-03-24,1202,Aqua,MODIS,32,6.2,286.1,5.9,D,0
48.6059,21.1789,304.9,1.2,1.1,2006-03-25,0925,Terra,MODIS,58,6.2,285.9,9.5,D,2
48.349,21.7836,303.2,1.3,1.1,2006-03-25,1107,Aqua,MODIS,54,6.2,284,8.8,D,0
48.3524,21.8009,307.1,1.3,1.1,2006-03-25,1107,Aqua,MODIS,58,6.2,285.5,11.9,D,0
48.6052,21.1759,327.5,1,1,2006-03-27,2022,Terra,MODIS,100,6.2,279.8,30.6,N,2
48.6078,21.1752,309.6,1.1,1.1,2006-03-28,0955,Terra,MODIS,65,6.2,286.2,9.8,D,2
48.605,21.1902,304.8,1.1,1.1,2006-03-28,0955,Terra,MODIS,46,6.2,287.1,6.1,D,2
48.6071,21.1784,305.4,1.1,1,2006-04-01,0931,Terra,MODIS,61,6.2,279.2,9.7,D,2
