latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.5562,14.2496,306.8,1,1,2006-03-19,1002,Terra,MODIS,64,6.2,286.6,8.5,D,0
45.7323,14.2468,308.1,1.3,1.1,2006-04-04,1144,Aqua,MODIS,53,6.2,290,11.7,D,0
45.5491,13.7391,310.8,1,1,2006-05-04,1015,Terra,MODIS,47,6.2,296.2,5.4,D,0
45.547,13.7466,309.9,1.2,1.1,2006-05-11,1021,Terra,MODIS,49,6.2,294.8,6.7,D,0
46.2287,14.181,300.9,1.2,1.1,2006-05-11,1021,Terra,MODIS,26,6.2,285.4,5,D,0
45.5492,13.7408,314,1,1,2006-05-11,1202,Aqua,MODIS,62,6.2,295.3,7.7,D,0
45.5502,13.7462,307.6,1.6,1.2,2006-05-25,1033,Terra,MODIS,37,6.2,294.4,8.4,D,0
45.5501,13.7423,311.9,1.1,1,2006-06-10,1215,Aqua,MODIS,45,6.2,296.5,5.6,D,0
46.5251,15.6523,316.7,1,1,2006-06-14,1008,Terra,MODIS,48,6.2,299.9,8.3,D,0
45.5494,13.7408,319.3,1.2,1.1,2006-06-14,1150,Aqua,MODIS,56,6.2,303.5,9.8,D,0
46.5297,15.6564,303.9,1,1,2006-06-19,0101,Aqua,MODIS,57,6.2,286,6.7,N,0
45.4927,13.9077,325.2,1.1,1,2006-06-26,1215,Aqua,MODIS,76,6.2,303.4,15.8,D,0
46.5238,15.6589,315,1,1,2006-06-30,1009,Terra,MODIS,34,6.2,298.1,7.4,D,0
45.5501,13.7429,320.9,1.2,1.1,2006-06-30,1151,Aqua,MODIS,53,6.2,305.4,7.7,D,0
45.5521,13.7496,317.3,1.3,1.1,2006-07-05,1027,Terra,MODIS,60,6.2,301.6,8.2,D,0
46.099,14.5446,314.5,1.2,1.1,2006-07-14,1021,Terra,MODIS,24,6.2,300.6,7.9,D,0
46.0079,15.3029,308.1,1.3,1.1,2006-07-14,1021,Terra,MODIS,16,6.2,294.7,6.5,D,0
45.5474,13.7413,325.1,1,1,2006-07-14,1203,Aqua,MODIS,60,6.2,305.6,9.2,D,0
46.5428,14.9636,311,1,1,2006-07-14,1204,Aqua,MODIS,25,6.2,295.6,4.2,D,0
46.5267,15.6575,313,1,1,2006-07-16,1009,Terra,MODIS,41,6.2,300.4,7.5,D,0
46.4868,13.8285,305.7,1,1,2006-07-16,1009,Terra,MODIS,37,6.2,295.6,4.4,D,0
45.5511,13.7418,320.4,1.2,1.1,2006-07-16,1151,Aqua,MODIS,52,6.2,306.1,6.3,D,0
45.552,13.7449,320.4,1.3,1.1,2006-07-21,1027,Terra,MODIS,51,6.2,305.4,7.8,D,0
45.6096,13.9504,328.5,1,1,2006-07-21,1210,Aqua,MODIS,77,6.2,308.3,14.8,D,0
45.841,13.754,316.5,2.1,1.4,2006-07-21,2135,Terra,MODIS,93,6.2,295,39.1,N,0
45.8558,13.782,313.6,2.1,1.4,2006-07-21,2135,Terra,MODIS,87,6.2,294.9,31.8,N,0
45.8537,13.751,308.2,2.1,1.4,2006-07-21,2135,Terra,MODIS,74,6.2,294.8,19.5,N,0
45.8428,13.7817,325.3,2.1,1.4,2006-07-21,2135,Terra,MODIS,100,6.2,295.8,66.1,N,0
45.8531,13.7454,306.3,1.9,1.3,2006-07-22,0144,Aqua,MODIS,64,6.2,295.7,11.9,N,0
45.8422,13.7619,315,1.9,1.3,2006-07-22,0144,Aqua,MODIS,90,6.2,296.7,28.7,N,0
