latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.4393,160.1606,316.4,1,1,2006-02-10,0255,Aqua,MODIS,67,6.2,301.5,6.2,D,0
-9.3589,159.8027,315.6,1,1,2006-04-22,0301,Aqua,MODIS,64,6.2,299.3,8.1,D,0
-9.0845,159.2149,310.5,1,1,2006-04-22,0301,Aqua,MODIS,0,6.2,297.2,4.6,D,0
-9.379,159.7785,311.1,1.2,1.1,2006-04-24,0249,Aqua,MODIS,46,6.2,292.9,7.2,D,0
-9.4764,160.0093,324.9,1,1,2006-05-01,0255,Aqua,MODIS,80,6.2,295.7,17,D,0
-8.2659,157.6471,327.2,1.2,1.1,2006-06-02,0256,Aqua,MODIS,80,6.2,298.2,27.5,D,0
-8.2412,157.7545,315,1.2,1.1,2006-06-02,0256,Aqua,MODIS,0,6.2,297,11.3,D,0
-9.48,160.2708,315.3,1,1,2006-08-08,2341,Terra,MODIS,75,6.2,291.9,10.8,D,0
-9.3249,159.7676,313,1.4,1.2,2006-09-11,2329,Terra,MODIS,26,6.2,293.5,8.6,D,0
-9.4458,160.1589,321.2,1,1,2006-09-13,0304,Aqua,MODIS,75,6.2,295.8,11.4,D,0
-9.3953,159.8231,316.9,1.1,1.1,2006-09-15,0251,Aqua,MODIS,67,6.2,293.3,12.6,D,0
-9.3939,159.8334,312.6,1.1,1.1,2006-09-15,0251,Aqua,MODIS,54,6.2,294.1,7.8,D,0
-9.4813,160.2782,328.7,1,1,2006-09-25,2341,Terra,MODIS,82,6.2,297.2,20.6,D,0
-8.2505,157.7474,311.4,1.5,1.2,2006-12-04,0252,Aqua,MODIS,38,6.2,297.8,9.6,D,0
-8.2488,157.7604,312.9,1.5,1.2,2006-12-04,0252,Aqua,MODIS,41,6.2,297.6,10.8,D,0
-9.4475,160.2666,317.4,1.1,1,2006-12-20,0251,Aqua,MODIS,68,6.2,291.9,12.5,D,0
-9.4489,160.2566,314.3,1.1,1,2006-12-20,0251,Aqua,MODIS,61,6.2,291.4,9.6,D,0
