latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.8902,29.0929,317.1,3.6,1.8,2006-01-01,0735,Terra,MODIS,69,6.2,294.5,41.8,D,2
-33.9546,21.72,325.4,2.8,1.6,2006-01-01,0916,Terra,MODIS,61,6.2,304.7,52.4,D,0
-33.974,19.0525,360.5,1.9,1.3,2006-01-01,0916,Terra,MODIS,100,6.2,305.6,197.9,D,0
-33.9529,21.7263,323.9,2.8,1.6,2006-01-01,0916,Terra,MODIS,65,6.2,305.5,46.3,D,0
-34.0155,21.3613,328.9,2.6,1.6,2006-01-01,0916,Terra,MODIS,50,6.2,304.1,63.6,D,0
-34.0211,21.3409,329.9,2.8,1.6,2006-01-01,1152,Aqua,MODIS,69,6.2,306.7,70.3,D,0
-34.0042,21.3719,324.9,2.8,1.6,2006-01-01,1152,Aqua,MODIS,37,6.2,303,51,D,0
-34.0064,21.3414,330.5,2.8,1.6,2006-01-01,1152,Aqua,MODIS,74,6.2,306.9,81.8,D,0
-33.3513,19.3376,328.2,3.7,1.8,2006-01-01,1152,Aqua,MODIS,38,6.2,311.6,76.4,D,0
-33.362,19.335,331.1,3.7,1.8,2006-01-01,1152,Aqua,MODIS,55,6.2,311.9,103.2,D,0
-28.0379,32.1813,327.7,1.2,1.1,2006-01-01,1153,Aqua,MODIS,57,6.2,308.9,10.1,D,0
-33.9883,19.039,319.9,4.7,2,2006-01-01,1329,Aqua,MODIS,40,6.2,302.9,81,D,0
-33.9868,19.047,321.1,4.7,2,2006-01-01,1329,Aqua,MODIS,57,6.2,303.3,93.7,D,0
-33.6631,23.9301,344.6,1,1,2006-01-01,2119,Terra,MODIS,100,6.2,293,53.6,N,0
-33.6383,23.5455,311.4,1,1,2006-01-01,2119,Terra,MODIS,82,6.2,290.2,11.1,N,0
-34.0184,21.3608,310,1,1,2006-01-01,2119,Terra,MODIS,79,6.2,291.6,10.4,N,0
-34.0199,21.3494,302.5,1,1,2006-01-01,2119,Terra,MODIS,50,6.2,291.2,5.6,N,0
-33.6648,23.9193,352.5,1,1,2006-01-01,2119,Terra,MODIS,100,6.2,294.5,70.1,N,0
-33.6619,23.9352,317,3.1,1.7,2006-01-01,2253,Aqua,MODIS,94,6.2,290.4,84.6,N,0
-25.8873,29.0789,320.8,1,1,2006-01-02,0818,Terra,MODIS,57,6.2,295.4,10.2,D,2
-33.6414,23.542,333.4,1.2,1.1,2006-01-02,0820,Terra,MODIS,79,6.2,308.4,26.8,D,0
-33.6435,23.554,330.2,1.2,1.1,2006-01-02,0820,Terra,MODIS,74,6.2,309,22.1,D,0
-33.7053,23.9187,343.2,1.1,1.1,2006-01-02,0820,Terra,MODIS,89,6.2,308,41.1,D,0
-33.7074,23.9309,328,1.1,1.1,2006-01-02,0820,Terra,MODIS,71,6.2,308.3,14.9,D,0
-33.6455,23.5657,321.7,1.2,1.1,2006-01-02,0820,Terra,MODIS,28,6.2,305,9.9,D,0
-33.6531,23.5515,325.7,1.2,1.1,2006-01-02,0820,Terra,MODIS,62,6.2,302.2,15.5,D,0
-33.6677,23.9296,327.7,1.1,1.1,2006-01-02,0820,Terra,MODIS,71,6.2,307.7,17,D,0
-33.9746,19.0494,337.6,2,1.4,2006-01-02,0821,Terra,MODIS,80,6.2,314.2,72.7,D,0
-34.3098,21.3707,323.5,1.5,1.2,2006-01-02,0821,Terra,MODIS,53,6.2,306.1,15.8,D,0
-33.992,19.0702,325.3,2,1.4,2006-01-02,0821,Terra,MODIS,64,6.2,307.1,34.7,D,0
-33.9786,19.0687,359.5,2,1.4,2006-01-02,0821,Terra,MODIS,99,6.2,314.8,202.8,D,0
-33.9659,19.0706,332.6,2,1.4,2006-01-02,0821,Terra,MODIS,55,6.2,311.5,50,D,0
-33.6474,23.5192,338.4,1.3,1.1,2006-01-02,1234,Aqua,MODIS,82,6.2,304.8,37.7,D,0
-34.3172,21.3587,333.1,1,1,2006-01-02,1234,Aqua,MODIS,76,6.2,309.9,19.9,D,0
-34.3075,21.373,354.8,1,1,2006-01-02,1234,Aqua,MODIS,91,6.2,313.5,63.2,D,0
-34.3092,21.3618,349.8,1,1,2006-01-02,1234,Aqua,MODIS,93,6.2,314.5,51.7,D,0
-34.3137,21.3812,336.2,1,1,2006-01-02,1234,Aqua,MODIS,81,6.2,309.9,23.2,D,0
-33.6504,23.562,325.8,1.3,1.1,2006-01-02,1234,Aqua,MODIS,44,6.2,304.7,16.4,D,0
-33.6528,23.5484,333.5,1.3,1.1,2006-01-02,1234,Aqua,MODIS,75,6.2,307.4,29.7,D,0
-34.0241,21.3597,333.7,1,1,2006-01-02,1234,Aqua,MODIS,38,6.2,312.6,14.2,D,0
-33.6403,23.5599,342.7,1.3,1.1,2006-01-02,1234,Aqua,MODIS,87,6.2,306.7,51.4,D,0
-33.6429,23.5451,370.2,1.3,1.1,2006-01-02,1234,Aqua,MODIS,100,6.2,312,149.8,D,0
-33.6453,23.5315,357.7,1.3,1.1,2006-01-02,1234,Aqua,MODIS,98,6.2,308.5,95.1,D,0
-33.6328,23.5432,360.2,1.3,1.1,2006-01-02,1234,Aqua,MODIS,100,6.2,305.7,105.9,D,0
-33.6352,23.5292,385.6,1.3,1.1,2006-01-02,1234,Aqua,MODIS,100,6.2,306.8,234.7,D,0
-33.6374,23.5168,357.7,1.3,1.1,2006-01-02,1234,Aqua,MODIS,98,6.2,305.4,94.9,D,0
-34.3154,21.37,368.9,1,1,2006-01-02,1234,Aqua,MODIS,100,6.2,315.5,103.6,D,0
-33.6678,23.9237,335.9,1.3,1.1,2006-01-02,1234,Aqua,MODIS,80,6.2,307.6,34.3,D,0
-33.7095,23.9143,332.3,1.3,1.1,2006-01-02,1234,Aqua,MODIS,77,6.2,308.2,22.1,D,0
-34.0364,22.3164,333.2,1.1,1.1,2006-01-02,1234,Aqua,MODIS,58,6.2,307.4,21.4,D,0
-34.0344,22.3284,339.9,1.1,1.1,2006-01-02,1234,Aqua,MODIS,74,6.2,307.7,33.1,D,0
-33.9848,19.0588,362.3,1,1,2006-01-02,1235,Aqua,MODIS,100,6.2,315.3,78.8,D,0
-32.4553,18.7615,340.5,1,1,2006-01-02,1235,Aqua,MODIS,75,6.2,320.6,16.9,D,0
-32.428,18.6901,348.7,1,1,2006-01-02,1235,Aqua,MODIS,90,6.2,323.8,30.4,D,0
-32.4568,18.7508,368,1,1,2006-01-02,1235,Aqua,MODIS,100,6.2,323.8,82.2,D,0
-33.9743,19.0677,396.3,1,1,2006-01-02,1235,Aqua,MODIS,100,6.2,321.6,219.2,D,0
-33.755,19.0565,333.6,1,1,2006-01-02,1235,Aqua,MODIS,63,6.2,312.1,14.9,D,0
-33.9637,19.0768,352.5,1,1,2006-01-02,1235,Aqua,MODIS,95,6.2,308.9,53.3,D,0
-33.9833,19.0699,365.7,1,1,2006-01-02,1235,Aqua,MODIS,100,6.2,312.4,89.7,D,0
-33.9938,19.0612,334.4,1,1,2006-01-02,1235,Aqua,MODIS,76,6.2,307.8,21.3,D,0
-33.9728,19.0786,365.1,1,1,2006-01-02,1235,Aqua,MODIS,100,6.2,314,88,D,0
-33.9832,19.0031,328.3,1,1,2006-01-02,1235,Aqua,MODIS,61,6.2,308.4,16.3,D,0
