latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.5251,-4.8988,327.6,1,1,2006-01-02,1117,Terra,MODIS,85,6.2,280.9,28.5,D,0
41.69,-1.2193,311.7,1.2,1.1,2006-01-02,1117,Terra,MODIS,68,6.2,280,17.6,D,0
41.5268,-4.9106,307.4,1,1,2006-01-02,1117,Terra,MODIS,65,6.2,281,10.2,D,0
38.1209,-0.7612,300.8,1.5,1.2,2006-01-02,1118,Terra,MODIS,42,6.2,287,8.7,D,0
37.8894,-6.1892,301.1,1,1,2006-01-02,1118,Terra,MODIS,45,6.2,284.5,6.3,D,0
39.3511,-0.6278,307.5,1.2,1.1,2006-01-02,1255,Aqua,MODIS,65,6.2,287.8,10.8,D,0
36.4092,-5.3321,302.4,1.1,1,2006-01-03,1337,Aqua,MODIS,52,6.2,289.4,5.9,D,0
41.4092,-5.1782,310.9,1.2,1.1,2006-01-04,1105,Terra,MODIS,71,6.2,279.1,16.6,D,0
37.6531,-6.7918,312.6,1.2,1.1,2006-01-04,1106,Terra,MODIS,73,6.2,284.8,18.6,D,0
37.1276,-1.9052,301.9,1,1,2006-01-04,1106,Terra,MODIS,50,6.2,283.2,7.2,D,0
37.5958,-6.5274,304,1.1,1,2006-01-05,1325,Aqua,MODIS,58,6.2,288.2,6.9,D,0
37.6549,-6.7937,300.8,1.1,1,2006-01-05,1325,Aqua,MODIS,42,6.2,287.7,5.6,D,0
39.9237,-3.824,300.4,1,1,2006-01-05,1326,Aqua,MODIS,36,6.2,286.1,5,D,0
28.1948,-14.183,327.3,1,1,2006-01-07,1139,Terra,MODIS,80,6.2,293.7,23.7,D,0
28.1933,-14.1727,315.4,1,1,2006-01-07,1139,Terra,MODIS,60,6.2,293.3,11.3,D,0
37.6546,-6.7777,304.1,1,1,2006-01-09,1124,Terra,MODIS,58,6.2,285.1,7.8,D,0
37.6102,-6.3758,302.2,1,1,2006-01-09,1124,Terra,MODIS,51,6.2,285.3,6.2,D,0
37.6174,-6.4216,316.9,1,1,2006-01-09,1124,Terra,MODIS,77,6.2,285.4,16.8,D,0
37.6193,-6.433,328.3,1,1,2006-01-09,1124,Terra,MODIS,86,6.2,285.4,28.9,D,0
37.6228,-6.4557,300.4,1,1,2006-01-09,1124,Terra,MODIS,36,6.2,285.3,5.3,D,0
37.3113,-6.4794,301.1,1,1,2006-01-09,1124,Terra,MODIS,44,6.2,284.9,6,D,0
39.3276,-6.6446,307,1,1,2006-01-09,1124,Terra,MODIS,65,6.2,283.8,10,D,0
37.6564,-6.789,310.5,1,1,2006-01-09,1124,Terra,MODIS,70,6.2,285.3,12.1,D,0
37.6178,-6.4431,307.6,2.1,1.4,2006-01-09,1301,Aqua,MODIS,66,6.2,286.8,26.3,D,0
37.0758,-6.5265,302.1,2.2,1.4,2006-01-09,1301,Aqua,MODIS,51,6.2,288.2,16,D,0
37.6128,-6.446,310,1.2,1.1,2006-01-10,1344,Aqua,MODIS,62,6.2,285.9,11.1,D,0
37.6165,-6.4387,320.7,1.2,1.1,2006-01-10,1344,Aqua,MODIS,80,6.2,286.3,23.6,D,0
37.6144,-6.4331,314.9,1.2,1.1,2006-01-10,1344,Aqua,MODIS,75,6.2,285.6,15.8,D,0
37.3102,-6.4844,303.7,1.1,1,2006-01-11,1112,Terra,MODIS,57,6.2,286,7.3,D,0
