latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.6678,80.815,314.7,1,1,2006-01-07,0808,Aqua,MODIS,68,6.2,294,7.2,D,0
6.6691,80.8242,312.1,1,1,2006-01-07,0808,Aqua,MODIS,34,6.2,293.6,5.1,D,0
6.7193,81.4192,319.2,2.2,1.4,2006-01-20,0737,Aqua,MODIS,74,6.2,297.2,37.8,D,0
7.8761,80.7574,313.8,1.5,1.2,2006-01-21,0820,Aqua,MODIS,62,6.2,300,10.9,D,0
6.1651,81.0967,313.9,1,1,2006-01-23,0510,Terra,MODIS,61,6.2,298.5,7.5,D,0
6.9953,80.5446,312.9,1,1,2006-01-23,0808,Aqua,MODIS,59,6.2,300.1,5.4,D,0
7.8968,80.7603,315.3,1.3,1.1,2006-01-25,0457,Terra,MODIS,68,6.2,299.7,11.6,D,0
7.2191,80.6393,307.5,1.3,1.1,2006-01-25,0457,Terra,MODIS,38,6.2,297.1,5.7,D,0
7.8949,80.7667,317.7,1.3,1.1,2006-01-25,0457,Terra,MODIS,72,6.2,300.1,14.7,D,0
6.1609,81.0878,323.3,1.1,1.1,2006-01-25,0755,Aqua,MODIS,76,6.2,305,15.9,D,0
6.1373,80.5296,313.3,1.2,1.1,2006-01-25,0755,Aqua,MODIS,57,6.2,300.9,6.9,D,0
6.4779,80.231,329.4,2.1,1.4,2006-01-27,0743,Aqua,MODIS,82,6.2,295.1,64.3,D,0
6.4806,80.2481,311.9,2,1.4,2006-01-27,0743,Aqua,MODIS,51,6.2,295.1,14.8,D,0
6.6856,80.2224,310.8,1,1,2006-01-30,0516,Terra,MODIS,59,6.2,296.7,5.3,D,0
6.197,81.0884,318.1,1,1,2006-02-01,0504,Terra,MODIS,67,6.2,303.4,8.2,D,0
6.201,81.0823,321.8,1,1,2006-02-01,0802,Aqua,MODIS,52,6.2,306.4,8.7,D,0
7.1099,79.9169,318.7,1.1,1,2006-02-01,0802,Aqua,MODIS,49,6.2,303.5,6.9,D,0
6.2053,81.0856,322.8,1.1,1.1,2006-02-10,0756,Aqua,MODIS,61,6.2,298.9,13,D,0
6.2023,81.0881,325.1,1.8,1.3,2006-02-13,0528,Terra,MODIS,80,6.2,296.9,36.7,D,0
6.2068,81.0831,319.4,1.8,1.3,2006-02-13,0528,Terra,MODIS,73,6.2,296.3,22.3,D,0
6.1574,81.0697,313,1.1,1.1,2006-02-15,0516,Terra,MODIS,54,6.2,282.7,8.3,D,0
