latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.8018,-56.897,315.8,1,1,2006-03-11,1718,Aqua,MODIS,33,6.2,298.7,6.5,D,0
5.4192,-55.3078,308.7,1.5,1.2,2006-03-15,1654,Aqua,MODIS,37,6.2,290.8,10.6,D,0
5.4106,-55.506,312.9,1,1,2006-03-29,1706,Aqua,MODIS,60,6.2,294.1,7.8,D,0
5.7682,-56.7604,310.1,1.9,1.3,2006-03-31,1654,Aqua,MODIS,60,6.2,294.5,12.6,D,0
5.7753,-56.7547,311,1.9,1.3,2006-03-31,1654,Aqua,MODIS,63,6.2,293.8,14.2,D,0
5.8966,-56.999,320.2,2,1.4,2006-03-31,1654,Aqua,MODIS,77,6.2,295.6,32.3,D,0
5.8994,-56.9813,314.4,2,1.4,2006-03-31,1654,Aqua,MODIS,70,6.2,295.3,18.1,D,0
5.7807,-56.8717,314.2,1.8,1.3,2006-04-01,1737,Aqua,MODIS,51,6.2,295.8,13.6,D,0
5.9517,-57.0497,317.1,1.7,1.3,2006-04-01,1737,Aqua,MODIS,0,6.2,296.6,16,D,0
5.9323,-56.7862,313.5,1.8,1.3,2006-04-01,1737,Aqua,MODIS,39,6.2,295.6,14.1,D,0
5.8807,-56.9832,324.1,1.1,1,2006-04-03,1724,Aqua,MODIS,62,6.2,297.4,12.8,D,0
5.8887,-56.9944,324.3,1.1,1,2006-04-03,1724,Aqua,MODIS,58,6.2,296.5,13.7,D,0
5.8901,-56.9845,325.2,1.1,1,2006-04-03,1724,Aqua,MODIS,66,6.2,296.1,14.4,D,0
5.7901,-56.8673,321.2,1.5,1.2,2006-04-07,1700,Aqua,MODIS,76,6.2,299.8,22.4,D,0
5.7793,-56.8656,316.9,1.5,1.2,2006-04-07,1700,Aqua,MODIS,64,6.2,298.1,15.7,D,0
5.8379,-56.9157,318,1.5,1.2,2006-04-07,1700,Aqua,MODIS,72,6.2,300.2,15.8,D,0
5.5516,-54.1698,315.7,1.1,1,2006-04-07,1700,Aqua,MODIS,67,6.2,296.8,9.5,D,0
5.8222,-56.9962,318.4,1.3,1.1,2006-04-10,1433,Terra,MODIS,73,6.2,296.9,14.6,D,0
5.8909,-56.9813,328.3,1.3,1.1,2006-04-10,1731,Aqua,MODIS,80,6.2,300.2,25,D,0
5.8345,-56.8819,323,1.4,1.2,2006-04-10,1731,Aqua,MODIS,75,6.2,299.7,15.9,D,0
5.8434,-56.9691,316.3,1.3,1.1,2006-04-10,1731,Aqua,MODIS,47,6.2,298.1,8.3,D,0
5.8562,-56.8801,320.5,1,1,2006-04-12,1718,Aqua,MODIS,59,6.2,296.7,8.2,D,0
5.882,-57.047,318.6,1.2,1.1,2006-04-14,1706,Aqua,MODIS,63,6.2,298.4,10,D,0
5.8831,-56.8383,314.1,1.2,1.1,2006-04-14,1706,Aqua,MODIS,65,6.2,295,6.2,D,0
5.7814,-56.7054,315.7,3.1,1.7,2006-04-15,1451,Terra,MODIS,74,6.2,291.7,42.2,D,0
5.7859,-56.7325,310.7,3,1.7,2006-04-15,1451,Terra,MODIS,49,6.2,291.7,21.2,D,0
5.7822,-56.7119,318.6,3.1,1.7,2006-04-15,1451,Terra,MODIS,71,6.2,291.7,53.5,D,0
5.9089,-57.0403,322.4,1.7,1.3,2006-04-17,1737,Aqua,MODIS,74,6.2,297.4,18.2,D,0
5.8806,-56.9898,322,1.7,1.3,2006-04-17,1737,Aqua,MODIS,55,6.2,297.8,18.5,D,0
5.8431,-56.7277,317.6,1.1,1.1,2006-04-19,1724,Aqua,MODIS,59,6.2,298.7,6.4,D,0
5.8365,-56.9099,321.8,1.1,1,2006-04-19,1724,Aqua,MODIS,74,6.2,298.3,11.7,D,0
5.7951,-56.8636,316.6,1.1,1.1,2006-04-19,1724,Aqua,MODIS,28,6.2,294.3,6.7,D,0
5.8336,-56.7263,319.5,1.1,1.1,2006-04-19,1724,Aqua,MODIS,70,6.2,298.9,8.4,D,0
5.5061,-54.2635,313.5,1.1,1,2006-04-21,1415,Terra,MODIS,64,6.2,296.6,7.8,D,0
5.8112,-56.8098,321.7,1,1,2006-04-21,1712,Aqua,MODIS,69,6.2,305.1,10,D,0
5.7436,-56.7094,325.8,1,1,2006-04-21,1712,Aqua,MODIS,79,6.2,300.6,17.2,D,0
5.7449,-56.7003,317.6,1,1,2006-04-21,1712,Aqua,MODIS,69,6.2,299.3,8.7,D,0
5.7235,-55.3814,312.4,1,1,2006-04-21,1712,Aqua,MODIS,55,6.2,298.4,4.7,D,0
5.8334,-56.7848,317.7,1,1,2006-04-21,1712,Aqua,MODIS,67,6.2,302.8,5.7,D,0
5.8568,-56.7508,319.4,1,1,2006-04-21,1712,Aqua,MODIS,70,6.2,301.9,8.5,D,0
5.8166,-55.1703,308,4.1,1.9,2006-07-20,1452,Terra,MODIS,0,6.2,289.6,41.2,D,0
5.6622,-55.2516,324.1,1,1,2006-07-26,1415,Terra,MODIS,79,6.2,297.7,15.5,D,0
4.3702,-57.9434,304.7,1.2,1.1,2006-07-31,1434,Terra,MODIS,23,6.2,286.8,4.1,D,0
5.9435,-55.0118,314.1,1.2,1.1,2006-08-18,1721,Aqua,MODIS,31,6.2,295.5,6.9,D,0
5.253,-55.0575,315.5,1,1,2006-08-20,1409,Terra,MODIS,62,6.2,295.9,8,D,0
5.9122,-56.4926,320.5,1.5,1.2,2006-08-29,1403,Terra,MODIS,73,6.2,296.8,20.3,D,0
5.8968,-56.5016,320.5,1.4,1.2,2006-08-29,1702,Aqua,MODIS,76,6.2,297.1,19.5,D,0
5.0613,-55.1841,317.5,1.1,1.1,2006-09-03,1720,Aqua,MODIS,65,6.2,300.1,8.2,D,0
5.6528,-54.3673,315.1,1,1,2006-09-05,1708,Aqua,MODIS,63,6.2,296.3,6.9,D,0
5.4315,-55.3255,318.4,1,1,2006-09-05,1708,Aqua,MODIS,63,6.2,298.2,10.7,D,0
1.976,-55.9535,331.7,3.2,1.7,2006-09-06,1750,Aqua,MODIS,85,6.2,298.5,114.9,D,0
5.4164,-54.9678,311.5,4.3,1.9,2006-09-06,1751,Aqua,MODIS,53,6.2,294.3,37.4,D,0
5.9398,-56.9101,312.8,3.1,1.7,2006-09-06,1751,Aqua,MODIS,58,6.2,294.6,29.9,D,0
2.0633,-56.0201,320.1,1.9,1.4,2006-09-07,1655,Aqua,MODIS,76,6.2,299.5,25.1,D,0
1.9828,-56.0609,317.7,1.9,1.4,2006-09-07,1655,Aqua,MODIS,63,6.2,300.3,19.2,D,0
2.0671,-56.0256,322.7,1.9,1.4,2006-09-07,1655,Aqua,MODIS,72,6.2,301.6,30.7,D,0
5.3374,-56.3519,311,1.8,1.3,2006-09-07,1656,Aqua,MODIS,55,6.2,298.6,9.4,D,0
5.4528,-54.9804,320.6,1.4,1.2,2006-09-07,1656,Aqua,MODIS,0,6.2,302.1,17.3,D,0
5.5265,-54.2686,316.2,1.3,1.1,2006-09-07,1656,Aqua,MODIS,65,6.2,300.5,10.8,D,0
5.5165,-54.2671,328.8,1.3,1.1,2006-09-07,1656,Aqua,MODIS,81,6.2,299.9,29.3,D,0
5.567,-54.4103,316.7,1.3,1.1,2006-09-07,1656,Aqua,MODIS,65,6.2,301.9,11,D,0
5.881,-56.3677,306.1,1.2,1.1,2006-09-08,0221,Terra,MODIS,63,6.2,295.1,5.6,N,0
5.6477,-54.239,310.8,2.7,1.6,2006-09-08,1439,Terra,MODIS,55,6.2,296.5,21.6,D,0
5.6515,-54.2633,309.3,2.7,1.6,2006-09-08,1439,Terra,MODIS,47,6.2,296.1,17.2,D,0
5.6412,-54.2583,314.5,2.7,1.6,2006-09-08,1439,Terra,MODIS,65,6.2,297.3,33.5,D,0
5.9044,-56.7211,344.2,1.8,1.3,2006-09-08,1739,Aqua,MODIS,92,6.2,298,105.2,D,0
5.9119,-56.7112,325,1.8,1.3,2006-09-08,1739,Aqua,MODIS,76,6.2,297,37.1,D,0
5.914,-56.739,326.9,1.8,1.3,2006-09-08,1739,Aqua,MODIS,79,6.2,295.3,41.9,D,0
5.9021,-56.7374,321,1.8,1.3,2006-09-08,1739,Aqua,MODIS,71,6.2,296.8,28,D,0
5.9098,-56.7275,357.4,1.8,1.3,2006-09-08,1739,Aqua,MODIS,98,6.2,297.4,173.8,D,0
5.2764,-55.5402,343.7,1,1,2006-09-12,1714,Aqua,MODIS,92,6.2,304,42.2,D,0
5.2687,-55.5299,316.6,1,1,2006-09-12,1714,Aqua,MODIS,39,6.2,300.1,6.5,D,0
5.3062,-55.5328,319.5,1,1,2006-09-12,1714,Aqua,MODIS,65,6.2,303.1,10.3,D,0
5.2674,-55.5389,328.4,1,1,2006-09-12,1714,Aqua,MODIS,82,6.2,302,18.9,D,0
5.2777,-55.5312,322,1,1,2006-09-12,1714,Aqua,MODIS,71,6.2,302.3,11.6,D,0
5.8515,-56.7985,312.5,1,1,2006-09-12,1715,Aqua,MODIS,52,6.2,290.1,6,D,0
5.8657,-56.3776,313.6,1,1,2006-09-12,1715,Aqua,MODIS,61,6.2,288.6,7.1,D,0
5.8805,-56.9946,320.8,1.5,1.2,2006-09-14,1702,Aqua,MODIS,76,6.2,298.3,21.1,D,0
5.9064,-56.5136,309.9,2.4,1.5,2006-09-16,1650,Aqua,MODIS,63,6.2,290.6,14.5,D,0
5.3827,-55.9372,332.3,1.6,1.2,2006-09-17,1733,Aqua,MODIS,84,6.2,301.4,47.7,D,0
5.838,-56.8851,315.1,1,1,2006-09-19,1421,Terra,MODIS,45,6.2,299.8,5.1,D,0
5.8619,-56.7995,315.5,1,1,2006-09-19,1421,Terra,MODIS,54,6.2,301.3,6,D,0
5.828,-57.0156,317.6,1,1,2006-09-19,1721,Aqua,MODIS,66,6.2,300.6,7.1,D,0
5.8292,-57.0067,320.2,1,1,2006-09-19,1721,Aqua,MODIS,71,6.2,300.8,9.5,D,0
2.0578,-56.0759,333.8,1.2,1.1,2006-09-21,1707,Aqua,MODIS,87,6.2,297.6,34.5,D,0
1.8665,-56.0573,314,1.2,1.1,2006-09-21,1707,Aqua,MODIS,38,6.2,296.1,7.9,D,0
2.0562,-56.0865,321,1.2,1.1,2006-09-21,1707,Aqua,MODIS,63,6.2,296.3,15.2,D,0
5.8661,-56.412,322.2,1.1,1.1,2006-09-21,1709,Aqua,MODIS,72,6.2,298.7,13.8,D,0
2.0002,-56.037,318.2,3.1,1.7,2006-09-22,1750,Aqua,MODIS,65,6.2,295.7,43,D,0
2.0076,-56.0299,318.6,1.9,1.4,2006-09-23,1655,Aqua,MODIS,47,6.2,300.4,24.1,D,0
2.0121,-56.0833,321.9,1.9,1.4,2006-09-23,1655,Aqua,MODIS,65,6.2,297.3,35.7,D,0
2.3611,-56.8199,308.4,2.2,1.4,2006-09-23,1655,Aqua,MODIS,18,6.2,292.6,13.9,D,0
2.3639,-56.8006,315.9,2.2,1.4,2006-09-23,1655,Aqua,MODIS,67,6.2,294.7,33,D,0
4.8232,-55.3084,313.3,1.5,1.2,2006-09-23,1656,Aqua,MODIS,65,6.2,299.6,11.3,D,0
4.3217,-55.5222,329.6,1.6,1.2,2006-09-23,1656,Aqua,MODIS,84,6.2,296.8,47.2,D,0
4.3203,-55.5313,314.4,1.6,1.3,2006-09-23,1656,Aqua,MODIS,57,6.2,294,14.9,D,0
4.3224,-55.5169,333,1.6,1.2,2006-09-23,1656,Aqua,MODIS,86,6.2,297,56.4,D,0
4.3113,-55.5152,311.9,1.6,1.2,2006-09-23,1656,Aqua,MODIS,26,6.2,295.8,11.9,D,0
4.3039,-55.4124,315.9,1.6,1.2,2006-09-23,1656,Aqua,MODIS,70,6.2,297.5,17.1,D,0
4.8277,-55.3017,318,1.5,1.2,2006-09-23,1656,Aqua,MODIS,73,6.2,299.7,19.5,D,0
5.4041,-54.749,320.7,1.4,1.2,2006-09-23,1656,Aqua,MODIS,75,6.2,300,19.8,D,0
5.5943,-54.3031,317.6,1.3,1.1,2006-09-23,1656,Aqua,MODIS,66,6.2,297.7,14,D,0
5.4023,-54.7612,312.6,1.4,1.2,2006-09-23,1656,Aqua,MODIS,61,6.2,299.7,8.6,D,0
5.8785,-57.0612,312.4,1.6,1.3,2006-09-24,1439,Terra,MODIS,55,6.2,300,9,D,0
5.7731,-56.8262,312.7,1.7,1.3,2006-09-24,1439,Terra,MODIS,46,6.2,300.3,11.2,D,0
5.8004,-56.7753,313.9,1.7,1.3,2006-09-24,1439,Terra,MODIS,59,6.2,301.5,11.8,D,0
2.3447,-56.7736,310,3.8,1.8,2006-09-25,1643,Aqua,MODIS,59,6.2,290.9,44.9,D,0
2.3376,-56.7645,307,3.8,1.8,2006-09-25,1643,Aqua,MODIS,55,6.2,288.1,31.6,D,0
4.289,-54.5138,313.8,2.3,1.5,2006-09-25,1644,Aqua,MODIS,60,6.2,292.8,28.4,D,0
