latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.683,31.7303,319.5,4.2,1.9,2006-01-05,0849,Terra,MODIS,19,6.2,294.6,72.2,D,0
-27.0483,31.2526,330.8,1.2,1.1,2006-01-18,0818,Terra,MODIS,83,6.2,301.4,30.5,D,0
-26.6177,30.9103,319.1,1,1,2006-01-26,1147,Aqua,MODIS,64,6.2,294,12,D,0
-26.577,30.7934,364.8,1,1,2006-03-08,1142,Aqua,MODIS,100,6.2,304.1,97.4,D,0
-26.9742,31.2354,314.6,1,1,2006-03-08,1142,Aqua,MODIS,54,6.2,303.8,6.8,D,0
-26.5756,30.7923,313.3,1,1,2006-03-16,0812,Terra,MODIS,60,6.2,296.7,7.6,D,0
-26.5847,30.7908,315.1,1,1,2006-03-16,0812,Terra,MODIS,64,6.2,295.6,9,D,0
-26.5978,30.7923,335.9,1.3,1.1,2006-03-27,0754,Terra,MODIS,88,6.2,298,50.4,D,0
-26.6173,31.4318,309.4,1.5,1.2,2006-04-05,0748,Terra,MODIS,56,6.2,297.3,8.8,D,0
-26.0237,31.1861,336,1.8,1.3,2006-04-05,1207,Aqua,MODIS,88,6.2,300.3,73,D,0
-26.4898,30.8041,310.7,1.1,1,2006-04-07,1154,Aqua,MODIS,30,6.2,299.3,5.7,D,0
-25.9789,31.2263,336.8,1,1,2006-04-10,0806,Terra,MODIS,78,6.2,289.3,36.3,D,0
-27.0944,31.0515,308.9,1,1,2006-04-10,0807,Terra,MODIS,46,6.2,295.1,5.3,D,0
-27.2327,31.3367,308.7,3.5,1.8,2006-04-26,1225,Aqua,MODIS,63,6.2,289,40.3,D,0
-26.1733,31.8193,304.4,1.8,1.3,2006-04-26,2014,Terra,MODIS,60,6.2,286.7,18.4,N,0
-26.6197,31.4337,310.3,1.1,1,2006-05-03,0813,Terra,MODIS,69,6.2,293.9,8.1,D,0
-27.1024,31.2823,314.1,1,1,2006-05-03,0813,Terra,MODIS,74,6.2,292,12.4,D,0
-26.1464,31.8144,311.9,1,1,2006-05-05,0800,Terra,MODIS,70,6.2,296.1,8.7,D,0
-26.1687,31.2544,310,1.1,1,2006-05-05,0800,Terra,MODIS,67,6.2,292,8.6,D,0
-25.9961,31.2244,307.6,2.5,1.5,2006-05-09,0736,Terra,MODIS,66,6.2,285.7,34.4,D,0
-25.9911,31.2004,307.6,2.6,1.5,2006-05-09,0736,Terra,MODIS,66,6.2,286,34.7,D,0
-26.5381,30.7932,312.7,1.1,1.1,2006-05-10,0819,Terra,MODIS,73,6.2,289.3,14.4,D,0
