latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.3633,12.3727,301.1,1.4,1.2,2006-04-11,1005,Terra,MODIS,39,6.2,279.9,9.9,D,0
59.1193,15.3539,306.4,2.7,1.6,2006-04-22,1124,Terra,MODIS,63,6.2,287.1,33.7,D,0
59.1163,15.3431,303.1,2.7,1.6,2006-04-22,1124,Terra,MODIS,55,6.2,287.4,24.1,D,0
57.0793,15.9412,303.4,1,1,2006-04-22,1134,Aqua,MODIS,49,6.2,286.3,6.6,D,0
59.1142,15.3396,307.7,1,1,2006-04-22,1135,Aqua,MODIS,66,6.2,289.9,7.9,D,0
59.1167,15.3565,321.6,1,1,2006-04-22,1135,Aqua,MODIS,81,6.2,289.6,19.3,D,0
58.1924,13.9833,303.8,1,1,2006-04-23,1030,Terra,MODIS,49,6.2,288.6,5.5,D,0
58.1898,13.9998,327.3,1,1,2006-04-23,1030,Terra,MODIS,85,6.2,289.1,25.8,D,0
58.3568,12.3834,306.2,1,1,2006-04-23,1030,Terra,MODIS,55,6.2,289.1,7,D,0
60.132,16.1746,303.5,1.1,1.1,2006-04-26,1111,Aqua,MODIS,56,6.2,288.2,7.7,D,0
56.7309,12.8246,310.8,1.2,1.1,2006-04-28,1049,Terra,MODIS,70,6.2,287.9,13.8,D,0
61.6766,16.1413,301.7,2,1.4,2006-05-01,1118,Terra,MODIS,46,6.2,281.6,18.4,D,0
61.667,16.1313,306.7,1,1,2006-05-01,1130,Aqua,MODIS,64,6.2,283.5,9.4,D,0
61.6696,16.1496,301.5,1,1,2006-05-01,1130,Aqua,MODIS,36,6.2,282.4,6.2,D,0
56.6723,13.2754,307.2,1.8,1.3,2006-05-03,1107,Terra,MODIS,65,6.2,289.2,17.4,D,0
56.6674,13.2658,309.2,1.8,1.3,2006-05-03,1107,Terra,MODIS,68,6.2,289,21.1,D,0
