latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.1169,40.5584,300,1.3,1.1,2006-01-14,0825,Terra,MODIS,22,6.2,284.7,6,D,0
34.7101,36.6339,304.8,1.1,1,2006-02-07,1050,Aqua,MODIS,57,6.2,293.4,5.1,D,0
37.1062,41.9879,300,1.1,1.1,2006-02-12,0755,Terra,MODIS,22,6.2,288,4.1,D,0
35.9677,38.7237,308,1.8,1.3,2006-02-20,0844,Terra,MODIS,66,6.2,287.2,17.6,D,0
35.962,38.7164,301.4,1.8,1.3,2006-02-20,0844,Terra,MODIS,46,6.2,285.7,8.8,D,0
34.9874,40.8927,309.6,1.7,1.3,2006-02-22,0832,Terra,MODIS,67,6.2,291.4,13.2,D,0
35.0516,40.8527,311.6,1.4,1.2,2006-02-22,1007,Aqua,MODIS,61,6.2,295.5,8.6,D,0
34.9868,40.8927,313.5,1.4,1.2,2006-02-22,1007,Aqua,MODIS,66,6.2,295.3,11.7,D,0
36.5428,39.0264,309.1,1.6,1.3,2006-02-22,1008,Aqua,MODIS,52,6.2,297.1,12.2,D,0
35.943,38.7539,315.1,1.4,1.2,2006-02-23,1051,Aqua,MODIS,66,6.2,299.4,13.5,D,0
35.9722,39.2408,326.9,1.5,1.2,2006-02-23,1051,Aqua,MODIS,81,6.2,297.6,35.5,D,0
35.9706,39.2247,321.2,1.5,1.2,2006-02-23,1051,Aqua,MODIS,75,6.2,298.7,24.4,D,0
35.7719,39.5825,311.8,1.1,1,2006-02-25,1038,Aqua,MODIS,51,6.2,296.5,7.4,D,0
35.8507,37.7196,312.1,1.1,1,2006-03-05,0814,Terra,MODIS,54,6.2,285.6,11.2,D,0
35.8522,37.7079,304.7,1.1,1,2006-03-05,0814,Terra,MODIS,45,6.2,283.8,5.5,D,0
36.021,37.9391,314.3,1,1,2006-03-06,1032,Aqua,MODIS,56,6.2,301.6,5.4,D,0
35.8457,39.2335,309.4,3.9,1.8,2006-03-13,0903,Terra,MODIS,48,6.2,289.2,45.8,D,0
35.8518,39.2408,307.9,3.9,1.8,2006-03-13,0903,Terra,MODIS,57,6.2,289,39.3,D,0
35.8453,37.9084,320.3,1,1,2006-03-13,1039,Aqua,MODIS,73,6.2,301.5,10.7,D,0
35.1092,40.6687,303.8,1.2,1.1,2006-03-14,1910,Terra,MODIS,57,6.2,284.4,10.8,N,0
36.9312,42.1234,318,1.1,1,2006-03-31,1027,Aqua,MODIS,68,6.2,302.7,7.8,D,0
36.9441,42.1328,307.1,1.1,1.1,2006-04-01,0755,Terra,MODIS,43,6.2,291.6,4.9,D,0
36.9663,42.084,309.2,1,1,2006-04-08,0801,Terra,MODIS,55,6.2,297.6,5.2,D,0
36.9414,42.1307,307.6,1,1,2006-04-08,0801,Terra,MODIS,48,6.2,297,4.5,D,0
35.922,36.6566,310.8,1,1,2006-04-11,0832,Terra,MODIS,54,6.2,299.1,5.7,D,0
34.4744,36.9794,327.6,1.1,1,2006-04-27,0833,Terra,MODIS,79,6.2,303.5,19.5,D,0
33.6116,36.532,312.9,1.1,1,2006-04-27,0833,Terra,MODIS,47,6.2,301,5,D,0
34.4764,36.9677,326.5,1.1,1,2006-04-27,0833,Terra,MODIS,78,6.2,304.3,18,D,0
35.922,36.6513,319.8,1,1,2006-04-30,1039,Aqua,MODIS,66,6.2,303.4,7.8,D,0
35.1548,36.8352,326.6,1.2,1.1,2006-05-04,0839,Terra,MODIS,76,6.2,309,16.6,D,0
34.6164,37.8787,309.2,1.1,1,2006-05-08,2331,Aqua,MODIS,77,6.2,282.5,13.5,N,0
36.9337,42.127,320.8,1,1,2006-05-10,0801,Terra,MODIS,70,6.2,307.4,8.8,D,0
36.9353,42.1157,320.2,1,1,2006-05-10,0801,Terra,MODIS,69,6.2,308.2,8.4,D,0
35.3829,40.4518,303.2,1.5,1.2,2006-05-14,2254,Aqua,MODIS,54,6.2,286,14.1,N,0
35.3793,40.4421,314.2,1,1,2006-05-15,1923,Terra,MODIS,89,6.2,292,13,N,0
36.6372,37.4521,336.6,1.1,1.1,2006-05-24,0814,Terra,MODIS,79,6.2,318.2,20.8,D,0
36.0386,36.9578,336.7,1.1,1,2006-05-29,0832,Terra,MODIS,80,6.2,314.5,21.8,D,0
36.0405,36.9462,352,1.1,1,2006-05-29,0832,Terra,MODIS,94,6.2,315.7,52.2,D,0
36.3328,36.5809,330.4,2.3,1.5,2006-05-29,1009,Aqua,MODIS,62,6.2,315.2,35.8,D,0
35.6313,36.2906,315.6,1,1,2006-06-01,1039,Aqua,MODIS,48,6.2,280.6,10.5,D,0
36.6423,37.1398,331,2.1,1.4,2006-06-04,1110,Aqua,MODIS,45,6.2,314,24.4,D,0
35.9391,36.4688,334.7,1.9,1.3,2006-06-04,1110,Aqua,MODIS,74,6.2,312.2,45.9,D,0
36.7529,36.8336,333.1,1.8,1.3,2006-06-05,1015,Aqua,MODIS,55,6.2,317.3,24,D,0
36.7455,36.8425,338.7,1.8,1.3,2006-06-05,1015,Aqua,MODIS,78,6.2,317.1,42,D,0
35.3233,36.3632,330.1,1.7,1.3,2006-06-05,2355,Aqua,MODIS,100,6.2,300.1,56.9,N,0
35.3249,36.3492,319,1.7,1.3,2006-06-05,2355,Aqua,MODIS,98,6.2,299.5,29.2,N,0
35.3212,36.3674,324.5,1.7,1.3,2006-06-05,2355,Aqua,MODIS,100,6.2,300,42,N,0
