latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.6384,120.4001,308.8,1.1,1,2006-01-05,0507,Aqua,MODIS,67,6.2,294.2,5.6,D,0
23.4139,120.4535,311.6,1.1,1.1,2006-01-10,0525,Aqua,MODIS,42,6.2,295.2,8,D,0
22.4808,120.5953,313.4,1.1,1.1,2006-01-10,0525,Aqua,MODIS,56,6.2,295.1,8.2,D,0
23.0193,120.5779,308.2,1.2,1.1,2006-01-10,0525,Aqua,MODIS,57,6.2,296.2,6.4,D,0
22.4794,120.5844,320.1,1.1,1.1,2006-01-10,0525,Aqua,MODIS,72,6.2,296.7,15.2,D,0
22.7054,120.3083,305.8,1.4,1.2,2006-01-11,1357,Terra,MODIS,66,6.2,285.9,13.8,N,0
24.419,118.3107,320.6,1.1,1.1,2006-01-12,0513,Aqua,MODIS,58,6.2,296.3,17,D,0
22.5426,120.3597,313.1,1.1,1.1,2006-01-13,0249,Terra,MODIS,46,6.2,300.5,6.1,D,2
23.3695,120.2558,313.5,1.4,1.2,2006-01-14,0501,Aqua,MODIS,72,6.2,301.6,7.3,D,0
22.5448,120.3596,312.2,1.4,1.2,2006-01-17,0225,Terra,MODIS,0,6.2,295,7.6,D,2
22.5413,120.351,307.3,1.3,1.1,2006-01-30,1428,Terra,MODIS,53,6.2,293.1,11.4,N,2
22.5434,120.3528,316.5,1,1,2006-01-31,0237,Terra,MODIS,57,6.2,302.5,6.1,D,2
23.5929,120.2168,311.3,2.2,1.4,2006-01-31,0544,Aqua,MODIS,47,6.2,298.7,15.7,D,0
23.7973,120.5899,313.5,1.4,1.2,2006-02-02,0224,Terra,MODIS,70,6.2,299.7,11.7,D,0
22.545,120.3558,315.1,1.4,1.2,2006-02-02,0225,Terra,MODIS,46,6.2,300.3,10.3,D,2
22.539,120.3515,306.6,1.2,1.1,2006-02-03,1403,Terra,MODIS,47,6.2,290.5,9.1,N,2
23.7198,120.514,321,1,1,2006-02-04,0519,Aqua,MODIS,79,6.2,295.6,15.5,D,0
23.8011,120.5766,313.5,1,1,2006-02-04,0519,Aqua,MODIS,37,6.2,299.1,6.6,D,0
24.1404,120.4352,312.4,1,1,2006-02-04,0520,Aqua,MODIS,0,6.2,290.3,8.8,D,0
