latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.1955,68.1208,305.3,1.1,1,2006-02-04,0841,Aqua,MODIS,59,6.2,292.8,4.5,D,0
37.8949,68.8323,307.7,1,1,2006-02-06,0829,Aqua,MODIS,64,6.2,290.6,6.9,D,0
37.5146,68.5889,306.6,1.3,1.1,2006-02-08,0817,Aqua,MODIS,52,6.2,296.2,6.4,D,0
37.0742,68.111,321.6,1.4,1.2,2006-02-08,0817,Aqua,MODIS,79,6.2,295.8,24,D,0
38.2703,68.9169,302.5,2.4,1.5,2006-02-09,0545,Terra,MODIS,49,6.2,283.7,13.9,D,0
37.8183,68.6109,308.5,1.3,1.1,2006-02-11,0847,Aqua,MODIS,58,6.2,291,10.5,D,0
37.1258,67.7963,312,1.2,1.1,2006-02-11,0847,Aqua,MODIS,0,6.2,295.7,7.8,D,0
37.0466,67.915,303.9,1,1,2006-02-26,0628,Terra,MODIS,0,6.2,288.6,5.8,D,0
38.2263,71.4993,303.1,1.5,1.2,2006-03-08,0842,Aqua,MODIS,0,6.2,288.8,11,D,0
37.2772,68.0285,317,1.2,1.1,2006-03-09,0610,Terra,MODIS,71,6.2,297.9,11.3,D,0
37.2729,68.0342,316.3,1.2,1.1,2006-03-09,0610,Terra,MODIS,69,6.2,297.8,11.5,D,0
37.1907,68.1097,315.3,1,1,2006-03-10,0829,Aqua,MODIS,56,6.2,303.4,5.6,D,0
38.1738,69.6337,310.8,1,1,2006-03-10,0829,Aqua,MODIS,63,6.2,298.5,6.7,D,0
38.5942,69.1561,325.7,1,1,2006-03-10,0830,Aqua,MODIS,83,6.2,297.4,19.5,D,0
38.5926,69.1448,316.9,1,1,2006-03-10,0830,Aqua,MODIS,75,6.2,296.3,10.5,D,0
37.2916,68.7643,322.8,1.5,1.2,2006-03-11,0558,Terra,MODIS,80,6.2,295,30.6,D,0
37.2933,68.7473,325.5,1.5,1.2,2006-03-11,0558,Terra,MODIS,82,6.2,294.5,36.1,D,0
37.2918,68.7538,306.6,1.5,1.2,2006-03-12,0640,Terra,MODIS,47,6.2,292.9,8.6,D,0
37.292,68.7811,323.4,1.5,1.2,2006-03-21,0811,Aqua,MODIS,78,6.2,298.8,27.1,D,0
37.5912,69.5545,326.9,1.2,1.1,2006-03-24,0842,Aqua,MODIS,81,6.2,297.1,25.9,D,0
40.2396,69.2896,310.1,1,1,2006-04-11,0830,Aqua,MODIS,60,6.2,298.9,5.5,D,0
40.2412,69.2876,318.3,1.5,1.2,2006-04-16,0849,Aqua,MODIS,55,6.2,305,11.2,D,0
37.2694,68.4539,331.8,2.9,1.6,2006-04-25,1809,Terra,MODIS,100,6.2,290.5,152.7,N,0
37.2713,68.4863,312.5,2.9,1.6,2006-04-25,1809,Terra,MODIS,85,6.2,290.5,59.7,N,0
37.2681,68.4596,334.5,2.9,1.6,2006-04-25,1809,Terra,MODIS,100,6.2,290.9,169.6,N,0
37.278,68.4762,313.1,3.1,1.7,2006-04-25,2043,Aqua,MODIS,86,6.2,287.9,72,N,0
37.278,68.4811,312.8,3.1,1.7,2006-04-25,2043,Aqua,MODIS,86,6.2,288.3,70.6,N,0
37.275,68.4505,363,1.1,1.1,2006-04-26,0610,Terra,MODIS,94,6.2,308.4,91.4,D,0
37.2765,68.4381,372.2,1.1,1.1,2006-04-26,0610,Terra,MODIS,94,6.2,309.3,127.3,D,0
37.2706,68.4437,373.6,1.1,1.1,2006-04-26,0610,Terra,MODIS,94,6.2,310.4,129.9,D,0
37.2645,68.4593,345.9,3.7,1.8,2006-04-26,0747,Aqua,MODIS,89,6.2,311,230.6,D,0
37.2627,68.4238,338.5,3.7,1.8,2006-04-26,0747,Aqua,MODIS,54,6.2,307.2,160.5,D,0
37.2726,68.4636,366.9,3.7,1.8,2006-04-26,0747,Aqua,MODIS,100,6.2,310.9,590.1,D,0
37.2648,68.4618,323.9,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,291.8,31.4,N,0
37.2674,68.4761,317.7,1.3,1.1,2006-04-26,1714,Terra,MODIS,96,6.2,292.4,22.5,N,0
37.2927,68.4481,300.4,1.3,1.1,2006-04-26,1714,Terra,MODIS,24,6.2,290,6.3,N,0
37.2978,68.4767,310.3,1.3,1.1,2006-04-26,1714,Terra,MODIS,68,6.2,289.1,14.1,N,0
37.3004,68.491,378.3,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,295.7,214.9,N,0
37.303,68.5052,361.9,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,293.8,134,N,0
37.2754,68.4681,313.8,1.3,1.1,2006-04-26,1714,Terra,MODIS,61,6.2,290.8,16.5,N,0
37.278,68.4824,360.5,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,294.7,126.9,N,0
37.2628,68.4567,306,1.3,1.1,2006-04-26,1714,Terra,MODIS,66,6.2,291.5,10,N,0
37.2654,68.471,323.3,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,292.6,30.5,N,0
37.2953,68.4624,322.8,1.3,1.1,2006-04-26,1714,Terra,MODIS,100,6.2,289.6,30.8,N,0
37.2671,68.4795,309.9,1,1,2006-04-26,2126,Aqua,MODIS,79,6.2,289.2,10.7,N,0
37.2688,68.4683,318.2,1,1,2006-04-26,2126,Aqua,MODIS,96,6.2,288.4,17.5,N,0
37.2955,68.4746,313.4,1,1,2006-04-26,2126,Aqua,MODIS,87,6.2,286.5,13.3,N,0
37.2938,68.4858,309.8,1,1,2006-04-26,2126,Aqua,MODIS,78,6.2,286.9,10.4,N,0
37.2937,68.4644,337,2.3,1.5,2006-04-27,0653,Terra,MODIS,69,6.2,314.6,67.3,D,0
37.2966,68.4722,340.7,1,1,2006-04-27,0830,Aqua,MODIS,61,6.2,318.1,24.4,D,0
37.2949,68.4609,336.4,1,1,2006-04-27,0830,Aqua,MODIS,65,6.2,318,16.9,D,0
