latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.6667,101.1721,322,1.2,1.1,2006-01-01,0405,Terra,MODIS,75,6.2,302.5,13.2,D,0
16.7761,99.9239,314.7,1.1,1,2006-01-01,0405,Terra,MODIS,65,6.2,299.8,6.9,D,0
16.6645,101.1768,326.8,1.2,1.1,2006-01-01,0405,Terra,MODIS,80,6.2,302.7,19.3,D,0
16.6648,101.1835,321.8,1.2,1.1,2006-01-01,0405,Terra,MODIS,75,6.2,302.4,12.7,D,0
14.1416,99.8313,312,1.1,1.1,2006-01-01,0406,Terra,MODIS,66,6.2,289.9,6.9,D,0
15.5161,100.2048,321.5,2.3,1.5,2006-01-01,0708,Aqua,MODIS,74,6.2,297.9,32,D,0
15.7493,100.5205,319.7,2.4,1.5,2006-01-01,0708,Aqua,MODIS,64,6.2,300.7,23.5,D,0
16.6225,100.4445,316.6,2.4,1.5,2006-01-01,0708,Aqua,MODIS,67,6.2,300.1,20.7,D,0
15.8156,100.416,317.9,2.4,1.5,2006-01-01,0708,Aqua,MODIS,68,6.2,298.9,17.9,D,0
16.6179,100.4377,317.6,2.4,1.5,2006-01-01,0708,Aqua,MODIS,65,6.2,300,22.4,D,0
15.5174,100.2116,317.4,2.3,1.5,2006-01-01,0708,Aqua,MODIS,55,6.2,297.3,20.6,D,0
15.8444,100.4741,318.5,2.4,1.5,2006-01-01,0708,Aqua,MODIS,69,6.2,299.4,18.5,D,0
17.2313,100.1911,318.7,2.4,1.5,2006-01-01,0709,Aqua,MODIS,34,6.2,302,26.3,D,0
16.2559,104.6009,301.3,1.9,1.3,2006-01-01,1457,Terra,MODIS,39,6.2,286.5,10,N,0
15.6026,100.9246,300.3,3.7,1.8,2006-01-01,1457,Terra,MODIS,10,6.2,289.8,31.7,N,0
15.6801,102.4142,301.7,2.8,1.6,2006-01-01,1457,Terra,MODIS,44,6.2,290.9,20.1,N,0
15.4562,103.1829,318.9,1.5,1.2,2006-01-02,0613,Aqua,MODIS,68,6.2,301.1,12.7,D,0
15.466,104.5081,323.9,1.2,1.1,2006-01-02,0613,Aqua,MODIS,76,6.2,302.6,16.2,D,0
15.4539,103.1693,319.2,1.5,1.2,2006-01-02,0613,Aqua,MODIS,68,6.2,301.1,13.4,D,0
15.5664,105.3632,318.1,1.1,1.1,2006-01-02,0613,Aqua,MODIS,68,6.2,301.5,6.4,D,0
17.2958,103.784,313.8,1.5,1.2,2006-01-02,1540,Terra,MODIS,88,6.2,292.3,23.1,N,0
