latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.2139,125.5007,310.7,2,1.4,2006-01-30,0452,Aqua,MODIS,41,6.2,279.8,14.3,D,0
-9.0299,126.0662,317.1,1.4,1.2,2006-02-06,0458,Aqua,MODIS,53,6.2,298.1,13.6,D,0
-8.8614,125.6153,316.6,1,1,2006-03-08,0511,Aqua,MODIS,66,6.2,301.8,8.8,D,0
-9.3841,125.1564,318.5,1,1,2006-03-15,0517,Aqua,MODIS,60,6.2,300.4,7.5,D,0
-9.3828,125.1654,316.9,1,1,2006-03-15,0517,Aqua,MODIS,56,6.2,301.2,5.8,D,0
-9.4175,125.1152,315.5,1,1,2006-03-15,0517,Aqua,MODIS,50,6.2,300.6,6,D,0
-9.21,125.4007,316.8,1.1,1,2006-03-26,0209,Terra,MODIS,73,6.2,288.2,10.4,D,0
-9.4027,125.1541,315,1.1,1,2006-04-13,0157,Terra,MODIS,47,6.2,299.8,6.9,D,0
-9.4038,125.1732,314.2,1.1,1,2006-05-11,0512,Aqua,MODIS,0,6.2,300.8,7.3,D,0
-9.4162,124.094,311.4,1.7,1.3,2006-05-30,0542,Aqua,MODIS,60,6.2,296.7,12.6,D,0
-8.9359,126.3385,309.6,1.1,1,2006-06-05,0506,Aqua,MODIS,59,6.2,297.3,5.7,D,0
-9.0626,125.9995,311.5,1.2,1.1,2006-06-10,0524,Aqua,MODIS,51,6.2,295.7,8.2,D,0
-9.061,126.01,324.4,1.2,1.1,2006-06-10,0524,Aqua,MODIS,75,6.2,297.2,22.5,D,0
-8.5569,125.685,312.1,1.7,1.3,2006-06-12,0221,Terra,MODIS,45,6.2,295.4,14,D,0
-8.9628,125.1657,316.2,1.2,1.1,2006-06-21,0506,Aqua,MODIS,68,6.2,301.7,8.1,D,0
-8.568,125.6877,312.6,1.2,1.1,2006-06-25,0151,Terra,MODIS,33,6.2,296.7,7.8,D,0
-8.5697,125.6986,310.1,1.2,1.1,2006-06-25,0151,Terra,MODIS,35,6.2,296.2,6.5,D,0
-8.9754,125.1758,319.8,1.1,1,2006-06-26,0525,Aqua,MODIS,75,6.2,304.8,8.4,D,0
-8.6234,125.8753,321.3,1.2,1.1,2006-06-26,0525,Aqua,MODIS,69,6.2,305,12.2,D,0
-8.5193,125.7985,313.2,2.4,1.5,2006-07-01,0543,Aqua,MODIS,37,6.2,295.2,23.7,D,0
-8.8552,125.0305,311.2,1.6,1.3,2006-07-04,0145,Terra,MODIS,0,6.2,298.4,8.6,D,0
-8.551,125.6194,317,1.3,1.2,2006-07-07,0216,Terra,MODIS,48,6.2,299.4,10.4,D,0
-8.5475,125.6146,325.8,1.3,1.2,2006-07-07,0216,Terra,MODIS,78,6.2,300.9,24.2,D,0
-8.5494,125.6082,326.5,1.3,1.1,2006-07-07,0216,Terra,MODIS,0,6.2,301.9,25.4,D,0
-8.5544,125.6102,310.5,1.2,1.1,2006-07-07,0507,Aqua,MODIS,44,6.2,287.6,6,D,0
-9.2001,125.5093,311.6,1.9,1.4,2006-07-09,0454,Aqua,MODIS,63,6.2,296.8,16.6,D,0
-9.1962,125.5021,317.2,1.9,1.4,2006-07-09,0454,Aqua,MODIS,72,6.2,296.6,28.8,D,0
-9.2023,125.4916,311.6,2,1.4,2006-07-09,0454,Aqua,MODIS,63,6.2,296.1,16.4,D,0
-9.0901,125.935,310.1,1.8,1.3,2006-07-09,0454,Aqua,MODIS,58,6.2,296.2,12.3,D,0
-9.0111,125.136,315.2,2.1,1.4,2006-07-09,0454,Aqua,MODIS,53,6.2,301.3,15.4,D,0
-8.9447,125.1382,320.9,1.1,1,2006-07-12,0525,Aqua,MODIS,68,6.2,301.4,10.4,D,0
-8.627,125.5346,315.6,1.4,1.2,2006-07-19,0531,Aqua,MODIS,45,6.2,298.7,12.5,D,0
-8.5079,125.8171,321.9,1.4,1.2,2006-07-19,0531,Aqua,MODIS,51,6.2,302.5,17.9,D,0
-8.6689,126.1749,311.2,1,1,2006-07-21,0519,Aqua,MODIS,46,6.2,297.2,3.5,D,0
-8.8775,125.3765,317.8,1,1,2006-07-21,0519,Aqua,MODIS,63,6.2,302,8.8,D,0
-8.6471,125.9428,317,1,1,2006-07-21,0519,Aqua,MODIS,68,6.2,301.9,8,D,0
-8.9539,125.1206,318,1,1,2006-07-25,0203,Terra,MODIS,56,6.2,301.4,7.2,D,0
-8.5996,126.0333,313.9,1,1,2006-07-25,0203,Terra,MODIS,64,6.2,297.7,5.5,D,0
-8.9454,125.1283,323.6,1,1,2006-07-25,0203,Terra,MODIS,69,6.2,302.4,12.2,D,0
-8.6675,126.1213,310.2,1,1,2006-07-25,0203,Terra,MODIS,39,6.2,297,4.4,D,0
-8.6598,126.1462,313.6,1.7,1.3,2006-07-25,0455,Aqua,MODIS,52,6.2,297.4,12.8,D,0
-8.8996,125.2953,314.1,1.7,1.3,2006-07-26,0538,Aqua,MODIS,49,6.2,296.1,12.8,D,0
-8.6615,125.9028,317.1,1.1,1.1,2006-07-27,0151,Terra,MODIS,72,6.2,298,11.2,D,0
-8.6455,125.9262,312.8,1.1,1.1,2006-07-27,0151,Terra,MODIS,54,6.2,299.5,6.4,D,0
-8.6768,126.1334,315.3,1.2,1.1,2006-07-28,0525,Aqua,MODIS,33,6.2,303.2,8.2,D,0
-8.6394,126.1827,316.1,1.2,1.1,2006-07-28,0525,Aqua,MODIS,46,6.2,301.6,8.4,D,0
-8.6458,126.2068,315.5,1.2,1.1,2006-07-28,0525,Aqua,MODIS,43,6.2,301.5,8.2,D,0
-8.6783,126.1404,315.6,1.2,1.1,2006-07-28,0525,Aqua,MODIS,52,6.2,303.4,8.6,D,0
-8.9491,126.0962,314.5,1.2,1.1,2006-07-28,0525,Aqua,MODIS,64,6.2,299.7,10.5,D,0
-9.0293,126.0376,323.5,1.2,1.1,2006-07-28,0525,Aqua,MODIS,77,6.2,298.9,20.9,D,0
-8.6846,125.8815,315.4,1.2,1.1,2006-07-28,0525,Aqua,MODIS,64,6.2,303.4,8.7,D,0
-8.6908,125.8397,314.9,1.2,1.1,2006-07-28,0525,Aqua,MODIS,44,6.2,302.4,6.3,D,0
-8.8921,126.2093,315.2,1.2,1.1,2006-07-28,0525,Aqua,MODIS,66,6.2,297.6,11.1,D,0
-9.0401,125.8341,315.6,1.2,1.1,2006-07-28,0525,Aqua,MODIS,65,6.2,299.2,10.3,D,0
-9.0257,125.7998,316.2,1.1,1.1,2006-07-28,0525,Aqua,MODIS,66,6.2,298.3,11.7,D,0
-8.7711,125.3003,312.6,1.1,1,2006-07-28,0525,Aqua,MODIS,19,6.2,300.9,5.5,D,0
-9.1735,125.6931,316.2,1.1,1.1,2006-07-28,0525,Aqua,MODIS,57,6.2,300.7,9.5,D,0
-8.6151,125.4755,334.2,1.1,1.1,2006-07-28,0525,Aqua,MODIS,86,6.2,303.1,32,D,0
-8.9918,125.1168,337.6,1.1,1,2006-07-28,0525,Aqua,MODIS,89,6.2,308,31,D,0
-8.5592,125.6524,323.5,1.7,1.3,2006-07-30,0222,Terra,MODIS,79,6.2,302.8,28.3,D,0
-8.4641,126.3761,316.6,1,1,2006-07-30,0513,Aqua,MODIS,41,6.2,298.3,5.4,D,0
-8.5689,125.6415,331.8,1,1,2006-07-30,0513,Aqua,MODIS,83,6.2,302.9,22.3,D,0
-8.9089,126.1582,311.6,1,1,2006-07-30,0513,Aqua,MODIS,57,6.2,297.8,5.3,D,0
-9.067,125.956,312.8,1,1,2006-07-30,0513,Aqua,MODIS,55,6.2,300.4,5.3,D,0
-9.0348,125.9234,312.9,1,1,2006-07-30,0513,Aqua,MODIS,36,6.2,300.1,4.9,D,0
-8.4176,127.0765,313.3,1,1,2006-07-30,0513,Aqua,MODIS,49,6.2,295.4,8.3,D,0
-9.0172,125.8491,315.1,1,1,2006-07-30,0513,Aqua,MODIS,65,6.2,299.7,7.5,D,0
-8.4973,127.0392,320.1,1,1,2006-07-30,0513,Aqua,MODIS,73,6.2,296.3,11.2,D,0
-9.0773,125.9482,312.3,1,1,2006-07-30,0513,Aqua,MODIS,55,6.2,299.4,5.3,D,0
-8.5676,125.6507,332.9,1,1,2006-07-30,0513,Aqua,MODIS,84,6.2,305.1,23.7,D,0
-8.5431,125.6286,319.7,1,1,2006-07-30,0513,Aqua,MODIS,55,6.2,302.2,7.4,D,0
-8.5444,125.6193,324.4,1,1,2006-07-30,0513,Aqua,MODIS,71,6.2,303.5,12.4,D,0
-8.9705,126.1764,312.4,1,1,2006-07-30,0513,Aqua,MODIS,0,6.2,298.5,5.3,D,0
-9.0042,125.9404,309.5,1,1,2006-07-30,0513,Aqua,MODIS,38,6.2,297.8,3.6,D,0
-9.0606,125.8713,314.6,1,1,2006-07-30,0513,Aqua,MODIS,63,6.2,300,7.1,D,0
-9.0173,125.1845,347.2,1.1,1,2006-08-01,0210,Terra,MODIS,94,6.2,303.8,53.6,D,0
-9.0053,125.1665,317.7,1.1,1,2006-08-01,0210,Terra,MODIS,62,6.2,303.1,7.3,D,0
-9.0213,126.0314,309.2,1.2,1.1,2006-08-01,0210,Terra,MODIS,37,6.2,297.7,4.4,D,0
-8.5975,125.5345,322.8,1.1,1,2006-08-01,0210,Terra,MODIS,59,6.2,299.3,17.6,D,0
-9.0187,125.1941,335.7,1.1,1,2006-08-01,0210,Terra,MODIS,87,6.2,302.7,31.8,D,0
-8.969,125.9962,318.8,1.4,1.2,2006-08-01,0501,Aqua,MODIS,71,6.2,298.8,18.2,D,0
-8.5565,125.6518,319.4,1.4,1.2,2006-08-01,0501,Aqua,MODIS,52,6.2,302,12.1,D,0
-8.6579,126.182,316.2,1.3,1.1,2006-08-01,0501,Aqua,MODIS,68,6.2,302.6,9.5,D,0
-8.8628,125.3377,319.5,1.5,1.2,2006-08-01,0501,Aqua,MODIS,70,6.2,300.9,17.1,D,0
-8.9674,126.0082,313.9,1.4,1.2,2006-08-01,0501,Aqua,MODIS,62,6.2,298.9,11.4,D,0
-9.0287,125.196,331.5,1.6,1.2,2006-08-01,0501,Aqua,MODIS,79,6.2,305,37,D,0
-9.03,125.2036,334.2,1.6,1.2,2006-08-01,0501,Aqua,MODIS,86,6.2,304.7,46,D,0
-9.026,125.8898,317.5,1.4,1.2,2006-08-01,0501,Aqua,MODIS,69,6.2,300.4,14,D,0
-9.0207,125.8506,313.3,1.4,1.2,2006-08-01,0501,Aqua,MODIS,60,6.2,299.3,9.1,D,0
-9.0224,125.838,323.9,1.4,1.2,2006-08-01,0501,Aqua,MODIS,78,6.2,300.3,25.2,D,0
-8.9638,125.143,323.9,2.2,1.4,2006-08-02,0544,Aqua,MODIS,42,6.2,307.6,27.7,D,0
-9.0345,125.1993,321.6,2.2,1.4,2006-08-02,0544,Aqua,MODIS,76,6.2,305.4,30.5,D,0
-9.0375,125.1803,321.4,2.2,1.4,2006-08-02,0544,Aqua,MODIS,75,6.2,305.4,28.9,D,0
-8.4014,126.9187,332,1,1,2006-08-03,0157,Terra,MODIS,84,6.2,298.4,26.1,D,0
-9.0948,125.8831,309.9,1,1,2006-08-03,0157,Terra,MODIS,43,6.2,298.7,4,D,0
-8.6889,125.3239,317.3,1.1,1,2006-08-03,0157,Terra,MODIS,57,6.2,298.7,10.8,D,0
-8.928,126.1922,313.2,2.2,1.4,2006-08-03,0449,Aqua,MODIS,64,6.2,297.9,20.5,D,0
-8.6404,126.2031,320.7,1.5,1.2,2006-08-04,0532,Aqua,MODIS,73,6.2,302.8,20.2,D,0
-8.9404,126.1871,312.6,1.5,1.2,2006-08-04,0532,Aqua,MODIS,62,6.2,298.8,10.1,D,0
-8.6316,126.1875,314.6,1.5,1.2,2006-08-04,0532,Aqua,MODIS,32,6.2,302,8.8,D,0
-8.8541,125.3458,327.1,1.3,1.1,2006-08-04,0532,Aqua,MODIS,81,6.2,302.6,27.1,D,0
-8.8559,125.3344,321.6,1.3,1.1,2006-08-04,0532,Aqua,MODIS,76,6.2,304.1,16.6,D,0
-8.9899,125.1343,321.8,1.3,1.1,2006-08-04,0532,Aqua,MODIS,61,6.2,309.2,9.4,D,0
-8.6574,125.8506,324.1,1.4,1.2,2006-08-05,0145,Terra,MODIS,79,6.2,302.8,25.3,D,0
-8.621,126.0697,318,1.4,1.2,2006-08-05,0145,Terra,MODIS,72,6.2,300.8,16.3,D,0
-8.4728,126.3692,322.1,1.3,1.1,2006-08-05,0145,Terra,MODIS,77,6.2,301.3,18.9,D,0
-8.6813,125.7948,318.2,1.4,1.2,2006-08-05,0145,Terra,MODIS,72,6.2,300.5,17.7,D,0
-8.6832,125.8071,314.5,1.4,1.2,2006-08-05,0145,Terra,MODIS,67,6.2,301.8,11.3,D,0
-8.687,125.8,314.5,1.4,1.2,2006-08-05,0145,Terra,MODIS,24,6.2,301,10.5,D,0
-8.5726,125.662,317.8,1.5,1.2,2006-08-05,0145,Terra,MODIS,46,6.2,304.6,14,D,0
-8.5675,125.6552,327.1,1.5,1.2,2006-08-05,0145,Terra,MODIS,81,6.2,307,29.6,D,0
-8.5705,125.6491,319.1,1.5,1.2,2006-08-05,0145,Terra,MODIS,65,6.2,305.7,15.3,D,0
-8.2009,125.5944,306.2,1.2,1.1,2006-08-05,1402,Terra,MODIS,42,6.2,292.3,8,N,0
-8.8539,125.3272,323.8,1,1,2006-08-06,0519,Aqua,MODIS,76,6.2,302.9,13,D,0
-8.622,125.5309,318.5,1,1,2006-08-06,0519,Aqua,MODIS,42,6.2,297.9,8.3,D,0
-9.0187,125.2071,321.1,1,1,2006-08-06,0519,Aqua,MODIS,47,6.2,305.7,7.6,D,0
-8.6241,126.0263,314.9,1,1,2006-08-06,0519,Aqua,MODIS,50,6.2,300,5.2,D,0
-8.5666,126.04,326.6,1,1,2006-08-06,0519,Aqua,MODIS,79,6.2,305.1,14.8,D,0
-8.6308,126.1152,309.3,2.3,1.5,2006-08-07,0133,Terra,MODIS,49,6.2,296.6,14.9,D,0
