latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.729,-175.0745,313.2,1,1,2006-02-06,2158,Terra,MODIS,45,6.2,296.6,6.5,D,0
-21.1571,-175.3041,314.6,1,1,2006-04-04,0131,Aqua,MODIS,52,6.2,297.1,6.4,D,0
-21.2337,-175.1294,319.1,1.1,1,2006-04-06,0119,Aqua,MODIS,71,6.2,302.8,9.7,D,0
-21.2591,-175.1399,310.2,1,1,2006-05-15,0126,Aqua,MODIS,0,6.2,296.3,4.8,D,0
-21.2056,-175.1678,326.3,1.3,1.1,2006-05-27,2211,Terra,MODIS,79,6.2,297.1,30.5,D,0
-21.2072,-175.1549,313.6,1.3,1.1,2006-05-27,2211,Terra,MODIS,40,6.2,296.7,11.5,D,0
-21.2136,-175.1618,314.4,1.3,1.1,2006-05-27,2211,Terra,MODIS,61,6.2,294.8,12.4,D,0
-21.2392,-175.1464,317.6,1.2,1.1,2006-05-29,0138,Aqua,MODIS,68,6.2,298.3,13.3,D,0
-21.2411,-175.158,327.2,1.2,1.1,2006-05-29,0138,Aqua,MODIS,71,6.2,299,26.1,D,0
-19.7327,-175.0717,312.2,1.1,1,2006-08-10,0134,Aqua,MODIS,38,6.2,296.3,8.4,D,0
-19.7312,-175.082,313.2,1,1,2006-11-07,0128,Aqua,MODIS,39,6.2,298.7,6.3,D,0
