latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.7143,-61.5609,311.1,1.1,1.1,2006-01-09,1449,Terra,MODIS,13,6.2,297.9,7,D,0
10.4157,-61.4791,304,1.1,1,2006-01-27,0221,Terra,MODIS,58,6.2,291.4,4.6,N,0
10.3077,-61.3962,317.4,1.3,1.1,2006-02-03,1743,Aqua,MODIS,70,6.2,300.4,11.2,D,0
10.1919,-61.394,312.9,1.3,1.1,2006-02-07,1719,Aqua,MODIS,46,6.2,299.1,9.4,D,0
10.2901,-61.3577,315.8,1.3,1.1,2006-02-07,1719,Aqua,MODIS,67,6.2,300,12.6,D,0
10.717,-61.5578,310,1.8,1.3,2006-02-08,1502,Terra,MODIS,5,6.2,297.1,12.7,D,0
10.7234,-61.5576,311.9,1.1,1.1,2006-02-10,1450,Terra,MODIS,36,6.2,299,8.5,D,0
10.2331,-61.4964,310.4,1.2,1.1,2006-02-10,1450,Terra,MODIS,18,6.2,295.5,7.4,D,0
10.4828,-61.4559,314.1,1.1,1,2006-02-12,1738,Aqua,MODIS,54,6.2,290.7,6.7,D,0
10.2112,-61.4749,328.6,1.1,1,2006-02-14,1725,Aqua,MODIS,83,6.2,302.1,21.2,D,0
10.6387,-61.3487,310.2,2.5,1.5,2006-02-15,1508,Terra,MODIS,22,6.2,294.5,26.2,D,0
10.2494,-61.4433,321.4,1.3,1.1,2006-02-19,1744,Aqua,MODIS,59,6.2,298,12.4,D,0
10.3547,-61.4291,315.3,1.3,1.1,2006-02-23,1719,Aqua,MODIS,69,6.2,299.7,8.9,D,0
10.2194,-61.5065,320.4,1.3,1.1,2006-02-23,1719,Aqua,MODIS,75,6.2,298.8,15.7,D,0
10.5182,-61.4324,315.3,1.3,1.1,2006-02-23,1719,Aqua,MODIS,48,6.2,299.4,8.9,D,0
10.2212,-61.495,317.7,1.3,1.1,2006-02-23,1719,Aqua,MODIS,63,6.2,302.3,11.4,D,0
10.3989,-61.4066,314.3,1.3,1.1,2006-02-23,1719,Aqua,MODIS,61,6.2,300.1,8.6,D,0
