latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.2552,31.4162,301.4,1,1,2006-01-01,0855,Terra,MODIS,0,6.2,280.3,7.2,D,0
36.8433,39.8796,304.5,1,1,2006-01-01,1032,Aqua,MODIS,59,6.2,284.4,6.7,D,0
36.8343,39.8815,300.4,1,1,2006-01-01,1032,Aqua,MODIS,32,6.2,283.5,4.4,D,0
37.05,40.3332,314,1.1,1,2006-01-01,1032,Aqua,MODIS,74,6.2,283.4,15.3,D,0
37.1762,40.3139,301.2,1.1,1,2006-01-01,1032,Aqua,MODIS,45,6.2,281.5,5.2,D,0
37.2461,33.0883,302.5,1.5,1.2,2006-01-02,1115,Aqua,MODIS,52,6.2,289.8,7.2,D,0
37.0799,40.5713,303.6,1,1,2006-01-03,1020,Aqua,MODIS,57,6.2,292,4.4,D,0
37.0252,40.2772,304.2,1,1,2006-01-03,1020,Aqua,MODIS,58,6.2,289.8,5.8,D,0
36.3106,29.3512,310.4,2.6,1.6,2006-01-05,1146,Aqua,MODIS,37,6.2,289.3,41.1,D,0
36.3044,29.372,310.8,2.6,1.6,2006-01-05,1146,Aqua,MODIS,43,6.2,288.8,44.2,D,0
37.238,35.7279,304.2,1.1,1,2006-01-06,1051,Aqua,MODIS,58,6.2,291.3,5.5,D,0
36.8667,34.7612,300.6,1,1,2006-01-15,1044,Aqua,MODIS,39,6.2,289.6,4.1,D,0
37.3681,37.0097,303.4,1,1,2006-01-15,1044,Aqua,MODIS,56,6.2,284.9,6.2,D,0
37.3666,36.9981,311.8,1,1,2006-01-15,1044,Aqua,MODIS,72,6.2,286.9,12.3,D,0
39.8169,32.3228,308.5,1.1,1,2006-01-15,1045,Aqua,MODIS,67,6.2,281.9,11.9,D,0
39.8614,32.4337,303.9,1.1,1,2006-01-15,1045,Aqua,MODIS,57,6.2,278.7,9,D,0
39.2801,31.2106,312.6,1.9,1.3,2006-01-16,1128,Aqua,MODIS,73,6.2,281.2,35.7,D,0
38.0343,30.2288,308.5,1.6,1.2,2006-01-16,1128,Aqua,MODIS,67,6.2,279.3,21.9,D,0
38.0361,30.2488,310.5,1.6,1.2,2006-01-16,1128,Aqua,MODIS,70,6.2,283.1,24.8,D,0
39.2836,31.2048,316.3,1.9,1.3,2006-01-16,1128,Aqua,MODIS,77,6.2,280.8,41.3,D,0
38.0339,30.237,321.8,1.6,1.2,2006-01-16,1128,Aqua,MODIS,81,6.2,280.7,42.2,D,0
37.8207,29.3469,300.6,1.4,1.2,2006-01-16,1128,Aqua,MODIS,40,6.2,285.4,9.1,D,0
37.177,40.1429,302.9,1,1,2006-01-17,1032,Aqua,MODIS,54,6.2,288.7,5.1,D,0
