latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.7678,53.9156,304.4,1,1,2006-01-01,0717,Terra,MODIS,59,6.2,283,7.8,D,2
38.7323,64.6157,302.2,1.1,1,2006-01-01,0854,Aqua,MODIS,51,6.2,280.9,7.4,D,2
37.7615,53.9205,300.2,1,1,2006-01-02,0937,Aqua,MODIS,32,6.2,286.9,4.1,D,2
37.9267,53.922,308.4,1,1,2006-01-02,0937,Aqua,MODIS,67,6.2,287.2,9.8,D,2
37.9299,53.9242,305.3,1.2,1.1,2006-01-03,0705,Terra,MODIS,61,6.2,279.8,11.9,D,2
38.1377,58.1458,306.3,1,1,2006-01-03,0705,Terra,MODIS,63,6.2,273.7,11.2,D,0
37.764,53.9212,301.8,1,1,2006-01-04,0924,Aqua,MODIS,49,6.2,288.3,4.6,D,2
37.9295,53.9153,303.3,1,1,2006-01-04,0924,Aqua,MODIS,55,6.2,286.6,5.6,D,0
37.7622,53.9096,303.9,1,1,2006-01-04,0924,Aqua,MODIS,58,6.2,288.3,5.9,D,0
36.3694,61.8101,303.6,1.1,1,2006-01-05,0653,Terra,MODIS,57,6.2,279.4,8.2,D,0
36.3702,61.8122,306.3,1.2,1.1,2006-01-06,0911,Aqua,MODIS,63,6.2,289.1,7.3,D,0
36.3651,61.8071,306.8,1.2,1.1,2006-01-06,0911,Aqua,MODIS,64,6.2,288.8,7.7,D,0
37.841,59.3025,344.6,1,1,2006-01-06,0912,Aqua,MODIS,94,6.2,284,54.5,D,0
38.3416,64.3397,300.2,1.6,1.3,2006-01-06,0912,Aqua,MODIS,27,6.2,278.5,12,D,0
37.7112,59.0921,305.9,1,1,2006-01-06,0912,Aqua,MODIS,62,6.2,283,9,D,0
37.7128,59.1033,341.3,1,1,2006-01-06,0912,Aqua,MODIS,80,6.2,284.5,48.4,D,0
37.8394,59.2911,325.5,1,1,2006-01-06,0912,Aqua,MODIS,84,6.2,281.7,26,D,0
37.9148,59.2325,300.3,1,1,2006-01-06,0912,Aqua,MODIS,35,6.2,283.5,4.9,D,0
37.415,59.8238,311.5,1,1,2006-01-06,0912,Aqua,MODIS,71,6.2,281.1,12.7,D,0
37.7203,65.2404,311.1,1.1,1,2006-01-07,0640,Terra,MODIS,71,6.2,277.5,12.9,D,0
37.2598,60.1129,314.2,1.2,1.1,2006-01-07,0640,Terra,MODIS,74,6.2,280.4,19.1,D,0
37.7591,64.8263,301.9,1,1,2006-01-07,0640,Terra,MODIS,49,6.2,277.8,7.9,D,0
37.2582,60.1261,303.3,1.2,1.1,2006-01-07,0640,Terra,MODIS,56,6.2,280.6,9.6,D,0
38.8617,63.923,302.3,2.2,1.4,2006-01-07,0817,Aqua,MODIS,0,6.2,272,22.9,D,0
37.4902,65.3365,316,1,1,2006-01-07,1744,Terra,MODIS,92,6.2,272.4,19.9,N,0
38.7358,64.6215,302.3,1,1,2006-01-07,1744,Terra,MODIS,48,6.2,271.2,10.7,N,2
37.4917,65.3478,320.3,1,1,2006-01-07,1744,Terra,MODIS,100,6.2,272.6,23.9,N,0
37.7658,53.9128,302.4,1,1,2006-01-08,0723,Terra,MODIS,52,6.2,281.6,6.6,D,2
37.7945,62.9189,300,3,1.6,2006-01-08,0723,Terra,MODIS,20,6.2,284.5,20.3,D,0
37.3053,65.3394,310.1,1,1,2006-01-09,0628,Terra,MODIS,70,6.2,282.1,11.4,D,0
37.9251,53.9236,307.5,1.2,1.1,2006-01-13,0918,Aqua,MODIS,65,6.2,288.2,10.1,D,2
38.74,64.6242,300.6,1.1,1,2006-01-16,2149,Aqua,MODIS,31,6.2,268.3,11.8,N,2
37.7673,53.9149,305.7,1,1,2006-01-17,0717,Terra,MODIS,62,6.2,284.9,8.2,D,2
37.9314,53.9296,304.2,1,1,2006-01-17,0717,Terra,MODIS,58,6.2,284.6,7.4,D,2
38.8462,54.2246,301.2,2.3,1.5,2006-01-17,0854,Aqua,MODIS,30,6.2,281.2,19.6,D,0
37.9364,63.4664,304.5,1.4,1.2,2006-01-18,0621,Terra,MODIS,59,6.2,277.2,13.4,D,0
