latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.8508,31.4753,323.9,4.7,2,2006-01-01,0905,Terra,MODIS,69,6.2,301.1,94.1,D,0
3.3691,31.7639,321,4.8,2,2006-01-01,0905,Terra,MODIS,59,6.2,301.3,57.8,D,0
2.8502,31.482,323.1,4.7,2,2006-01-01,0905,Terra,MODIS,62,6.2,301.2,85.7,D,0
3.3673,31.7704,319.8,4.8,2,2006-01-01,0905,Terra,MODIS,37,6.2,301.5,43.2,D,0
0.14,32.2808,313.7,4,1.9,2006-01-01,1200,Aqua,MODIS,43,6.2,290.9,40,D,0
0.2245,30.3369,314.9,2.8,1.6,2006-01-01,1200,Aqua,MODIS,0,6.2,287.1,45.9,D,0
0.1172,32.2919,314.6,4,1.9,2006-01-01,1200,Aqua,MODIS,47,6.2,291.8,44.6,D,0
0.1504,32.2867,315.5,4,1.9,2006-01-01,1200,Aqua,MODIS,62,6.2,290,51,D,0
0.1285,32.319,314.7,4,1.9,2006-01-01,1200,Aqua,MODIS,37,6.2,292.2,46.3,D,0
3.4238,31.6733,330.6,4.1,1.9,2006-01-01,1201,Aqua,MODIS,0,6.2,305.8,97.6,D,0
2.3822,31.5575,336,3.8,1.8,2006-01-01,1201,Aqua,MODIS,66,6.2,293.9,195.9,D,0
1.8865,32.6147,303.5,2.3,1.5,2006-01-01,1950,Terra,MODIS,56,6.2,291.7,16.4,N,0
1.9422,32.6276,300.5,2.3,1.5,2006-01-01,1950,Terra,MODIS,29,6.2,290.2,11.5,N,0
2.7351,34.006,304,1.8,1.3,2006-01-01,1950,Terra,MODIS,58,6.2,291.8,12.5,N,0
3.0451,31.7012,300.6,2.7,1.6,2006-01-01,1950,Terra,MODIS,31,6.2,289.1,18,N,0
2.2003,32.1184,305.9,2.5,1.5,2006-01-01,1950,Terra,MODIS,66,6.2,289.2,26.5,N,0
1.9856,31.861,305.9,2.7,1.6,2006-01-01,1950,Terra,MODIS,66,6.2,284.8,30.4,N,0
1.7789,34.6802,302.9,1.6,1.3,2006-01-01,1950,Terra,MODIS,49,6.2,290.3,12,N,0
3.446,33.5213,305.2,1.9,1.3,2006-01-01,1950,Terra,MODIS,29,6.2,295.1,11.3,N,0
3.2219,31.7556,305.8,2.6,1.6,2006-01-01,1950,Terra,MODIS,66,6.2,290.5,25.6,N,0
3.3444,31.8175,312.2,2.6,1.5,2006-01-01,1950,Terra,MODIS,84,6.2,293.2,36.1,N,0
3.3347,31.8026,302.5,2.6,1.5,2006-01-01,1950,Terra,MODIS,49,6.2,292.3,13.3,N,0
1.9904,31.8551,314.8,2.7,1.6,2006-01-01,1950,Terra,MODIS,90,6.2,285.6,58,N,0
1.9098,32.4332,303.1,2.4,1.5,2006-01-01,1950,Terra,MODIS,53,6.2,288.5,21.1,N,0
1.9118,32.4163,307.2,2.4,1.5,2006-01-01,1950,Terra,MODIS,71,6.2,288.6,28.2,N,0
1.9941,31.879,307.9,2.7,1.6,2006-01-01,1950,Terra,MODIS,73,6.2,288,35.7,N,0
3.3381,31.825,322.2,2.6,1.5,2006-01-01,1950,Terra,MODIS,100,6.2,293.5,73.1,N,0
0.973,30.3314,302.2,3.7,1.8,2006-01-01,1950,Terra,MODIS,47,6.2,290.7,26.7,N,0
1.9996,31.8589,312.3,2.7,1.6,2006-01-01,1950,Terra,MODIS,84,6.2,287.4,47.6,N,0
2.4345,31.5807,301.8,2.8,1.6,2006-01-01,1950,Terra,MODIS,29,6.2,289.6,17.5,N,0
2.1935,32.1252,306.8,2.5,1.5,2006-01-01,1950,Terra,MODIS,69,6.2,289.3,30.7,N,0
1.6714,34.7327,311.6,1.6,1.3,2006-01-01,1950,Terra,MODIS,83,6.2,292.8,20,N,0
1.9065,32.4117,301.5,2.4,1.5,2006-01-01,1950,Terra,MODIS,41,6.2,288.6,18.3,N,0
3.4429,33.5497,306.1,3.7,1.8,2006-01-01,2243,Aqua,MODIS,67,6.2,294.1,46.3,N,0
3.4532,33.5426,304.5,3.7,1.8,2006-01-01,2243,Aqua,MODIS,60,6.2,294.3,38.6,N,0
2.9338,31.2381,324.5,1.4,1.2,2006-01-02,0810,Terra,MODIS,62,6.2,306.8,14.1,D,0
2.9251,31.2243,330.7,1.4,1.2,2006-01-02,0810,Terra,MODIS,76,6.2,306.5,25.6,D,0
2.6024,32.3285,328.4,1.2,1.1,2006-01-02,0810,Terra,MODIS,68,6.2,310,14.1,D,0
3.3004,32.0956,330.2,1.2,1.1,2006-01-02,0810,Terra,MODIS,70,6.2,314.1,11.4,D,0
3.2723,32.0803,329.2,1.2,1.1,2006-01-02,0810,Terra,MODIS,47,6.2,312.4,9.8,D,0
2.5656,31.6667,324.3,1.3,1.1,2006-01-02,0810,Terra,MODIS,55,6.2,308.2,8.8,D,0
3.1781,31.8141,326.9,1.3,1.1,2006-01-02,0810,Terra,MODIS,66,6.2,309.8,12.5,D,0
2.7715,31.0135,326.1,1.4,1.2,2006-01-02,0810,Terra,MODIS,73,6.2,303.3,19.7,D,0
2.4193,31.6209,362.4,1.3,1.1,2006-01-02,0810,Terra,MODIS,100,6.2,309.4,111,D,0
2.4176,31.6324,335.7,1.3,1.1,2006-01-02,0810,Terra,MODIS,66,6.2,310.9,29.5,D,0
4.1437,34.0054,334.8,1,1,2006-01-02,0810,Terra,MODIS,75,6.2,301.5,27.4,D,0
1.7331,33.2358,328.2,1.1,1,2006-01-02,0810,Terra,MODIS,70,6.2,311.2,11,D,0
2.4092,31.6195,411,1.3,1.1,2006-01-02,0810,Terra,MODIS,100,6.2,315.9,447.5,D,0
2.4075,31.631,359,1.3,1.1,2006-01-02,0810,Terra,MODIS,99,6.2,312.2,93.1,D,0
2.404,31.5833,347.9,1.3,1.1,2006-01-02,0810,Terra,MODIS,93,6.2,305.5,60.6,D,0
3.591,34.3796,335.7,1,1,2006-01-02,0810,Terra,MODIS,80,6.2,302.3,26.9,D,0
1.9806,31.9012,331.9,1.2,1.1,2006-01-02,0810,Terra,MODIS,58,6.2,309.3,24.2,D,0
2.3991,31.618,344.3,1.3,1.1,2006-01-02,0810,Terra,MODIS,90,6.2,308.2,44.3,D,0
2.3974,31.6296,341,1.3,1.1,2006-01-02,0810,Terra,MODIS,88,6.2,310.7,32.8,D,0
3.0517,31.6966,324.8,1.3,1.1,2006-01-02,0810,Terra,MODIS,50,6.2,307.2,13.2,D,0
2.3906,31.605,336.3,1.3,1.1,2006-01-02,0810,Terra,MODIS,75,6.2,310.2,25.8,D,0
2.8392,32.0346,327,1.2,1.1,2006-01-02,0810,Terra,MODIS,66,6.2,307.9,13.8,D,0
2.4059,31.6425,343.3,1.3,1.1,2006-01-02,0810,Terra,MODIS,90,6.2,311.6,41.7,D,0
3.2168,31.7553,327.4,1.3,1.1,2006-01-02,0810,Terra,MODIS,57,6.2,307.9,13.4,D,0
3.2269,31.7566,326.5,1.3,1.1,2006-01-02,0810,Terra,MODIS,47,6.2,308.6,11.6,D,0
2.4739,31.1688,322.8,1.4,1.2,2006-01-02,0810,Terra,MODIS,62,6.2,307.3,11,D,0
2.7453,33.9924,325.4,1,1,2006-01-02,0810,Terra,MODIS,39,6.2,309.2,6.3,D,0
2.8268,31.8396,325.5,1.3,1.1,2006-01-02,0810,Terra,MODIS,64,6.2,307.9,12.7,D,0
3.1765,31.8256,333.6,1.3,1.1,2006-01-02,0810,Terra,MODIS,78,6.2,310.6,25.6,D,0
2.9233,31.2367,327.8,1.4,1.2,2006-01-02,0810,Terra,MODIS,63,6.2,306.2,20.4,D,0
2.1754,32.4652,327.5,1.2,1.1,2006-01-02,0810,Terra,MODIS,68,6.2,309.3,13,D,0
2.1707,32.4684,325.5,1.1,1.1,2006-01-02,0810,Terra,MODIS,64,6.2,309.4,11.9,D,0
2.1612,32.4671,328.9,1.1,1.1,2006-01-02,0810,Terra,MODIS,72,6.2,308.6,15.8,D,0
3.3767,33.9584,334.2,1,1,2006-01-02,0810,Terra,MODIS,77,6.2,309.7,19.2,D,0
3.4474,33.5405,333.7,1.1,1,2006-01-02,0810,Terra,MODIS,55,6.2,310.3,17.9,D,0
3.4566,33.5418,351.9,1.1,1,2006-01-02,0810,Terra,MODIS,94,6.2,311.6,54.2,D,0
3.4672,33.5336,336.2,1.1,1,2006-01-02,0810,Terra,MODIS,62,6.2,310.7,19.9,D,0
3.4856,33.5362,332,1.1,1,2006-01-02,0810,Terra,MODIS,68,6.2,311.2,14.8,D,0
1.1956,34.5034,328.2,1,1,2006-01-02,0810,Terra,MODIS,77,6.2,294.5,25,D,0
1.1969,34.4945,357.6,1,1,2006-01-02,0810,Terra,MODIS,98,6.2,296.7,78.7,D,0
2.7281,31.0512,322,1.4,1.2,2006-01-02,0810,Terra,MODIS,52,6.2,306.6,9.7,D,0
2.0774,32.641,342.6,1.1,1.1,2006-01-02,0810,Terra,MODIS,88,6.2,309.8,40.8,D,0
1.7262,33.2827,325.3,1.1,1,2006-01-02,0810,Terra,MODIS,58,6.2,308.2,9.2,D,0
1.9229,32.6371,327,1.1,1.1,2006-01-02,0810,Terra,MODIS,67,6.2,309.3,11.2,D,0
1.8814,32.5905,329.2,1.1,1.1,2006-01-02,0810,Terra,MODIS,72,6.2,311.1,12.3,D,0
1.88,32.6005,327.4,1.1,1.1,2006-01-02,0810,Terra,MODIS,50,6.2,310.8,9.7,D,0
