latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.8801,35.1924,301.3,1,1,2006-01-05,1938,Terra,MODIS,40,6.2,269.1,11,N,0
48.4831,34.979,308.5,1.5,1.2,2006-01-06,0911,Terra,MODIS,51,6.2,268.3,25.9,D,2
49.7409,33.2859,301.2,2.2,1.4,2006-01-07,0959,Aqua,MODIS,45,6.2,268.3,28.6,D,0
49.7426,33.2889,302,2.2,1.4,2006-01-07,0959,Aqua,MODIS,50,6.2,268.4,31.4,D,0
49.9781,35.5352,305.2,1.7,1.3,2006-01-07,0959,Aqua,MODIS,49,6.2,266.9,23.5,D,0
49.9806,35.5409,313.1,1.7,1.3,2006-01-07,0959,Aqua,MODIS,64,6.2,267.2,37.7,D,0
46.2716,29.312,316.2,1.3,1.1,2006-01-08,1041,Aqua,MODIS,76,6.2,271.3,26.7,D,0
46.5352,32.4992,361.6,2.2,1.4,2006-01-11,0930,Terra,MODIS,75,6.2,273.8,292.2,D,0
46.4936,32.4454,346.2,1.5,1.2,2006-01-11,1112,Aqua,MODIS,71,6.2,273.6,107,D,0
46.5064,32.4631,343.6,1.5,1.2,2006-01-11,1112,Aqua,MODIS,48,6.2,273.8,90.9,D,0
47.6299,34.3194,300.9,2,1.4,2006-01-11,1112,Aqua,MODIS,43,6.2,272.1,23.2,D,0
46.5082,32.483,356.5,1.5,1.2,2006-01-11,1112,Aqua,MODIS,81,6.2,274.9,143.7,D,0
46.5087,32.4774,354.4,1.5,1.2,2006-01-11,1112,Aqua,MODIS,32,6.2,275.7,128.6,D,0
51.3334,29.045,308.7,1.2,1.1,2006-01-11,1113,Aqua,MODIS,67,6.2,272.9,18.8,D,0
46.8142,32.7895,301.5,1.3,1.1,2006-01-12,0835,Terra,MODIS,47,6.2,270,13.1,D,0
47.0448,36.1867,354.3,1.2,1.1,2006-01-12,1017,Aqua,MODIS,98,6.2,278.5,96.3,D,0
47.0475,36.2017,343.9,1.2,1.1,2006-01-12,1017,Aqua,MODIS,93,6.2,277.6,68.7,D,0
46.5432,32.4754,327.6,1,1,2006-02-04,1950,Terra,MODIS,100,6.2,265.9,33.8,N,0
45.6774,28.5758,313.5,1.2,1.1,2006-02-05,0924,Terra,MODIS,60,6.2,267.9,23.5,D,0
46.4711,30.172,314.2,1.4,1.2,2006-02-05,0924,Terra,MODIS,0,6.2,268.7,28.3,D,0
46.5813,32.6575,318.5,1.3,1.1,2006-02-05,1106,Aqua,MODIS,0,6.2,269.6,32,D,0
45.4605,29.5382,307.8,1.1,1,2006-02-07,0912,Terra,MODIS,62,6.2,269.2,14.4,D,0
46.5994,32.6586,303.1,1.3,1.1,2006-02-07,0912,Terra,MODIS,34,6.2,266.3,14.8,D,0
45.4545,29.5389,335.4,1,1,2006-02-07,1053,Aqua,MODIS,68,6.2,272.7,43.5,D,0
46.5324,32.428,317.7,3.3,1.7,2006-02-08,1136,Aqua,MODIS,0,6.2,270.8,112.9,D,0
45.4821,29.4432,307.7,2.2,1.4,2006-02-08,1136,Aqua,MODIS,30,6.2,274.4,31.2,D,0
46.534,32.4712,323.5,3.3,1.7,2006-02-08,1136,Aqua,MODIS,0,6.2,272.6,146.5,D,0
46.5495,32.4701,350.6,3.3,1.7,2006-02-08,1136,Aqua,MODIS,0,6.2,270.8,369.8,D,0
45.9066,29.623,300.4,2.3,1.5,2006-02-08,1136,Aqua,MODIS,36,6.2,274.4,20.2,D,0
46.1849,32.7475,301.9,1,1,2006-02-09,1041,Aqua,MODIS,49,6.2,268.2,8.3,D,0
46.6339,33.1268,355.9,1,1,2006-02-09,1041,Aqua,MODIS,87,6.2,271,77.8,D,0
46.1926,32.7382,328.1,1,1,2006-02-09,1041,Aqua,MODIS,49,6.2,269.1,31.6,D,0
46.1946,32.7512,301.6,1,1,2006-02-09,1041,Aqua,MODIS,27,6.2,267.6,8.5,D,0
46.5789,32.5304,357.1,1,1,2006-02-09,1041,Aqua,MODIS,98,6.2,270.7,85.4,D,0
46.581,32.5435,313,1,1,2006-02-09,1041,Aqua,MODIS,48,6.2,267.7,15,D,0
46.632,33.1139,351.4,1,1,2006-02-09,1041,Aqua,MODIS,96,6.2,271.8,67.8,D,0
46.5816,32.667,315.3,1,1,2006-02-09,1041,Aqua,MODIS,0,6.2,271.9,18.4,D,0
46.4869,30.1464,302.1,1.2,1.1,2006-02-09,1041,Aqua,MODIS,51,6.2,270,12.2,D,0
46.6428,33.124,310.9,1,1,2006-02-09,1041,Aqua,MODIS,24,6.2,268.5,12.3,D,0
47.0942,37.5971,325.3,1,1,2006-02-17,1919,Terra,MODIS,95,6.2,265.7,0,N,2
45.4865,29.5121,314,1,1,2006-02-21,1106,Aqua,MODIS,54,6.2,283.9,13.9,D,0
