latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.1294,52.7026,307.9,1,1,2006-01-04,1848,Terra,MODIS,73,6.2,286.8,10.5,N,0
24.1337,52.7016,317,1.2,1.1,2006-01-14,0958,Aqua,MODIS,49,6.2,298.1,10.6,D,0
24.9965,55.6264,311.1,1,1,2006-01-14,2206,Aqua,MODIS,82,6.2,286.6,12.2,N,0
24.1327,52.7084,305.1,1.1,1.1,2006-01-19,2224,Aqua,MODIS,63,6.2,285,10.3,N,0
24.0648,54.3225,310.1,1,1,2006-01-21,2212,Aqua,MODIS,79,6.2,282.8,13.1,N,0
24.0678,54.3177,300.2,1,1,2006-01-22,1835,Terra,MODIS,22,6.2,285.6,5.4,N,0
24.0589,54.3193,307.5,1,1,2006-01-22,1835,Terra,MODIS,72,6.2,285.7,9.8,N,0
24.0611,54.3173,305.5,1.3,1.1,2006-01-24,1823,Terra,MODIS,64,6.2,284.4,13.2,N,0
24.0659,54.3222,303.9,2,1.4,2006-01-26,1811,Terra,MODIS,57,6.2,286.1,21.5,N,0
24.0616,54.3261,304.4,1.7,1.3,2006-01-26,2230,Aqua,MODIS,60,6.2,284.1,19,N,0
24.0677,54.3219,306.9,1.5,1.2,2006-01-27,1854,Terra,MODIS,70,6.2,287.7,16.2,N,0
24.0678,54.3233,304.3,1,1,2006-01-29,1842,Terra,MODIS,59,6.2,284.9,8.5,N,0
24.0593,54.3202,307.1,1,1,2006-01-29,1842,Terra,MODIS,68,6.2,284.1,9.7,N,0
24.0665,54.3132,307.9,1,1,2006-01-29,1842,Terra,MODIS,73,6.2,285.5,10.8,N,0
25.3683,56.3096,327.5,1.7,1.3,2006-02-01,0637,Terra,MODIS,81,6.2,299.6,41.1,D,0
24.0636,54.3228,301.5,1.4,1.2,2006-02-01,2154,Aqua,MODIS,41,6.2,284,11.2,N,0
24.0598,54.321,307,1.2,1.1,2006-02-05,1848,Terra,MODIS,70,6.2,287.8,11.6,N,0
24.067,54.3259,303.6,1,1,2006-02-06,2212,Aqua,MODIS,56,6.2,283.8,8.2,N,0
24.062,54.3162,313.5,1,1,2006-02-07,1836,Terra,MODIS,87,6.2,290.8,12.6,N,0
23.8503,53.6529,310.1,1.2,1.1,2006-02-08,2200,Aqua,MODIS,79,6.2,291.9,13,N,0
23.8523,53.6483,304.7,1.2,1.1,2006-02-08,2200,Aqua,MODIS,61,6.2,292.4,8.7,N,0
23.8508,53.66,303.3,1.2,1.1,2006-02-08,2200,Aqua,MODIS,55,6.2,289.7,7.8,N,0
24.0662,54.3161,322.7,1.3,1.1,2006-02-09,1823,Terra,MODIS,100,6.2,291.1,29.6,N,0
24.062,54.3235,301.3,2.8,1.6,2006-02-09,2243,Aqua,MODIS,40,6.2,286.8,26.3,N,0
23.5437,53.3088,307,2.4,1.5,2006-02-11,1811,Terra,MODIS,70,6.2,289.3,32.4,N,0
23.5481,53.3318,314.1,2.4,1.5,2006-02-11,1811,Terra,MODIS,88,6.2,289,50.6,N,0
23.5434,53.3276,314.4,2.4,1.5,2006-02-11,1811,Terra,MODIS,89,6.2,289,52.8,N,0
23.2861,54.2216,303.7,1,1,2006-02-22,2213,Aqua,MODIS,57,6.2,287.9,7.7,N,0
24.0643,54.3166,316.5,1,1,2006-02-23,1836,Terra,MODIS,93,6.2,286.5,16.3,N,0
24.0601,54.3143,313.4,1.5,1.2,2006-02-28,1854,Terra,MODIS,87,6.2,284.2,26,N,0
25.296,55.4192,334.3,1,1,2006-03-01,0702,Terra,MODIS,84,6.2,303.5,25.9,D,0
24.0672,54.3241,306.9,1.1,1.1,2006-03-01,2219,Aqua,MODIS,70,6.2,284.6,12.5,N,0
25.3354,55.6683,302.2,1,1,2006-03-03,2206,Aqua,MODIS,47,6.2,287.4,6.3,N,0
24.0645,54.3234,300.7,3.2,1.7,2006-03-05,1913,Terra,MODIS,33,6.2,285.9,31.3,N,0
23.8359,53.6342,307,1.3,1.1,2006-03-08,2225,Aqua,MODIS,70,6.2,286.6,13.1,N,0
25.6095,56.2343,342.8,1.3,1.1,2006-03-15,0715,Terra,MODIS,91,6.2,308.5,56,D,0
23.8427,53.6386,310.2,3.3,1.7,2006-03-20,2249,Aqua,MODIS,79,6.2,285.8,62.6,N,0
23.8277,53.6345,303.7,3.3,1.7,2006-03-20,2250,Aqua,MODIS,56,6.2,285.7,39.8,N,0
23.8321,53.6277,314.9,3.3,1.7,2006-03-20,2250,Aqua,MODIS,90,6.2,285.7,86.6,N,0
24.0316,54.3924,306.5,1,1,2006-04-04,2207,Aqua,MODIS,68,6.2,291.5,7.5,N,0
23.0447,53.5622,300.6,1,1,2006-04-11,2213,Aqua,MODIS,30,6.2,277.3,7.2,N,0
24.1212,52.7358,306.2,2.5,1.5,2006-04-16,1812,Terra,MODIS,29,6.2,293.3,22,N,0
24.1148,52.7427,304.6,2.5,1.5,2006-04-16,1812,Terra,MODIS,61,6.2,292.7,22.7,N,0
24.1223,52.7512,321.4,1,1,2006-04-18,2219,Aqua,MODIS,100,6.2,289.1,19.7,N,0
24.1208,52.761,308,1,1,2006-04-18,2219,Aqua,MODIS,47,6.2,285.8,9,N,0
23.8489,53.6574,301,1,1,2006-04-19,1842,Terra,MODIS,36,6.2,290.1,3.4,N,0
25.3278,55.6613,309,1.5,1.2,2006-04-26,1849,Terra,MODIS,69,6.2,297.8,10,N,0
24.0642,54.3133,300.1,1,1,2006-04-28,1836,Terra,MODIS,18,6.2,289.5,4,N,0
24.0383,54.4011,305.9,1.7,1.3,2006-05-01,2149,Aqua,MODIS,66,6.2,292.1,14.5,N,0
23.3107,54.1644,310.9,1.4,1.2,2006-05-03,1854,Terra,MODIS,76,6.2,299.2,12.1,N,0
23.3123,54.1781,355.9,1.4,1.2,2006-05-03,1854,Terra,MODIS,100,6.2,301.2,122.3,N,0
25.3252,55.657,339.6,1.5,1.2,2006-05-05,0916,Aqua,MODIS,79,6.2,323.5,19.7,D,0
25.8156,55.9717,319.3,1,1,2006-05-06,2207,Aqua,MODIS,98,6.2,299.4,14.1,N,0
24.0608,54.327,304.7,1.4,1.2,2006-05-08,2155,Aqua,MODIS,61,6.2,294.7,8.3,N,0
23.8554,53.6449,310.8,1.4,1.2,2006-05-16,1824,Terra,MODIS,80,6.2,295.6,13.2,N,0
23.8494,53.6525,310.9,1.4,1.2,2006-05-16,1824,Terra,MODIS,80,6.2,296.3,12.8,N,0
24.1301,52.6991,307.7,1,1,2006-05-21,1842,Terra,MODIS,66,6.2,297,5.6,N,0
25.2999,55.3858,337.8,1.3,1.1,2006-05-28,0922,Aqua,MODIS,73,6.2,324.5,16.3,D,0
24.0643,54.3198,305.7,3.3,1.7,2006-06-05,1800,Terra,MODIS,51,6.2,293.6,27.5,N,0
25.2952,55.6571,309.3,1.3,1.1,2006-06-05,2219,Aqua,MODIS,69,6.2,296.7,9,N,0
25.295,55.6516,307.4,1.3,1.1,2006-06-05,2219,Aqua,MODIS,61,6.2,296,7.4,N,0
25.2928,55.6519,361,1.5,1.2,2006-06-06,0916,Aqua,MODIS,100,6.2,319.4,119.9,D,0
25.2902,55.6371,343.3,1.5,1.2,2006-06-06,0916,Aqua,MODIS,58,6.2,314.1,53,D,0
25.2886,55.6471,317.2,1.2,1.1,2006-06-06,1843,Terra,MODIS,92,6.2,299.6,15.6,N,0
25.2984,55.6456,311.7,1.2,1.1,2006-06-06,1843,Terra,MODIS,73,6.2,298.7,9.4,N,0
25.0629,56.3039,340.9,1.1,1,2006-06-07,0651,Terra,MODIS,81,6.2,319.5,19.6,D,0
25.2936,55.6542,308.7,1,1,2006-06-07,2207,Aqua,MODIS,65,6.2,297.7,6,N,0
25.076,56.317,354.1,1,1,2006-06-14,0657,Terra,MODIS,95,6.2,322.1,42.9,D,0
25.0774,56.3071,335.8,1,1,2006-06-14,0657,Terra,MODIS,72,6.2,320.6,7.9,D,0
23.307,54.1832,314.5,2.3,1.5,2006-06-18,1907,Terra,MODIS,86,6.2,300,33.2,N,0
23.3163,54.1755,319.8,2.3,1.5,2006-06-18,1907,Terra,MODIS,99,6.2,299.7,49.6,N,0
23.3146,54.1704,311.8,1.7,1.3,2006-06-18,2149,Aqua,MODIS,81,6.2,297.4,19.6,N,0
23.3128,54.187,323.7,1.7,1.3,2006-06-18,2149,Aqua,MODIS,100,6.2,298.4,43.3,N,0
23.3149,54.1818,328.6,1.7,1.3,2006-06-18,2149,Aqua,MODIS,100,6.2,298.6,55.7,N,0
24.9241,55.0898,307.9,1.7,1.3,2006-06-19,1812,Terra,MODIS,51,6.2,297.2,11.3,N,0
24.125,52.707,318.4,1,1,2006-06-22,1843,Terra,MODIS,96,6.2,303.2,10.5,N,0
24.1339,52.7055,318,1,1,2006-06-22,1843,Terra,MODIS,94,6.2,303,9.7,N,0
24.1325,52.6957,314.4,1,1,2006-06-22,1843,Terra,MODIS,83,6.2,302.7,6.6,N,0
24.123,52.7472,311.9,1,1,2006-06-30,2214,Aqua,MODIS,82,6.2,298,8.5,N,0
24.1216,52.7571,323.7,1,1,2006-06-30,2214,Aqua,MODIS,100,6.2,299.4,19.8,N,0
24.1272,52.7526,318.2,1.1,1,2006-07-01,1837,Terra,MODIS,89,6.2,302.7,13.7,N,0
24.1222,52.7675,309.2,3.6,1.8,2006-07-01,2257,Aqua,MODIS,77,6.2,295.7,53.1,N,0
24.0595,54.3208,309.8,1,1,2006-07-17,1837,Terra,MODIS,70,6.2,298.8,6.1,N,0
23.8427,53.6538,312.2,1,1,2006-07-17,1837,Terra,MODIS,79,6.2,301,7.5,N,0
23.8516,53.6522,310.6,1,1,2006-07-17,1837,Terra,MODIS,73,6.2,300.4,6.2,N,0
24.4949,55.6327,317.9,1.1,1,2006-07-19,1824,Terra,MODIS,93,6.2,301.6,12.1,N,0
24.4932,55.6222,321.5,1.1,1,2006-07-19,1824,Terra,MODIS,100,6.2,301.8,15.8,N,0
25.4952,55.934,331.4,4.4,1.9,2006-08-09,0746,Terra,MODIS,84,6.2,305.9,93.3,D,0
23.8379,53.6254,310.8,1.1,1.1,2006-08-16,1849,Terra,MODIS,76,6.2,296.5,5,N,0
23.8501,53.6457,315.5,1.1,1.1,2006-08-16,1849,Terra,MODIS,89,6.2,297.9,9.2,N,0
23.8515,53.6566,310.4,1.1,1.1,2006-08-16,1849,Terra,MODIS,74,6.2,297.6,4.6,N,0
