latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5708,-3.7637,302.5,1.3,1.1,2006-01-08,0248,Aqua,MODIS,24,6.2,273.1,13.2,N,2
51.5634,-3.7658,301.2,1.2,1.1,2006-01-11,1108,Terra,MODIS,0,6.2,280.9,9.6,D,2
51.5686,-3.7623,302.5,1,1,2006-01-12,0224,Aqua,MODIS,50,6.2,276.5,9.5,N,2
53.5671,-0.5931,309.1,1.1,1.1,2006-01-20,1101,Terra,MODIS,64,6.2,278.9,15.5,D,2
53.5673,-0.5972,302.5,1,1,2006-01-21,0217,Aqua,MODIS,50,6.2,276.2,9.4,N,2
51.5697,-3.7662,306.9,1.1,1,2006-01-21,0218,Aqua,MODIS,70,6.2,275.3,13.7,N,2
54.498,-0.8877,303.4,1.4,1.2,2006-01-21,1144,Terra,MODIS,53,6.2,277.4,15.1,D,0
53.5659,-0.6047,303,1.5,1.2,2006-01-21,2118,Terra,MODIS,53,6.2,273.6,18.1,N,2
54.3947,-0.7801,302.4,1,1,2006-01-25,1119,Terra,MODIS,52,6.2,276.1,9.3,D,0
51.5669,-3.7626,310.5,1,1,2006-01-26,0236,Aqua,MODIS,80,6.2,275.5,16,N,2
53.4339,-2.6826,314.1,1,1,2006-01-26,0236,Aqua,MODIS,88,6.2,272.4,19.5,N,0
53.4314,-2.6674,319.1,1,1,2006-01-26,0236,Aqua,MODIS,98,6.2,273,24.3,N,0
53.5655,-0.5947,320.1,1,1,2006-01-28,0223,Aqua,MODIS,100,6.2,273.3,23.4,N,2
53.5634,-0.6025,304.2,1.3,1.1,2006-01-28,2125,Terra,MODIS,59,6.2,273,16,N,2
54.5838,-1.1339,300.1,1.4,1.2,2006-01-29,1055,Terra,MODIS,0,6.2,274.1,11.5,D,0
51.5653,-3.7645,307.7,1.6,1.2,2006-01-29,1056,Terra,MODIS,0,6.2,280.9,22.7,D,2
51.5656,-3.7678,310.4,1.4,1.2,2006-01-29,1240,Aqua,MODIS,0,6.2,283.1,20.6,D,2
51.8144,-3.422,301.4,1.3,1.2,2006-01-29,1240,Aqua,MODIS,46,6.2,275.4,12.9,D,0
50.5335,-4.649,300.5,1.6,1.3,2006-01-29,1240,Aqua,MODIS,38,6.2,279.6,14.8,D,0
50.1637,-5.6157,334.8,1,1,2006-01-29,2207,Terra,MODIS,100,6.2,275.7,41.8,N,0
56.0992,-3.3143,323.2,1,1,2006-01-31,2156,Terra,MODIS,100,6.2,271.6,27.1,N,0
56.1014,-3.2984,305.4,1,1,2006-01-31,2156,Terra,MODIS,64,6.2,271.3,12.3,N,0
56.8708,-3.9259,306,1.1,1.1,2006-02-01,1312,Aqua,MODIS,63,6.2,277,13.3,D,0
56.8708,-3.0054,310.3,1.2,1.1,2006-02-01,1312,Aqua,MODIS,70,6.2,275.7,18.8,D,0
56.8029,-3.6168,315.9,1.6,1.2,2006-02-02,1208,Terra,MODIS,65,6.2,277.9,36.4,D,0
56.1006,-3.3092,326.4,1,1,2006-02-02,2144,Terra,MODIS,100,6.2,273.8,31.4,N,0
56.0958,-3.3155,304.4,1,1,2006-02-03,1300,Aqua,MODIS,59,6.2,267.5,10.7,D,0
56.0955,-3.2928,309.3,1,1,2006-02-04,0229,Aqua,MODIS,77,6.2,274.5,14.5,N,0
56.0977,-3.3088,321.2,1,1,2006-02-04,0229,Aqua,MODIS,100,6.2,274.2,24.8,N,0
56.0975,-3.3043,313.4,1.3,1.1,2006-02-04,1156,Terra,MODIS,74,6.2,277.3,24.5,D,0
56.0951,-3.308,331.1,1.2,1.1,2006-02-04,2132,Terra,MODIS,100,6.2,276.3,47.5,N,0
57.0628,-3.2056,301.9,1,1,2006-02-05,1248,Aqua,MODIS,50,6.2,271.3,9.2,D,0
53.5732,-0.5895,301.4,1.1,1.1,2006-02-08,0205,Aqua,MODIS,41,6.2,277.2,9.9,N,2
54.3212,-1.2439,316.9,1.1,1,2006-02-08,1132,Terra,MODIS,0,6.2,274.1,20.9,D,0
53.5669,-0.5963,306.6,1,1,2006-02-09,2149,Terra,MODIS,69,6.2,273.8,13,N,2
51.5637,-3.7671,302.3,1,1,2006-02-10,1121,Terra,MODIS,39,6.2,274.7,8.4,D,2
51.5654,-3.77,302,1,1,2006-02-10,1305,Aqua,MODIS,0,6.2,276.5,8.3,D,2
53.5714,-0.5962,301.3,1.3,1.1,2006-02-14,1055,Terra,MODIS,44,6.2,281.5,9.3,D,2
53.5649,-0.6016,311.9,1,1,2006-02-14,1241,Aqua,MODIS,0,6.2,279.5,14.4,D,2
53.5729,-0.6025,300.9,1.7,1.3,2006-02-16,1043,Terra,MODIS,37,6.2,280.1,15.2,D,2
51.5718,-3.7621,302.3,1.1,1.1,2006-02-18,0243,Aqua,MODIS,41,6.2,275.2,11,N,2
53.5625,-0.6176,300.4,2.9,1.6,2006-02-20,1342,Aqua,MODIS,36,6.2,279.6,32.4,D,2
55.4836,-5.2685,308.6,1,1,2006-02-26,1306,Aqua,MODIS,67,6.2,280.7,12,D,0
51.5788,-3.7742,303.9,1.4,1.2,2006-03-01,1151,Terra,MODIS,41,6.2,275.7,17.3,D,2
54.9119,-2.5271,312.1,1.5,1.2,2006-03-02,1055,Terra,MODIS,70,6.2,274.2,27.2,D,0
54.9116,-2.534,317.9,1.5,1.2,2006-03-02,1055,Terra,MODIS,78,6.2,274.2,38.1,D,0
54.8661,-4.2646,318.7,1.8,1.3,2006-03-02,1055,Terra,MODIS,65,6.2,279,50.1,D,0
51.567,-3.7658,303.2,1.6,1.2,2006-03-02,1056,Terra,MODIS,0,6.2,280.9,17,D,2
55.1678,-2.2524,307.7,1.1,1,2006-03-02,1241,Aqua,MODIS,66,6.2,273.3,12.9,D,0
54.8561,-4.2635,302.2,1.2,1.1,2006-03-02,1241,Aqua,MODIS,37,6.2,281.7,11.2,D,0
56.282,-3.5838,313.8,1.1,1.1,2006-03-02,1242,Aqua,MODIS,64,6.2,275.5,17.3,D,0
56.565,-3.7938,304.4,1.1,1.1,2006-03-02,1242,Aqua,MODIS,59,6.2,274.5,12.6,D,0
56.279,-3.6007,329.9,1.1,1.1,2006-03-02,1242,Aqua,MODIS,87,6.2,277.3,36.6,D,0
56.2861,-3.5931,323.8,1.1,1.1,2006-03-02,1242,Aqua,MODIS,83,6.2,276.3,30.1,D,0
55.7783,-2.4999,306.2,1.1,1,2006-03-02,1242,Aqua,MODIS,63,6.2,277.2,12.1,D,0
56.2831,-3.61,308.7,1.1,1.1,2006-03-02,1242,Aqua,MODIS,67,6.2,276.3,14.7,D,0
53.5685,-0.6198,308.8,1.3,1.1,2006-03-02,2208,Terra,MODIS,76,6.2,268.4,21.4,N,2
53.5704,-0.6004,311.5,1.3,1.1,2006-03-02,2208,Terra,MODIS,83,6.2,270.2,24.4,N,2
53.5682,-0.5895,330.9,1,1,2006-03-03,0212,Aqua,MODIS,100,6.2,269.8,38.1,N,2
53.5703,-0.605,301.9,1,1,2006-03-03,0212,Aqua,MODIS,45,6.2,267.8,11.2,N,2
54.3343,-1.1708,303.2,1.2,1.1,2006-03-03,1138,Terra,MODIS,55,6.2,276.1,12.5,D,0
51.5714,-3.7645,301,1.1,1.1,2006-03-03,1139,Terra,MODIS,24,6.2,282.8,7.7,D,2
51.5622,-3.7687,304.8,1.1,1.1,2006-03-03,1139,Terra,MODIS,0,6.2,282.3,9.9,D,2
51.2726,-1.9558,301.5,1.4,1.2,2006-03-03,1323,Aqua,MODIS,47,6.2,280.2,11.5,D,0
51.9932,-4.8494,301.8,1.1,1.1,2006-03-03,1324,Aqua,MODIS,49,6.2,277.7,9.3,D,0
54.4936,-0.9527,301.1,1,1,2006-03-05,1126,Terra,MODIS,45,6.2,276.3,8.6,D,0
53.5673,-0.5909,306,1.1,1,2006-03-05,1126,Terra,MODIS,59,6.2,279.2,11.6,D,2
55.1692,-2.2246,314.5,1.2,1.1,2006-03-05,1312,Aqua,MODIS,71,6.2,278.1,21.9,D,0
55.8609,-4.8379,300.1,1.1,1,2006-03-05,1312,Aqua,MODIS,24,6.2,276.8,7.5,D,0
53.5701,-0.5876,311,1.3,1.1,2006-03-06,0242,Aqua,MODIS,81,6.2,272,24,N,2
51.567,-3.7683,303,1.1,1.1,2006-03-06,0243,Aqua,MODIS,52,6.2,274.4,13.1,N,2
50.7838,-1.5053,300.8,2.4,1.5,2006-03-06,1032,Terra,MODIS,39,6.2,280.3,23.1,D,0
50.7916,-1.4981,305.7,2.4,1.5,2006-03-06,1032,Terra,MODIS,62,6.2,280.5,33.3,D,0
54.3784,-1.2018,303.8,2.4,1.5,2006-03-06,1209,Terra,MODIS,55,6.2,273.9,31.4,D,0
56.0329,-4.7807,319.2,1.5,1.2,2006-03-06,1209,Terra,MODIS,0,6.2,278,32.7,D,0
54.0708,-1.8676,303.5,2.3,1.5,2006-03-06,1209,Terra,MODIS,49,6.2,277.7,29.1,D,0
54.0673,-1.8657,300.6,2.3,1.5,2006-03-06,1209,Terra,MODIS,38,6.2,277.3,25.1,D,0
56.0339,-4.7741,322.3,1.5,1.2,2006-03-06,1209,Terra,MODIS,58,6.2,279,42.9,D,0
51.302,-2.8582,301.3,2.6,1.6,2006-03-06,1210,Terra,MODIS,44,6.2,281.1,27.8,D,0
51.041,-3.6215,313.2,2.5,1.5,2006-03-06,1210,Terra,MODIS,57,6.2,281,55.8,D,0
54.3813,-1.2192,304.5,1.7,1.3,2006-03-06,1217,Aqua,MODIS,56,6.2,272.6,19.1,D,0
54.122,-1.8638,304.4,1.8,1.3,2006-03-06,1217,Aqua,MODIS,53,6.2,277.8,20.2,D,0
54.1165,-1.8554,303.8,1.8,1.3,2006-03-06,1217,Aqua,MODIS,57,6.2,277.2,20.8,D,0
54.383,-1.2133,301.6,1.7,1.3,2006-03-06,1217,Aqua,MODIS,30,6.2,272.3,14.5,D,0
54.4764,-1.0123,304,1.6,1.2,2006-03-06,1217,Aqua,MODIS,58,6.2,276.6,19.1,D,0
54.4506,-1.9301,306.6,1.8,1.3,2006-03-06,1217,Aqua,MODIS,64,6.2,278.4,24.6,D,0
54.4461,-1.8402,307,1.7,1.3,2006-03-06,1217,Aqua,MODIS,65,6.2,277.5,23.5,D,0
56.4211,-4.0042,336.2,3,1.6,2006-03-06,1356,Aqua,MODIS,76,6.2,279.2,186.2,D,0
56.5579,-3.8859,336.4,3,1.6,2006-03-06,1356,Aqua,MODIS,88,6.2,275.5,207.2,D,0
56.4073,-4.0076,328.7,3,1.6,2006-03-06,1356,Aqua,MODIS,52,6.2,279.8,134.4,D,0
56.5565,-3.9351,313.3,3,1.6,2006-03-06,1356,Aqua,MODIS,57,6.2,275.5,78.1,D,0
51.5706,-3.7709,304.7,1,1,2006-03-18,2208,Terra,MODIS,52,6.2,274.8,10.7,N,2
51.5604,-3.7655,306.4,1.1,1.1,2006-03-19,1139,Terra,MODIS,0,6.2,287.5,9.8,D,2
50.3992,-4.8585,308.2,1.1,1,2006-03-19,1323,Aqua,MODIS,67,6.2,285.7,10.3,D,0
50.401,-4.8433,300.7,1.1,1,2006-03-19,1323,Aqua,MODIS,26,6.2,285.8,5.2,D,0
51.5643,-3.7636,304.4,1.2,1.1,2006-03-19,1324,Aqua,MODIS,0,6.2,291,8.7,D,2
57.4047,-2.2081,310.5,1,1,2006-03-21,1126,Terra,MODIS,70,6.2,276.5,14.3,D,0
53.5766,-0.5938,302.5,1,1,2006-03-23,1114,Terra,MODIS,27,6.2,283,6.1,D,2
54.4056,-1.1984,317.7,1,1,2006-03-23,1114,Terra,MODIS,78,6.2,277.7,19.9,D,0
53.5678,-0.5974,308.3,1,1,2006-03-23,1114,Terra,MODIS,63,6.2,283.8,10,D,2
55.7709,-2.4652,305.5,1.1,1,2006-03-23,1114,Terra,MODIS,62,6.2,281.8,10.6,D,0
55.7688,-2.4479,305.2,1.1,1,2006-03-23,1114,Terra,MODIS,61,6.2,281.3,10.4,D,0
54.784,-1.9573,306.6,1.1,1,2006-03-23,1114,Terra,MODIS,57,6.2,273.1,12.6,D,0
50.852,-1.498,321.7,1,1,2006-03-23,1115,Terra,MODIS,81,6.2,275.6,22.4,D,0
50.9496,-1.7203,305.1,1,1,2006-03-23,1115,Terra,MODIS,61,6.2,279.3,8.7,D,0
50.9455,-1.7192,303.4,1,1,2006-03-23,1259,Aqua,MODIS,40,6.2,279.2,6.8,D,0
55.7702,-2.4633,310,1,1,2006-03-23,1300,Aqua,MODIS,65,6.2,273,12.1,D,0
55.8231,-2.6282,300.6,1,1,2006-03-23,1300,Aqua,MODIS,39,6.2,275.3,7.3,D,0
53.5685,-0.6042,300.6,1,1,2006-03-25,1247,Aqua,MODIS,0,6.2,272,6.5,D,2
57.0704,-3.2337,309.7,1.4,1.2,2006-03-29,1224,Aqua,MODIS,69,6.2,276.8,21.9,D,0
57.0751,-3.2116,310.9,1.4,1.2,2006-03-29,1224,Aqua,MODIS,71,6.2,275.7,23,D,0
53.567,-0.6146,304.1,1.9,1.4,2006-03-31,1211,Aqua,MODIS,50,6.2,289.6,15.2,D,2
53.5621,-0.6008,306.5,1,1,2006-04-01,1108,Terra,MODIS,51,6.2,282.7,8.3,D,2
51.5639,-3.7688,318.1,1.2,1.1,2006-04-01,1109,Terra,MODIS,0,6.2,286.8,21.7,D,2
53.5663,-0.5897,312,1,1,2006-04-02,0224,Aqua,MODIS,84,6.2,277.6,16,N,2
50.6567,-1.2263,304.8,1.2,1.1,2006-04-03,1241,Aqua,MODIS,60,6.2,282.3,9.1,D,0
53.5664,-0.6048,304.4,1.3,1.1,2006-04-03,2208,Terra,MODIS,56,6.2,275.2,15.2,N,2
56.5909,-6.3037,300.1,1,1,2006-04-04,1138,Terra,MODIS,0,6.2,284.7,5.6,D,0
53.0987,-2.4583,303.4,1.2,1.1,2006-04-04,1139,Terra,MODIS,56,6.2,285.8,8.4,D,0
54.9015,-4.7266,327.8,1,1,2006-04-04,1139,Terra,MODIS,85,6.2,284.1,29,D,0
53.5622,-0.5919,300.9,1.7,1.3,2006-04-05,1044,Terra,MODIS,33,6.2,284,9.7,D,2
51.5613,-3.7625,307.8,2.2,1.4,2006-04-05,1044,Terra,MODIS,0,6.2,288.4,27.8,D,2
51.5743,-3.7603,302.4,2.2,1.4,2006-04-05,1044,Terra,MODIS,19,6.2,289.1,17.6,D,2
53.5756,-0.6148,300,1.7,1.3,2006-04-05,1044,Terra,MODIS,8,6.2,286.9,8.7,D,2
53.5736,-0.5895,301.2,1.7,1.3,2006-04-05,1044,Terra,MODIS,37,6.2,285.3,10.2,D,2
52.7167,-2.4461,306.8,1.6,1.2,2006-04-05,1229,Aqua,MODIS,64,6.2,287.5,16.3,D,0
53.5641,-0.5989,309.4,1.3,1.1,2006-04-05,1229,Aqua,MODIS,33,6.2,283.5,14.2,D,2
51.5778,-3.7762,305.2,1,1,2006-04-05,2156,Terra,MODIS,63,6.2,275.3,12,N,0
56.8871,-2.906,302.3,1,1,2006-04-06,1126,Terra,MODIS,51,6.2,279.5,8,D,0
56.9319,-2.8962,300.1,1,1,2006-04-06,1126,Terra,MODIS,27,6.2,281.2,6.5,D,0
56.923,-2.8315,307.6,1,1,2006-04-06,1126,Terra,MODIS,66,6.2,281.9,10.3,D,0
55.8536,-2.6563,322,1,1,2006-04-06,1126,Terra,MODIS,81,6.2,279,22,D,0
55.8513,-2.6407,302.6,1,1,2006-04-06,1126,Terra,MODIS,22,6.2,280.7,6.9,D,0
50.8182,-0.7353,308.4,1.2,1.1,2006-04-06,1127,Terra,MODIS,46,6.2,286.1,9.1,D,0
51.5683,-3.7683,315.8,1,1,2006-04-06,1127,Terra,MODIS,58,6.2,290.6,13.9,D,2
50.806,-0.7236,302,1.2,1.1,2006-04-06,1127,Terra,MODIS,33,6.2,285.7,4.9,D,0
50.6361,-4.0733,319.1,1,1,2006-04-06,1128,Terra,MODIS,79,6.2,287.1,17.4,D,0
50.634,-4.0595,365.5,1,1,2006-04-06,1128,Terra,MODIS,100,6.2,289.4,103.3,D,0
50.6389,-4.0616,311.3,1,1,2006-04-06,1311,Aqua,MODIS,31,6.2,286.4,9.4,D,0
50.63,-4.0585,313.6,1,1,2006-04-06,1311,Aqua,MODIS,74,6.2,287.6,12.1,D,0
50.632,-4.0446,319.9,1,1,2006-04-06,1311,Aqua,MODIS,80,6.2,285.4,17.8,D,0
51.5756,-3.7755,305.9,1,1,2006-04-06,1311,Aqua,MODIS,24,6.2,288.3,6.2,D,0
56.9217,-3.0022,306.9,1.2,1.1,2006-04-06,1313,Aqua,MODIS,64,6.2,279.9,13.6,D,0
57.2102,-3.0613,302.5,1.2,1.1,2006-04-06,1313,Aqua,MODIS,52,6.2,278,10.6,D,0
57.0732,-3.2097,304.5,1.2,1.1,2006-04-06,1313,Aqua,MODIS,59,6.2,279.6,11.9,D,0
51.6973,-3.5006,326.4,1,1,2006-04-08,1259,Aqua,MODIS,64,6.2,279.5,27.2,D,0
53.5702,-0.615,303,1.1,1,2006-04-08,1300,Aqua,MODIS,46,6.2,282,7.7,D,2
53.5722,-0.5992,302.1,1.1,1,2006-04-08,1300,Aqua,MODIS,38,6.2,280.7,7.7,D,2
53.5634,-0.6002,301.9,2.1,1.4,2006-04-08,2227,Terra,MODIS,45,6.2,272,28.4,N,2
53.5639,-0.607,300,2.1,1.4,2006-04-08,2227,Terra,MODIS,6,6.2,271.8,25.7,N,2
53.5663,-0.596,301.8,1.1,1,2006-04-09,0230,Aqua,MODIS,44,6.2,272.6,10.8,N,2
54.9202,-3.2413,315.9,1.4,1.2,2006-04-09,1157,Terra,MODIS,66,6.2,283.2,28.5,D,0
51.5626,-3.761,306.6,1.4,1.2,2006-04-10,1103,Terra,MODIS,0,6.2,291.2,10.9,D,2
51.6086,-4.0111,303.7,1.4,1.2,2006-04-10,1103,Terra,MODIS,41,6.2,285.9,8.4,D,0
51.6032,-4.0062,304.1,1.4,1.2,2006-04-10,1103,Terra,MODIS,38,6.2,286.2,8.5,D,0
53.5609,-0.601,324.3,1,1,2006-04-10,1247,Aqua,MODIS,78,6.2,279.3,23.7,D,2
51.1663,-3.686,321.6,1.2,1.1,2006-04-10,1247,Aqua,MODIS,81,6.2,287,26.9,D,0
55.8574,-2.6508,302.4,1,1,2006-04-10,1248,Aqua,MODIS,45,6.2,280.5,6.9,D,0
55.8599,-2.6351,304.1,1,1,2006-04-10,1248,Aqua,MODIS,55,6.2,282.4,7.8,D,0
55.8724,-2.5565,305.9,1,1,2006-04-10,1248,Aqua,MODIS,37,6.2,285.2,8.6,D,0
54.8705,-2.0616,303.6,1,1,2006-04-10,1248,Aqua,MODIS,47,6.2,280.7,8.1,D,0
56.4562,-3.7822,330.6,1,1,2006-04-10,1248,Aqua,MODIS,87,6.2,283.8,33.1,D,0
56.4589,-3.7658,301.2,1,1,2006-04-10,1248,Aqua,MODIS,40,6.2,283.7,5.7,D,0
56.9875,-3.0914,308.1,1,1,2006-04-13,1132,Terra,MODIS,67,6.2,279.6,11.1,D,0
54.3136,-0.9332,302.1,1.1,1.1,2006-04-13,1133,Terra,MODIS,50,6.2,282.3,6.9,D,0
54.3106,-0.9167,305,1.1,1.1,2006-04-13,1133,Terra,MODIS,60,6.2,284.5,9,D,0
54.4086,-0.8786,302.2,1.1,1.1,2006-04-13,1133,Terra,MODIS,41,6.2,283.8,7.3,D,0
56.8518,-2.7522,311.3,1.4,1.2,2006-04-13,1319,Aqua,MODIS,71,6.2,283,19.3,D,0
53.5679,-0.5937,307.3,1.5,1.2,2006-04-14,0249,Aqua,MODIS,69,6.2,276.6,21.2,N,2
55.8196,-2.6203,302.1,2.2,1.4,2006-04-14,1215,Terra,MODIS,51,6.2,278.2,20.4,D,0
53.012,-3.125,301.1,1.9,1.3,2006-04-14,1223,Aqua,MODIS,42,6.2,284.4,13.5,D,0
54.9874,-2.3296,301.7,1.5,1.2,2006-04-14,1223,Aqua,MODIS,46,6.2,282.1,11.9,D,0
57.4765,-3.6373,300.1,1.5,1.2,2006-04-14,1224,Aqua,MODIS,30,6.2,284,10.2,D,0
54.8472,-2.1886,322.5,1,1,2006-04-15,1120,Terra,MODIS,62,6.2,284.1,21.6,D,0
57.0469,-3.4284,300.4,1,1,2006-04-17,1255,Aqua,MODIS,36,6.2,281.9,5.9,D,0
53.5698,-3.0549,318.8,1.2,1.1,2006-04-19,1241,Aqua,MODIS,76,6.2,290.5,19.2,D,0
53.5687,-3.0474,322.4,1.2,1.1,2006-04-19,1241,Aqua,MODIS,82,6.2,290.2,24.7,D,0
55.9532,-5.5487,304.9,1.3,1.1,2006-04-19,1242,Aqua,MODIS,37,6.2,286.5,9.6,D,0
54.581,-1.1518,302.7,1,1,2006-04-19,1242,Aqua,MODIS,32,6.2,283.5,5.8,D,0
51.5757,-3.7696,305.5,1,1,2006-04-21,2156,Terra,MODIS,65,6.2,282.8,9.4,N,2
51.5668,-3.7659,304.5,1,1,2006-04-21,2156,Terra,MODIS,15,6.2,283.4,8.3,N,2
51.5703,-3.7661,310.1,1,1,2006-04-22,1127,Terra,MODIS,52,6.2,281.1,10,D,2
50.7309,-1.9154,304.2,1.1,1,2006-04-22,1311,Aqua,MODIS,50,6.2,285.2,5.5,D,0
54.5812,-1.1528,302.7,1.6,1.3,2006-04-23,1217,Aqua,MODIS,45,6.2,292.1,8.7,D,0
53.5699,-0.6035,306.3,1,1,2006-04-24,1114,Terra,MODIS,49,6.2,287.5,5.3,D,2
53.5678,-0.5886,304.6,1,1,2006-04-24,1114,Terra,MODIS,47,6.2,287.9,4.7,D,2
58.3303,-3.4492,315.9,2.8,1.6,2006-04-26,1239,Terra,MODIS,0,6.2,276.5,73.3,D,0
58.3441,-3.4823,313.5,2.8,1.6,2006-04-26,1239,Terra,MODIS,55,6.2,279.2,64.5,D,0
58.3406,-3.459,328.6,1,1,2006-04-26,1249,Aqua,MODIS,86,6.2,282.3,28.2,D,0
58.3319,-3.4541,330.4,1,1,2006-04-26,1249,Aqua,MODIS,87,6.2,285,30.5,D,0
58.3293,-3.4707,327.6,1,1,2006-04-26,1249,Aqua,MODIS,85,6.2,287.5,27.1,D,0
58.338,-3.4756,355.9,1,1,2006-04-26,1249,Aqua,MODIS,98,6.2,288.8,77.7,D,0
54.6219,-1.1072,303.3,1,1,2006-04-27,0218,Aqua,MODIS,54,6.2,276.7,10.1,N,0
51.5834,-3.7679,301.4,1.1,1,2006-04-27,0219,Aqua,MODIS,41,6.2,278.6,8.7,N,0
52.8017,-1.6474,300.4,1.8,1.3,2006-04-27,1330,Aqua,MODIS,14,6.2,286.5,6.3,D,0
51.9586,0.5207,362.1,1.1,1.1,2006-04-28,1235,Aqua,MODIS,94,6.2,286.2,107.6,D,0
51.9558,0.505,326.6,1.1,1.1,2006-04-28,1235,Aqua,MODIS,84,6.2,290,28.4,D,0
56.7714,-3.5696,304,1.2,1.1,2006-04-28,1236,Aqua,MODIS,47,6.2,287.8,7.3,D,0
