latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.7885,64.654,309.9,2.9,1.6,2006-01-01,0716,Terra,MODIS,29,6.2,273.8,48.3,D,2
38.7901,64.647,332.9,1.1,1,2006-01-01,0854,Aqua,MODIS,57,6.2,282.7,33.5,D,2
38.7778,64.6249,317.3,1.1,1,2006-01-01,0854,Aqua,MODIS,31,6.2,283,16.5,D,2
38.7965,64.6548,319.2,1.2,1.1,2006-01-02,0621,Terra,MODIS,24,6.2,278.3,23.6,D,2
38.7981,64.6406,321.4,1.2,1.1,2006-01-02,0621,Terra,MODIS,36,6.2,279.1,26.3,D,2
38.798,64.6424,322.6,1.9,1.3,2006-01-03,0704,Terra,MODIS,60,6.2,279.1,52.1,D,2
38.781,64.6156,309,1,1,2006-01-03,0841,Aqua,MODIS,42,6.2,277,10.1,D,2
38.7882,64.6622,300.9,1,1,2006-01-03,0841,Aqua,MODIS,24,6.2,276.5,5.9,D,2
38.8104,64.6258,302.7,1,1,2006-01-03,0841,Aqua,MODIS,29,6.2,277.4,6.8,D,2
38.7954,64.6482,344.1,1,1,2006-01-03,0841,Aqua,MODIS,94,6.2,282.2,52.6,D,2
38.7936,64.6366,326.5,1,1,2006-01-03,0841,Aqua,MODIS,62,6.2,281.6,24.3,D,2
38.8026,64.6481,322.3,1.7,1.3,2006-01-03,1809,Terra,MODIS,92,6.2,265.5,0,N,2
38.7988,64.643,326.1,1.7,1.3,2006-01-03,1809,Terra,MODIS,96,6.2,267.1,0,N,2
38.7939,64.6405,336,1.3,1.1,2006-01-05,0829,Aqua,MODIS,90,6.2,286.8,54.9,D,2
41.0402,70.1787,317,1.4,1.2,2006-01-06,0556,Terra,MODIS,54,6.2,273.6,30.3,D,2
41.0445,70.1865,311.7,1.4,1.2,2006-01-06,0556,Terra,MODIS,36,6.2,272.8,23.4,D,2
38.7953,64.662,307.7,2.8,1.6,2006-01-06,0557,Terra,MODIS,61,6.2,275.2,46.3,D,2
38.8017,64.6447,311.1,3,1.7,2006-01-06,1701,Terra,MODIS,25,6.2,266.4,75.5,N,2
38.8018,64.6497,309.5,3,1.7,2006-01-06,1701,Terra,MODIS,38,6.2,266.3,70.6,N,2
38.7915,64.6492,311.4,2,1.4,2006-01-07,0817,Aqua,MODIS,64,6.2,271.6,28.8,D,2
38.794,64.643,321.1,1,1,2006-01-07,1744,Terra,MODIS,30,6.2,275,21.5,N,2
38.7819,64.6224,313.3,1,1,2006-01-07,1744,Terra,MODIS,52,6.2,272.1,16.3,N,2
38.7985,64.643,320.1,1.3,1.1,2006-01-07,2155,Aqua,MODIS,30,6.2,271.5,29.7,N,2
38.7788,64.6371,303.7,1.3,1.1,2006-01-07,2155,Aqua,MODIS,32,6.2,271.2,15,N,2
38.7959,64.6573,324.6,1.3,1.1,2006-01-07,2155,Aqua,MODIS,58,6.2,272.9,37.1,N,2
38.9304,64.8023,300.9,1.2,1.1,2006-01-08,0900,Aqua,MODIS,43,6.2,288.2,4.7,D,0
38.8132,64.745,312.8,1.2,1.1,2006-01-08,0900,Aqua,MODIS,73,6.2,285.9,15.5,D,0
38.7927,64.6447,331,1.1,1.1,2006-01-12,0835,Aqua,MODIS,85,6.2,282.3,36.2,D,2
38.782,64.6301,310.5,1.4,1.2,2006-01-12,1802,Terra,MODIS,39,6.2,269.9,24,N,2
38.7941,64.6443,319.1,1.4,1.2,2006-01-12,1802,Terra,MODIS,86,6.2,270.2,35.6,N,2
38.8015,64.6528,319.8,2.3,1.5,2006-01-12,2214,Aqua,MODIS,92,6.2,268.2,77.6,N,2
