latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.4405,-68.6833,304.5,2,1.4,2006-01-01,0322,Terra,MODIS,56,6.2,293.1,13.4,N,0
6.4498,-68.6792,303.5,2,1.4,2006-01-01,0322,Terra,MODIS,55,6.2,292.9,12.3,N,0
7.9736,-65.173,301.5,3.9,1.8,2006-01-01,0322,Terra,MODIS,41,6.2,290.7,25.4,N,0
7.9788,-65.179,303.9,3.9,1.8,2006-01-01,0322,Terra,MODIS,58,6.2,290.7,36.1,N,0
7.9746,-65.2145,301.4,3.9,1.8,2006-01-01,0322,Terra,MODIS,41,6.2,290.3,25.7,N,0
6.4375,-68.6775,303.8,2,1.4,2006-01-01,0322,Terra,MODIS,57,6.2,293.4,12.8,N,0
7.9691,-65.2085,303.8,3.9,1.8,2006-01-01,0322,Terra,MODIS,57,6.2,290.4,34.9,N,0
9.6606,-67.6134,314.1,1,1,2006-01-01,0612,Aqua,MODIS,88,6.2,293.6,12.9,N,0
9.4935,-69.2838,307,1,1,2006-01-01,0612,Aqua,MODIS,70,6.2,292.5,7.5,N,0
7.9894,-65.1891,303,1.4,1.2,2006-01-01,0612,Aqua,MODIS,53,6.2,292.3,7.6,N,0
10.304,-67.4739,300.4,1,1,2006-01-01,0612,Aqua,MODIS,26,6.2,288.8,5.4,N,0
6.4371,-68.6765,308.8,1,1,2006-01-01,0613,Aqua,MODIS,76,6.2,293.7,8.4,N,0
7.7443,-68.6107,311.5,3.1,1.7,2006-01-01,1539,Terra,MODIS,53,6.2,297,21.4,D,0
7.7165,-66.6325,312.1,4.4,1.9,2006-01-01,1539,Terra,MODIS,54,6.2,292.3,47,D,0
8.2248,-68.3801,312.2,3.1,1.7,2006-01-01,1539,Terra,MODIS,59,6.2,295.9,29,D,0
8.6068,-66.2955,312.6,4.5,1.9,2006-01-01,1539,Terra,MODIS,56,6.2,293.3,47.5,D,0
