latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
21.6665,103.4488,306.2,1.4,1.2,2006-01-01,0404,Terra,MODIS,63,6.2,295.2,8.4,D,0
21.4304,103.4385,307.6,4.7,2,2006-01-01,0710,Aqua,MODIS,59,6.2,294.4,45.3,D,0
21.427,103.3931,319.8,4.7,2,2006-01-01,0710,Aqua,MODIS,79,6.2,296.5,134.7,D,0
21.4267,103.4033,323.2,4.7,2,2006-01-01,0710,Aqua,MODIS,81,6.2,296.4,167,D,0
14.5918,107.7511,311.2,1,1,2006-01-02,0612,Aqua,MODIS,67,6.2,286,9.9,D,0
21.6109,103.3608,308.1,1.2,1.1,2006-01-02,0614,Aqua,MODIS,55,6.2,293.6,7,D,0
20.985,105.1646,305.5,1,1,2006-01-02,0614,Aqua,MODIS,58,6.2,290.5,5.3,D,0
21.7487,103.6438,307.9,1.1,1.1,2006-01-02,0614,Aqua,MODIS,58,6.2,294.8,5.3,D,0
21.7504,103.6547,323.6,1.1,1.1,2006-01-02,0614,Aqua,MODIS,82,6.2,297.7,21.7,D,0
21.0984,104.085,308.1,1.1,1,2006-01-02,0614,Aqua,MODIS,52,6.2,296.4,5.8,D,0
21.5932,103.7062,307.8,1.1,1.1,2006-01-02,0614,Aqua,MODIS,62,6.2,293.7,4.7,D,0
21.21,103.5547,331,1.2,1.1,2006-01-02,0614,Aqua,MODIS,86,6.2,295.7,30.9,D,0
21.3353,103.6121,304.4,1.1,1.1,2006-01-02,0614,Aqua,MODIS,53,6.2,294.2,6.1,D,0
20.8952,103.1157,310.1,1.2,1.1,2006-01-02,0614,Aqua,MODIS,64,6.2,294,9.9,D,0
21.6396,103.3554,303.6,1.2,1.1,2006-01-02,0614,Aqua,MODIS,37,6.2,291.8,4.4,D,0
21.7569,102.9946,311.5,1.2,1.1,2006-01-02,0614,Aqua,MODIS,71,6.2,296.7,11,D,0
21.6535,103.4149,310.7,1.2,1.1,2006-01-02,0614,Aqua,MODIS,56,6.2,295.3,8.3,D,0
21.4777,103.0405,319.2,1.2,1.1,2006-01-02,0614,Aqua,MODIS,79,6.2,298,17.9,D,0
21.6978,103.7265,306.9,1.1,1.1,2006-01-02,0614,Aqua,MODIS,62,6.2,294.3,5.4,D,0
21.1849,103.5821,311,1.2,1.1,2006-01-02,0614,Aqua,MODIS,41,6.2,296.3,6.8,D,0
20.8932,103.1034,316.6,1.2,1.1,2006-01-02,0614,Aqua,MODIS,76,6.2,295.1,17,D,0
20.9031,103.1021,313,1.2,1.1,2006-01-02,0614,Aqua,MODIS,65,6.2,294.4,12.6,D,0
22.1731,103.4108,311.2,1.1,1.1,2006-01-02,0615,Aqua,MODIS,65,6.2,297.2,7.2,D,0
22.3497,102.2855,306.2,1.3,1.1,2006-01-02,0615,Aqua,MODIS,63,6.2,293.6,9.5,D,0
22.3517,102.2978,309.5,1.3,1.1,2006-01-02,0615,Aqua,MODIS,69,6.2,292.6,12.3,D,0
21.9264,103.5994,309.8,1.1,1.1,2006-01-02,0615,Aqua,MODIS,68,6.2,296.3,9.6,D,0
22.1559,103.4256,310.1,1.1,1.1,2006-01-02,0615,Aqua,MODIS,43,6.2,296.2,6.4,D,0
22.1713,103.3998,313.1,1.1,1.1,2006-01-02,0615,Aqua,MODIS,69,6.2,297.6,9.1,D,0
21.9906,104.7684,306.3,1.1,1.1,2006-01-03,0351,Terra,MODIS,0,6.2,293.4,5.6,D,0
21.3802,103.2516,312.3,1,1,2006-01-03,0351,Terra,MODIS,72,6.2,296.3,8.8,D,0
13.3701,107.687,310.7,2.5,1.5,2006-01-03,0353,Terra,MODIS,33,6.2,287.6,17.5,D,0
11.5207,106.1254,310.6,2,1.4,2006-01-03,0354,Terra,MODIS,67,6.2,282.3,16.6,D,0
21.2637,104.1934,315.4,3.2,1.7,2006-01-03,0657,Aqua,MODIS,64,6.2,297.5,49.3,D,0
20.9215,103.2871,308.4,2.7,1.6,2006-01-03,0657,Aqua,MODIS,62,6.2,296.8,24.2,D,0
21.2648,104.2024,319.8,3.2,1.7,2006-01-03,0657,Aqua,MODIS,73,6.2,297.5,71.2,D,0
21.9087,104.1904,305.2,3.2,1.7,2006-01-03,0657,Aqua,MODIS,55,6.2,294.1,30,D,0
21.9125,104.1942,305,3.2,1.7,2006-01-03,0657,Aqua,MODIS,43,6.2,293.7,27.5,D,0
21.0663,103.2068,309.2,2.7,1.6,2006-01-03,0657,Aqua,MODIS,64,6.2,297.4,20.9,D,0
21.0625,103.2121,308.6,2.7,1.6,2006-01-03,0657,Aqua,MODIS,60,6.2,297.5,20,D,0
21.7084,103.6465,307.8,2.9,1.6,2006-01-03,0657,Aqua,MODIS,49,6.2,297,16.1,D,0
21.1197,103.1731,320.7,2.7,1.6,2006-01-03,0657,Aqua,MODIS,79,6.2,295.3,60.8,D,0
21.595,103.0583,309.2,2.6,1.6,2006-01-03,0657,Aqua,MODIS,61,6.2,294.6,29.2,D,0
21.5908,103.0619,311.8,2.6,1.6,2006-01-03,0657,Aqua,MODIS,69,6.2,294.1,37.6,D,0
22.5994,103.6766,308.9,3,1.7,2006-01-03,0658,Aqua,MODIS,67,6.2,296.1,34.4,D,0
11.8796,107.6694,312,1.4,1.2,2006-01-04,0559,Aqua,MODIS,62,6.2,296.7,10.1,D,0
13.4425,107.9012,316.7,1.3,1.1,2006-01-04,0600,Aqua,MODIS,68,6.2,296.3,9.1,D,0
14.4589,107.9778,315.4,1.2,1.1,2006-01-04,0600,Aqua,MODIS,72,6.2,299.1,7.9,D,0
18.38,105.481,309.4,1.5,1.2,2006-01-04,0601,Aqua,MODIS,40,6.2,296.3,9.5,D,0
17.2695,106.6312,312,1.3,1.1,2006-01-04,0601,Aqua,MODIS,55,6.2,297.6,8.9,D,0
17.3763,106.6004,315.2,1.3,1.1,2006-01-04,0601,Aqua,MODIS,65,6.2,297.4,13.7,D,0
17.4026,106.5704,317,1.3,1.1,2006-01-04,0601,Aqua,MODIS,68,6.2,297.9,16.1,D,0
17.2697,106.6373,313.3,1.3,1.1,2006-01-04,0601,Aqua,MODIS,61,6.2,297.5,9.9,D,0
15.8748,107.9901,314.9,1.2,1.1,2006-01-04,0601,Aqua,MODIS,55,6.2,298.6,9.9,D,0
18.3823,105.4948,310.7,1.5,1.2,2006-01-04,0601,Aqua,MODIS,33,6.2,297.2,10.5,D,0
21.11,103.4533,313.7,1.8,1.3,2006-01-04,0602,Aqua,MODIS,72,6.2,297,23,D,0
21.5861,103.1526,308.5,1.9,1.3,2006-01-04,0602,Aqua,MODIS,60,6.2,295.9,16.9,D,0
21.5816,103.158,307.1,1.9,1.3,2006-01-04,0602,Aqua,MODIS,42,6.2,295.8,12.5,D,0
21.7777,104.7382,308.3,1.5,1.2,2006-01-04,0602,Aqua,MODIS,64,6.2,296.5,8.2,D,0
21.7442,104.7659,310.7,1.5,1.2,2006-01-04,0602,Aqua,MODIS,67,6.2,296.4,11.8,D,0
21.5772,103.5415,310.7,1.8,1.3,2006-01-04,0602,Aqua,MODIS,69,6.2,291.4,19.8,D,0
22.0178,102.9796,304.1,1.9,1.4,2006-01-04,0602,Aqua,MODIS,58,6.2,290.4,13.6,D,0
21.2873,104.184,313.8,1.6,1.3,2006-01-04,0602,Aqua,MODIS,67,6.2,298.3,16.2,D,0
22.0116,103.013,303.6,1.9,1.3,2006-01-04,0602,Aqua,MODIS,53,6.2,293,12.1,D,0
22.0095,102.9684,302.5,1.9,1.4,2006-01-04,0602,Aqua,MODIS,45,6.2,291.3,10.2,D,0
21.2875,104.1913,315,1.6,1.3,2006-01-04,0602,Aqua,MODIS,68,6.2,297.7,20.1,D,0
21.8458,104.1363,311.8,1.6,1.2,2006-01-04,0602,Aqua,MODIS,66,6.2,293.4,19.9,D,0
21.3383,106.5941,319.5,1.2,1.1,2006-01-04,0602,Aqua,MODIS,75,6.2,297.7,16.7,D,0
21.1927,103.6458,308.8,1.8,1.3,2006-01-04,0602,Aqua,MODIS,64,6.2,298.7,9.3,D,0
21.1886,103.6395,313.4,1.8,1.3,2006-01-04,0602,Aqua,MODIS,72,6.2,299.9,16.7,D,0
