latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.8909,47.1682,322,1,1,2006-01-01,0724,Terra,MODIS,68,6.2,306.1,8.4,D,0
15.611,46.0165,307,1,1,2006-01-01,2239,Aqua,MODIS,70,6.2,280.4,12.2,N,2
15.6875,48.8451,300,1,1,2006-01-02,1858,Terra,MODIS,13,6.2,285.1,5.8,N,0
15.6176,46.0132,304.8,1.2,1.1,2006-01-03,2227,Aqua,MODIS,62,6.2,280,13.7,N,2
15.614,46.0086,306.8,2.5,1.5,2006-01-04,1846,Terra,MODIS,69,6.2,285,39.6,N,2
15.2368,45.8178,309.2,1.3,1.1,2006-01-05,1929,Terra,MODIS,77,6.2,284.2,18.4,N,0
15.6142,46.0155,325.3,1.1,1.1,2006-01-06,0742,Terra,MODIS,71,6.2,306,10.7,D,2
15.6113,46.0132,305.4,1,1,2006-01-07,1916,Terra,MODIS,64,6.2,284,10.4,N,2
15.5566,45.8341,326.7,1,1,2006-01-08,0729,Terra,MODIS,73,6.2,308.6,10.8,D,0
15.6158,46.0163,309.3,1.1,1.1,2006-01-08,2245,Aqua,MODIS,77,6.2,282.9,15.7,N,2
15.6938,48.846,301.5,1,1,2006-01-09,1904,Terra,MODIS,41,6.2,288.9,4.7,N,0
15.8163,45.8299,301.4,1.2,1.1,2006-01-09,1904,Terra,MODIS,40,6.2,286.3,9.5,N,2
15.6106,46.0135,307.3,1.2,1.1,2006-01-09,1904,Terra,MODIS,71,6.2,285.4,14.3,N,2
15.6158,46.0123,304.4,1,1,2006-01-10,2233,Aqua,MODIS,60,6.2,284.7,10.1,N,2
15.8242,45.8429,300.7,1,1,2006-01-10,2233,Aqua,MODIS,32,6.2,283.4,7.9,N,2
15.6106,46.0098,305.9,1.9,1.4,2006-01-11,1852,Terra,MODIS,66,6.2,287.9,24.4,N,2
15.3296,46.0363,332.7,1.2,1.1,2006-01-12,1008,Aqua,MODIS,71,6.2,320.2,9.7,D,0
15.6178,46.0153,305.5,1.7,1.3,2006-01-12,1935,Terra,MODIS,64,6.2,288.6,18.9,N,2
15.6152,46.0109,326.1,1.3,1.1,2006-01-13,0748,Terra,MODIS,70,6.2,310.9,9.7,D,2
15.6185,46.0223,300.1,2.3,1.5,2006-01-13,2304,Aqua,MODIS,19,6.2,287.8,21.7,N,2
15.6161,46.0118,305.7,1.1,1,2006-01-14,1922,Terra,MODIS,65,6.2,291,9.7,N,2
15.8201,45.8312,305.2,1.1,1,2006-01-14,1922,Terra,MODIS,63,6.2,289.4,9.1,N,2
15.2445,45.8222,302,1.3,1.1,2006-01-15,2251,Aqua,MODIS,46,6.2,285.5,12.2,N,0
15.8162,45.8358,306.2,1,1,2006-01-16,1910,Terra,MODIS,67,6.2,287.8,9.8,N,2
15.6112,46.0093,311.5,1,1,2006-01-16,1910,Terra,MODIS,83,6.2,288.8,13.8,N,2
15.6129,46.0133,321.5,1,1,2006-01-17,2239,Aqua,MODIS,100,6.2,286.7,22.8,N,2
15.8232,45.8409,307.4,1,1,2006-01-17,2239,Aqua,MODIS,71,6.2,286.3,11,N,2
15.8246,45.8374,303.3,1.5,1.2,2006-01-18,1858,Terra,MODIS,55,6.2,287.3,13.6,N,2
15.8203,45.8294,301.9,1.5,1.2,2006-01-18,1858,Terra,MODIS,45,6.2,287.3,13,N,2
15.821,45.844,300.5,1.2,1.1,2006-01-19,2227,Aqua,MODIS,28,6.2,283.6,9.4,N,2
15.6177,46.019,304.3,1.2,1.1,2006-01-19,2227,Aqua,MODIS,60,6.2,284.4,11.4,N,2
15.8251,45.8392,310.4,1.2,1.1,2006-01-19,2227,Aqua,MODIS,80,6.2,283.6,16.6,N,2
15.8225,45.833,300.1,1.2,1.1,2006-01-19,2227,Aqua,MODIS,15,6.2,283.3,9.1,N,2
15.617,46.0096,302.3,1.3,1.1,2006-01-21,1928,Terra,MODIS,48,6.2,290.9,9.5,N,2
15.8222,45.8355,302.6,1.9,1.4,2006-01-21,2215,Aqua,MODIS,50,6.2,287.7,19.4,N,2
