latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.4668,65.9839,333,2.2,1.4,2018-01-01,0814,Aqua,MODIS,83,6.03,292.7,102.6,D,0
37.4652,65.9798,327.3,2.2,1.4,2018-01-01,0814,Aqua,MODIS,64,6.03,292.3,79.1,D,0
35.7953,63.128,312.5,1,1,2018-01-02,0856,Aqua,MODIS,64,6.03,291.1,9.2,D,0
35.2368,71.2506,309.9,1.3,1.1,2018-01-03,0623,Terra,MODIS,69,6.03,277.5,19.5,D,0
37.4705,65.9611,300.2,1.2,1.1,2018-01-06,0832,Aqua,MODIS,15,6.03,288,5.8,D,0
31.8244,64.61,318,1.2,1.1,2018-01-16,0908,Aqua,MODIS,74,6.03,289.6,17.7,D,0
37.3676,67.0363,300.1,1.1,1,2018-01-17,0635,Terra,MODIS,21,6.03,280.5,7.2,D,0
34.4476,69.1128,309.2,1.5,1.2,2018-01-17,0636,Terra,MODIS,68,6.03,279.3,17.1,D,2
34.4581,69.116,301.7,1.5,1.2,2018-01-17,0636,Terra,MODIS,47,6.03,279.5,8.7,D,0
37.3152,66.3575,305.6,2.1,1.4,2018-01-17,0814,Aqua,MODIS,0,6.03,278.3,24.4,D,0
37.3144,66.3648,300.3,2.1,1.4,2018-01-17,0814,Aqua,MODIS,0,6.03,278.4,17.4,D,0
37.4869,65.9182,318.1,1.1,1,2018-01-19,0623,Terra,MODIS,64,6.03,286.9,18.4,D,0
32.6814,64.0609,307.7,1.1,1.1,2018-01-19,0624,Terra,MODIS,57,6.03,288,6.7,D,0
32.2521,65.0226,329.8,1.2,1.1,2018-01-20,0843,Aqua,MODIS,84,6.03,293,32,D,0
32.2541,65.0344,339.9,1.2,1.1,2018-01-20,0843,Aqua,MODIS,91,6.03,294.6,50.1,D,0
34.781,70.7929,310.3,1,1,2018-01-21,0611,Terra,MODIS,64,6.03,288.1,11.9,D,0
34.2066,62.2192,301.7,1,1,2018-01-24,0642,Terra,MODIS,28,6.03,287.5,2.2,D,2
31.9754,64.7977,320.9,1,1,2018-02-12,0850,Aqua,MODIS,75,6.03,296,14.9,D,0
37.1,68.2875,308.9,4.2,1.9,2018-02-28,0712,Terra,MODIS,40,6.03,292.4,35.1,D,0
37.3078,68.9953,314.1,1.3,1.1,2018-02-28,0851,Aqua,MODIS,68,6.03,296.1,11.4,D,0
34.4068,70.2124,302.8,1,1,2018-03-02,0838,Aqua,MODIS,0,6.03,286.5,1.9,D,0
37.3191,68.9643,316.5,2.5,1.5,2018-03-05,0909,Aqua,MODIS,66,6.03,298.2,30.3,D,0
37.3784,67.0208,318.3,1.1,1,2018-03-06,0635,Terra,MODIS,45,6.03,296.6,11.4,D,0
37.3404,66.5568,307.8,1,1,2018-03-06,1739,Terra,MODIS,72,6.03,277.8,10.8,N,0
37.3211,68.9498,321.3,1.6,1.2,2018-03-07,0857,Aqua,MODIS,72,6.03,291,27.5,D,0
37.3228,68.9675,316.6,1.6,1.2,2018-03-07,0857,Aqua,MODIS,63,6.03,292.1,18.4,D,0
37.3473,69.3917,314.3,1,1,2018-03-08,1727,Terra,MODIS,85,6.03,271.7,16.9,N,0
37.3732,66.9828,315.3,4.5,2,2018-03-10,0750,Aqua,MODIS,42,6.03,276,103.4,D,0
32.0233,64.812,325.7,1,1,2018-03-16,0850,Aqua,MODIS,62,6.03,303.8,15.2,D,0
37.3255,68.8999,310.3,1.9,1.3,2018-03-21,0553,Terra,MODIS,31,6.03,295.1,9.2,D,0
33.5048,68.6711,303.3,2.1,1.4,2018-03-21,0909,Aqua,MODIS,27,6.03,288,6.7,D,0
34.8429,70.8071,317.5,1.1,1.1,2018-03-29,0820,Aqua,MODIS,67,6.03,287.8,18.5,D,0
34.8447,70.8182,353.4,1.1,1.1,2018-03-29,0820,Aqua,MODIS,97,6.03,293,81.9,D,0
34.8472,70.8196,314.7,1.6,1.2,2018-03-31,0808,Aqua,MODIS,31,6.03,303.7,19.8,D,0
35.2489,71.2866,319.8,1.5,1.2,2018-03-31,0808,Aqua,MODIS,74,6.03,297.9,26.2,D,0
35.2553,71.2975,320.1,1.5,1.2,2018-03-31,0808,Aqua,MODIS,56,6.03,294.4,26.3,D,0
35.252,71.3033,312.7,1.5,1.2,2018-03-31,0808,Aqua,MODIS,53,6.03,294.4,15.9,D,0
