latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.3726,19.6196,301.4,1.9,1.3,2018-03-11,1010,Terra,MODIS,40,6.03,288.7,9.2,D,0
42.2122,19.6702,304.3,1,1,2018-03-31,0946,Terra,MODIS,54,6.03,287.8,4.5,D,0
41.4136,19.6227,319.9,1.2,1.1,2018-04-07,1133,Aqua,MODIS,79,6.03,295,19.3,D,0
41.411,19.6083,308.6,1.2,1.1,2018-04-07,1133,Aqua,MODIS,62,6.03,294.8,7.1,D,0
40.722,19.7941,318.3,1,1,2018-04-12,1151,Aqua,MODIS,71,6.03,297.4,11.2,D,0
42.0133,20.2428,301.4,1,1,2018-04-25,2046,Terra,MODIS,41,6.03,282.6,8,N,0
42.0121,20.2691,309.7,4.3,1.9,2018-04-26,0845,Terra,MODIS,60,6.03,297.9,41.1,D,0
41.9896,19.5398,316.1,1.2,1.1,2018-05-25,1133,Aqua,MODIS,71,6.03,300.7,9.1,D,0
40.9008,20.9204,311.6,1.5,1.2,2018-06-12,1120,Aqua,MODIS,25,6.03,297,11.2,D,0
41.3277,19.4831,323.7,1.2,1.1,2018-07-31,1204,Aqua,MODIS,66,6.03,304.7,11,D,2
42.1776,19.8913,320.8,1,1,2018-08-22,0947,Terra,MODIS,0,6.03,300.4,12.6,D,0
40.5015,19.6723,322.8,1,1,2018-08-24,0935,Terra,MODIS,77,6.03,299.2,13.6,D,0
41.864,19.6723,318.2,1,1,2018-08-31,0941,Terra,MODIS,67,6.03,304.9,6.4,D,0
41.3143,19.5529,315.8,1,1,2018-09-09,0935,Terra,MODIS,71,6.03,300.9,6.6,D,0
39.9187,20.0675,327.7,1.1,1,2018-09-10,1157,Aqua,MODIS,82,6.03,306,19.5,D,0
41.3695,19.6204,317,1.1,1,2018-09-10,1157,Aqua,MODIS,65,6.03,302.6,9.3,D,0
41.4683,19.6726,315.4,1.1,1,2018-09-10,1157,Aqua,MODIS,67,6.03,304,7,D,0
39.9203,20.0802,325.3,1.1,1,2018-09-10,1157,Aqua,MODIS,66,6.03,306,16.7,D,0
41.941,19.403,333.4,1,1,2018-09-12,1145,Aqua,MODIS,82,6.03,300.9,24.9,D,0
41.155,19.473,314.9,1,1,2018-09-12,1145,Aqua,MODIS,50,6.03,300.5,5.7,D,0
41.9392,19.391,364.1,1,1,2018-09-12,1145,Aqua,MODIS,100,6.03,302.1,90.4,D,0
40.0352,19.9272,316.1,1.8,1.3,2018-09-13,0911,Terra,MODIS,50,6.03,301.2,14.9,D,0
42.071,20.0918,303.9,1,1,2018-09-16,2047,Terra,MODIS,57,6.03,287.4,8,N,0
41.8961,19.3907,316.7,1.2,1.1,2018-09-18,0928,Terra,MODIS,54,6.03,302.2,7.7,D,0
41.8858,19.3913,316.3,1.3,1.1,2018-09-21,0959,Terra,MODIS,40,6.03,303.3,8.1,D,0
40.5178,19.5601,321.5,1.1,1,2018-09-21,1139,Aqua,MODIS,74,6.03,303.9,11.4,D,0
41.1635,19.8536,312.8,1.5,1.2,2018-09-24,1209,Aqua,MODIS,29,6.03,296.1,10.3,D,0
41.1651,19.8703,315.3,1.5,1.2,2018-09-24,1209,Aqua,MODIS,55,6.03,296.2,14.5,D,0
41.8624,19.6396,310.5,1,1,2018-09-25,0934,Terra,MODIS,56,6.03,293.9,8.7,D,0
39.9585,20.1402,332.5,1,1,2018-09-25,0935,Terra,MODIS,86,6.03,301,25.1,D,0
39.9569,20.1516,320.5,1,1,2018-09-25,0935,Terra,MODIS,77,6.03,300.4,11,D,0
39.9674,20.1425,326.9,1,1,2018-09-25,0935,Terra,MODIS,82,6.03,300.4,16.9,D,0
39.9545,20.1357,317.8,2.2,1.4,2018-09-25,1114,Aqua,MODIS,68,6.03,298.9,32.8,D,0
39.8456,20.0676,313.6,2.2,1.4,2018-09-25,1114,Aqua,MODIS,36,6.03,296.3,15.5,D,0
39.84,20.0426,317.4,2.2,1.4,2018-09-25,1114,Aqua,MODIS,42,6.03,296.3,25.4,D,0
39.8581,20.0628,315.1,2.2,1.4,2018-09-25,1114,Aqua,MODIS,27,6.03,296.4,18.4,D,0
39.7956,20.3315,310.3,1,1,2018-09-25,2040,Terra,MODIS,80,6.03,283.6,12.8,N,0
41.9051,19.4037,306.8,1,1,2018-09-25,2040,Terra,MODIS,69,6.03,285.4,9.5,N,0
41.9033,19.3918,309.7,1,1,2018-09-25,2040,Terra,MODIS,78,6.03,285.4,11.4,N,0
41.1549,19.6541,301.1,1,1,2018-09-26,0051,Aqua,MODIS,37,6.03,285.7,7.1,N,0
41.5354,19.6558,307.7,2.4,1.5,2018-09-26,1017,Terra,MODIS,66,6.03,295.6,19.2,D,0
40.6953,19.5172,314.3,1.1,1,2018-09-26,1157,Aqua,MODIS,48,6.03,291.7,10.2,D,0
42.0328,19.5584,311.3,1.1,1,2018-09-26,1157,Aqua,MODIS,71,6.03,297.9,7.5,D,0
42.0311,19.5452,310.2,1.1,1,2018-09-26,1157,Aqua,MODIS,70,6.03,298.3,6.6,D,0
41.1028,19.6897,325.6,1.1,1,2018-09-26,1157,Aqua,MODIS,83,6.03,300.2,22.1,D,0
41.0702,19.5792,313.8,1.1,1,2018-09-26,1157,Aqua,MODIS,73,6.03,300,7.5,D,0
41.5234,19.6868,314.6,1.1,1,2018-09-26,1157,Aqua,MODIS,75,6.03,299.6,9.6,D,0
41.6703,19.5955,307.7,1.1,1,2018-09-26,1157,Aqua,MODIS,62,6.03,297.2,5.4,D,0
41.6687,19.5825,306.1,1.1,1,2018-09-26,1157,Aqua,MODIS,0,6.03,296.1,4.5,D,0
41.2089,19.6463,309.7,1.1,1,2018-09-26,1157,Aqua,MODIS,68,6.03,296.1,6.2,D,0
42.0588,20.0992,302.8,1.1,1.1,2018-09-26,1157,Aqua,MODIS,54,6.03,289.8,6.1,D,0
42.0599,20.0836,304.4,1.3,1.1,2018-09-27,0922,Terra,MODIS,48,6.03,287.5,8.5,D,0
42.0682,20.1016,312.1,1.3,1.1,2018-09-27,0922,Terra,MODIS,72,6.03,289.9,16.7,D,0
42.0581,20.0995,327.8,1.3,1.1,2018-09-27,0922,Terra,MODIS,85,6.03,289.4,37.9,D,0
41.1534,19.4713,305.4,1.3,1.1,2018-09-27,0922,Terra,MODIS,38,6.03,294.7,3.9,D,0
41.4422,19.7911,308.7,1.3,1.1,2018-09-27,0922,Terra,MODIS,57,6.03,298,8.6,D,0
40.6558,19.3669,306.1,1.3,1.1,2018-09-27,0923,Terra,MODIS,60,6.03,294.9,6.3,D,0
40.4043,19.5455,316.5,1.3,1.1,2018-09-27,0923,Terra,MODIS,76,6.03,293.9,18.3,D,0
41.1388,19.4711,319.7,4.1,1.9,2018-09-27,1240,Aqua,MODIS,0,6.03,296.6,100.3,D,0
42.5168,19.588,303.6,1.1,1,2018-09-28,0039,Aqua,MODIS,56,6.03,284,9.4,N,0
41.0109,19.7018,314.6,1,1,2018-09-28,0039,Aqua,MODIS,86,6.03,284.7,16.5,N,0
41.1265,19.4639,307.3,1,1,2018-09-28,0039,Aqua,MODIS,53,6.03,285.2,10.9,N,0
42.0547,20.0926,326.5,1,1,2018-09-28,0039,Aqua,MODIS,100,6.03,280.6,29.3,N,0
42.0491,20.0657,311,1,1,2018-09-28,0039,Aqua,MODIS,81,6.03,280.1,14.2,N,0
42.0473,20.0783,352.5,1,1,2018-09-28,0039,Aqua,MODIS,100,6.03,283.6,75.1,N,0
42.0457,20.0908,309.4,1,1,2018-09-28,0039,Aqua,MODIS,77,6.03,278,13.8,N,0
42.0564,20.0802,322.9,1,1,2018-09-28,0039,Aqua,MODIS,100,6.03,280.3,25.1,N,0
42.0235,19.6949,301.5,1.6,1.2,2018-09-28,1005,Terra,MODIS,37,6.03,287.8,7.3,D,0
41.9627,19.3601,309.3,1.5,1.2,2018-09-28,1005,Terra,MODIS,59,6.03,291.3,11.5,D,0
41.961,19.3529,305.8,1.5,1.2,2018-09-28,1005,Terra,MODIS,46,6.03,291.1,6.7,D,0
40.5559,19.512,313.1,1.7,1.3,2018-09-28,1005,Terra,MODIS,43,6.03,283.5,22.4,D,0
42.035,20.0667,358,1,1,2018-09-28,1145,Aqua,MODIS,0,6.03,269.1,82.7,D,0
42.0303,20.0754,349.5,1.9,1.3,2018-09-29,0910,Terra,MODIS,83,6.03,281.9,150.4,D,0
42.0258,20.0686,340.1,1.9,1.3,2018-09-29,0910,Terra,MODIS,91,6.03,284.1,103.6,D,0
42.0285,20.0526,322.8,4.3,1.9,2018-09-29,1050,Aqua,MODIS,82,6.03,289.2,164.5,D,0
42.0438,20.1066,321.6,4.3,1.9,2018-09-29,1050,Aqua,MODIS,81,6.03,287.1,151.9,D,0
42.012,20.0054,304.2,4.3,1.9,2018-09-29,1050,Aqua,MODIS,33,6.03,286.3,44.7,D,0
42.0109,20.068,338.9,4.3,1.9,2018-09-29,1050,Aqua,MODIS,91,6.03,289.3,341.5,D,0
41.9961,20.0149,307.5,4.3,1.9,2018-09-29,1050,Aqua,MODIS,59,6.03,286.4,62,D,0
42.0261,20.0561,353.8,4.3,1.9,2018-09-29,1050,Aqua,MODIS,97,6.03,290.4,582.7,D,0
42.0411,20.1102,327.6,4.3,1.9,2018-09-29,1050,Aqua,MODIS,85,6.03,287.4,205.7,D,0
