latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
24.885,-78.0849,316.6,1,1,2018-02-05,1835,Aqua,MODIS,66,6.03,297.7,8.6,D,0
24.8836,-78.0947,339.4,1,1,2018-02-05,1835,Aqua,MODIS,89,6.03,299.3,36.8,D,0
24.899,-78.1027,330.9,1.2,1.1,2018-02-07,1822,Aqua,MODIS,83,6.03,299,30.3,D,0
24.8895,-78.1008,330.4,1.2,1.1,2018-02-07,1822,Aqua,MODIS,83,6.03,299.4,30.6,D,0
24.8914,-78.0895,319.9,1.2,1.1,2018-02-07,1822,Aqua,MODIS,68,6.03,298.3,15.3,D,0
24.8849,-78.0897,316.3,1,1,2018-02-08,1555,Terra,MODIS,64,6.03,297.1,9,D,0
24.9033,-78.1125,335.4,1.6,1.3,2018-02-10,1853,Aqua,MODIS,87,6.03,299.1,64.9,D,0
25.1266,-78.1543,331.6,1.6,1.3,2018-02-10,1853,Aqua,MODIS,84,6.03,297.8,49.9,D,0
25.1285,-78.1276,322.7,1.6,1.3,2018-02-10,1853,Aqua,MODIS,75,6.03,294,31,D,0
25.1268,-78.1437,355,1.6,1.3,2018-02-10,1853,Aqua,MODIS,97,6.03,298.5,140,D,0
25.138,-78.1452,343.8,1.6,1.3,2018-02-10,1853,Aqua,MODIS,87,6.03,296.7,90.8,D,0
25.1285,-78.1383,362.8,1.6,1.3,2018-02-10,1853,Aqua,MODIS,100,6.03,298.1,180.6,D,0
24.9051,-78.0964,313.5,1.6,1.3,2018-02-10,1853,Aqua,MODIS,55,6.03,298.6,15.7,D,0
25.1185,-78.1456,312.8,1.1,1,2018-02-12,1841,Aqua,MODIS,56,6.03,299.4,5.7,D,0
25.1199,-78.1348,314.2,1.1,1,2018-02-12,1841,Aqua,MODIS,60,6.03,300.2,7.2,D,0
24.9034,-78.1155,310.3,1.4,1.2,2018-02-13,1613,Terra,MODIS,33,6.03,297.9,8,D,0
26.4515,-77.0791,315.2,1.2,1.1,2018-02-14,0311,Terra,MODIS,87,6.03,279.6,18.6,N,0
24.8899,-78.1189,319.5,1,1,2018-02-14,1829,Aqua,MODIS,59,6.03,297.1,12.6,D,0
26.4514,-77.0811,313.5,1,1,2018-02-14,1829,Aqua,MODIS,58,6.03,300.2,7.2,D,0
25.0782,-78.0324,321.7,1,1,2018-02-14,1829,Aqua,MODIS,74,6.03,299,15,D,0
24.8969,-78.1478,315.1,2.1,1.4,2018-02-17,1859,Aqua,MODIS,58,6.03,297.6,23.4,D,0
26.508,-78.6804,328.6,1,1,2018-02-21,1835,Aqua,MODIS,58,6.03,303.3,17.8,D,0
26.5066,-78.6903,320.5,1,1,2018-02-21,1835,Aqua,MODIS,55,6.03,302.7,9.1,D,2
25.1082,-78.1221,315.5,1.6,1.3,2018-02-26,1853,Aqua,MODIS,60,6.03,299.2,14.7,D,0
25.1036,-78.1245,313,2.2,1.4,2018-02-27,1626,Terra,MODIS,56,6.03,296.4,20.8,D,0
25.1003,-78.1099,312.1,2.2,1.4,2018-02-27,1626,Terra,MODIS,53,6.03,296.8,19.5,D,0
25.0995,-78.1344,312.2,2.9,1.6,2018-02-27,1758,Aqua,MODIS,53,6.03,296.6,28.7,D,0
25.1069,-78.1326,323.7,1.1,1,2018-02-28,1841,Aqua,MODIS,77,6.03,302.5,15.2,D,0
25.0962,-78.1418,317.8,1.1,1,2018-02-28,1841,Aqua,MODIS,30,6.03,300.1,7.7,D,0
25.0976,-78.1311,326.7,1.1,1,2018-02-28,1841,Aqua,MODIS,80,6.03,301.4,18,D,0
26.5962,-78.4997,310.8,1.2,1.1,2018-03-01,1613,Terra,MODIS,42,6.03,294.5,6.6,D,0
25.1119,-78.1262,321.7,1.4,1.2,2018-03-01,1613,Terra,MODIS,65,6.03,301.1,19.3,D,0
26.5941,-78.4877,311.1,1.2,1.1,2018-03-01,1613,Terra,MODIS,44,6.03,295.9,7,D,0
26.5863,-78.4935,327.7,1,1,2018-03-02,1829,Aqua,MODIS,58,6.03,297.3,22.8,D,0
26.5878,-78.4833,333.1,1,1,2018-03-02,1829,Aqua,MODIS,0,6.03,295.4,29.8,D,0
25.1089,-78.1339,312.5,1,1,2018-03-02,1829,Aqua,MODIS,35,6.03,296.5,6.1,D,0
26.582,-78.4983,340.5,1,1,2018-03-03,1601,Terra,MODIS,64,6.03,300,34.6,D,0
24.9614,-78.0324,319.2,1,1,2018-03-03,1601,Terra,MODIS,71,6.03,302.5,12.1,D,0
24.963,-78.0423,312.3,1,1,2018-03-03,1601,Terra,MODIS,54,6.03,301.4,6,D,0
26.5924,-78.5067,318.5,1,1,2018-03-03,1601,Terra,MODIS,59,6.03,299.7,9.9,D,0
25.1156,-78.1349,316.4,1,1,2018-03-03,1601,Terra,MODIS,35,6.03,301.5,7.5,D,0
25.1141,-78.125,323.2,1,1,2018-03-03,1601,Terra,MODIS,76,6.03,302.4,14.4,D,0
25.1011,-78.146,310.3,3.5,1.8,2018-03-03,1912,Aqua,MODIS,25,6.03,297.1,33.6,D,0
25.1052,-78.1426,318.1,1.4,1.2,2018-03-04,1817,Aqua,MODIS,65,6.03,295.2,18.9,D,0
26.5895,-78.5119,327,1.2,1.1,2018-03-05,1549,Terra,MODIS,76,6.03,296,24.9,D,0
25.1227,-78.0457,312.8,2.8,1.6,2018-03-06,1632,Terra,MODIS,53,6.03,295.3,38.8,D,0
25.119,-78.0651,330.3,2.2,1.4,2018-03-06,1804,Aqua,MODIS,83,6.03,298.6,82.7,D,0
25.1232,-78.0436,312.2,2.2,1.4,2018-03-06,1804,Aqua,MODIS,53,6.03,297.4,23.9,D,0
25.1209,-78.0609,333.8,2.2,1.4,2018-03-06,1804,Aqua,MODIS,86,6.03,298.7,95.6,D,0
26.6289,-78.2757,334.8,1,1,2018-03-07,0329,Terra,MODIS,100,6.03,291.4,36.8,N,0
25.1231,-78.0517,317.9,1.3,1.1,2018-03-07,1847,Aqua,MODIS,61,6.03,287.3,16.1,D,0
26.6546,-78.1071,315.7,1,1,2018-03-09,1835,Aqua,MODIS,49,6.03,301.4,8.5,D,0
26.631,-78.2783,318.2,1,1,2018-03-09,1835,Aqua,MODIS,52,6.03,301.6,10.1,D,0
26.6604,-78.1022,311.9,1.1,1,2018-03-10,1607,Terra,MODIS,45,6.03,299.6,6.8,D,0
26.566,-78.5481,318.4,1.1,1,2018-03-10,1607,Terra,MODIS,53,6.03,295.6,11.6,D,0
26.6363,-78.2899,349.2,1.1,1,2018-03-10,1607,Terra,MODIS,82,6.03,299.9,61.5,D,0
26.6346,-78.2793,333.6,1.1,1,2018-03-10,1607,Terra,MODIS,65,6.03,301,31.6,D,0
26.6265,-78.3047,317.5,1.1,1.1,2018-03-16,1842,Aqua,MODIS,51,6.03,302.5,9.1,D,0
24.7166,-76.2064,318.6,1.1,1.1,2018-03-20,1816,Aqua,MODIS,0,6.03,297.1,13.9,D,0
26.5211,-78.7326,312.5,1,1,2018-03-23,0329,Terra,MODIS,79,6.03,281.9,13.7,N,0
26.7227,-77.3625,331.2,1.6,1.2,2018-03-23,1536,Terra,MODIS,55,6.03,296.9,49.1,D,0
26.7141,-77.3736,330.5,1.6,1.2,2018-03-23,1536,Terra,MODIS,72,6.03,295.3,47.8,D,0
26.7251,-77.3721,315.5,1.6,1.2,2018-03-23,1536,Terra,MODIS,48,6.03,296.3,18.8,D,0
26.7234,-77.3564,340.4,1.6,1.2,2018-03-23,1536,Terra,MODIS,0,6.03,296.1,78,D,0
26.509,-78.7247,319.3,1.3,1.1,2018-03-23,1848,Aqua,MODIS,67,6.03,302.5,11,D,0
26.5101,-78.7193,336.2,1.3,1.1,2018-03-23,1848,Aqua,MODIS,66,6.03,302.1,37.6,D,0
26.7031,-77.3857,318.7,1.5,1.2,2018-03-23,1848,Aqua,MODIS,0,6.03,294.1,17.8,D,0
26.5189,-78.7262,350.9,1.3,1.1,2018-03-23,1848,Aqua,MODIS,96,6.03,307.5,76.6,D,0
26.5204,-78.7137,342.6,1.3,1.1,2018-03-23,1848,Aqua,MODIS,91,6.03,304.2,53.3,D,0
26.5104,-78.7122,314.9,1.3,1.1,2018-03-23,1848,Aqua,MODIS,53,6.03,300.8,4.6,D,0
26.5678,-78.6533,332.7,1.2,1.1,2018-03-24,0655,Aqua,MODIS,100,6.03,288.5,45.2,N,0
26.5693,-78.6653,354.5,1.2,1.1,2018-03-24,0655,Aqua,MODIS,100,6.03,289.8,98.3,N,0
26.7192,-77.3924,329.5,1.8,1.3,2018-03-24,1619,Terra,MODIS,47,6.03,295.6,50.4,D,0
26.7148,-77.3877,339,1.8,1.3,2018-03-24,1619,Terra,MODIS,78,6.03,295.6,82.7,D,0
26.7263,-77.385,322.7,1.8,1.3,2018-03-24,1619,Terra,MODIS,60,6.03,295.7,36.7,D,0
26.5667,-78.6615,316,1.5,1.2,2018-03-24,1619,Terra,MODIS,48,6.03,298.4,14.3,D,0
26.5586,-78.6784,315,1.5,1.2,2018-03-24,1619,Terra,MODIS,49,6.03,297,12,D,0
26.556,-78.6639,312.3,1.5,1.2,2018-03-24,1619,Terra,MODIS,30,6.03,297.7,8.2,D,0
26.6944,-77.3963,319.5,1.1,1,2018-03-25,1835,Aqua,MODIS,0,6.03,304.1,9.1,D,0
24.9698,-78.0354,323.3,1.1,1.1,2018-03-26,1608,Terra,MODIS,76,6.03,300.2,18.5,D,0
24.97,-78.0394,318.6,1.1,1.1,2018-03-27,1823,Aqua,MODIS,70,6.03,295.1,14.6,D,0
24.9682,-78.0505,322.6,1.1,1.1,2018-03-27,1823,Aqua,MODIS,75,6.03,293,19.3,D,0
26.2915,-77.1337,315.9,1,1,2018-03-28,1555,Terra,MODIS,65,6.03,298.8,8.6,D,0
26.3004,-77.1321,327.5,1,1,2018-03-28,1555,Terra,MODIS,81,6.03,300.1,20.3,D,0
24.9151,-77.9784,306.6,1.2,1.1,2018-03-29,0714,Aqua,MODIS,47,6.03,291.6,9.3,N,0
24.9161,-77.9787,313.5,1.7,1.3,2018-03-29,1810,Aqua,MODIS,51,6.03,298.7,15.8,D,0
26.5589,-78.5651,315.7,1.5,1.2,2018-03-30,1543,Terra,MODIS,49,6.03,300.7,9.4,D,0
26.5781,-78.6378,315.7,1.5,1.2,2018-03-30,1543,Terra,MODIS,42,6.03,299.4,11.3,D,0
26.5038,-78.727,329.5,1.2,1.1,2018-04-02,1613,Terra,MODIS,0,6.03,302.7,22.8,D,0
24.9768,-78.0516,324.1,1.4,1.2,2018-04-02,1614,Terra,MODIS,77,6.03,296.4,26.5,D,0
24.9791,-78.0709,305.9,1.4,1.2,2018-04-03,0311,Terra,MODIS,38,6.03,292.4,10.8,N,0
26.5356,-77.1172,309,1.2,1.1,2018-04-03,0311,Terra,MODIS,64,6.03,291.8,11.2,N,0
23.637,-75.9669,319.6,1,1,2018-04-03,1828,Aqua,MODIS,62,6.03,299.7,10.4,D,0
26.454,-77.0781,313.4,1,1,2018-04-03,1829,Aqua,MODIS,58,6.03,299.8,4.4,D,0
26.5318,-77.1189,345.4,1,1,2018-04-03,1829,Aqua,MODIS,81,6.03,305.2,44.9,D,0
26.5407,-77.1205,351.6,1,1,2018-04-03,1829,Aqua,MODIS,73,6.03,304.4,57.3,D,0
26.5404,-77.1197,315.5,1.8,1.3,2018-04-07,1805,Aqua,MODIS,0,6.03,300.5,17.3,D,0
26.7304,-77.419,331.5,1.9,1.3,2018-04-07,1805,Aqua,MODIS,73,6.03,299.2,63,D,0
