latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1753,3.8092,306.6,1,1,2018-01-04,2131,Terra,MODIS,69,6.03,278.7,11.3,N,2
51.1702,3.8053,308.6,1.1,1,2018-01-18,2144,Terra,MODIS,75,6.03,276.3,15.2,N,2
51.1685,3.8115,304.3,1.3,1.1,2018-01-19,1116,Terra,MODIS,44,6.03,277.9,13.1,D,2
51.1719,3.8095,304.3,1,1,2018-01-23,1051,Terra,MODIS,44,6.03,276.1,10,D,2
51.1759,3.8092,303.5,1,1,2018-01-26,0157,Aqua,MODIS,56,6.03,273.5,10.1,N,2
51.1659,3.8153,300.6,1,1,2018-01-29,2125,Terra,MODIS,31,6.03,275.3,9.2,N,2
51.1777,3.8243,300,1.6,1.2,2018-01-30,0132,Aqua,MODIS,10,6.03,275.3,15.7,N,2
51.1666,3.822,302.5,1.6,1.2,2018-01-30,0132,Aqua,MODIS,49,6.03,274.4,18.3,N,2
51.1727,3.8082,302.6,1,1,2018-01-30,1057,Terra,MODIS,40,6.03,276.1,8,D,2
51.1706,3.8222,327.3,1,1,2018-01-30,1057,Terra,MODIS,85,6.03,276.3,29.1,D,2
51.1688,3.8179,309,1,1,2018-01-30,1243,Aqua,MODIS,59,6.03,275.4,12.3,D,2
51.1729,3.8108,303.6,1.3,1.1,2018-01-31,2113,Terra,MODIS,56,6.03,275.7,14.3,N,2
51.1632,3.8156,301.5,1.3,1.1,2018-01-31,2113,Terra,MODIS,41,6.03,274.8,12.6,N,2
51.1641,3.8022,301.2,1,1,2018-02-01,1231,Aqua,MODIS,34,6.03,277.3,8.3,D,2
51.1687,3.8156,314.3,1.1,1,2018-02-03,2144,Terra,MODIS,89,6.03,272,20.1,N,2
51.1683,3.8124,308.9,1.4,1.2,2018-02-04,1302,Aqua,MODIS,0,6.03,276.6,18.3,D,2
51.1719,3.81,301.2,1.7,1.3,2018-02-05,0234,Aqua,MODIS,39,6.03,272.2,20.9,N,2
51.1668,3.8333,307,1.7,1.3,2018-02-05,0234,Aqua,MODIS,70,6.03,271.7,28.9,N,2
51.1711,3.8133,312.6,1.9,1.3,2018-02-05,1020,Terra,MODIS,63,6.03,275.7,41.9,D,2
51.1723,3.8116,314.9,1,1,2018-02-05,2131,Terra,MODIS,90,6.03,273.3,19,N,2
51.1676,3.8139,308.8,2.2,1.4,2018-02-06,2214,Terra,MODIS,75,6.03,269.4,47.2,N,2
51.1633,3.8028,304.3,2.4,1.5,2018-02-07,1155,Aqua,MODIS,51,6.03,275.4,37.4,D,2
51.1687,3.8042,308.5,1,1,2018-02-08,1051,Terra,MODIS,0,6.03,276.8,12.3,D,2
51.1631,3.8128,308.9,1,1,2018-02-08,1237,Aqua,MODIS,62,6.03,277.2,11.3,D,2
51.169,3.8075,304.6,1.2,1.1,2018-02-10,1039,Terra,MODIS,52,6.03,279.2,12.5,D,2
51.1736,3.8083,303,1.1,1.1,2018-02-10,1225,Aqua,MODIS,41,6.03,281.8,9.6,D,2
51.1687,3.8075,306.7,1,1,2018-02-12,2138,Terra,MODIS,69,6.03,267.6,13.3,N,2
51.1706,3.8086,301.4,1.2,1.1,2018-02-13,0145,Aqua,MODIS,41,6.03,273.6,12.1,N,2
51.1746,3.8084,312.4,1.1,1.1,2018-02-16,0215,Aqua,MODIS,85,6.03,276,19.6,N,2
51.1717,3.824,304.7,1.1,1.1,2018-02-16,0215,Aqua,MODIS,61,6.03,274.7,13.4,N,2
51.1633,3.8043,302.3,2.7,1.6,2018-02-16,1327,Aqua,MODIS,0,6.03,281,33.7,D,2
51.1624,3.8024,306.1,1,1,2018-02-17,1231,Aqua,MODIS,0,6.03,282.4,9.5,D,2
51.1648,3.8169,313.8,1,1,2018-02-17,1231,Aqua,MODIS,70,6.03,283.1,15.6,D,2
51.1721,3.8208,303.8,1.3,1.1,2018-02-17,2156,Terra,MODIS,57,6.03,271.9,16.9,N,2
51.164,3.8087,310.4,1.3,1.1,2018-02-17,2156,Terra,MODIS,80,6.03,272.5,22.7,N,2
51.1699,3.8195,304.6,1,1,2018-02-18,0203,Aqua,MODIS,61,6.03,272.5,11.3,N,2
51.1726,3.828,302.5,1.4,1.2,2018-02-22,0139,Aqua,MODIS,49,6.03,271,16.3,N,2
51.1672,3.8216,336.8,1,1,2018-02-22,1103,Terra,MODIS,90,6.03,278.9,44.5,D,2
51.1696,3.8071,310.5,1,1,2018-02-22,1103,Terra,MODIS,53,6.03,279.3,14.1,D,2
51.168,3.8266,300.3,1.1,1,2018-02-22,1250,Aqua,MODIS,34,6.03,279.1,7.3,D,2
51.1661,3.8114,316.5,1.1,1,2018-02-22,1250,Aqua,MODIS,67,6.03,281.7,19.5,D,2
51.1613,3.8185,310.7,1.1,1,2018-02-22,1250,Aqua,MODIS,33,6.03,280.3,13,D,2
51.1663,3.8118,319.8,1,1,2018-02-24,1051,Terra,MODIS,60,6.03,277.7,22.2,D,2
51.1756,3.8068,305.3,1,1,2018-02-24,1051,Terra,MODIS,34,6.03,279,9.1,D,2
51.1707,3.8097,308.5,1,1,2018-02-24,1237,Aqua,MODIS,51,6.03,280.2,11.3,D,2
51.1677,3.814,308.9,1.6,1.2,2018-02-24,2202,Terra,MODIS,76,6.03,271.2,28.4,N,2
51.1676,3.8205,300.2,1.6,1.2,2018-02-24,2202,Terra,MODIS,22,6.03,270.6,16.6,N,2
51.1669,3.8177,329.6,1,1,2018-02-25,0209,Aqua,MODIS,100,6.03,270.1,36,N,2
