latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.7994,16.1566,300.5,2.8,1.6,2018-01-30,1241,Aqua,MODIS,36,6.03,286.3,25.9,D,0
44.7429,16.1943,300.3,2.9,1.6,2018-01-30,1241,Aqua,MODIS,33,6.03,285,27.7,D,0
44.7424,16.199,302.5,2.9,1.6,2018-01-30,1241,Aqua,MODIS,53,6.03,285.3,33.4,D,0
44.2424,16.3514,301.2,2.9,1.6,2018-01-30,1241,Aqua,MODIS,33,6.03,286.6,27.3,D,0
45.1324,16.6013,304.1,1.1,1,2018-01-31,1146,Aqua,MODIS,29,6.03,279.5,8.2,D,0
44.2214,17.9031,302.7,1.1,1.1,2018-03-10,2034,Terra,MODIS,51,6.03,278.1,11.1,N,2
44.2115,17.7235,303,1.3,1.1,2018-03-11,1010,Terra,MODIS,54,6.03,288.8,5.5,D,0
44.4338,17.5979,300.4,1.3,1.1,2018-03-11,1010,Terra,MODIS,34,6.03,288.4,6.6,D,0
44.2204,17.8987,302.9,1.3,1.1,2018-03-11,1010,Terra,MODIS,54,6.03,289.4,5.6,D,2
44.1894,19.3554,308.5,1,1,2018-03-11,1152,Aqua,MODIS,67,6.03,289.6,6.8,D,0
43.8682,19.2907,306.7,1,1,2018-03-11,1152,Aqua,MODIS,57,6.03,292,6.1,D,0
43.1647,17.9576,305.1,1,1,2018-03-11,1152,Aqua,MODIS,61,6.03,277.7,7.3,D,0
44.5207,18.4048,310.6,3.6,1.8,2018-03-12,1058,Aqua,MODIS,37,6.03,288.5,63.3,D,0
44.4025,18.8237,305,1.1,1,2018-03-13,1140,Aqua,MODIS,55,6.03,286.9,7,D,0
44.2205,17.9135,302.6,1,1,2018-03-18,0051,Aqua,MODIS,50,6.03,276.4,10.2,N,2
44.2149,17.8965,302.5,1.1,1.1,2018-03-25,1205,Aqua,MODIS,49,6.03,289.5,6.4,D,2
44.3242,19.0169,310.4,1.1,1.1,2018-04-03,1159,Aqua,MODIS,69,6.03,295.6,6.2,D,0
44.2407,18.1147,304.3,1,1,2018-04-03,1159,Aqua,MODIS,56,6.03,288.7,5.8,D,0
44.8044,16.1565,333,1.3,1.1,2018-04-08,1217,Aqua,MODIS,87,6.03,301.7,41.8,D,0
44.7992,16.4234,310.6,1.3,1.1,2018-04-09,0939,Terra,MODIS,64,6.03,289.1,9.6,D,0
44.8148,18.0592,311.6,1.1,1.1,2018-04-09,0939,Terra,MODIS,66,6.03,296.2,7.2,D,0
45.0005,16.4414,305.2,1.3,1.1,2018-04-09,0939,Terra,MODIS,36,6.03,288.7,7,D,0
43.8431,19.3127,313.6,1,1,2018-04-09,0940,Terra,MODIS,71,6.03,294.7,10.2,D,0
44.4055,18.7286,307.7,1.6,1.3,2018-04-09,1122,Aqua,MODIS,57,6.03,295.8,8.1,D,0
44.7519,16.2088,302.9,1.9,1.3,2018-04-11,0927,Terra,MODIS,51,6.03,286.5,13.6,D,0
44.7538,16.1849,301.7,1.9,1.3,2018-04-11,0927,Terra,MODIS,49,6.03,283.7,11.5,D,0
44.4367,18.9945,313.9,1,1,2018-04-12,1152,Aqua,MODIS,66,6.03,294.7,7.5,D,0
44.384,18.6089,307.6,1.1,1,2018-04-14,0958,Terra,MODIS,53,6.03,291,6.5,D,0
44.9463,17.2149,308.1,1,1,2018-04-14,0958,Terra,MODIS,61,6.03,293.4,5.9,D,0
44.3773,18.9625,303.5,1,1,2018-04-14,1140,Aqua,MODIS,20,6.03,283.1,3.4,D,0
43.8401,16.8978,308.9,1.5,1.2,2018-04-19,1017,Terra,MODIS,31,6.03,295.6,8.8,D,0
43.8297,16.8938,316.7,1.5,1.2,2018-04-19,1017,Terra,MODIS,75,6.03,296.4,19.7,D,0
43.8336,16.8875,312.7,1,1,2018-04-19,1159,Aqua,MODIS,68,6.03,300.1,7.1,D,0
43.9756,16.6483,323.1,2,1.4,2018-04-22,1229,Aqua,MODIS,76,6.03,299.8,45.3,D,0
44.1769,17.4847,307.9,1,1,2018-04-23,0952,Terra,MODIS,46,6.03,295,5.4,D,0
44.5507,18.5078,312.8,1,1,2018-04-23,0952,Terra,MODIS,52,6.03,301.6,5.4,D,2
43.9524,16.6688,312.1,1,1,2018-04-23,0952,Terra,MODIS,46,6.03,298.8,6.5,D,0
44.759,16.1715,311.1,1,1,2018-04-23,0952,Terra,MODIS,45,6.03,299.2,7,D,0
43.9528,16.6602,314.4,1.5,1.2,2018-04-23,1134,Aqua,MODIS,56,6.03,302,13.9,D,0
43.8404,17.0426,314.4,1.4,1.2,2018-04-23,1134,Aqua,MODIS,69,6.03,301.4,8.6,D,0
43.9453,16.7094,313.3,2.5,1.5,2018-04-24,1035,Terra,MODIS,50,6.03,295,30.1,D,0
43.9446,16.698,319.3,1.4,1.2,2018-04-24,1217,Aqua,MODIS,33,6.03,294.7,16.2,D,0
43.9394,16.7045,323.5,1.4,1.2,2018-04-24,1217,Aqua,MODIS,54,6.03,294.8,22.9,D,0
44.7219,17.9678,318.2,1,1,2018-04-28,1152,Aqua,MODIS,68,6.03,300.6,9.9,D,0
43.5714,18.7107,311.1,1.1,1.1,2018-04-30,0958,Terra,MODIS,43,6.03,291.8,9.7,D,0
43.5656,18.7144,311.9,1.4,1.2,2018-05-02,1128,Aqua,MODIS,29,6.03,287.1,17,D,0
44.5518,18.5026,311.2,1,1,2018-05-25,0952,Terra,MODIS,53,6.03,295.6,5.1,D,2
44.5477,18.5104,314.4,1.1,1,2018-05-27,0940,Terra,MODIS,51,6.03,298.5,7,D,2
45.1284,17.9844,316.9,1,1,2018-06-01,0958,Terra,MODIS,28,6.03,302.8,8.2,D,2
44.7571,17.8124,305.1,2.3,1.5,2018-06-04,1029,Terra,MODIS,53,6.03,285.6,13.3,D,0
43.1938,17.8772,324.2,1,1,2018-06-06,1158,Aqua,MODIS,77,6.03,302.7,13.7,D,0
44.2136,17.9118,305.8,1.9,1.4,2018-07-04,1223,Aqua,MODIS,20,6.03,288.4,10.9,D,2
44.2212,17.9043,316.5,1.6,1.2,2018-07-13,1217,Aqua,MODIS,61,6.03,298,17.7,D,2
44.8668,19.302,315.5,1,1,2018-07-14,0940,Terra,MODIS,66,6.03,298.9,7,D,0
44.4453,18.1476,309.8,1.1,1,2018-07-19,1140,Aqua,MODIS,56,6.03,296.5,6.4,D,2
45.1562,15.8222,310.9,1,1,2018-07-26,1005,Terra,MODIS,44,6.03,295.1,5.4,D,0
44.9551,15.8097,312.1,1.3,1.1,2018-08-09,1017,Terra,MODIS,58,6.03,299.3,6.7,D,0
43.1482,17.7509,322.3,2.3,1.5,2018-08-12,1229,Aqua,MODIS,54,6.03,300.5,31.7,D,0
43.15,17.7781,322.6,2.3,1.5,2018-08-12,1229,Aqua,MODIS,61,6.03,302.5,34.4,D,0
44.4474,18.152,317.5,1,1,2018-08-13,0952,Terra,MODIS,72,6.03,303,9.4,D,2
44.7977,18.1329,316.6,1.2,1.1,2018-08-13,1134,Aqua,MODIS,66,6.03,301.7,11,D,0
44.7977,18.1382,315.7,1.2,1.1,2018-08-13,1134,Aqua,MODIS,64,6.03,301.8,10.3,D,0
43.8115,16.9231,321.1,1.3,1.1,2018-08-18,1011,Terra,MODIS,51,6.03,303.4,14.7,D,0
43.8086,16.9384,323.4,1.3,1.1,2018-08-18,1011,Terra,MODIS,60,6.03,304.2,18.3,D,0
42.6728,18.1628,309.2,1.3,1.1,2018-08-20,2105,Terra,MODIS,77,6.03,292.7,12.1,N,0
42.6626,18.1787,304.3,1.5,1.2,2018-08-21,0116,Aqua,MODIS,51,6.03,292.5,8.5,N,0
42.6656,18.1769,316.8,4.1,1.9,2018-08-21,1042,Terra,MODIS,67,6.03,296.3,67.3,D,0
42.6698,18.1837,315.7,4.1,1.9,2018-08-21,1042,Terra,MODIS,64,6.03,295.6,66.3,D,0
42.6679,18.1641,332.7,1.9,1.4,2018-08-21,1223,Aqua,MODIS,86,6.03,298.5,69.2,D,0
42.6786,18.156,303,2.3,1.5,2018-08-21,2010,Terra,MODIS,53,6.03,291.8,14.6,N,0
42.6746,18.1518,302.6,2.3,1.5,2018-08-21,2010,Terra,MODIS,48,6.03,291.8,12.4,N,0
42.6835,18.1684,326.2,1,1,2018-08-22,0947,Terra,MODIS,78,6.03,303.6,14.7,D,0
42.6853,18.1563,322.2,1,1,2018-08-22,0947,Terra,MODIS,70,6.03,304,10.2,D,0
42.6805,18.1681,318.4,1.6,1.2,2018-08-22,1128,Aqua,MODIS,75,6.03,299.2,18.5,D,0
42.6806,18.1604,318.5,1.6,1.2,2018-08-22,1128,Aqua,MODIS,75,6.03,299.5,18.1,D,0
42.6873,18.1739,307.4,1.1,1.1,2018-08-23,0104,Aqua,MODIS,71,6.03,292.6,8.4,N,0
42.6938,18.1774,312.1,2.8,1.6,2018-08-23,1029,Terra,MODIS,28,6.03,297.3,22.5,D,0
42.685,18.1618,326,1.3,1.1,2018-08-23,1210,Aqua,MODIS,78,6.03,303.6,20.5,D,0
42.6953,18.1607,335.7,1.3,1.1,2018-08-23,1210,Aqua,MODIS,88,6.03,304.1,40.4,D,0
42.748,18.2579,308.8,1,1,2018-08-24,2041,Terra,MODIS,15,6.03,289.9,8.4,N,0
42.7417,18.2787,302.1,1,1,2018-08-25,0052,Aqua,MODIS,43,6.03,287.9,5.8,N,0
42.7468,18.2569,320.7,1.9,1.3,2018-08-25,1017,Terra,MODIS,63,6.03,290.5,32.5,D,0
42.7318,18.2778,335.3,1,1,2018-08-25,1158,Aqua,MODIS,88,6.03,302.7,28,D,0
42.7408,18.2754,329.2,1,1,2018-08-25,1158,Aqua,MODIS,76,6.03,299.7,20.3,D,0
42.7467,18.2487,323.2,1,1,2018-08-25,1158,Aqua,MODIS,69,6.03,302.5,13.4,D,0
42.7302,18.2658,326.7,1,1,2018-08-25,1158,Aqua,MODIS,56,6.03,305.1,15.9,D,0
44.2212,17.9038,312.8,1,1,2018-08-29,0952,Terra,MODIS,57,6.03,298.7,7.1,D,2
44.7101,19.2374,305.3,1,1,2018-09-14,0952,Terra,MODIS,45,6.03,280.8,3.9,D,0
43.1161,17.6863,319.8,1,1,2018-09-14,0953,Terra,MODIS,76,6.03,301.3,9.8,D,0
44.5536,18.5077,311.4,1.1,1,2018-09-16,0940,Terra,MODIS,66,6.03,298.2,6.4,D,2
45.1403,17.301,313.1,1.2,1.1,2018-09-16,0940,Terra,MODIS,68,6.03,296.9,8.2,D,0
44.713,19.0947,309.7,1.5,1.2,2018-09-19,1010,Terra,MODIS,57,6.03,297.1,8.4,D,0
43.4019,17.2932,313.2,1.3,1.1,2018-09-19,1011,Terra,MODIS,60,6.03,299.9,7.2,D,0
43.2327,17.6799,322.3,1.4,1.2,2018-09-19,1011,Terra,MODIS,78,6.03,301.9,20.5,D,0
44.6759,18.529,309.2,1.4,1.2,2018-09-19,1011,Terra,MODIS,57,6.03,296.5,7.8,D,0
44.8339,17.7911,313.1,1,1,2018-09-19,1152,Aqua,MODIS,64,6.03,299.3,5.7,D,0
43.2219,17.4673,313.2,2.7,1.6,2018-09-20,1235,Aqua,MODIS,47,6.03,290.7,35.7,D,0
44.9327,16.7014,303.3,1.1,1,2018-09-23,0946,Terra,MODIS,52,6.03,291.4,4,D,0
