latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.5869,114.041,325.1,1.1,1,2018-03-12,0250,Terra,MODIS,0,6.03,297.5,16.4,D,0
4.5766,114.2176,312.3,2.2,1.4,2018-03-23,0531,Aqua,MODIS,38,6.03,293.1,17.7,D,2
4.8899,114.7986,312.1,1,1,2018-03-28,0549,Aqua,MODIS,50,6.03,291.8,5.9,D,0
4.8936,114.8021,316.3,1,1,2018-04-29,0549,Aqua,MODIS,49,6.03,297.9,8,D,0
4.5788,114.207,315.4,1.7,1.3,2018-05-01,0537,Aqua,MODIS,23,6.03,299.3,14.2,D,2
4.6352,114.4184,314.1,1,1,2018-05-22,0555,Aqua,MODIS,25,6.03,297.4,5.9,D,0
4.8127,114.6516,320.1,1.7,1.3,2018-07-30,0614,Aqua,MODIS,0,6.03,295.6,23.2,D,0
4.6078,114.3365,313.5,1.6,1.3,2018-09-06,0537,Aqua,MODIS,45,6.03,293.7,12.2,D,2
4.853,114.7136,319.1,1.1,1,2018-09-18,0601,Aqua,MODIS,45,6.03,288.6,11.4,D,2
4.8436,114.715,318.8,1.1,1,2018-09-18,0601,Aqua,MODIS,44,6.03,288.2,10.8,D,0
4.8517,114.7911,313.1,1.2,1.1,2018-09-29,0542,Aqua,MODIS,45,6.03,297.1,6.1,D,0
4.6657,114.4626,319.5,1.1,1,2018-10-04,0601,Aqua,MODIS,62,6.03,297.2,9.1,D,0
4.5833,114.1964,313.6,1.3,1.1,2018-10-27,0309,Terra,MODIS,55,6.03,295.9,10,D,2
4.5436,114.5868,315.6,1,1,2018-10-29,0256,Terra,MODIS,71,6.03,294.1,8.5,D,0
