latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.6693,18.6557,304,1.7,1.3,2018-01-05,1110,Aqua,MODIS,47,6.03,267.9,22.3,D,2
49.6707,18.6548,310.2,1.2,1.1,2018-01-13,1159,Aqua,MODIS,27,6.03,269,19,D,2
49.6796,18.6643,310.3,1,1,2018-01-15,1147,Aqua,MODIS,61,6.03,274.2,15,D,2
49.6778,18.6504,302.6,1,1,2018-01-15,1147,Aqua,MODIS,46,6.03,274,9.9,D,2
49.6779,18.661,307.4,1,1,2018-01-31,1002,Terra,MODIS,57,6.03,274.3,13.4,D,2
49.684,18.6752,316.5,1,1,2018-02-03,0108,Aqua,MODIS,91,6.03,269.3,21.3,N,2
50.5715,13.5968,301.8,1.1,1.1,2018-02-16,1148,Aqua,MODIS,40,6.03,279.7,9.6,D,2
50.5785,13.5852,312.5,1.2,1.1,2018-02-16,2113,Terra,MODIS,85,6.03,269.9,22.8,N,2
49.7036,13.2862,300.3,1,1,2018-02-21,1021,Terra,MODIS,32,6.03,274.5,8.5,D,0
49.7245,13.4716,309,1.1,1,2018-02-23,1154,Aqua,MODIS,68,6.03,274,14.2,D,0
50.5476,13.7588,301.5,1,1,2018-02-23,1154,Aqua,MODIS,47,6.03,276.2,8.2,D,0
49.7269,13.4859,310,1.1,1,2018-02-23,1154,Aqua,MODIS,69,6.03,273,15.1,D,0
49.6765,18.6637,312.3,1,1,2018-03-04,1148,Aqua,MODIS,68,6.03,275.4,16.5,D,2
49.8144,18.3203,303.3,1.1,1,2018-03-24,2048,Terra,MODIS,54,6.03,271.4,12.2,N,2
49.8145,18.3245,309.2,1,1,2018-03-25,0056,Aqua,MODIS,77,6.03,271.7,15.2,N,2
48.9369,14.6885,302.6,1,1,2018-04-03,1015,Terra,MODIS,51,6.03,288.2,4.7,D,0
49.6965,14.504,313.8,1,1,2018-04-03,1200,Aqua,MODIS,73,6.03,293.2,10.3,D,0
49.8118,18.315,310.5,1.2,1.1,2018-04-03,1200,Aqua,MODIS,66,6.03,292.9,9.3,D,2
48.9641,15.9208,300.2,1.3,1.1,2018-04-07,1135,Aqua,MODIS,26,6.03,285.2,4,D,0
50.0298,14.5291,306.4,1.4,1.2,2018-04-07,1136,Aqua,MODIS,56,6.03,294.6,5.6,D,2
49.8089,18.3127,309.8,1,1,2018-04-07,1136,Aqua,MODIS,55,6.03,296.5,6.1,D,2
49.6756,18.6632,312.9,1.2,1.1,2018-04-09,0938,Terra,MODIS,60,6.03,299.1,9,D,2
49.8097,18.3059,312,1.3,1.1,2018-04-09,1123,Aqua,MODIS,42,6.03,300.1,6.9,D,2
49.608,13.084,311.4,1,1,2018-04-10,1021,Terra,MODIS,70,6.03,292.8,8.8,D,0
49.464,13.512,303.3,1,1,2018-04-10,1021,Terra,MODIS,42,6.03,292.2,3.6,D,0
49.641,17.9363,306.4,1.1,1,2018-04-12,1009,Terra,MODIS,53,6.03,293.7,3.8,D,0
49.7598,16.4578,304.5,1,1,2018-04-12,1154,Aqua,MODIS,25,6.03,291.2,2.7,D,2
48.869,14.0866,300.5,2.3,1.5,2018-04-13,1052,Terra,MODIS,32,6.03,288.2,14.2,D,0
49.6796,18.6571,300.2,1.1,1.1,2018-04-13,2024,Terra,MODIS,21,6.03,284.5,7.9,N,2
50.2197,12.8817,302.1,1,1,2018-04-17,1213,Aqua,MODIS,0,6.03,286,4.5,D,2
49.7814,18.4304,305.3,1.4,1.2,2018-04-18,0932,Terra,MODIS,59,6.03,290.2,6.8,D,2
49.6785,18.6571,309.3,1.4,1.2,2018-04-18,0932,Terra,MODIS,67,6.03,294.6,9.5,D,2
49.8178,18.3156,304.6,1,1,2018-04-18,2042,Terra,MODIS,61,6.03,281.8,9.7,N,2
48.8038,16.3749,306.6,1,1,2018-04-18,2042,Terra,MODIS,69,6.03,282.4,11,N,0
50.0234,15.7863,313.9,1.1,1,2018-04-19,1015,Terra,MODIS,60,6.03,296.6,7.8,D,2
50.809,14.3709,306.4,1,1,2018-04-19,1015,Terra,MODIS,55,6.03,295.9,5,D,0
50.8069,14.3848,308,1,1,2018-04-19,1015,Terra,MODIS,60,6.03,295.4,5.9,D,0
50.4138,14.1896,314.6,1.1,1,2018-04-21,1148,Aqua,MODIS,53,6.03,299.9,7.2,D,0
49.745,13.0216,302,1,1,2018-04-26,1021,Terra,MODIS,44,6.03,285,4.6,D,0
49.5168,12.9343,300,1,1,2018-04-26,1206,Aqua,MODIS,14,6.03,286.6,2.7,D,2
49.6777,18.671,309.1,1.1,1,2018-05-02,0945,Terra,MODIS,43,6.03,290.4,6.9,D,2
49.6141,17.0706,307,1.2,1.1,2018-05-05,1015,Terra,MODIS,33,6.03,295.8,6.7,D,0
49.7375,13.0266,312.2,1,1,2018-05-05,1015,Terra,MODIS,63,6.03,294.4,8.3,D,0
49.674,18.6641,306.3,2,1.4,2018-05-06,1105,Aqua,MODIS,57,6.03,295.1,14.7,D,2
49.6798,18.6705,310.7,1.1,1,2018-05-07,1003,Terra,MODIS,56,6.03,299.7,6.6,D,2
49.3277,17.5688,310.9,1,1,2018-05-07,1003,Terra,MODIS,63,6.03,299.9,4.8,D,2
50.4131,14.1866,315.5,1.1,1,2018-05-07,1148,Aqua,MODIS,55,6.03,303.7,8.5,D,0
49.7857,14.1988,303.8,1.8,1.3,2018-05-08,1046,Terra,MODIS,8,6.03,291.2,7.8,D,0
49.5931,18.1591,304.5,1.5,1.2,2018-05-12,1021,Terra,MODIS,24,6.03,289.4,4.7,D,2
49.6771,18.6617,301.3,1,1,2018-05-13,2036,Terra,MODIS,40,6.03,284,6.8,N,2
49.677,18.6588,315.2,1.2,1.1,2018-05-14,1009,Terra,MODIS,65,6.03,296,12.7,D,2
49.6605,15.1176,305.6,1,1,2018-05-14,1154,Aqua,MODIS,33,6.03,292.8,3.3,D,0
50.1518,15.633,319.3,1,1,2018-05-21,1015,Terra,MODIS,77,6.03,297.5,15.1,D,0
49.6791,18.6695,311.1,1.1,1,2018-05-23,1003,Terra,MODIS,55,6.03,292.8,8.2,D,2
49.6761,18.6595,320.5,1,1,2018-05-25,0951,Terra,MODIS,80,6.03,298.6,14.6,D,2
49.6788,18.6567,305.1,1.1,1,2018-05-27,2049,Terra,MODIS,63,6.03,288.3,8.9,N,2
49.0695,16.6534,318.5,1.1,1,2018-06-01,1141,Aqua,MODIS,67,6.03,301.2,8.5,D,0
50.4362,13.9541,314.5,1.1,1.1,2018-06-04,1212,Aqua,MODIS,41,6.03,299.1,9.2,D,0
49.8115,18.3173,312.1,1.3,1.1,2018-06-06,1015,Terra,MODIS,27,6.03,298.8,8.8,D,2
49.9081,16.6027,311.5,1.1,1,2018-06-06,1200,Aqua,MODIS,18,6.03,297.1,5.7,D,2
49.8129,18.3193,319.2,1,1,2018-06-10,0951,Terra,MODIS,65,6.03,295.2,9.4,D,2
49.3602,17.3712,322.2,1.1,1.1,2018-06-10,1135,Aqua,MODIS,75,6.03,304.4,13.6,D,2
49.8208,18.3152,302.2,1,1,2018-06-11,0108,Aqua,MODIS,47,6.03,287,5.9,N,2
48.7948,16.0235,310.8,1,1,2018-06-15,1010,Terra,MODIS,54,6.03,293,5.9,D,0
49.4158,16.5091,308.4,1,1,2018-06-15,1010,Terra,MODIS,59,6.03,290.6,6.7,D,0
49.6747,18.6657,314,1,1,2018-06-17,0957,Terra,MODIS,43,6.03,294.8,6.6,D,2
49.6816,18.6647,301.4,1.3,1.1,2018-06-19,2055,Terra,MODIS,41,6.03,288.8,7.9,N,2
50.1005,14.9902,307.4,1,1,2018-07-01,1010,Terra,MODIS,57,6.03,295.1,4.6,D,0
49.4739,13.0732,308.4,1.1,1,2018-07-01,1154,Aqua,MODIS,49,6.03,293.3,5.6,D,0
49.982,13.4833,310.3,1.1,1,2018-07-01,1154,Aqua,MODIS,59,6.03,298.4,7.3,D,0
49.4089,16.4102,311.2,1.1,1,2018-07-03,1141,Aqua,MODIS,51,6.03,300.3,6.4,D,0
49.7562,16.4768,315.9,1.1,1,2018-07-03,1141,Aqua,MODIS,53,6.03,305,9,D,2
49.5995,17.2891,319.9,1,1,2018-07-03,1141,Aqua,MODIS,50,6.03,307.7,10,D,2
48.9696,16.5212,317.8,1.1,1,2018-07-03,1141,Aqua,MODIS,39,6.03,303.8,9.5,D,0
49.2132,15.9805,315.1,1.1,1,2018-07-03,1141,Aqua,MODIS,68,6.03,303.5,9,D,0
48.7343,16.9401,318.1,1.3,1.1,2018-07-05,1129,Aqua,MODIS,22,6.03,300.6,11.3,D,0
49.6805,18.6637,303.8,1,1,2018-07-07,2043,Terra,MODIS,57,6.03,287.7,7.9,N,2
49.7422,13.3902,319.5,1,1,2018-07-08,1016,Terra,MODIS,68,6.03,303.5,6.8,D,2
50.2044,14.9275,317.9,1.8,1.3,2018-07-14,1123,Aqua,MODIS,74,6.03,300.7,18.1,D,0
50.2093,14.9293,319,1.8,1.3,2018-07-14,1123,Aqua,MODIS,75,6.03,300.6,20.3,D,0
49.682,18.6759,303.6,1,1,2018-07-15,0056,Aqua,MODIS,56,6.03,285.3,7.8,N,2
49.6786,18.6613,318.5,1.1,1.1,2018-07-21,1129,Aqua,MODIS,60,6.03,304.8,11.5,D,2
49.6787,18.6548,301.2,1.3,1.1,2018-07-21,2055,Terra,MODIS,39,6.03,284.7,8.5,N,2
49.8125,18.3178,302.9,1,1,2018-07-23,2043,Terra,MODIS,52,6.03,289.1,5.5,N,2
49.7461,13.3909,318.5,1,1,2018-07-24,1016,Terra,MODIS,47,6.03,302.8,4.5,D,2
50.4161,14.1932,325.4,1,1,2018-07-24,1016,Terra,MODIS,36,6.03,310.3,7.6,D,0
49.7163,15.0306,301.5,1.3,1.1,2018-07-25,2031,Terra,MODIS,41,6.03,288.2,7.7,N,0
49.8202,18.3187,309,1.3,1.1,2018-07-27,0120,Aqua,MODIS,76,6.03,286.8,14.3,N,2
49.6797,18.665,316.3,1,1,2018-07-28,1136,Aqua,MODIS,27,6.03,301.5,7.7,D,2
49.6797,18.6625,312.4,2.2,1.4,2018-07-29,1034,Terra,MODIS,61,6.03,296.4,18.5,D,2
49.68,18.6608,308,1.1,1.1,2018-07-30,2049,Terra,MODIS,73,6.03,290.6,10.1,N,2
49.8132,18.3139,302.2,1.1,1,2018-07-30,2049,Terra,MODIS,48,6.03,290.4,5.1,N,2
49.3635,14.1451,325,2.7,1.6,2018-08-01,0927,Terra,MODIS,76,6.03,300.7,60.5,D,0
49.815,18.3103,306,1,1,2018-08-01,2037,Terra,MODIS,60,6.03,291.9,6.6,N,2
49.6797,18.6565,307.3,1,1,2018-08-01,2037,Terra,MODIS,71,6.03,291.7,7.8,N,2
49.6817,18.6701,302.8,1,1,2018-08-01,2037,Terra,MODIS,51,6.03,291,5.1,N,2
49.8216,18.3233,300.3,1.2,1.1,2018-08-02,0044,Aqua,MODIS,24,6.03,289.6,5.1,N,2
49.6784,18.6578,321.1,1.1,1.1,2018-08-02,1154,Aqua,MODIS,39,6.03,305.4,12.5,D,2
49.6765,18.664,314.5,2.4,1.5,2018-08-03,1059,Aqua,MODIS,60,6.03,301,26,D,2
49.6685,15.2879,301.5,1.5,1.2,2018-08-03,2025,Terra,MODIS,42,6.03,290.6,6.6,N,0
49.5962,18.1576,319.5,1,1,2018-08-04,0957,Terra,MODIS,54,6.03,306,9.6,D,2
49.8187,18.3207,300.6,1.1,1.1,2018-08-05,0115,Aqua,MODIS,31,6.03,289.7,4.8,N,2
49.8102,18.3193,319.2,1.1,1,2018-08-06,0945,Terra,MODIS,59,6.03,301.8,10.5,D,2
49.6769,18.6708,304.6,1.1,1,2018-08-09,0050,Aqua,MODIS,61,6.03,290,6.7,N,2
48.6658,14.441,309.7,1.1,1.1,2018-08-11,1148,Aqua,MODIS,63,6.03,289.4,8.3,D,0
49.6768,18.6603,319.3,1,1,2018-08-13,1136,Aqua,MODIS,62,6.03,305.7,9.9,D,2
49.6763,18.6568,301.4,1.1,1.1,2018-08-15,2049,Terra,MODIS,41,6.03,286.9,7,N,2
49.7442,13.0308,319.9,1,1,2018-08-16,1022,Terra,MODIS,46,6.03,301.3,10.6,D,0
49.6816,18.6655,312.2,1,1,2018-08-17,2037,Terra,MODIS,84,6.03,291.5,11.6,N,2
49.6724,18.6625,315.9,1.1,1.1,2018-08-22,1129,Aqua,MODIS,60,6.03,303.6,8.8,D,2
50.2175,17.4454,328.8,1.2,1.1,2018-08-22,1130,Aqua,MODIS,81,6.03,297.1,30.6,D,0
50.2205,17.4617,352.8,1.2,1.1,2018-08-22,1130,Aqua,MODIS,96,6.03,298.6,83.1,D,0
49.6758,18.6614,301.9,1.1,1,2018-08-27,1003,Terra,MODIS,15,6.03,284.1,5.6,D,2
49.8173,18.316,305.4,1,1,2018-08-27,1003,Terra,MODIS,42,6.03,288.3,5.1,D,2
49.6777,18.6503,303.5,1.2,1.1,2018-09-03,1009,Terra,MODIS,47,6.03,288.1,4.3,D,2
49.6749,18.6659,312.9,1.2,1.1,2018-09-03,1009,Terra,MODIS,69,6.03,289.2,12.3,D,2
49.3029,17.414,314.3,1,1,2018-09-05,1141,Aqua,MODIS,68,6.03,296.6,9.2,D,2
48.9806,16.9205,308.7,1.1,1,2018-09-05,1141,Aqua,MODIS,62,6.03,295.9,4.5,D,0
49.4143,16.7088,302.9,1.8,1.3,2018-09-09,1117,Aqua,MODIS,18,6.03,289.7,5.9,D,0
49.6837,18.6754,303.1,1.1,1,2018-09-10,0050,Aqua,MODIS,53,6.03,283.5,9.2,N,2
49.6803,18.6563,309.8,1.3,1.1,2018-09-10,1015,Terra,MODIS,0,6.03,295.8,10,D,2
49.6802,18.6544,310.4,1.1,1,2018-09-12,1003,Terra,MODIS,64,6.03,299.5,5.8,D,2
49.6778,18.6687,314,1.1,1,2018-09-12,1003,Terra,MODIS,70,6.03,300,8.8,D,2
49.7072,15.0034,315.5,1.1,1,2018-09-12,1147,Aqua,MODIS,61,6.03,304.4,6.8,D,0
49.6779,18.6586,303.6,1.2,1.1,2018-09-16,0939,Terra,MODIS,48,6.03,292,4.7,D,2
49.787,18.3202,302.9,1.2,1.1,2018-09-16,0939,Terra,MODIS,42,6.03,291.3,3.7,D,2
50.1923,14.8672,317,1.1,1,2018-09-17,1021,Terra,MODIS,57,6.03,299.7,9.6,D,2
50.1832,14.8634,322,1.1,1,2018-09-17,1021,Terra,MODIS,77,6.03,298.6,15.8,D,2
49.4014,16.6232,309.1,1,1,2018-09-19,1009,Terra,MODIS,51,6.03,297.8,5.8,D,2
49.8092,18.3245,317.7,1,1,2018-09-21,0957,Terra,MODIS,66,6.03,298.6,11.5,D,2
49.8113,18.3109,312.3,1,1,2018-09-21,0957,Terra,MODIS,60,6.03,299.8,6.6,D,2
49.8361,13.7679,354.6,1,1,2018-09-26,1015,Terra,MODIS,98,6.03,285.4,72,D,0
49.8253,13.7784,315.2,1,1,2018-09-26,1015,Terra,MODIS,66,6.03,284.5,14.4,D,0
49.8273,13.7648,305.4,1,1,2018-09-26,1015,Terra,MODIS,46,6.03,286.1,7.2,D,0
49.851,14.5754,300.4,1,1,2018-09-26,1015,Terra,MODIS,34,6.03,284.2,4.9,D,0
49.7194,13.6331,301,1,1,2018-09-26,1159,Aqua,MODIS,31,6.03,289.6,4,D,0
49.813,18.3319,314.6,1.4,1.2,2018-09-28,0037,Aqua,MODIS,90,6.03,281.3,28.3,N,2
49.8149,18.3121,310.1,1.4,1.2,2018-09-28,0037,Aqua,MODIS,79,6.03,280.7,22.3,N,2
