latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.1285,-70.3916,320.9,1,1,2018-01-01,1802,Aqua,MODIS,76,6.03,299.4,12.3,D,0
19.1271,-70.4012,314.9,1,1,2018-01-01,1802,Aqua,MODIS,67,6.03,299.3,7.1,D,0
18.9267,-70.3569,305.8,1.1,1.1,2018-01-06,1514,Terra,MODIS,46,6.03,284.9,6,D,2
18.9307,-70.3503,307.1,1.1,1.1,2018-01-06,1514,Terra,MODIS,49,6.03,284.3,7.7,D,2
18.9265,-70.3545,305.9,1,1,2018-01-07,0631,Aqua,MODIS,66,6.03,291.7,6.8,N,2
18.9303,-70.3512,306.3,1.1,1.1,2018-01-09,0619,Aqua,MODIS,67,6.03,291.3,8.9,N,2
18.9245,-70.3552,308,1,1,2018-01-13,1520,Terra,MODIS,56,6.03,294.1,4.2,D,2
18.926,-70.3585,304.5,1,1,2018-01-15,0256,Terra,MODIS,61,6.03,289.2,6.6,N,2
18.9274,-70.3489,302,1,1,2018-01-15,0256,Terra,MODIS,46,6.03,290,4.9,N,2
18.4446,-71.2419,317,1,1,2018-01-15,1814,Aqua,MODIS,72,6.03,295.6,9.9,D,0
19.7451,-71.6825,315.9,1.1,1,2018-01-17,1802,Aqua,MODIS,67,6.03,296.8,8,D,0
18.9261,-70.3503,315.9,1.4,1.2,2018-01-18,1538,Terra,MODIS,73,6.03,294,17,D,2
18.426,-71.2247,327.4,1.2,1.1,2018-01-18,1538,Terra,MODIS,83,6.03,296.9,27.8,D,0
18.424,-71.2131,313,1.2,1.1,2018-01-18,1538,Terra,MODIS,66,6.03,297.4,7.9,D,0
18.3523,-71.2195,319.5,1,1,2018-01-20,1526,Terra,MODIS,75,6.03,299.7,10.4,D,0
18.3536,-71.2288,321.1,1,1,2018-01-20,1526,Terra,MODIS,76,6.03,298.4,11.8,D,0
18.9304,-70.3459,304.1,1.4,1.2,2018-01-21,0644,Aqua,MODIS,58,6.03,290.3,10.2,N,2
18.3938,-71.2872,316.6,1.3,1.1,2018-01-22,1514,Terra,MODIS,68,6.03,301.5,9.3,D,0
18.2484,-71.3536,328.4,1.4,1.2,2018-01-24,0250,Terra,MODIS,100,6.03,292.2,41.8,N,0
18.5393,-68.929,302,1,1,2018-01-24,0250,Terra,MODIS,46,6.03,291,4.8,N,0
18.2463,-71.3662,321.6,1.4,1.2,2018-01-24,0250,Terra,MODIS,100,6.03,291.4,29.9,N,0
18.9278,-70.3514,319.6,1,1,2018-01-24,1808,Aqua,MODIS,75,6.03,291.2,13.3,D,2
18.9264,-70.3609,317.2,1,1,2018-01-24,1808,Aqua,MODIS,72,6.03,292.7,11.3,D,2
18.4227,-71.2289,316.9,1.3,1.1,2018-01-26,1756,Aqua,MODIS,74,6.03,300.4,10.6,D,0
18.9303,-70.3549,322.4,1.1,1.1,2018-01-27,1532,Terra,MODIS,81,6.03,293.3,20.6,D,2
18.9248,-70.3515,321.8,1.1,1.1,2018-01-27,1532,Terra,MODIS,81,6.03,290.6,22.3,D,2
18.9276,-70.3618,303.1,1.1,1,2018-01-29,0308,Terra,MODIS,53,6.03,287.8,7.5,N,2
18.929,-70.3514,314.5,1.1,1.1,2018-01-29,0308,Terra,MODIS,89,6.03,289,16.8,N,2
18.2496,-71.3767,305,1,1,2018-01-29,0308,Terra,MODIS,63,6.03,291.9,6.4,N,0
18.1646,-71.6435,329.1,1.1,1,2018-01-29,1520,Terra,MODIS,83,6.03,298.1,28,D,0
18.4344,-71.3451,332.2,1.1,1,2018-01-29,1520,Terra,MODIS,85,6.03,301.7,24.5,D,0
18.1592,-71.6536,319.3,1.4,1.2,2018-01-29,1826,Aqua,MODIS,61,6.03,302.1,18.9,D,0
18.1695,-71.6557,315.6,1.4,1.2,2018-01-29,1826,Aqua,MODIS,33,6.03,298,14.1,D,0
18.4279,-71.21,315.6,1.6,1.2,2018-01-31,1508,Terra,MODIS,60,6.03,301.3,11.3,D,0
18.7317,-71.2259,311.5,2,1.4,2018-02-01,1550,Terra,MODIS,41,6.03,295,14.5,D,0
18.4409,-71.221,324.5,2,1.4,2018-02-01,1550,Terra,MODIS,75,6.03,293.7,49.7,D,0
18.4443,-71.2396,317,2,1.4,2018-02-01,1550,Terra,MODIS,72,6.03,294.7,29.7,D,0
18.2688,-71.1501,312.2,2.1,1.4,2018-02-01,1550,Terra,MODIS,66,6.03,297.7,16.2,D,0
18.961,-70.8268,309.3,1.5,1.2,2018-02-02,0244,Terra,MODIS,77,6.03,284.3,22.3,N,0
18.9628,-70.8335,301.7,1.5,1.2,2018-02-02,0244,Terra,MODIS,42,6.03,283.8,12.8,N,0
18.9284,-70.3479,309.4,2.3,1.5,2018-02-02,1455,Terra,MODIS,61,6.03,295,18,D,2
18.7041,-71.5651,312.4,2.8,1.6,2018-02-02,1455,Terra,MODIS,56,6.03,296.7,32.6,D,0
18.7063,-71.5578,311.5,2.8,1.6,2018-02-02,1455,Terra,MODIS,62,6.03,296.7,30.3,D,0
18.9319,-70.3548,308.8,2.3,1.5,2018-02-02,1455,Terra,MODIS,30,6.03,295.1,15,D,2
18.9272,-70.3534,323.4,1,1,2018-02-02,1802,Aqua,MODIS,79,6.03,298.9,17.2,D,2
19.3767,-71.3367,311.2,1.1,1,2018-02-02,1802,Aqua,MODIS,49,6.03,300,6.3,D,0
18.6406,-69.3446,314.9,1.6,1.3,2018-02-03,1538,Terra,MODIS,74,6.03,296.2,18.5,D,0
18.9252,-70.3615,300.2,2.4,1.5,2018-02-04,0232,Terra,MODIS,21,6.03,289.7,16.5,N,2
19.2885,-69.4769,314.1,1.2,1.1,2018-02-04,1750,Aqua,MODIS,71,6.03,298.2,11.7,D,0
18.715,-68.944,314.7,1.2,1.1,2018-02-04,1750,Aqua,MODIS,65,6.03,298.8,10.3,D,0
18.5991,-68.4398,311.9,1.1,1.1,2018-02-04,1750,Aqua,MODIS,55,6.03,298.9,6.5,D,0
18.4464,-70.6994,327.8,1.5,1.2,2018-02-04,1750,Aqua,MODIS,77,6.03,308.5,30.9,D,0
18.4572,-70.7008,320.1,1.5,1.2,2018-02-04,1750,Aqua,MODIS,37,6.03,305.2,15.5,D,0
18.8501,-69.7055,309.4,1.3,1.1,2018-02-04,1750,Aqua,MODIS,57,6.03,297.8,7.8,D,0
18.9291,-70.3518,312.8,1.4,1.2,2018-02-04,1750,Aqua,MODIS,53,6.03,299,13.9,D,2
19.2857,-69.4817,309.1,1.2,1.1,2018-02-04,1750,Aqua,MODIS,52,6.03,297.5,7,D,0
18.2685,-71.3964,318.8,1.7,1.3,2018-02-04,1750,Aqua,MODIS,73,6.03,305.3,21.4,D,0
18.6007,-68.4293,319.2,1.1,1.1,2018-02-04,1750,Aqua,MODIS,71,6.03,299.9,13.5,D,0
18.9271,-70.3598,311.1,1,1,2018-02-07,0302,Terra,MODIS,54,6.03,291.4,11.4,N,2
18.9284,-70.3504,313.6,1,1,2018-02-07,0302,Terra,MODIS,64,6.03,291.2,13.6,N,2
18.319,-70.8926,312.7,1.2,1.1,2018-02-07,1514,Terra,MODIS,43,6.03,300.1,6.9,D,0
18.8813,-71.5809,319.9,1.2,1.1,2018-02-07,1820,Aqua,MODIS,70,6.03,307.5,7.3,D,0
18.9235,-70.3593,315.1,1.4,1.2,2018-02-07,1820,Aqua,MODIS,63,6.03,297.7,13.4,D,2
18.9231,-71.1811,314.3,1.2,1.1,2018-02-07,1820,Aqua,MODIS,58,6.03,298,10.8,D,0
18.2069,-71.7449,319.4,1.1,1.1,2018-02-07,1820,Aqua,MODIS,66,6.03,297.9,11.7,D,0
18.2055,-71.7555,330.3,1.1,1.1,2018-02-07,1820,Aqua,MODIS,83,6.03,302.9,25.8,D,0
19.3073,-71.4313,315.7,1.2,1.1,2018-02-07,1821,Aqua,MODIS,63,6.03,299.2,10.3,D,0
19.3088,-71.4201,323.9,1.2,1.1,2018-02-07,1821,Aqua,MODIS,77,6.03,299.9,20.5,D,0
19.3099,-71.4259,327,1.2,1.1,2018-02-07,1821,Aqua,MODIS,80,6.03,300.1,26.4,D,0
18.9262,-70.3534,321.3,1.2,1.1,2018-02-09,0250,Terra,MODIS,100,6.03,291.1,24.2,N,2
18.9223,-70.3497,308.6,1,1,2018-02-09,1808,Aqua,MODIS,51,6.03,289.9,6.5,D,2
18.9209,-70.3592,306,1,1,2018-02-09,1808,Aqua,MODIS,25,6.03,290.1,5,D,2
18.4443,-71.3726,318.6,1,1,2018-02-09,1808,Aqua,MODIS,65,6.03,299.2,5.8,D,0
19.3286,-71.3758,314.5,1,1,2018-02-09,1808,Aqua,MODIS,67,6.03,297.5,8.6,D,0
19.6998,-71.6524,309.6,1.4,1.2,2018-02-10,1544,Terra,MODIS,55,6.03,295.4,7,D,0
17.9078,-71.2934,313.9,1.3,1.1,2018-02-11,1756,Aqua,MODIS,60,6.03,299.8,11.7,D,0
19.1138,-70.1923,309.3,1.1,1.1,2018-02-12,1532,Terra,MODIS,58,6.03,296.4,6.3,D,0
18.4896,-69.5347,314.4,1.6,1.2,2018-02-13,1744,Aqua,MODIS,56,6.03,295.9,18.6,D,0
17.9148,-71.3226,315,2.2,1.4,2018-02-13,1744,Aqua,MODIS,63,6.03,297.4,29.2,D,0
18.9276,-70.3549,309.6,1.8,1.3,2018-02-13,1744,Aqua,MODIS,61,6.03,292.1,16.5,D,2
18.9226,-70.3585,309.2,1.8,1.3,2018-02-13,1744,Aqua,MODIS,59,6.03,291.3,16.7,D,2
