latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.6831,30.7393,309.8,1.4,1.2,2018-01-02,0900,Terra,MODIS,62,6.03,290.3,13.9,D,0
29.6539,28.3588,312.6,1,1,2018-01-02,0900,Terra,MODIS,67,6.03,292.1,9,D,0
30.5374,26.0847,304.8,1.1,1,2018-01-03,0017,Aqua,MODIS,62,6.03,279.8,11.3,N,2
31.005,29.8359,309.9,1,1,2018-01-03,1117,Aqua,MODIS,52,6.03,292.3,7.9,D,2
30.5332,26.0829,305.9,1.3,1.1,2018-01-03,2042,Terra,MODIS,66,6.03,279.5,16.3,N,2
29.8043,32.0865,302.5,1.1,1,2018-01-04,0847,Terra,MODIS,48,6.03,290.2,3.9,D,0
30.5396,26.0871,311.8,1,1,2018-01-05,0005,Aqua,MODIS,83,6.03,282.8,14.9,N,2
29.5855,31.2989,304,1.1,1,2018-01-05,1105,Aqua,MODIS,36,6.03,289,4,D,2
30.5306,26.0799,304.5,1,1,2018-01-05,2030,Terra,MODIS,60,6.03,280.9,9.8,N,2
30.1423,30.8947,306.8,1.2,1.1,2018-01-06,0835,Terra,MODIS,59,6.03,292.1,5.9,D,0
29.656,28.356,300.9,1,1,2018-01-07,2017,Terra,MODIS,35,6.03,281.6,7.9,N,0
30.5388,26.0814,306.4,1.1,1,2018-01-07,2018,Terra,MODIS,68,6.03,280.6,11.9,N,2
30.7621,27.1028,308.8,1,1,2018-01-07,2018,Terra,MODIS,76,6.03,281,12.6,N,2
30.6674,26.3688,300.9,1.1,1,2018-01-07,2018,Terra,MODIS,35,6.03,279.3,8.6,N,0
30.5295,26.0834,300,1.1,1,2018-01-07,2018,Terra,MODIS,7,6.03,281.6,7.6,N,2
29.4665,30.374,304,1.2,1.1,2018-01-08,2341,Aqua,MODIS,58,6.03,283,11.7,N,0
30.5345,26.0844,302.9,1.2,1.1,2018-01-10,0023,Aqua,MODIS,52,6.03,273.9,13,N,2
29.2596,31.2551,309,1.2,1.1,2018-01-10,1123,Aqua,MODIS,66,6.03,287.3,8.4,D,0
30.5446,30.1505,313.2,1,1,2018-01-11,0853,Terra,MODIS,72,6.03,294.3,9.4,D,0
29.9112,31.7569,308.5,1.2,1.1,2018-01-11,0853,Terra,MODIS,58,6.03,295.9,5.1,D,0
30.5347,26.0897,302.1,1,1,2018-01-12,0011,Aqua,MODIS,47,6.03,279.9,9,N,2
26.1098,32.5532,314,1,1,2018-01-12,1110,Aqua,MODIS,31,6.03,296.6,8.1,D,0
27.829,30.7637,311.6,1,1,2018-01-12,1110,Aqua,MODIS,45,6.03,293.8,9.5,D,0
26.1112,32.563,321,1,1,2018-01-12,1110,Aqua,MODIS,53,6.03,297.3,14.1,D,0
29.8001,32.0892,313.7,1,1,2018-01-12,1111,Aqua,MODIS,61,6.03,302.2,5.4,D,0
28.9169,31.0055,313.3,1,1,2018-01-12,1111,Aqua,MODIS,48,6.03,296.1,8.8,D,0
30.5397,26.0836,301.2,1.1,1.1,2018-01-12,2036,Terra,MODIS,38,6.03,278.2,9.6,N,2
29.8041,32.094,311.9,1,1,2018-01-13,0841,Terra,MODIS,67,6.03,299.6,6.5,D,0
29.91,31.7528,307.5,1,1,2018-01-13,0841,Terra,MODIS,56,6.03,294.5,3.4,D,0
24.4446,33.153,318.7,1.2,1.1,2018-01-13,0842,Terra,MODIS,65,6.03,297.6,15.4,D,0
26.1916,32.1132,311.5,1,1,2018-01-13,0842,Terra,MODIS,57,6.03,291.9,10.2,D,0
27.1688,31.0157,306.1,1,1,2018-01-13,0842,Terra,MODIS,45,6.03,291.3,3.7,D,0
30.5368,26.0819,308.8,1.2,1.1,2018-01-13,2359,Aqua,MODIS,75,6.03,278.2,16.5,N,2
24.9918,32.9079,317.7,1.2,1.1,2018-01-14,1057,Aqua,MODIS,55,6.03,298,13.1,D,2
24.9883,32.902,314,1.2,1.1,2018-01-14,1057,Aqua,MODIS,0,6.03,298.3,10.1,D,2
30.5361,26.0806,311.7,1,1,2018-01-14,2024,Terra,MODIS,83,6.03,279.9,14.8,N,2
24.4822,32.8998,314.2,1,1,2018-01-15,0830,Terra,MODIS,65,6.03,294,10.6,D,0
25.7248,32.6993,311.7,1,1,2018-01-15,0830,Terra,MODIS,63,6.03,293.1,10.3,D,0
24.5473,33.0884,319.2,1,1,2018-01-15,0830,Terra,MODIS,73,6.03,296.8,12.7,D,0
30.5352,26.084,300.2,1.8,1.3,2018-01-15,2347,Aqua,MODIS,21,6.03,279,18.8,N,2
28.9211,31.0091,301.3,1,1,2018-01-15,2347,Aqua,MODIS,40,6.03,282.1,8,N,0
30.3946,31.1154,302.5,2.1,1.4,2018-01-17,0816,Terra,MODIS,45,6.03,290.3,12.9,D,0
29.9074,31.7561,303.6,1.4,1.2,2018-01-18,0859,Terra,MODIS,41,6.03,290.6,5.4,D,0
30.5373,26.0852,314.5,1.1,1,2018-01-19,0017,Aqua,MODIS,89,6.03,277.7,19.2,N,2
30.5366,26.0786,305.8,1.3,1.1,2018-01-19,2042,Terra,MODIS,66,6.03,277.8,17.3,N,2
31.1259,29.8109,307.9,1,1,2018-01-20,0847,Terra,MODIS,50,6.03,292.5,7.3,D,2
29.6926,32.3239,310,1.1,1,2018-01-20,0847,Terra,MODIS,65,6.03,296.2,6.5,D,0
29.8035,32.094,309.6,1.1,1,2018-01-20,0847,Terra,MODIS,64,6.03,297.7,6.1,D,0
30.2699,30.8805,305.5,1,1,2018-01-20,0847,Terra,MODIS,43,6.03,294.6,4.2,D,0
30.5344,26.0837,309.1,1,1,2018-01-21,2030,Terra,MODIS,77,6.03,282.5,12.6,N,2
30.6733,26.3661,303.3,1,1,2018-01-21,2030,Terra,MODIS,55,6.03,281.3,9.1,N,0
30.7586,27.0988,308.2,1.1,1,2018-01-21,2030,Terra,MODIS,74,6.03,280.3,12.7,N,2
29.8064,32.0897,307.7,1,1,2018-01-22,0835,Terra,MODIS,62,6.03,294.8,5.5,D,0
29.6913,32.3227,308.7,1,1,2018-01-22,0835,Terra,MODIS,64,6.03,296.1,5.5,D,0
24.5673,33.0642,324.5,1,1,2018-01-22,0836,Terra,MODIS,78,6.03,297.1,18.7,D,0
24.5688,33.0543,316.6,1,1,2018-01-22,0836,Terra,MODIS,54,6.03,297.7,10.7,D,0
31.113,29.8993,303.7,2.5,1.5,2018-01-22,1148,Aqua,MODIS,0,6.03,288.6,16.3,D,0
31.1078,29.8923,302,2.5,1.5,2018-01-22,1148,Aqua,MODIS,0,6.03,288.3,14.7,D,0
30.5375,26.0878,306.2,1.4,1.2,2018-01-22,2353,Aqua,MODIS,67,6.03,278.1,18.5,N,2
30.536,26.0808,305.8,1.1,1,2018-01-23,2018,Terra,MODIS,66,6.03,278.4,12.6,N,2
27.8746,30.7854,315.5,1.1,1.1,2018-01-27,0854,Terra,MODIS,73,6.03,289.4,16.7,D,2
27.7957,30.7924,306.9,1.1,1.1,2018-01-27,0854,Terra,MODIS,51,6.03,289.7,7.8,D,0
27.6545,30.8797,304.2,1.1,1.1,2018-01-27,0854,Terra,MODIS,28,6.03,289.2,6.6,D,0
25.6379,32.5801,313.5,1,1,2018-01-28,1110,Aqua,MODIS,34,6.03,297.1,7.4,D,2
29.688,32.3179,312.7,1,1,2018-01-28,1111,Aqua,MODIS,67,6.03,300.8,5.5,D,0
28.9925,31.0591,322.4,1,1,2018-01-28,1111,Aqua,MODIS,73,6.03,296.8,16.8,D,0
30.5324,26.0759,301.8,1.1,1.1,2018-01-28,2036,Terra,MODIS,44,6.03,278.1,9.6,N,2
30.5339,26.0875,306.5,1.1,1.1,2018-01-28,2036,Terra,MODIS,68,6.03,279,12.9,N,2
30.5378,26.0811,307.4,1.1,1.1,2018-01-28,2036,Terra,MODIS,71,6.03,278.3,14.5,N,2
29.9116,31.7598,303.1,1,1,2018-01-29,0841,Terra,MODIS,39,6.03,286.4,5.1,D,0
29.8547,30.8677,308.4,1,1,2018-01-29,0841,Terra,MODIS,63,6.03,291.4,5.7,D,0
31.4149,31.3613,303.1,1,1,2018-01-29,0841,Terra,MODIS,44,6.03,287.1,5.8,D,2
29.8086,32.0866,304.2,1,1,2018-01-29,0841,Terra,MODIS,39,6.03,291.8,3.9,D,0
29.6906,32.3199,311.2,1,1,2018-01-29,0841,Terra,MODIS,70,6.03,295.8,6.9,D,0
