latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.8521,9.8837,307,1.6,1.3,2018-01-05,1236,Aqua,MODIS,38,6.03,289.5,8.8,D,0
1.6852,9.8268,303.6,2.7,1.6,2018-01-06,1021,Terra,MODIS,22,6.03,284.5,8.3,D,0
1.8968,11.0251,314.9,1.1,1.1,2018-01-12,1242,Aqua,MODIS,64,6.03,287.9,14,D,0
2.1598,11.1218,312.3,1.2,1.1,2018-01-17,1300,Aqua,MODIS,59,6.03,294.7,7.4,D,0
1.8541,11.1174,315.6,1.2,1.1,2018-01-17,1300,Aqua,MODIS,69,6.03,296.7,11.4,D,0
1.8583,11.3146,308.9,1,1,2018-01-19,1248,Aqua,MODIS,39,6.03,292.4,4.7,D,0
2.1605,11.1099,319.2,1,1,2018-01-19,1248,Aqua,MODIS,75,6.03,294.9,12.6,D,0
1.8638,11.0985,315.1,1,1,2018-01-19,1248,Aqua,MODIS,35,6.03,292.2,8.9,D,0
1.965,11.3282,311.2,1.3,1.1,2018-01-21,1236,Aqua,MODIS,50,6.03,290.4,8.8,D,0
2.1549,11.1022,311.3,1.3,1.1,2018-01-21,1236,Aqua,MODIS,57,6.03,292.8,10.6,D,0
1.8897,10.8367,314.6,1.4,1.2,2018-01-24,1307,Aqua,MODIS,67,6.03,294,13,D,0
2.1033,11.2004,309.8,1.5,1.2,2018-01-24,1307,Aqua,MODIS,32,6.03,292.5,7.6,D,0
2.1233,11.1835,312.7,1.5,1.2,2018-01-24,1307,Aqua,MODIS,52,6.03,292.6,12.1,D,0
2.1194,10.9045,314.9,1.5,1.2,2018-01-24,1307,Aqua,MODIS,40,6.03,292.5,14.8,D,0
1.8541,10.8154,312.9,1.4,1.2,2018-01-24,1307,Aqua,MODIS,63,6.03,295.4,10.8,D,0
1.8523,10.8022,312,1.4,1.2,2018-01-24,1307,Aqua,MODIS,56,6.03,294.9,9.4,D,0
2.1628,11.1323,310.3,2,1.4,2018-01-31,1313,Aqua,MODIS,47,6.03,292.6,13.7,D,0
1.8643,11.2982,307.9,3,1.6,2018-02-01,1218,Aqua,MODIS,54,6.03,291.7,20.2,D,0
1.8646,11.2933,309,3,1.6,2018-02-01,1218,Aqua,MODIS,55,6.03,292,22.5,D,0
1.6595,11.1251,323.6,1.2,1.1,2018-02-02,1300,Aqua,MODIS,75,6.03,283.4,25.1,D,0
