latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.5884,178.9786,316.1,1.1,1,2018-01-22,0142,Aqua,MODIS,52,6.03,296,7.8,D,0
-18.1326,178.4457,315.2,1.9,1.3,2018-01-24,0129,Aqua,MODIS,0,6.03,299.8,22.6,D,0
-17.7253,178.0154,308.9,1.1,1.1,2018-02-17,2236,Terra,MODIS,31,6.03,295.5,5.8,D,0
-18.1357,178.441,307.8,1.5,1.2,2018-02-24,2242,Terra,MODIS,0,6.03,293.4,11.3,D,0
-18.0718,178.5205,311,1.5,1.2,2018-03-12,2242,Terra,MODIS,28,6.03,293.9,10.9,D,0
-18.1296,178.4564,307.3,1.5,1.2,2018-03-12,2242,Terra,MODIS,0,6.03,292.4,9.3,D,2
-18.1324,178.4494,308.3,1.5,1.2,2018-03-12,2242,Terra,MODIS,0,6.03,293.1,9.9,D,2
-17.6292,178.532,313,1,1,2018-04-15,2231,Terra,MODIS,51,6.03,298.7,8.2,D,0
-17.6872,177.7391,308.3,1,1,2018-05-12,0154,Aqua,MODIS,53,6.03,295.7,4.6,D,0
-17.6299,177.8837,309.9,1,1,2018-05-12,0154,Aqua,MODIS,62,6.03,296.8,6.5,D,0
-17.6442,177.8476,307.2,1,1,2018-05-12,0154,Aqua,MODIS,29,6.03,296.7,3.6,D,0
-16.5066,179.106,312.3,1.1,1,2018-05-14,0142,Aqua,MODIS,60,6.03,298.7,7.7,D,0
-16.8921,178.6918,312,1.4,1.2,2018-05-26,0206,Aqua,MODIS,52,6.03,293.8,12.6,D,0
-16.5172,179.2642,300.4,1,1,2018-06-19,1044,Terra,MODIS,27,6.03,289.2,4.1,N,0
-17.3995,178.1041,311.3,1.3,1.1,2018-06-27,0206,Aqua,MODIS,48,6.03,295.7,8.9,D,0
-16.6914,178.7605,310,1.4,1.2,2018-06-27,0206,Aqua,MODIS,12,6.03,296.3,9.5,D,0
-17.6363,177.7764,311.8,1.2,1.1,2018-06-27,0206,Aqua,MODIS,66,6.03,298.1,8.4,D,0
-16.69,178.7489,323.2,1,1,2018-06-27,2225,Terra,MODIS,76,6.03,299.4,17.1,D,0
-16.6886,178.7395,310.6,1,1,2018-06-27,2225,Terra,MODIS,35,6.03,297,5.7,D,0
-16.6851,178.7477,302.7,1.1,1,2018-06-28,1037,Terra,MODIS,51,6.03,290.8,5.5,N,0
-16.6907,178.7496,325.8,1,1,2018-06-29,0154,Aqua,MODIS,83,6.03,304,19.9,D,0
-17.5288,178.034,317.2,1.1,1,2018-07-06,0200,Aqua,MODIS,73,6.03,294.4,13.3,D,0
-17.5331,177.9431,310.5,1.1,1,2018-07-06,0200,Aqua,MODIS,63,6.03,297.4,6,D,0
-17.5346,177.9335,317.6,1.1,1,2018-07-06,0200,Aqua,MODIS,74,6.03,297.8,12.2,D,0
-17.5273,178.044,320.3,1.1,1,2018-07-06,0200,Aqua,MODIS,77,6.03,296.7,16.5,D,0
-17.528,177.9749,301.7,1,1,2018-07-07,1336,Aqua,MODIS,43,6.03,290.7,5.4,N,0
-17.5266,177.9653,303.6,1,1,2018-07-07,1336,Aqua,MODIS,56,6.03,290.1,6.5,N,0
-17.6006,177.4928,310.7,1.1,1,2018-07-08,0148,Aqua,MODIS,22,6.03,300.2,6.6,D,0
-17.4595,177.8605,315.9,1.1,1,2018-07-08,0148,Aqua,MODIS,65,6.03,295.9,10.6,D,0
-17.7136,177.8545,311.4,1.6,1.2,2018-07-10,0136,Aqua,MODIS,67,6.03,299.8,10.8,D,0
-16.4255,179.339,301.4,1,1,2018-07-14,1038,Terra,MODIS,41,6.03,290.4,4,N,0
-16.6906,178.7462,313,1.1,1.1,2018-07-17,0142,Aqua,MODIS,35,6.03,299.2,7.9,D,0
-17.3719,178.1263,314.5,1.6,1.3,2018-07-20,0213,Aqua,MODIS,53,6.03,298.5,13.4,D,0
-17.3722,178.0762,314.9,1,1,2018-07-20,2231,Terra,MODIS,47,6.03,301.8,6.5,D,0
-17.7788,177.452,313.2,3.8,1.8,2018-07-21,0117,Aqua,MODIS,54,6.03,297,45.9,D,0
-17.789,177.4483,314.2,3.8,1.8,2018-07-21,0117,Aqua,MODIS,61,6.03,297,51.7,D,0
-16.4883,179.2951,301.8,1,1,2018-07-21,1044,Terra,MODIS,44,6.03,291.3,4.5,N,0
-17.5061,177.818,321.1,1.1,1,2018-07-22,0200,Aqua,MODIS,76,6.03,298.1,13.6,D,0
-16.6733,178.5916,312.4,1,1,2018-07-24,0148,Aqua,MODIS,60,6.03,298.3,5.8,D,0
-16.4628,179.2334,313.3,1,1,2018-07-24,0148,Aqua,MODIS,59,6.03,298.9,5.6,D,0
-16.4641,179.2241,335.4,1,1,2018-07-24,0148,Aqua,MODIS,88,6.03,299.9,30.4,D,0
-17.4547,177.9889,316.8,1,1,2018-07-24,0148,Aqua,MODIS,67,6.03,284.6,10.1,D,0
-16.5208,179.3953,304.8,1,1,2018-07-25,1324,Aqua,MODIS,62,6.03,291.4,6.4,N,0
-16.3492,179.6029,323,1.2,1.1,2018-07-26,0136,Aqua,MODIS,76,6.03,298.4,20.9,D,0
-17.9962,177.6471,312.3,1.6,1.3,2018-07-26,0136,Aqua,MODIS,51,6.03,299.6,11.7,D,0
-16.3477,179.6142,315,1.2,1.1,2018-07-26,0136,Aqua,MODIS,56,6.03,297.2,12,D,0
-17.7624,-179.3048,339.8,1.1,1,2018-07-26,0136,Aqua,MODIS,0,6.03,300,44.9,D,0
-16.7362,178.6783,313.2,1.3,1.1,2018-07-26,0136,Aqua,MODIS,58,6.03,298.7,10.7,D,0
-16.7345,178.6909,324.4,1.3,1.1,2018-07-26,0136,Aqua,MODIS,81,6.03,299.5,26.4,D,0
-17.479,177.8275,314.3,1.1,1.1,2018-07-27,2237,Terra,MODIS,61,6.03,302.1,8.3,D,0
-17.6549,177.8428,316.5,1.1,1.1,2018-07-27,2237,Terra,MODIS,74,6.03,298,13.6,D,0
-17.5219,177.8253,312.7,1.1,1.1,2018-07-27,2237,Terra,MODIS,68,6.03,300.5,7.6,D,0
-17.5234,177.8361,313.6,1.1,1.1,2018-07-27,2237,Terra,MODIS,70,6.03,301,8.8,D,0
-17.988,177.5239,311.9,1.1,1,2018-07-27,2238,Terra,MODIS,69,6.03,298.2,8.6,D,0
-17.9922,177.6942,312.1,2.8,1.6,2018-07-28,0124,Aqua,MODIS,52,6.03,297.6,28.7,D,0
-17.6961,177.83,310.3,2.7,1.6,2018-07-28,0124,Aqua,MODIS,36,6.03,297.9,21.1,D,0
-17.5078,177.6155,305.8,1,1,2018-07-28,1050,Terra,MODIS,36,6.03,292.1,6.9,N,0
-17.5481,177.5117,321.7,1.2,1.1,2018-07-29,0207,Aqua,MODIS,0,6.03,293.7,19.1,D,0
-16.525,179.3928,320.6,1.6,1.3,2018-07-29,0207,Aqua,MODIS,73,6.03,298.6,26,D,0
-17.7777,177.7571,306.2,1,1,2018-07-29,2225,Terra,MODIS,45,6.03,295,4.2,D,0
-17.5499,177.9339,302.9,1.2,1.1,2018-07-30,1037,Terra,MODIS,52,6.03,290.5,6.9,N,0
-17.5485,177.9376,300.5,1.1,1.1,2018-07-30,1342,Aqua,MODIS,29,6.03,290.1,5.4,N,0
-17.7265,177.8976,337.6,1,1,2018-07-31,0154,Aqua,MODIS,88,6.03,298.4,33.9,D,0
-18.0187,177.723,324,1,1,2018-07-31,0154,Aqua,MODIS,80,6.03,297.2,16.7,D,0
-17.7395,177.8709,320.9,1,1,2018-07-31,0154,Aqua,MODIS,71,6.03,297.6,13,D,0
