latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9296,-14.3731,313.9,1,1,2018-01-01,1139,Terra,MODIS,59,6.03,302.4,6.7,D,0
11.8908,-14.059,316.9,1.1,1,2018-01-01,1139,Terra,MODIS,66,6.03,305.2,6.8,D,0
11.9377,-13.8272,313.5,1.1,1,2018-01-01,1139,Terra,MODIS,43,6.03,303.4,6,D,0
12.4951,-13.9114,313.8,1.1,1,2018-01-01,1139,Terra,MODIS,49,6.03,301.1,6.5,D,0
11.6719,-14.1308,319.8,1.1,1,2018-01-01,1139,Terra,MODIS,66,6.03,306.1,7.8,D,0
11.9093,-13.9186,323.1,1.6,1.2,2018-01-01,1442,Aqua,MODIS,57,6.03,308,17.4,D,0
11.8028,-14.2085,320,1.5,1.2,2018-01-01,1442,Aqua,MODIS,60,6.03,307.8,12.6,D,0
12.0772,-13.8435,323.7,1.6,1.2,2018-01-01,1442,Aqua,MODIS,71,6.03,307.4,19.7,D,0
11.906,-13.9257,321.4,1.6,1.2,2018-01-01,1442,Aqua,MODIS,68,6.03,306.7,13.8,D,0
11.9274,-14.3822,322.3,1.5,1.2,2018-01-01,1442,Aqua,MODIS,70,6.03,304.9,20.6,D,0
12.0709,-13.969,351,1.1,1,2018-01-03,1127,Terra,MODIS,96,6.03,302.8,64.2,D,0
12.0617,-13.9703,314.6,1.1,1,2018-01-03,1127,Terra,MODIS,67,6.03,297.6,8.5,D,0
12.0695,-13.9593,328.7,1.1,1,2018-01-03,1127,Terra,MODIS,84,6.03,300.4,22.7,D,0
12.0238,-13.8961,324.2,1.1,1,2018-01-03,1430,Aqua,MODIS,78,6.03,298.8,16.9,D,0
11.8865,-14.2831,323,1.1,1.1,2018-01-05,1417,Aqua,MODIS,42,6.03,308.3,13.2,D,0
11.7338,-14.0729,323,1.1,1,2018-01-05,1417,Aqua,MODIS,63,6.03,310.2,7.3,D,0
11.5564,-14.5051,319.6,1.1,1.1,2018-01-05,1417,Aqua,MODIS,65,6.03,306.5,12,D,0
11.884,-13.8713,319.2,1.1,1,2018-01-05,1417,Aqua,MODIS,36,6.03,307.3,6.9,D,0
11.8825,-13.8809,325,1.1,1,2018-01-05,1417,Aqua,MODIS,74,6.03,308.4,12.6,D,0
11.93,-14.4098,329.8,1.1,1.1,2018-01-05,1417,Aqua,MODIS,80,6.03,304.4,24.4,D,0
11.885,-14.2932,316.9,1.1,1.1,2018-01-05,1417,Aqua,MODIS,32,6.03,305.4,7.7,D,0
11.9607,-14.2081,319.6,1.1,1,2018-01-05,1417,Aqua,MODIS,57,6.03,308.3,7.6,D,0
12.0375,-14.078,334,1.1,1,2018-01-05,1417,Aqua,MODIS,84,6.03,307.4,27,D,0
11.9736,-14.3129,322.3,1.1,1.1,2018-01-05,1417,Aqua,MODIS,70,6.03,306.6,13.1,D,0
12.039,-14.0681,323.2,1.1,1,2018-01-05,1417,Aqua,MODIS,71,6.03,307.7,12.1,D,0
12.4007,-15.3742,314.6,1.6,1.2,2018-01-06,1157,Terra,MODIS,61,6.03,301.4,12.2,D,0
12.589,-14.6269,320.1,1.8,1.3,2018-01-06,1157,Terra,MODIS,73,6.03,302,27.3,D,0
12.5928,-14.6029,319.8,1.8,1.3,2018-01-06,1157,Terra,MODIS,72,6.03,299.4,27.1,D,0
12.5956,-14.6193,332.9,1.8,1.3,2018-01-06,1157,Terra,MODIS,85,6.03,301.7,62.6,D,0
11.7673,-14.4886,311.2,1.9,1.4,2018-01-06,1157,Terra,MODIS,54,6.03,293.1,14.2,D,0
11.9081,-14.0084,314.6,2.1,1.4,2018-01-06,1157,Terra,MODIS,64,6.03,293.1,16.2,D,0
12.5863,-14.6105,331.8,1.8,1.3,2018-01-06,1157,Terra,MODIS,84,6.03,300.8,60.3,D,0
11.8181,-14.4602,314.5,3.2,1.7,2018-01-06,1500,Aqua,MODIS,68,6.03,290.5,47.2,D,0
11.9654,-13.9507,313.8,3.6,1.8,2018-01-06,1500,Aqua,MODIS,66,6.03,291.1,39.2,D,0
11.8872,-13.8301,360.7,1.6,1.2,2018-01-07,1405,Aqua,MODIS,100,6.03,303.9,159.4,D,0
11.8746,-13.7679,318.8,1.6,1.2,2018-01-07,1405,Aqua,MODIS,64,6.03,303.2,14.4,D,0
11.8983,-13.832,317.7,1.6,1.2,2018-01-07,1405,Aqua,MODIS,58,6.03,300.3,15.3,D,0
11.5533,-14.5493,314.1,1.8,1.3,2018-01-07,1405,Aqua,MODIS,39,6.03,297.3,15.9,D,0
11.5506,-14.5659,318.2,1.8,1.3,2018-01-07,1405,Aqua,MODIS,66,6.03,297.3,25.4,D,0
11.8895,-13.8157,334.1,1.6,1.2,2018-01-07,1405,Aqua,MODIS,85,6.03,299.9,49.8,D,0
11.8761,-13.8282,330.8,1.6,1.2,2018-01-07,1405,Aqua,MODIS,82,6.03,302.4,43.1,D,0
12.4256,-13.7814,316.9,1.6,1.2,2018-01-07,1405,Aqua,MODIS,56,6.03,305,12.8,D,0
11.8313,-14.173,314.6,1.7,1.3,2018-01-07,1405,Aqua,MODIS,14,6.03,299.5,7.7,D,0
11.5596,-14.5573,320.1,1.8,1.3,2018-01-07,1405,Aqua,MODIS,69,6.03,297.4,29.5,D,0
11.9572,-15.189,325.4,1.1,1,2018-01-08,1145,Terra,MODIS,61,6.03,305.4,16.5,D,0
12.0595,-14.5023,313,1.2,1.1,2018-01-08,1145,Terra,MODIS,58,6.03,300.4,8.1,D,0
