latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0839,14.917,305.7,1.1,1,2018-01-01,2057,Terra,MODIS,65,6.03,278,12,N,0
45.7896,9.1737,305.9,1,1,2018-01-02,1034,Terra,MODIS,62,6.03,279,10.8,D,2
39.4111,9.6016,306,1.3,1.1,2018-01-02,1036,Terra,MODIS,47,6.03,286.2,12.7,D,0
45.1381,9.9422,313.3,1,1,2018-01-02,1217,Aqua,MODIS,69,6.03,281.8,15.1,D,2
40.3735,9.6994,311.4,1.6,1.3,2018-01-04,1203,Aqua,MODIS,42,6.03,287.9,20,D,2
41.1791,13.8663,300.2,1.1,1,2018-01-04,1203,Aqua,MODIS,31,6.03,285.8,5.3,D,0
40.932,14.0573,313,1,1,2018-01-04,1203,Aqua,MODIS,65,6.03,286.3,13.2,D,2
41.2471,13.8271,301.7,1.1,1,2018-01-04,1203,Aqua,MODIS,42,6.03,285.4,5.8,D,0
40.3755,9.7038,310,1.6,1.3,2018-01-04,1203,Aqua,MODIS,15,6.03,287.9,19.2,D,2
42.0507,13.5144,304.3,1.1,1,2018-01-04,1204,Aqua,MODIS,59,6.03,283.7,8,D,0
42.0487,13.5019,309,1.1,1,2018-01-04,1204,Aqua,MODIS,68,6.03,284,11.2,D,0
45.1418,9.9438,312.3,1.3,1.1,2018-01-04,1205,Aqua,MODIS,55,6.03,282.7,19.6,D,2
45.1407,9.9444,311.5,1.1,1.1,2018-01-04,2130,Terra,MODIS,83,6.03,273,19.1,N,2
45.1502,9.9421,322.9,1.1,1.1,2018-01-04,2130,Terra,MODIS,100,6.03,272.9,31.4,N,2
37.8408,13.1367,301.1,1.1,1,2018-01-06,1011,Terra,MODIS,45,6.03,288.5,5.2,D,0
40.5991,17.81,312.6,1,1,2018-01-06,1151,Aqua,MODIS,73,6.03,288.1,12.7,D,0
40.397,17.7031,301.9,1,1,2018-01-06,1151,Aqua,MODIS,50,6.03,288.4,5.5,D,0
41.7846,15.2802,311.4,1.1,1,2018-01-13,1157,Aqua,MODIS,71,6.03,283.9,13.1,D,0
41.7826,15.2679,334.4,1.1,1,2018-01-13,1157,Aqua,MODIS,89,6.03,284,39.7,D,0
40.5939,17.7978,302.9,1.1,1.1,2018-01-15,1145,Aqua,MODIS,31,6.03,284.7,7.1,D,0
40.1757,18.3178,301.2,1.1,1,2018-01-17,0952,Terra,MODIS,45,6.03,287.1,5.2,D,0
37.4416,15.0347,304.9,1.1,1,2018-01-17,2057,Terra,MODIS,62,6.03,283.5,9.9,N,0
37.4397,15.0228,305.4,1.1,1,2018-01-17,2057,Terra,MODIS,64,6.03,283.5,10.2,N,0
