latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.2601,-78.132,316,1.4,1.2,2018-01-02,1538,Terra,MODIS,73,6.03,297.5,13.9,D,0
18.1359,-77.1387,312,2.8,1.6,2018-01-03,1621,Terra,MODIS,52,6.03,290.7,37.9,D,0
18.1328,-77.1448,313.9,2.8,1.6,2018-01-03,1621,Terra,MODIS,59,6.03,291,44.7,D,0
17.9533,-76.9732,313.7,1.1,1,2018-01-13,1826,Aqua,MODIS,70,6.03,296.8,7.2,D,0
17.9302,-76.2709,318.9,1.1,1.1,2018-01-22,1820,Aqua,MODIS,70,6.03,298.1,13.6,D,0
17.965,-77.0262,315.4,1.5,1.2,2018-01-25,1851,Aqua,MODIS,64,6.03,298.1,13.9,D,0
17.9668,-77.0117,320.7,1.6,1.2,2018-01-25,1851,Aqua,MODIS,73,6.03,298.6,21.9,D,0
18.2627,-78.123,314.9,1,1,2018-01-27,1839,Aqua,MODIS,50,6.03,298.3,6.3,D,0
18.264,-78.1136,327.8,1,1,2018-01-27,1839,Aqua,MODIS,81,6.03,299.6,19.4,D,0
17.9158,-77.0588,313.2,1.6,1.2,2018-01-31,1814,Aqua,MODIS,0,6.03,297,12.3,D,0
18.2636,-78.1025,315.9,1.1,1,2018-02-03,1845,Aqua,MODIS,70,6.03,303.3,7.2,D,0
18.2919,-78.126,315.8,1,1,2018-02-05,1833,Aqua,MODIS,71,6.03,294.5,9.7,D,0
18.2964,-78.1603,318.1,1.3,1.1,2018-02-10,1851,Aqua,MODIS,59,6.03,297.5,13.1,D,0
18.2949,-78.1726,318.3,1.3,1.1,2018-02-10,1851,Aqua,MODIS,69,6.03,297.3,12.9,D,0
18.3133,-78.118,312.6,1,1,2018-02-21,1833,Aqua,MODIS,41,6.03,298.3,4.7,D,0
17.9437,-76.9894,326.4,1,1,2018-02-21,1833,Aqua,MODIS,80,6.03,303.4,15.5,D,0
18.113,-77.6495,317.1,1.4,1.2,2018-02-23,1821,Aqua,MODIS,63,6.03,298.9,17.6,D,0
17.7968,-77.2595,315,1.1,1,2018-02-24,1557,Terra,MODIS,63,6.03,299,7.7,D,0
18.0979,-77.8069,316.2,1.4,1.2,2018-02-26,1851,Aqua,MODIS,55,6.03,295.3,13.8,D,0
18.0826,-77.7368,312.4,1,1,2018-02-28,1839,Aqua,MODIS,44,6.03,295.7,4.5,D,0
18.3959,-78.0227,316.6,1.2,1.1,2018-03-02,1827,Aqua,MODIS,70,6.03,295.2,13.1,D,0
17.9422,-77.3173,317.3,1.1,1,2018-03-02,1827,Aqua,MODIS,57,6.03,300.5,7.5,D,0
18.3863,-78.0211,325.7,1.2,1.1,2018-03-02,1827,Aqua,MODIS,80,6.03,296.6,23.4,D,0
18.0347,-77.7871,318.2,1,1,2018-03-05,1551,Terra,MODIS,71,6.03,299.6,11,D,0
18.3365,-78.2184,321.6,1,1,2018-03-05,1551,Terra,MODIS,78,6.03,294.7,15.5,D,0
18.4379,-77.8671,303.2,1,1,2018-03-08,0657,Aqua,MODIS,54,6.03,291.3,5.4,N,0
17.9668,-76.987,320.3,2,1.4,2018-03-13,1809,Aqua,MODIS,61,6.03,299.5,24.8,D,0
17.9273,-77.1361,318.6,2.1,1.4,2018-03-13,1809,Aqua,MODIS,65,6.03,299.6,28.9,D,0
17.9635,-77.0058,324.5,2,1.4,2018-03-13,1809,Aqua,MODIS,78,6.03,300.3,37.5,D,0
17.9538,-76.9753,320.2,1,1,2018-03-14,1545,Terra,MODIS,55,6.03,298.1,8.9,D,0
17.9366,-76.9788,307.1,1.1,1.1,2018-03-15,0703,Aqua,MODIS,70,6.03,291.8,8.8,N,0
17.9357,-76.2507,317.7,1.1,1.1,2018-03-16,1839,Aqua,MODIS,56,6.03,299.3,10.1,D,0
17.9343,-76.2613,318.8,1.1,1.1,2018-03-16,1839,Aqua,MODIS,62,6.03,298.9,11.5,D,0
17.8419,-77.2723,318.7,1.1,1,2018-03-18,1827,Aqua,MODIS,47,6.03,303,6.2,D,0
18.1949,-77.1901,314.7,1.1,1,2018-03-18,1827,Aqua,MODIS,66,6.03,299.6,8.9,D,0
17.8959,-77.2777,319.9,1.1,1,2018-03-18,1827,Aqua,MODIS,62,6.03,303.5,9.4,D,0
17.9452,-77.0296,318.5,2,1.4,2018-03-21,1858,Aqua,MODIS,56,6.03,300.3,17.7,D,0
18.2667,-78.1675,358.3,1.1,1,2018-03-23,1845,Aqua,MODIS,99,6.03,304.9,80.7,D,0
18.2587,-78.1559,335.4,1.1,1,2018-03-23,1845,Aqua,MODIS,87,6.03,301.5,29.7,D,0
18.2574,-78.1662,346.2,1.1,1,2018-03-23,1845,Aqua,MODIS,93,6.03,301,50.8,D,0
18.2681,-78.1573,344,1.1,1,2018-03-23,1845,Aqua,MODIS,92,6.03,304.2,45.1,D,0
18.0514,-77.8399,318.6,1.4,1.2,2018-03-27,1821,Aqua,MODIS,65,6.03,297,15.2,D,0
18.0951,-77.4859,326.5,1.1,1,2018-03-28,1557,Terra,MODIS,80,6.03,301.5,20.1,D,0
17.8978,-76.9053,322.2,1,1,2018-03-30,1545,Terra,MODIS,0,6.03,306.5,10.1,D,0
17.8986,-76.5874,311.4,2.4,1.5,2018-04-02,1616,Terra,MODIS,27,6.03,296.6,18.7,D,0
17.9069,-76.5793,312.1,2.4,1.5,2018-04-02,1616,Terra,MODIS,63,6.03,295.8,22.2,D,0
