latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.8977,21.1434,300.1,2.1,1.4,2018-03-11,1010,Terra,MODIS,26,6.03,288.1,10.4,D,0
42.8532,20.6998,315.9,1.1,1,2018-03-11,1152,Aqua,MODIS,76,6.03,290.9,14.8,D,0
42.8548,20.7129,308,1.1,1,2018-03-11,1152,Aqua,MODIS,66,6.03,289.2,7.8,D,0
42.2018,20.803,328.6,1.2,1.1,2018-03-31,1127,Aqua,MODIS,86,6.03,278.6,37.7,D,0
42.963,20.9467,310.7,1.5,1.2,2018-04-10,1204,Aqua,MODIS,62,6.03,296.4,10.7,D,0
43.0991,20.9943,310.1,2.1,1.4,2018-04-12,1010,Terra,MODIS,64,6.03,295.7,16.8,D,0
43.1047,20.9696,315.1,2.1,1.4,2018-04-12,1010,Terra,MODIS,72,6.03,295.3,27.9,D,0
42.5195,20.451,321.4,1,1,2018-04-21,1146,Aqua,MODIS,77,6.03,298.5,14.7,D,0
42.8498,20.6031,314.4,1.1,1,2018-04-23,1134,Aqua,MODIS,67,6.03,298.7,8.1,D,0
42.8519,20.6161,311.8,1.1,1,2018-04-23,1134,Aqua,MODIS,61,6.03,299.9,6.1,D,0
42.6555,21.0247,304.9,2.6,1.6,2018-04-24,0857,Terra,MODIS,22,6.03,292.2,11.2,D,0
42.3394,20.8171,321.4,1.1,1,2018-05-25,1133,Aqua,MODIS,78,6.03,302.9,12,D,0
42.3415,20.83,317.1,1.1,1,2018-05-25,1133,Aqua,MODIS,60,6.03,301,7.5,D,0
42.3446,20.8201,317.9,1,1,2018-05-27,0941,Terra,MODIS,67,6.03,303.7,6.5,D,0
42.341,20.825,317.7,1.4,1.2,2018-05-27,1121,Aqua,MODIS,74,6.03,301.7,11.8,D,0
42.3429,20.8174,325,1,1,2018-06-01,1139,Aqua,MODIS,78,6.03,309.4,10.1,D,0
42.3452,20.8266,318.1,1.1,1,2018-06-03,0947,Terra,MODIS,58,6.03,302.3,7.2,D,0
42.3415,20.8239,322,1.2,1.1,2018-06-03,1127,Aqua,MODIS,77,6.03,304,12.3,D,0
42.3428,20.8156,319.5,1.1,1,2018-06-10,1133,Aqua,MODIS,75,6.03,300.4,9.7,D,0
42.3449,20.8285,317.4,1.1,1,2018-06-10,1133,Aqua,MODIS,56,6.03,298,7.6,D,0
42.344,20.8285,322.6,1,1,2018-06-12,0941,Terra,MODIS,76,6.03,300.1,10.2,D,0
42.3459,20.8165,318.7,1,1,2018-06-12,0941,Terra,MODIS,64,6.03,299.6,6.1,D,0
42.3439,20.8271,316.9,1.1,1,2018-07-05,0947,Terra,MODIS,70,6.03,300.8,9,D,0
42.2512,20.7107,322.5,1.1,1,2018-07-05,0947,Terra,MODIS,76,6.03,303.2,13.1,D,0
42.3397,20.8155,317.4,1.2,1.1,2018-07-05,1127,Aqua,MODIS,66,6.03,302.8,8.6,D,0
42.3463,20.8266,327.6,1.1,1,2018-07-12,1133,Aqua,MODIS,81,6.03,303,18.3,D,2
42.3442,20.8137,324.9,1.1,1,2018-07-12,1133,Aqua,MODIS,78,6.03,304.2,14.8,D,0
42.369,20.4392,312.7,1.5,1.2,2018-07-14,1121,Aqua,MODIS,30,6.03,297.3,10.8,D,2
42.3409,20.8256,313,1.1,1,2018-07-21,0947,Terra,MODIS,47,6.03,300.7,5.3,D,0
42.3501,20.8284,326.3,1.1,1,2018-07-21,0947,Terra,MODIS,81,6.03,300.4,19.6,D,2
42.345,20.8225,312.8,1.1,1,2018-08-06,0947,Terra,MODIS,58,6.03,300.6,5.5,D,0
42.7797,20.477,315.1,1.1,1,2018-08-13,1134,Aqua,MODIS,56,6.03,303.1,9,D,0
42.1991,21.1039,309.7,1,1,2018-09-21,1139,Aqua,MODIS,42,6.03,296,7.1,D,0
43.0022,21.1263,311.6,1.2,1.1,2018-09-23,1127,Aqua,MODIS,46,6.03,299.8,6.3,D,0
42.172,20.5747,311,2.6,1.5,2018-09-26,1017,Terra,MODIS,57,6.03,289.8,44,D,0
42.1806,20.5701,316.8,2.6,1.5,2018-09-26,1017,Terra,MODIS,77,6.03,289.9,61.1,D,0
42.1739,20.5605,333.5,1.2,1.1,2018-09-26,1157,Aqua,MODIS,77,6.03,297.6,42,D,0
42.1755,20.5751,322.9,1.2,1.1,2018-09-26,1157,Aqua,MODIS,82,6.03,296,25.1,D,0
