latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.7084,72.9288,305.8,1,1,2018-02-09,0821,Aqua,MODIS,62,6.03,279.2,9.5,D,0
41.0853,72.7477,304.9,1.1,1,2018-02-13,0616,Terra,MODIS,60,6.03,288.1,6.3,D,2
40.4795,72.4177,303.5,1.1,1,2018-02-13,0616,Terra,MODIS,56,6.03,286.8,5.9,D,0
41.0225,72.5055,301.8,1.1,1,2018-02-13,0616,Terra,MODIS,49,6.03,289.5,4,D,0
40.7243,72.9527,306.3,1.1,1,2018-02-13,0616,Terra,MODIS,63,6.03,286.4,8.1,D,0
41.0245,72.4933,304.1,1,1,2018-02-13,0616,Terra,MODIS,58,6.03,289,5.4,D,0
40.4907,72.6318,300.9,1.4,1.2,2018-02-13,0756,Aqua,MODIS,43,6.03,279.6,9.3,D,0
40.7077,73.1735,304.8,1.3,1.1,2018-02-13,0756,Aqua,MODIS,50,6.03,288,7.9,D,0
40.7174,73.1814,303.9,1.3,1.1,2018-02-13,0756,Aqua,MODIS,33,6.03,289.1,6.6,D,0
40.8047,73.3037,302.2,1.2,1.1,2018-03-05,0551,Terra,MODIS,50,6.03,289.8,4.9,D,0
42.9143,74.8711,302.3,1,1,2018-03-08,0803,Aqua,MODIS,51,6.03,291,3.8,D,2
41.6317,72.6879,301.2,1.2,1.1,2018-03-08,0803,Aqua,MODIS,42,6.03,285.2,5.5,D,2
42.883,73.6827,317.4,1,1,2018-03-10,0609,Terra,MODIS,78,6.03,291.1,14.2,D,0
42.9332,73.5384,307.9,1,1,2018-03-10,0609,Terra,MODIS,62,6.03,290.5,6.8,D,0
43.0991,74.2554,307.1,1,1,2018-03-10,0609,Terra,MODIS,63,6.03,290,6.5,D,0
42.935,73.5263,303.6,1,1,2018-03-10,0609,Terra,MODIS,56,6.03,290.4,4,D,0
42.9189,74.8492,309.4,1.1,1,2018-03-10,0609,Terra,MODIS,68,6.03,289.4,7.8,D,0
42.8988,73.8198,313.2,1,1,2018-03-10,0609,Terra,MODIS,73,6.03,290.3,11.7,D,0
42.8662,73.5517,305.9,1,1,2018-03-10,0609,Terra,MODIS,62,6.03,292.2,4.9,D,0
42.9011,74.9278,308.5,1.2,1.1,2018-03-10,0751,Aqua,MODIS,66,6.03,296.5,5.5,D,0
42.91,74.8643,307.9,1.2,1.1,2018-03-10,0751,Aqua,MODIS,65,6.03,294.4,5.7,D,2
42.9221,74.6403,312.1,1.2,1.1,2018-03-10,0751,Aqua,MODIS,70,6.03,297.6,8.9,D,0
42.8986,74.9136,315.1,1.2,1.1,2018-03-10,0751,Aqua,MODIS,75,6.03,296.5,12.2,D,2
40.7636,73.3172,301.5,1.1,1.1,2018-03-17,0616,Terra,MODIS,19,6.03,288.2,3.7,D,2
40.7681,73.2914,302.4,1.1,1.1,2018-03-17,0616,Terra,MODIS,25,6.03,288.7,4.2,D,2
40.7658,73.3043,302,1.1,1.1,2018-03-17,0616,Terra,MODIS,21,6.03,288.4,4,D,2
40.5647,72.7893,306.7,1.1,1,2018-03-17,0616,Terra,MODIS,43,6.03,288.3,5.6,D,2
42.9128,74.0056,307.4,1,1,2018-03-19,0603,Terra,MODIS,65,6.03,291.5,5.7,D,0
42.8833,75.0764,303,1,1,2018-03-19,0603,Terra,MODIS,51,6.03,284.2,3.3,D,2
42.8814,75.0885,315.6,1,1,2018-03-19,0603,Terra,MODIS,76,6.03,285,11.9,D,2
42.9975,74.5266,308.1,1.5,1.2,2018-03-19,0745,Aqua,MODIS,62,6.03,291.2,10.7,D,0
42.7394,75.251,309.2,1.4,1.2,2018-03-19,0745,Aqua,MODIS,68,6.03,295,7.6,D,0
42.9876,74.4187,307.8,1.5,1.2,2018-03-19,0745,Aqua,MODIS,65,6.03,289.3,11.4,D,0
42.8457,74.0557,310.8,1.5,1.2,2018-03-19,0745,Aqua,MODIS,70,6.03,294.1,12.1,D,2
42.8464,74.0502,313.5,1.5,1.2,2018-03-19,0745,Aqua,MODIS,73,6.03,294.1,17,D,2
40.6951,73.0487,307.4,2.7,1.6,2018-03-20,0646,Terra,MODIS,64,6.03,292,20.7,D,0
40.5345,72.8921,315.9,1.1,1.1,2018-03-20,0827,Aqua,MODIS,67,6.03,296.4,10.8,D,0
40.2652,71.126,309.8,1,1,2018-03-20,0827,Aqua,MODIS,34,6.03,294.7,3.7,D,0
42.8889,73.5552,310.3,1.2,1.1,2018-03-21,0551,Terra,MODIS,60,6.03,296,6,D,0
42.9843,73.958,322.5,1.2,1.1,2018-03-21,0551,Terra,MODIS,79,6.03,296.9,20,D,0
42.8872,73.5702,311.9,1.2,1.1,2018-03-21,0551,Terra,MODIS,64,6.03,297.2,7.5,D,0
42.9584,74.5369,311.6,1.1,1.1,2018-03-21,0551,Terra,MODIS,65,6.03,296.6,6.7,D,0
42.9567,74.5506,310.8,1.1,1.1,2018-03-21,0551,Terra,MODIS,63,6.03,297,6,D,0
42.961,73.5455,309.7,1.2,1.1,2018-03-21,0551,Terra,MODIS,57,6.03,294.3,6.7,D,0
43.0263,74.5374,309.3,1.1,1.1,2018-03-21,0551,Terra,MODIS,60,6.03,296,5.6,D,0
42.6526,71.4071,309.4,3.2,1.7,2018-03-21,0733,Aqua,MODIS,62,6.03,295.7,28.6,D,0
42.9727,74.3163,310.4,2.2,1.4,2018-03-21,0733,Aqua,MODIS,63,6.03,297,15.2,D,0
42.6851,74.3,310.8,2.2,1.4,2018-03-21,0733,Aqua,MODIS,54,6.03,295.6,22.3,D,0
43.2464,74.2058,309.1,2.2,1.4,2018-03-21,0733,Aqua,MODIS,52,6.03,289.3,20.6,D,0
42.6606,75.1559,310.2,2,1.4,2018-03-21,0733,Aqua,MODIS,58,6.03,294.6,19.1,D,0
42.9549,74.0008,310.9,2.3,1.5,2018-03-21,0733,Aqua,MODIS,62,6.03,298.1,16.9,D,0
42.6498,71.4011,310,3.2,1.7,2018-03-21,0733,Aqua,MODIS,64,6.03,295.6,28.7,D,0
42.8574,73.5983,308.7,1.7,1.3,2018-03-22,0634,Terra,MODIS,20,6.03,285.4,12.9,D,0
